,MNK
2023-02-17,103620000
2023-02-21,101629440
2023-02-22,105864000
2023-02-23,117216000
2023-02-24,118668000
2023-02-27,125268000
2023-02-28,122627999
2023-03-01,119195999
2023-03-02,115104000
2023-03-03,120251999
2023-03-06,119460000
2023-03-07,121308000
2023-03-08,117612000
2023-03-09,112727999
2023-03-10,109164000
2023-03-13,108372000
2023-03-14,111012000
2023-03-15,110220000
2023-03-16,111408000
2023-03-17,108900000
2023-03-20,102696000
2023-03-21,104412000
2023-03-22,101112000
2023-03-23,103620000
2023-03-24,106260000
2023-03-27,105600000
2023-03-28,103092000
2023-03-29,99660000
2023-03-30,97416000
2023-03-31,96229320
2023-04-03,98076000
2023-04-04,91872000
2023-04-05,78672000
2023-04-06,73260000
2023-04-10,61775999
2023-04-11,69168000
2023-04-12,69036000
2023-04-13,64462200
2023-04-14,72600000
2023-04-17,70488000
2023-04-18,78540000
2023-04-19,79332000
2023-04-20,76692000
2023-04-21,79200000
2023-04-24,78922800
2023-04-25,75636000
2023-04-26,75108000
2023-04-27,70092000
2023-04-28,77088000
2023-05-01,72600000
2023-05-02,70686000
2023-05-03,72072000
2023-05-04,71676000
2023-05-05,67452000
2023-05-08,72072000
2023-05-09,53196000
2023-05-10,51612000
2023-05-11,41844000
2023-05-12,36432000
2023-05-15,36432000
2023-05-16,24948000
2023-05-17,21120000
2023-05-18,14915999
2023-05-19,83160000
2023-05-22,44352000
2023-05-23,45936000
2023-05-24,41580000
2023-05-25,38808000
2023-05-26,39600000
2023-05-30,38148000
2023-05-31,36300000
2023-06-01,34189320
2023-06-02,32340000
2023-06-05,19404000
2023-06-06,19008000
2023-06-07,18612000
2023-06-08,18876000
2023-06-09,17292000
2023-06-12,16764000
2023-06-13,14784000
2023-06-14,16632000
2023-06-15,11484000
2023-06-16,16896000
2023-06-20,17160000
2023-06-21,20196000
2023-06-22,17028000
2023-06-23,17292000
2023-06-26,17688000
2023-06-27,17820000
2023-06-28,16500000
2023-06-29,16236000
2023-06-30,15576000
2023-07-03,15840000
2023-07-05,15047999
2023-07-06,14256000
2023-07-07,13992000
2023-07-10,13992000
2023-07-11,13858680
2023-07-12,13200000
2023-07-13,12408000
2023-07-14,12619200
2023-07-17,12722160
2023-07-18,9768000
2023-07-19,8976000
2023-07-20,7487040
2023-07-21,6149880
2023-07-24,6024480
2023-07-25,5808000
2023-07-26,16632000
2023-07-27,21384000
2023-07-28,14256000
2023-07-31,21384000
2023-08-01,19404000
2023-08-02,18876000
2023-08-03,17160000
2023-08-04,18084000
2023-08-07,23892000
2023-08-08,19140000
2023-08-09,13128720
2023-08-10,13200000
2023-08-11,11814000
2023-08-14,13041600
2023-08-15,9702000
2023-08-16,7637520
2023-08-17,9152880
2023-08-18,7761600
2023-08-21,7385400
2023-08-22,7761600
2023-08-23,6275280
2023-08-24,5281320
2023-08-25,4490640
2023-08-28,4490640
2023-08-29,2772000
2023-08-30,1782000
2023-08-31,1504800
2023-09-01,1610400
2023-09-05,1584000
2023-09-07,1199880
2023-09-08,1716000
2023-09-11,1782000
2023-09-13,1387320
2023-09-14,1425600
2023-09-15,1452000
2023-09-18,1386000
2023-09-19,1320000
