,CNC
2001-12-13,23828857
2001-12-14,23136168
2001-12-17,23524075
2001-12-18,23911981
2001-12-19,28691607
2001-12-20,27500175
2001-12-21,27569434
2001-12-24,27638710
2001-12-26,28151302
2001-12-27,28816293
2001-12-28,29786084
2001-12-31,221505128
2002-01-02,222009615
2002-01-03,222009615
2002-01-04,219486819
2002-01-07,207579068
2002-01-08,213936617
2002-01-09,209092770
2002-01-10,207478074
2002-01-11,213936617
2002-01-14,211514694
2002-01-15,211918308
2002-01-16,202331487
2002-01-17,197285893
2002-01-18,196781286
2002-01-22,203845189
2002-01-23,219083205
2002-01-24,217468509
2002-01-25,218477724
2002-01-28,205056150
2002-01-29,206872593
2002-01-30,203037962
2002-01-31,186689978
2002-02-01,195772191
2002-02-04,189717382
2002-02-05,192744787
2002-02-06,202836094
2002-02-07,193854754
2002-02-08,193854754
2002-02-11,194258489
2002-02-12,194460235
2002-02-13,189515515
2002-02-14,194460235
2002-02-15,191735571
2002-02-19,189313648
2002-02-20,190322863
2002-02-21,191231084
2002-02-22,189717382
2002-02-25,190726477
2002-02-26,190827350
2002-02-27,190020123
2002-02-28,189212775
2002-03-01,189515515
2002-03-04,190120996
2002-03-05,190625604
2002-03-06,190726477
2002-03-07,190726477
2002-03-08,192744787
2002-03-11,190423736
2002-03-12,196781286
2002-03-13,209294517
2002-03-14,222009615
2002-03-15,228064424
2002-03-18,231091828
2002-03-19,233110138
2002-03-20,232101044
2002-03-21,232605531
2002-03-22,232908271
2002-03-25,231596436
2002-03-26,232101044
2002-03-27,231596436
2002-03-28,231091828
2002-04-01,236903899
2002-04-02,236387727
2002-04-03,237110392
2002-04-04,236387727
2002-04-05,236387727
2002-04-08,236903899
2002-04-09,259097552
2002-04-10,274065295
2002-04-11,293058856
2002-04-12,298839559
2002-04-15,295226604
2002-04-16,299149237
2002-04-17,287794325
2002-04-18,299355731
2002-04-19,302039527
2002-04-22,301626664
2002-04-23,309575115
2002-04-24,305858975
2002-04-25,295949269
2002-04-26,283871816
2002-04-29,278813654
2002-04-30,266220153
2002-05-01,247020098
2002-05-02,251252286
2002-05-03,260026587
2002-05-06,251768457
2002-05-07,249497524
2002-05-08,246916789
2002-05-09,268181407
2002-05-10,267355557
2002-05-13,259613600
2002-05-14,257962023
2002-05-15,258065208
2002-05-16,264258774
2002-05-17,255587782
2002-05-20,245678076
2002-05-21,240000682
2002-05-22,248568490
2002-05-23,255484597
2002-05-24,247742640
2002-05-28,253936205
2002-05-29,258994243
2002-05-30,277368571
2002-05-31,270039477
2002-06-03,257549160
2002-06-04,252903986
2002-06-05,247742640
2002-06-06,246813605
2002-06-07,254865240
2002-06-10,251458779
2002-06-11,253626527
2002-06-12,254968425
2002-06-13,281704068
2002-06-14,294194385
2002-06-17,293265350
2002-06-18,299458916
2002-06-19,296258948
2002-06-20,289549210
2002-06-21,291613773
2002-06-24,289239532
2002-06-25,295639591
2002-06-26,286452427
2002-06-27,308129908
2002-06-28,319794499
2002-07-01,304801714
2002-07-02,285230235
2002-07-03,288759519
2002-07-05,289828955
2002-07-08,287262204
2002-07-09,289294301
2002-07-10,293037395
2002-07-11,288545580
2002-07-12,288224736
2002-07-15,285551079
2002-07-16,279668984
2002-07-17,287476143
2002-07-18,281380109
2002-07-19,275284074
2002-07-22,246408122
2002-07-23,242878839
2002-07-24,256995971
2002-07-25,269829728
2002-07-26,264375381
2002-07-29,267369882
2002-07-30,250258249
2002-07-31,254001471
2002-08-01,274749292
2002-08-02,265231008
2002-08-05,251113876
2002-08-06,272717323
2002-08-07,270899165
2002-08-08,303732277
2002-08-09,294106960
2002-08-12,285765018
2002-08-13,276567450
2002-08-14,278064764
2002-08-15,288759519
2002-08-16,292502740
2002-08-19,296887521
2002-08-20,292930489
2002-08-21,291540208
2002-08-22,291861052
2002-08-23,288652613
2002-08-26,293144428
2002-08-27,275070136
2002-08-28,282128702
2002-08-29,297743148
2002-08-30,284481642
2002-09-03,271968730
2002-09-04,258279347
2002-09-05,258600191
2002-09-06,257744564
2002-09-09,257744564
2002-09-10,256995971
2002-09-11,254536125
2002-09-12,253466688
2002-09-13,251327686
2002-09-16,240632932
2002-09-17,242344057
2002-09-18,258814130
2002-09-19,261273847
2002-09-20,262129474
2002-09-23,273786760
2002-09-24,274642386
2002-09-25,284802486
2002-09-26,284481642
2002-09-27,288224736
2002-09-30,279640780
2002-10-01,293261306
2002-10-02,283098309
2002-10-03,284355592
2002-10-04,288127441
2002-10-07,276287983
2002-10-08,282888720
2002-10-09,267801321
2002-10-10,273459096
2002-10-11,277649998
2002-10-14,280164564
2002-10-15,314425531
2002-10-16,308977346
2002-10-17,304681586
2002-10-18,299652454
2002-10-21,300176364
2002-10-22,297452208
2002-10-23,311701501
2002-10-24,313692158
2002-10-25,312749196
2002-10-28,308034384
2002-10-29,306881832
2002-10-30,331608444
2002-10-31,318826022
2002-11-01,311177592
2002-11-04,312225286
2002-11-05,316835366
2002-11-06,315368494
2002-11-07,312434875
2002-11-08,311910965
2002-11-11,303843481
2002-11-12,303843481
2002-11-13,311910965
2002-11-14,323960013
2002-11-15,341981030
2002-11-18,349419997
2002-11-19,341666709
2002-11-20,354868183
2002-11-21,340514158
2002-11-22,340409426
2002-11-25,314844709
2002-11-26,303843481
2002-11-27,316940098
2002-11-29,292842253
2002-12-02,311282323
2002-12-03,318197381
2002-12-04,321864499
2002-12-05,314320800
2002-12-06,316416313
2002-12-09,320292895
2002-12-10,329722519
2002-12-11,337999591
2002-12-12,342190619
2002-12-13,340933336
2002-12-16,351096333
2002-12-17,346171932
2002-12-18,349315140
2002-12-19,335799346
2002-12-20,336427987
2002-12-23,349000819
2002-12-24,362516614
2002-12-26,357697070
2002-12-27,361887972
2002-12-30,362621471
2002-12-31,366092392
2003-01-02,376010302
2003-01-03,374157454
