,EQR
2000-12-01,6527762000
2000-12-04,6615975000
2000-12-05,6704188000
2000-12-06,6844291000
2000-12-07,6826129500
2000-12-08,6909153500
2000-12-11,7005150000
2000-12-12,7038878500
2000-12-13,7046662000
2000-12-14,7054445500
2000-12-15,6909153500
2000-12-18,7020717000
2000-12-19,7077796000
2000-12-20,7085579500
2000-12-21,7038878500
2000-12-22,6974016000
2000-12-26,7046662000
2000-12-27,7264600000
2000-12-28,7417675500
2000-12-29,7176387000
2001-01-02,7176257880
2001-01-03,7261121240
2001-01-04,7210733620
2001-01-05,7078134620
2001-01-08,7019791060
2001-01-09,7003879180
2001-01-10,7003879180
2001-01-11,6937579680
2001-01-12,6903103940
2001-01-16,6852716320
2001-01-17,6903103940
2001-01-18,6887192060
2001-01-19,6871280180
2001-01-22,6738681180
2001-01-23,6672381680
2001-01-24,6804980680
2001-01-25,6895148000
2001-01-26,6852716320
2001-01-29,6865976220
2001-01-30,6929623740
2001-01-31,6945535620
2001-02-01,6889844040
2001-02-02,6895148000
2001-02-05,6865976220
2001-02-06,6868628200
2001-02-07,6863324240
2001-02-08,6847412360
2001-02-09,6791720780
2001-02-12,6701553460
2001-02-13,6786416820
2001-02-14,6789068800
2001-02-15,6802328700
2001-02-16,6828848500
2001-02-20,6836804440
2001-02-21,6712161380
2001-02-22,6582214360
2001-02-23,6590170300
2001-02-26,6751941080
2001-02-27,6842108400
2001-02-28,6908407900
2001-03-01,7041006900
2001-03-02,7064874720
2001-03-05,6995923240
2001-03-06,6974707400
2001-03-07,6937579680
2001-03-08,7022443040
2001-03-09,6980011360
2001-03-12,7041006900
2001-03-13,7107306400
2001-03-14,7070178680
2001-03-15,7038354920
2001-03-16,6993271260
2001-03-19,7170953920
2001-03-20,7025095020
2001-03-21,6879236120
2001-03-22,6913711860
2001-03-23,6881888100
2001-03-26,6921667800
2001-03-27,6828848500
2001-03-28,6762549000
2001-03-29,6815588600
2001-03-30,6900451960
2001-04-02,6941289480
2001-04-03,6885354300
2001-04-04,6938625900
2001-04-05,6962598120
2001-04-06,6925308000
2001-04-09,6858718500
2001-04-10,6877363560
2001-04-11,6744184560
2001-04-12,6760166040
2001-04-16,6762829620
2001-04-17,6911990100
2001-04-18,7031851200
2001-04-19,6973252440
2001-04-20,6999888240
2001-04-23,6991897500
2001-04-24,6816101220
2001-04-25,6933298740
2001-04-26,7026524040
2001-04-27,7071804900
2001-04-30,6991897500
2001-05-01,6967925280
2001-05-02,6845400600
2001-05-03,6896008620
2001-05-04,6813437640
2001-05-07,6816101220
2001-05-08,6762829620
2001-05-09,6776147520
2001-05-10,6762829620
2001-05-11,6792129000
2001-05-14,6896008620
2001-05-15,6890681460
2001-05-16,6959934540
2001-05-17,6989233920
2001-05-18,7034514780
2001-05-21,7058487000
2001-05-22,7090449960
2001-05-23,7122412920
2001-05-24,7149048720
2001-05-25,7138394400
2001-05-29,7106431440
2001-05-30,7069141320
2001-05-31,7143721560
2001-06-01,7159703040
2001-06-04,7165030200
2001-06-05,7189002420
2001-06-06,7223628960
2001-06-07,7231619700
2001-06-08,7218301800
2001-06-11,7362135120
2001-06-12,7452696840
2001-06-13,7458024000
2001-06-14,7481996220
2001-06-15,7580548680
2001-06-18,7617838800
2001-06-19,7623165960
2001-06-20,7601857320
2001-06-21,7572557940
2001-06-22,7505968440
2001-06-25,7489986960
2001-06-26,7591203000
2001-06-27,7474005480
2001-06-28,7471341900
2001-06-29,7532604240
2001-07-02,7639845440
2001-07-03,7645210500
2001-07-05,7639845440
2001-07-06,7578147250
2001-07-09,7438655690
2001-07-10,7444020750
2001-07-11,7403782800
2001-07-12,7505718940
2001-07-13,7564734600
2001-07-16,7564734600
2001-07-17,7578147250
2001-07-18,7591559900
2001-07-19,7613020140
2001-07-20,7591559900
2001-07-23,7604972550
2001-07-24,7596924960
2001-07-25,7610337610
2001-07-26,7604972550
2001-07-27,7596924960
2001-07-30,7588877370
2001-07-31,7604972550
2001-08-01,7631797850
2001-08-02,7693496040
2001-08-03,7698861100
2001-08-06,7749829170
2001-08-07,7717638810
2001-08-08,7712273750
2001-08-09,7693496040
2001-08-10,7712273750
2001-08-13,7663988210
2001-08-14,7717638810
2001-08-15,7851765310
2001-08-16,7841035190
2001-08-17,7859812900
2001-08-20,7980526750
2001-08-21,8101240600
2001-08-22,8141478550
2001-08-23,8061002650
2001-08-24,7964431570
2001-08-27,8047590000
2001-08-28,8042224940
2001-08-29,7937606270
2001-08-30,7835670130
2001-08-31,7902733380
2001-09-04,7878590610
2001-09-05,7873225550
2001-09-06,7776654470
2001-09-07,7806162300
2001-09-10,7814209890
2001-09-17,7739099050
2001-09-18,7843717720
2001-09-19,7680083390
2001-09-20,7604972550
2001-09-21,7532544240
2001-09-24,7452068340
2001-09-25,7486941230
2001-09-26,7621067730
2001-09-27,7698861100
2001-09-28,7832987600
2001-10-01,7811527360
2001-10-02,7548639420
2001-10-03,7339402080
2001-10-04,7452068340
2001-10-05,7390370150
2001-10-08,7385005090
