,FITB
2001-01-23,26710103160
2001-01-24,26710103160
2001-01-25,26359454160
2001-01-26,26766207000
2001-01-29,26971921080
2001-01-30,27467505000
2001-01-31,27701271000
2001-02-01,27322570080
2001-02-02,27261790920
2001-02-05,27088804080
2001-02-06,26766207000
2001-02-07,27350622000
2001-02-08,27144907920
2001-02-09,26971921080
2001-02-12,27584388000
2001-02-13,27645167160
2001-02-14,27294518160
2001-02-15,26999973000
2001-02-16,27439453080
2001-02-20,26971921080
2001-02-21,26125688160
2001-02-22,25391662920
2001-02-23,25335559080
2001-02-26,25508545920
2001-02-27,25775039160
2001-02-28,25157896920
2001-03-01,25541273160
2001-03-02,25775039160
2001-03-05,25541273160
2001-03-06,25391662920
2001-03-07,25891922160
2001-03-08,26125688160
2001-03-09,25569325080
2001-03-12,24283612080
2001-03-13,25190624160
2001-03-14,24194781000
2001-03-15,24807247920
2001-03-16,24751144080
2001-03-19,24456598920
2001-03-20,23437379160
2001-03-21,22385432160
2001-03-22,22062835080
2001-03-23,23170885920
2001-03-26,23493483000
2001-03-27,24456598920
2001-03-28,24606209160
2001-03-29,24283612080
2001-03-30,24984910080
2001-04-02,30812848350
2001-04-03,29910812700
2001-04-04,29048995200
2001-04-05,29192631450
2001-04-06,28761722700
2001-04-09,29071977000
2001-04-10,29623540200
2001-04-11,29520122100
2001-04-12,29612049300
2001-04-16,29319031350
2001-04-17,29301795000
2001-04-18,30192339750
2001-04-19,30640484850
2001-04-20,30445139550
2001-04-23,29738449200
2001-04-24,29991249000
2001-04-25,29974012650
2001-04-26,30152121600
2001-04-27,30979466400
2001-04-30,30887539200
2001-05-01,30967975500
2001-05-02,30996702750
2001-05-03,30835830150
2001-05-04,31094375400
2001-05-07,30761139300
2001-05-08,30824339250
2001-05-09,30916266450
2001-05-10,31450593300
2001-05-11,31393138800
2001-05-14,32180265450
2001-05-15,32450301600
2001-05-16,33461500800
2001-05-17,33111028350
2001-05-18,33202955550
2001-05-21,33277646400
2001-05-22,33685573350
2001-05-23,33806227800
2001-05-24,33754518750
2001-05-25,33668337000
2001-05-29,33771755100
2001-05-30,33668337000
2001-05-31,33823464150
2001-06-01,34162445700
2001-06-04,34805936100
2001-06-05,35035754100
2001-06-06,34639318050
2001-06-07,34599099900
2001-06-08,34432481850
2001-06-11,34242882000
2001-06-12,34237136550
2001-06-13,34346300100
2001-06-14,34127973000
2001-06-15,34156700250
2001-06-18,33915391350
2001-06-19,34150954800
2001-06-20,34610590800
2001-06-21,35995244250
2001-06-22,35604553650
2001-06-25,35478153750
2001-06-26,35501135550
2001-06-27,35334517500
2001-06-28,35397717450
2001-06-29,34501427250
2001-07-02,35304732320
2001-07-03,35281642240
2001-07-05,35333594920
2001-07-06,34687072680
2001-07-09,34831385680
2001-07-10,34156000840
2001-07-11,34409991720
2001-07-12,35414410200
2001-07-13,36274515680
2001-07-16,34877565840
2001-07-17,36239880560
2001-07-18,36216790480
2001-07-19,36216790480
2001-07-20,36135975200
2001-07-23,36095567560
2001-07-24,35293187280
2001-07-25,35420182720
2001-07-26,35841576680
2001-07-27,35916619440
2001-07-30,35858894240
2001-07-31,36378421040
2001-08-01,36401511120
2001-08-02,36684364600
2001-08-03,36568914200
2001-08-06,36112885120
2001-08-07,36447691280
2001-08-08,36343785920
2001-08-09,36436146240
2001-08-10,36309150800
2001-08-13,36903720360
2001-08-14,36788269960
2001-08-15,37117303600
2001-08-16,37151938720
2001-08-17,36707454680
2001-08-20,36921037920
2001-08-21,36626639400
2001-08-22,37192346360
2001-08-23,36286060720
2001-08-24,35287414760
2001-08-27,34173318400
2001-08-28,34231043600
2001-08-29,33601838920
2001-08-30,33544113720
2001-08-31,33653791600
2001-09-04,33249715200
2001-09-05,33111174720
2001-09-06,32279931840
