,TRMB
2000-12-28,642995644
2000-12-29,580965520
2001-01-02,556758574
2001-01-03,562810347
2001-01-04,576426726
2001-01-05,537090568
2001-01-08,544655175
2001-01-09,528012981
2001-01-10,591556085
2001-01-11,603659485
2001-01-12,597607713
2001-01-16,568862120
2001-01-17,591556085
2001-01-18,623327637
2001-01-19,611224092
2001-01-22,602146506
2001-01-23,608198278
2001-01-24,605172465
2001-01-25,647534437
2001-01-26,629379264
2001-01-29,689896555
2001-01-30,567349140
2001-01-31,541629361
2001-02-01,531038795
2001-02-02,517422416
2001-02-05,484137884
2001-02-06,503806036
2001-02-07,515909436
2001-02-08,503806036
2001-02-09,494728450
2001-02-12,503806036
2001-02-13,504184245
2001-02-14,506831850
2001-02-15,550706947
2001-02-16,506831850
2001-02-20,497754264
2001-02-21,479977445
2001-02-22,485650864
2001-02-23,482625050
2001-02-26,478086257
2001-02-27,462956898
2001-02-28,425133574
2001-03-01,438749953
2001-03-02,459931085
2001-03-05,444801726
2001-03-06,487163843
2001-03-07,485650864
2001-03-08,481112071
2001-03-09,479599091
2001-03-12,441775912
2001-03-13,470521505
2001-03-14,450853498
2001-03-15,446314705
2001-03-16,425133574
2001-03-19,435724140
2001-03-20,399413795
2001-03-21,403952588
2001-03-22,422107760
2001-03-23,453879312
2001-03-26,429672367
2001-03-27,465226295
2001-03-28,426646553
2001-03-29,411517194
2001-03-30,464210076
2001-04-02,419780778
2001-04-03,379947472
2001-04-04,390671846
2001-04-05,427440961
2001-04-06,315601521
2001-04-09,312537477
2001-04-10,322587653
2001-04-11,346855269
2001-04-12,365975208
2001-04-16,343178357
2001-04-17,354699445
2001-04-18,378721884
2001-04-19,392203942
2001-04-20,402499294
2001-04-23,380192649
2001-04-24,374554767
2001-04-25,386075707
2001-04-26,392203942
2001-04-27,392203942
2001-04-30,402744323
2001-05-01,419658116
2001-05-02,428727880
2001-05-03,415000793
2001-05-04,427257116
2001-05-07,423580204
2001-05-08,404460265
2001-05-09,408382352
2001-05-10,411814088
2001-05-11,408382352
2001-05-14,420393499
2001-05-15,421374057
2001-05-16,432894998
2001-05-17,453485702
2001-05-18,483391347
2001-05-21,491480552
2001-05-22,520895844
2001-05-23,512071257
2001-05-24,497853817
2001-05-25,513542021
2001-05-29,505697845
2001-05-30,482900994
2001-05-31,477998495
2001-06-01,482410788
2001-06-04,492215935
2001-06-05,497608640
2001-06-06,493931729
2001-06-07,481675406
2001-06-08,477753318
2001-06-11,463045672
2001-06-12,454711437
2001-06-13,450053967
2001-06-14,441229380
2001-06-15,448092997
2001-06-18,430198645
2001-06-19,428973057
2001-06-20,415490999
2001-06-21,423580204
2001-06-22,427747322
2001-06-25,421128881
2001-06-26,430198645
2001-06-27,428973057
2001-06-28,426521734
2001-06-29,475910315
2001-07-02,444899321
2001-07-03,441969140
2001-07-05,463701273
2001-07-06,418771769
2001-07-09,454422412
2001-07-10,444410860
2001-07-11,438062182
2001-07-12,456620049
2001-07-13,457108363
2001-07-16,437085405
2001-07-17,448806133
2001-07-18,426585685
2001-07-19,449538678
2001-07-20,439771503
2001-07-23,444166776
2001-07-24,475910315
2001-07-25,463945503
2001-07-26,483480000
2001-07-27,476154545
2001-07-30,462724496
2001-07-31,463945503
2001-08-01,462236182
2001-08-02,463457042
2001-08-03,463945503
2001-08-06,450515454
2001-08-07,452957321
2001-08-08,441969140
2001-08-09,458329224
2001-08-10,442945769
2001-08-13,439527273
2001-08-14,440992363
2001-08-15,441724909
2001-08-16,438306412
2001-08-17,436352860
2001-08-20,444410860
2001-08-21,430980958
2001-08-22,447096958
2001-08-23,445631867
2001-08-24,449294594
2001-08-27,442213224
2001-08-28,421213636
2001-08-29,415109042
2001-08-30,407539503
2001-08-31,402900000
2001-09-04,416818363
2001-09-05,414376496
2001-09-06,399237272
2001-09-07,401679139
2001-09-10,387028230
2001-09-17,380923636
2001-09-18,373598182
2001-09-19,354307769
2001-09-20,333308182
2001-09-21,318901503
2001-09-24,368714594
2001-09-25,382388727
2001-09-26,360168133
2001-09-27,356505405
2001-09-28,426161722
2001-10-01,407718004
2001-10-02,383126324
2001-10-03,409953550
2001-10-04,391230326
2001-10-05,380611272
2001-10-08,364403100
2001-10-09,360211346
2001-10-10,382567480
2001-10-11,486243475
2001-10-12,475903759
2001-10-15,471712005
2001-10-16,482051721
2001-10-17,476462771
2001-10-18,475624421
2001-10-19,482051721
2001-10-22,475065408
2001-10-23,473668213
2001-10-24,494906489
2001-10-25,506922739
2001-10-26,510276143
2001-10-29,502172141
2001-10-30,489038034
2001-10-31,491832425
2001-11-01,508599441
2001-11-02,505805050
2001-11-05,478139473
2001-11-06,490155723
2001-11-07,484846280
2001-11-08,474786070
2001-11-09,457180703
2001-11-12,474786070
2001-11-13,480654526
2001-11-14,477580461
2001-11-15,478139473
2001-11-16,480375019
2001-11-19,487640671
2001-11-20,489038034
2001-11-21,475065408
2001-11-23,482331227
2001-11-26,482051721
2001-11-27,476742110
2001-11-28,465564211
2001-11-29,468917614
2001-11-30,471712005
2001-12-03,454106638
2001-12-04,452988948
2001-12-05,480375019
2001-12-06,483448916
2001-12-07,490435229
2001-12-10,514467897
2001-12-11,509996804
2001-12-12,503569336
2001-12-13,465284705
2001-12-14,457180703
2001-12-17,442649232
2001-12-18,435383581
2001-12-19,433706880
2001-12-20,423646670
2001-12-21,428956113
2001-12-24,427000073
2001-12-26,444884779
2001-12-27,445443791
2001-12-28,443767089
2001-12-31,452988948
2002-01-02,452429936
2002-01-03,453268287
2002-01-04,465284705
2002-01-07,476462771
2002-01-08,478977824
2002-01-09,452988948
2002-01-10,435942426
2002-01-11,427838424
2002-01-14,421969968
2002-01-15,422528813
2002-01-16,420013760
2002-01-17,423367164
2002-01-18,423367164
2002-01-22,420572605
2002-01-23,431750672
2002-01-24,422528813
2002-01-25,421969968
2002-01-28,423367164
2002-01-29,421969968
2002-01-30,419175410
2002-01-31,419734254
2002-02-01,413306954
2002-02-04,392907028
2002-02-05,391230326
2002-02-06,377816713
2002-02-07,363005905
2002-02-08,367197659
2002-02-11,374463310
2002-02-12,373345621
2002-02-13,364682606
2002-02-14,349312785
2002-02-15,335899172
2002-02-19,328633521
2002-02-20,333384120
2002-02-21,352945695
2002-02-22,363005905
2002-02-25,360770358
2002-02-26,358534644
2002-02-27,360211346
2002-02-28,363285411
2002-03-01,367197659
2002-03-04,375581167
2002-03-05,363285411
2002-03-06,365800463
2002-03-07,373066114
2002-03-08,396819444
2002-03-11,398216639
2002-03-12,392627689
2002-03-13,391789339
2002-03-14,404364601
2002-03-15,420293266
2002-03-18,418895903
2002-03-19,422249307
2002-03-20,418616565
2002-03-21,437339621
2002-03-22,445723130
2002-03-25,442090388
2002-03-26,443487583
2002-03-27,447120493
2002-03-28,464725860
2002-04-01,471245542
2002-04-02,459132742
2002-04-03,459132742
2002-04-04,460574857
2002-04-05,475860000
2002-04-08,465477600
2002-04-09,480762742
2002-04-10,486242400
2002-04-11,470092057
2002-04-12,475860000
2002-04-15,485665657
2002-04-16,489126457
2002-04-17,490856857
2002-04-18,483358342
2002-04-19,478744057
2002-04-22,452788057
2002-04-23,464323942
2002-04-24,462016800
2002-04-25,462305257
2002-04-26,464612400
2002-04-29,463170457
2002-04-30,478455600
2002-05-01,485088742
2002-05-02,481627942
2002-05-03,478455600
2002-05-06,463170457
2002-05-07,470957257
2002-05-08,494317657
2002-05-09,487972800
2002-05-10,483358342
2002-05-13,498355200
2002-05-14,522004057
2002-05-15,533539942
2002-05-16,523446000
2002-05-17,525464857
2002-05-20,518543257
2002-05-21,500662342
2002-05-22,502104457
2002-05-23,522292342
2002-05-24,504988342
2002-05-28,504411600
2002-05-29,511909942
2002-05-30,509891257
2002-05-31,518254800
2002-06-03,500374057
2002-06-04,494894400
2002-06-05,465766057
2002-06-06,464900857
2002-06-07,463458742
2002-06-10,474418057
2002-06-11,459997942
2002-06-12,455383657
2002-06-13,458844457
2002-06-14,452788057
2002-06-17,466054342
2002-06-18,461440057
2002-06-19,466342800
2002-06-20,431734800
2002-06-21,442405657
2002-06-24,443270857
2002-06-25,445289542
2002-06-26,452788057
2002-06-27,449904000
2002-06-28,466377716
2002-07-01,451333332
2002-07-02,431775614
2002-07-03,439297716
2002-07-05,451333332
2002-07-08,426660383
2002-07-09,449828948
2002-07-10,442306665
2002-07-11,440802281
