,SCI
2000-12-22,514437560
2000-12-26,478864750
2000-12-27,495282970
2000-12-28,495282970
2000-12-29,478864750
2001-01-02,426873720
2001-01-03,478864750
2001-01-04,514437560
2001-01-05,514437560
2001-01-08,514437560
2001-01-09,530855780
2001-01-10,684092500
2001-01-11,788074560
2001-01-12,768919970
2001-01-16,872902030
2001-01-17,856483810
2001-01-18,837329220
2001-01-19,837329220
2001-01-22,924893060
2001-01-23,993302310
2001-01-24,957729500
2001-01-25,856483810
2001-01-26,837329220
2001-01-29,872902030
2001-01-30,965938610
2001-01-31,1053502450
2001-02-01,1039820600
2001-02-02,1001511420
2001-02-05,963202240
2001-02-06,1026138750
2001-02-07,1012456900
2001-02-08,1050766080
2001-02-09,1067184300
2001-02-12,1094548000
2001-02-13,1026138750
2001-02-14,1045293340
2001-02-15,1026138750
2001-02-16,1004247790
2001-02-20,985093200
2001-02-21,1020666010
2001-02-22,1012456900
2001-02-23,979620460
2001-02-26,1023402380
2001-02-27,1004247790
2001-02-28,976884090
2001-03-01,944047650
2001-03-02,965938610
2001-03-05,933102170
2001-03-06,971411350
2001-03-07,1149275400
2001-03-08,1297039380
2001-03-09,1204002800
2001-03-12,1146539030
2001-03-13,1135593550
2001-03-14,1091811630
2001-03-15,1017929640
2001-03-16,1037084230
2001-03-19,1086338890
2001-03-20,1026138750
2001-03-21,1015193270
2001-03-22,1039820600
2001-03-23,1042556970
2001-03-26,1017929640
2001-03-27,1130120810
2001-03-28,1245048350
2001-03-29,1187584580
2001-03-30,1299775750
2001-04-02,1259045840
2001-04-03,1202075440
2001-04-04,1253348800
2001-04-05,1338804400
2001-04-06,1310319200
2001-04-09,1247651760
2001-04-10,1281834000
2001-04-11,1270439920
2001-04-12,1281834000
2001-04-16,1264742880
2001-04-17,1344501440
2001-04-18,1438502600
2001-04-19,1475533360
2001-04-20,1367289600
2001-04-23,1253348800
2001-04-24,1324561800
2001-04-25,1318864760
2001-04-26,1296076600
2001-04-27,1324561800
2001-04-30,1330258840
2001-05-01,1321713280
2001-05-02,1301773640
2001-05-03,1270439920
2001-05-04,1281834000
2001-05-07,1270439920
2001-05-08,1387229240
2001-05-09,1327410320
2001-05-10,1669232720
2001-05-11,1817355760
2001-05-14,1877174680
2001-05-15,1911356920
2001-05-16,1823052800
2001-05-17,1922751000
2001-05-18,2050934400
2001-05-21,2045237360
2001-05-22,1908508400
2001-05-23,1794567600
2001-05-24,1880023200
2001-05-25,1899962840
2001-05-29,1999661039
2001-05-30,2059479960
2001-05-31,2011055120
2001-06-01,1965478800
2001-06-04,1991115480
2001-06-05,1965478800
2001-06-06,1908508400
2001-06-07,1922751000
2001-06-08,1808810200
2001-06-11,1726203120
2001-06-12,1794567600
2001-06-13,1780325000
2001-06-14,1717657560
2001-06-15,1632201960
2001-06-18,1637899000
2001-06-19,1609413800
2001-06-20,1709112000
2001-06-21,1703414960
2001-06-22,1649293080
2001-06-25,1606565280
2001-06-26,1637899000
2001-06-27,1694869400
2001-06-28,1709112000
2001-06-29,1811658720
2001-07-02,1904092480
2001-07-03,2028903420
2001-07-05,1996975040
2001-07-06,1930215700
2001-07-09,1854748620
2001-07-10,1921507960
2001-07-11,1927313120
2001-07-12,2026000840
2001-07-13,2023098260
2001-07-16,2023098260
2001-07-17,2037611159
2001-07-18,2037611159
2001-07-19,2124688560
2001-07-20,2057929220
2001-07-23,2026000840
2001-07-24,2017293100
2001-07-25,2031806000
2001-07-26,1999877620
2001-07-27,2031806000
2001-07-30,2037611159
2001-07-31,2293038200
2001-08-01,2246596920
2001-08-02,2191447900
2001-08-03,2113078240
2001-08-06,2200155640
2001-08-07,2287233040
2001-08-08,2150811780
2001-08-09,2046318900
2001-08-10,2075344700
2001-08-13,2089857600
2001-08-14,2063734380
2001-08-15,2002780200
2001-08-16,1982462140
2001-08-17,2008585360
2001-08-20,2052124060
2001-08-21,2017293100
2001-08-22,2026000840
2001-08-23,2017293100
2001-08-24,1973754400
2001-08-27,1982462140
2001-08-28,1875066680
2001-08-29,1999877620
2001-08-30,1883774420
2001-08-31,2011487940
2001-09-04,1953436340
2001-09-05,1944728600
2001-09-06,1866358940
2001-09-07,1898287320
2001-09-10,1837333140
2001-09-17,1689301560
2001-09-18,1753158320
2001-09-19,1741548000
2001-09-20,1770573800
2001-09-21,1741548000
2001-09-24,1825722820
2001-09-25,1799599600
2001-09-26,1741548000
2001-09-27,1750255740
2001-09-28,1747353159
2001-10-01,1755918000
2001-10-02,1799815950
2001-10-03,1793962890
2001-10-04,1796889420
2001-10-05,1776403710
2001-10-08,1755918000
2001-10-09,1697387400
2001-10-10,1682754750
2001-10-11,1662269040
2001-10-12,1659342510
2001-10-15,1700313930
2001-10-16,1668122100
2001-10-17,1682754750
2001-10-18,1668122100
2001-10-19,1758844530
2001-10-22,1773477180
2001-10-23,1755918000
2001-10-24,1755918000
2001-10-25,1735432290
2001-10-26,1843713900
2001-10-29,1887611850
2001-10-30,1849566960
2001-10-31,1864199610
2001-11-01,1840787370
2001-11-02,1829081250
2001-11-05,1782256770
2001-11-06,1779330240
2001-11-07,1852493490
2001-11-08,1785183300
2001-11-09,1864199610
2001-11-12,1829081250
2001-11-13,1843713900
2001-11-14,1817375130
2001-11-15,1843713900
2001-11-16,1829081250
2001-11-19,1829081250
2001-11-20,1867126140
2001-11-21,1832007780
2001-11-23,1843713900
2001-11-26,1802742480
2001-11-27,1738358820
2001-11-28,1744211880
2001-11-29,1729579230
2001-11-30,1717873110
2001-12-03,1700313930
2001-12-04,1685681280
2001-12-05,1624224150
2001-12-06,1548134370
2001-12-07,1495456830
2001-12-10,1521795600
2001-12-11,1521795600
2001-12-12,1521795600
2001-12-13,1463265000
2001-12-14,1436926230
2001-12-17,1489603770
2001-12-18,1542281309
2001-12-19,1586179260
2001-12-20,1425220110
2001-12-21,1407660930
2001-12-24,1357909920
2001-12-26,1375469100
2001-12-27,1428146640
2001-12-28,1454485410
2001-12-31,1460338470
2002-01-02,1559840490
2002-01-03,1551060900
2002-01-04,1571546610
2002-01-07,1539354780
2002-01-08,1592032320
2002-01-09,1565693550
2002-01-10,1609591500
2002-01-11,1574473140
2002-01-14,1492530300
2002-01-15,1433999700
2002-01-16,1378395630
2002-01-17,1457411940
2002-01-18,1472044590
2002-01-22,1381322160
2002-01-23,1460338470
2002-01-24,1457411940
2002-01-25,1448632350
2002-01-28,1442779290
2002-01-29,1331571150
2002-01-30,1390101750
2002-01-31,1492530300
2002-02-01,1539354780
2002-02-04,1492530300
2002-02-05,1469118059
2002-02-06,1460338470
