,PD
2019-04-11,1243507500
2019-04-12,1284145000
2019-04-15,1273416700
2019-04-16,1237005500
2019-04-17,1300400000
2019-04-18,1272766500
2019-04-22,1280568900
2019-04-23,1296498800
2019-04-24,1306902000
2019-04-25,1284145000
2019-04-26,1404432000
2019-04-29,1511715000
2019-04-30,3537807700
2019-05-01,3531773060
2019-05-02,3450305420
2019-05-03,3500091200
2019-05-06,3699234320
2019-05-07,3699234320
2019-05-08,3702251640
2019-05-09,3713566590
2019-05-10,3908938060
2019-05-13,3730161850
2019-05-14,3967021470
2019-05-15,4031893850
2019-05-16,4197092120
2019-05-17,4125430770
2019-05-20,4153340980
2019-05-21,4139008710
2019-05-22,4072627670
2019-05-23,3921007340
2019-05-24,4013789930
2019-05-28,3958723840
2019-05-29,3914972700
2019-05-30,3908183730
2019-05-31,3877256200
2019-06-03,3485758930
2019-06-04,3368837779
2019-06-05,3589102140
2019-06-06,3587593480
2019-06-07,3688673700
2019-06-10,3760335050
2019-06-11,3789753920
2019-06-12,4172199230
2019-06-13,4080925300
2019-06-14,4327591210
2019-06-17,4169181910
2019-06-18,4107326850
2019-06-19,4100537880
2019-06-20,4057541070
2019-06-21,4028876529
2019-06-24,3717338240
2019-06-25,3584576160
2019-06-26,3506125840
2019-06-27,3604188740
2019-06-28,3549122650
2019-07-01,3475952640
2019-07-02,3489530580
2019-07-03,3547613990
2019-07-05,3597399770
2019-07-08,3596645440
2019-07-09,3749020100
2019-07-10,3810875160
2019-07-11,3726390200
2019-07-12,3664535140
2019-07-15,3745248450
2019-07-16,3661517820
2019-07-17,3597399770
2019-07-18,3387696029
2019-07-19,3491793570
2019-07-22,3518949450
2019-07-23,3330366950
2019-07-24,3389959020
2019-07-25,3281335500
2019-07-26,3445779440
2019-07-29,3322823650
2019-07-30,3391467680
2019-07-31,3358846400
2019-08-01,3168866400
2019-08-02,2996364560
2019-08-05,2858059120
2019-08-06,2804104800
2019-08-07,2856539280
2019-08-08,3044999440
2019-08-09,2857299200
2019-08-12,2778267520
2019-08-13,2750910400
2019-08-14,2716714000
2019-08-15,2564730000
2019-08-16,2635402560
2019-08-19,2691636640
2019-08-20,2621724000
2019-08-21,2661999760
2019-08-22,2722033440
2019-08-23,2649081120
2019-08-26,2705315200
2019-08-27,2699235840
2019-08-28,2731912400
2019-08-29,2918852719
2019-08-30,2984205840
2019-09-03,2855019440
2019-09-04,2890735680
2019-09-05,2781307200
2019-09-06,2467460240
2019-09-09,2146774000
2019-09-10,2085980400
2019-09-11,2391468240
2019-09-12,2382349200
2019-09-13,2275960400
2019-09-16,2332194480
2019-09-17,2327634960
2019-09-18,2313196480
2019-09-19,2225045760
2019-09-20,2260762000
2019-09-23,2415025760
2019-09-24,2203768000
2019-09-25,2139174800
2019-09-26,2225805680
2019-09-27,2146014080
2019-09-30,2146774000
2019-10-01,2146774000
2019-10-02,2070782000
2019-10-03,2121696640
2019-10-04,2104978400
2019-10-07,2032026080
2019-10-08,2005428880
2019-10-09,2016067760
2019-10-10,1975792000
2019-10-11,1982631280
2019-10-14,2009988400
2019-10-15,2084460560
2019-10-16,2057103440
2019-10-17,2014547920
2019-10-18,1933996400
2019-10-21,1893720640
2019-10-22,1845085760
2019-10-23,1794931040
2019-10-24,1870923040
2019-10-25,1876242480
2019-10-28,1780492560
2019-10-29,1711339840
2019-10-30,1738696960
2019-10-31,1774023349
2019-11-01,1771708400
2019-11-04,1813377500
2019-11-05,1791771300
2019-11-06,1828810500
2019-11-07,1726181050
2019-11-08,1723866100
2019-11-11,1721551150
2019-11-12,1760905300
2019-11-13,1701488250
2019-11-14,1723094449
2019-11-15,1814920800
2019-11-18,1868936300
2019-11-19,1948416250
2019-11-20,2007833300
2019-11-21,2034069400
2019-11-22,2074195200
2019-11-25,2027896200
2019-11-26,2058762200
2019-11-27,2011691550
2019-11-29,2010148250
2019-12-02,1882054350
2019-12-03,1972337400
2019-12-04,1979282250
2019-12-05,1928353349
2019-12-06,1682968650
2019-12-09,1807204300
2019-12-10,1739299100
2019-12-11,1726181050
2019-12-12,1714606300
2019-12-13,1781739850
2019-12-16,1780196550
2019-12-17,1870479599
2019-12-18,1915235300
2019-12-19,1898259000
2019-12-20,1902117250
2019-12-23,1826495550
2019-12-24,1834212050
2019-12-26,1851188349
2019-12-27,1798716150
2019-12-30,1811062550
2019-12-31,1804889350
2020-01-02,1878196100
2020-01-03,1881282700
2020-01-06,1901345600
2020-01-07,1907518800
2020-01-08,1949959550
2020-01-09,1902117250
2020-01-10,1868164650
2020-01-13,1922951800
2020-01-14,1906747150
2020-01-15,1884369300
2020-01-16,1957676050
2020-01-17,1946872950
2020-01-21,1910605400
2020-01-22,1958447700
2020-01-23,1864306400
2020-01-24,1830353800
2020-01-27,1782511500
2020-01-28,1825723900
2020-01-29,1878967750
2020-01-30,1899030650
2020-01-31,1813596400
2020-02-03,1826039600
2020-02-04,1871923900
2020-02-05,1781710700
2020-02-06,1780155300
2020-02-07,1749825000
2020-02-10,1780155300
2020-02-11,1738937200
2020-02-12,1714828500
2020-02-13,1638613900
2020-02-14,1656501000
2020-02-18,1684498200
2020-02-19,1710162299
2020-02-20,1656501000
2020-02-21,1636280800
2020-02-24,1602062000
2020-02-25,1541401400
2020-02-26,1516515000
2020-02-27,1445744300
2020-02-28,1602062000
2020-03-02,1623059900
2020-03-03,1556955400
2020-03-04,1609839000
2020-03-05,1539068300
2020-03-06,1523514300
2020-03-09,1412303200
2020-03-10,1498627900
2020-03-11,1407637000
2020-03-12,1226432900
2020-03-13,1213989700
2020-03-16,1000899899
2020-03-17,1161883800
2020-03-18,1160328400
2020-03-19,1433301100
2020-03-20,1483073900
2020-03-23,1383528300
