,NOW
2012-06-29,683598256
2012-07-02,2915379583
2012-07-03,2978936506
2012-07-05,3055440209
2012-07-06,3041316449
2012-07-09,2974228586
2012-07-10,2948335025
2012-07-11,2793679846
2012-07-12,2834167960
2012-07-13,2845937760
2012-07-16,2869477361
2012-07-17,2856530581
2012-07-18,2851822661
2012-07-19,2824752120
2012-07-20,2969520666
2012-07-23,2865946421
2012-07-24,2923618444
2012-07-25,2934211264
2012-07-26,2874185282
2012-07-27,2981290466
2012-07-30,2988352346
2012-07-31,3177846135
2012-08-01,3261411718
2012-08-02,3422657985
2012-08-03,3374401803
2012-08-06,3297898100
2012-08-07,3295544140
2012-08-08,3244933997
2012-08-09,3473268127
2012-08-10,3725141858
2012-08-13,3816946302
2012-08-14,3799291601
2012-08-15,3493276788
2012-08-16,3501515648
2012-08-17,3483860948
2012-08-20,3517993369
2012-08-21,3561541631
2012-08-22,3513285449
2012-08-23,3416773085
2012-08-24,3495630748
2012-08-27,3445020606
2012-08-28,3450905506
2012-08-29,3470914167
2012-08-30,3505046588
2012-08-31,3660407955
2012-09-04,3962891828
2012-09-05,4024094790
2012-09-06,4244190060
2012-09-07,4301862082
2012-09-10,4047634391
2012-09-11,3885211145
2012-09-12,4125315075
2012-09-13,4414852167
2012-09-14,4597284075
2012-09-17,4494886810
2012-09-18,4331286584
2012-09-19,4549027893
2012-09-20,4472524190
2012-09-21,4664371938
2012-09-24,4751468461
2012-09-25,4706743219
2012-09-26,4481940030
2012-09-27,4712628120
2012-09-28,4552558833
2012-10-01,4523543894
2012-10-02,4526023907
2012-10-03,4591744254
2012-10-04,4606624333
2012-10-05,4588024235
2012-10-08,4529743927
2012-10-09,4464023580
2012-10-10,4312742780
2012-10-11,4278022597
2012-10-12,4131701824
2012-10-15,4279262604
2012-10-16,4254462473
2012-10-17,4311502774
2012-10-18,4313982787
2012-10-19,4259422499
2012-10-22,4146581903
2012-10-23,4285462636
2012-10-24,4420623350
2012-10-25,3892380560
2012-10-26,3954380887
2012-10-31,3800620075
2012-11-01,3848980331
2012-11-02,3985381051
2012-11-05,4002741143
2012-11-06,4085821582
2012-11-07,3875020468
2012-11-08,3831620239
2012-11-09,3728699695
2012-11-12,3677859427
2012-11-13,3655539309
2012-11-14,3560058805
2012-11-15,3941980822
2012-11-16,3763419879
2012-11-19,3851460344
2012-11-20,3927100743
2012-11-21,3866340422
2012-11-23,3815500154
2012-11-26,3782019977
2012-11-27,3757219846
2012-11-28,3870060442
2012-11-29,4005221156
2012-11-30,4046141372
2012-12-03,3972980986
2012-12-04,3743579774
2012-12-05,3646859263
2012-12-06,3654299302
2012-12-07,3633219191
2012-12-10,3651819289
2012-12-11,3698939538
2012-12-12,3798140062
2012-12-13,3760939866
2012-12-14,3786980003
2012-12-17,3856420370
2012-12-18,4046141372
2012-12-19,4021341241
2012-12-20,4070941503
2012-12-21,4028781280
2012-12-24,3925860737
2012-12-26,3713819617
2012-12-27,3660499335
2012-12-28,3602219027
2012-12-31,3897354330
2013-01-02,3919417275
2013-01-03,3853228441
2013-01-04,3766274481
2013-01-07,3550836313
2013-01-08,3400289159
2013-01-09,3422352104
2013-01-10,3434032487
2013-01-11,3563814516
2013-01-14,3383417496
2013-01-15,3532666829
2013-01-16,3548240672
2013-01-17,3581984000
2013-01-18,3556027594
2013-01-22,3584579640
2013-01-23,3624812069
2013-01-24,3831165496
2013-01-25,4036221101
2013-01-28,4055688406
2013-01-29,3919417275
2013-01-30,3759785380
2013-01-31,3597557843
2013-02-01,3642981554
2013-02-04,3758487559
2013-02-05,3864908823
2013-02-06,3857121901
2013-02-07,3818187293
2013-02-08,3871397925
2013-02-11,3835058956
2013-02-12,3796124348
2013-02-13,3864908823
2013-02-14,4267233113
