,ROL
2000-01-03,454625015
2000-01-04,450881183
2000-01-05,449014381
2000-01-06,452753099
2000-01-07,456496931
2000-01-10,460235649
2000-01-11,458368847
2000-01-12,458368847
2000-01-13,456496931
2000-01-14,458368847
2000-01-18,452753099
2000-01-19,450881183
2000-01-20,454625015
2000-01-21,449014381
2000-01-24,435916082
2000-01-25,441526716
2000-01-26,443398632
2000-01-27,437787998
2000-01-28,430305448
2000-01-31,463979481
2000-02-01,458368847
2000-02-02,463979481
2000-02-03,467723313
2000-02-04,469590115
2000-02-07,469590115
2000-02-08,477077780
2000-02-09,475205864
2000-02-10,478944581
2000-02-11,490170964
2000-02-14,482688414
2000-02-15,484560330
2000-02-16,482688414
2000-02-17,486432246
2000-02-18,482688414
2000-02-22,482688414
2000-02-23,484560330
2000-02-24,475205864
2000-02-25,465851397
2000-02-28,462107565
2000-02-29,484560330
2000-03-01,484560330
2000-03-02,480816498
2000-03-03,473333947
2000-03-06,452753099
2000-03-07,452753099
2000-03-08,458368847
2000-03-09,462107565
2000-03-10,460235649
2000-03-13,458368847
2000-03-14,460235649
2000-03-15,456496931
2000-03-16,471462031
2000-03-17,458368847
2000-03-20,462107565
2000-03-21,460235649
2000-03-22,462107565
2000-03-23,439659915
2000-03-24,426561616
2000-03-27,389143751
2000-03-28,389143751
2000-03-29,392887583
2000-03-30,434044166
2000-03-31,446021091
2000-04-03,434775786
2000-04-04,423530480
2000-04-05,436650857
2000-04-06,436650857
2000-04-07,431030766
2000-04-10,417910389
2000-04-11,417910389
2000-04-12,425405552
2000-04-13,419785460
2000-04-14,421660532
2000-04-17,449771234
2000-04-18,444146020
2000-04-19,404790012
2000-04-20,404790012
2000-04-24,393549830
2000-04-25,419785460
2000-04-26,423530480
2000-04-27,431030766
2000-04-28,431030766
2000-05-01,432900714
2000-05-02,425405552
2000-05-03,419785460
2000-05-04,427280623
2000-05-05,423530480
2000-05-08,421660532
2000-05-09,421660532
2000-05-10,412290298
2000-05-11,416035318
2000-05-12,410415226
2000-05-15,389799687
2000-05-16,387924615
2000-05-17,384179596
2000-05-18,354193822
2000-05-19,356068893
2000-05-22,344823588
2000-05-23,341073445
2000-05-24,341073445
2000-05-25,348568608
2000-05-26,357938842
2000-05-30,365439128
2000-05-31,356068893
2000-06-01,363564056
2000-06-02,386049544
2000-06-05,376679310
2000-06-06,380429453
2000-06-07,391674758
2000-06-08,391674758
2000-06-09,389799687
2000-06-12,393549830
2000-06-13,406665083
2000-06-14,401044992
2000-06-15,395419778
2000-06-16,408540155
2000-06-19,414160246
2000-06-20,419785460
2000-06-21,434775786
2000-06-22,421660532
2000-06-23,416035318
2000-06-26,423530480
2000-06-27,404790012
2000-06-28,427280623
2000-06-29,436650857
2000-06-30,446788752
2000-07-03,439280689
2000-07-05,439280689
2000-07-06,444910454
2000-07-07,439280689
