,LDOS
2006-10-13,4194960000
2006-10-16,4178160000
2006-10-17,4146240000
2006-10-18,4077360000
2006-10-19,3984960000
2006-10-20,4118520000
2006-10-23,4105080000
2006-10-24,4130280000
2006-10-25,4168920000
2006-10-26,4455360000
2006-10-27,4630920000
2006-10-30,4690560000
2006-10-31,5548940000
2006-11-01,5479250000
2006-11-02,5412590000
2006-11-03,5506520000
2006-11-06,5545910000
2006-11-07,5537830000
2006-11-08,5320680000
2006-11-09,5604490000
2006-11-10,5545910000
2006-11-13,5515610000
2006-11-14,5531770000
2006-11-15,5553990000
2006-11-16,5571160000
2006-11-17,5484300000
2006-11-20,5409560000
2006-11-21,5342900000
2006-11-22,5363100000
2006-11-24,5318660000
2006-11-27,5242910000
2006-11-28,5242910000
2006-11-29,5282300000
2006-11-30,5263110000
2006-12-01,5220690000
2006-12-04,5204530000
2006-12-05,5265130000
2006-12-06,5298460000
2006-12-07,5329770000
2006-12-08,5368150000
2006-12-11,5260080000
2006-12-12,5471170000
2006-12-13,5060100000
2006-12-14,4982330000
2006-12-15,5188370000
2006-12-18,5043940000
2006-12-19,4966170000
2006-12-20,4980310000
2006-12-21,4952030000
2006-12-22,4952030000
2006-12-26,4902540000
2006-12-27,4858100000
2006-12-28,4924760000
2006-12-29,4935870000
2007-01-03,5043940000
2007-01-04,5018690000
2007-01-05,4869210000
2007-01-08,4899510000
2007-01-09,4904560000
2007-01-10,4932840000
2007-01-11,4977280000
2007-01-12,4924760000
2007-01-16,4902540000
2007-01-17,4990410000
2007-01-18,4829820000
2007-01-19,4904560000
2007-01-22,5012630000
2007-01-23,5063130000
2007-01-24,5071210000
2007-01-25,5088380000
2007-01-26,5115650000
2007-01-29,5134840000
2007-01-30,5179280000
2007-01-31,5145950000
2007-02-01,5034850000
2007-02-02,5115650000
2007-02-05,5148980000
2007-02-06,5132820000
2007-02-07,5068180000
2007-02-08,5182310000
2007-02-09,5126760000
2007-02-12,4990410000
2007-02-13,4990410000
2007-02-14,5034850000
2007-02-15,5040910000
2007-02-16,5085350000
2007-02-20,5134840000
2007-02-21,5093430000
2007-02-22,5093430000
2007-02-23,5066160000
2007-02-26,5129790000
2007-02-27,5007580000
2007-02-28,5001520000
2007-03-01,4990410000
2007-03-02,4893450000
2007-03-05,4902540000
2007-03-06,4971220000
2007-03-07,4949000000
2007-03-08,4924760000
2007-03-09,4937890000
2007-03-12,4924760000
2007-03-13,4863150000
2007-03-14,4893450000
2007-03-15,4960110000
2007-03-16,5032830000
2007-03-19,5055050000
2007-03-20,4993440000
2007-03-21,4980310000
2007-03-22,4996470000
2007-03-23,4966170000
2007-03-26,4910620000
2007-03-27,4891430000
2007-03-28,4885370000
2007-03-29,4846990000
2007-03-30,4804570000
2007-04-02,4849010000
2007-04-03,4926780000
2007-04-04,4891430000
2007-04-05,4694480000
2007-04-09,4724780000
2007-04-10,4683370000
2007-04-11,4743970000
2007-04-12,4993440000
2007-04-13,5096460000
2007-04-16,5179280000
2007-04-17,5079290000
2007-04-18,5177260000
2007-04-19,5090400000
2007-04-20,5132820000
2007-04-23,5166150000
2007-04-24,5220690000
2007-04-25,5110600000
2007-04-26,5093430000
2007-04-27,5140900000
2007-04-30,5086800000
2007-05-01,5172862500
2007-05-02,5255887500
2007-05-03,5278162500
2007-05-04,5356125000
2007-05-07,5270062500
2007-05-08,5284237500
2007-05-09,5190075000
2007-05-10,5019975000
2007-05-11,5053387500
2007-05-14,5025037500
2007-05-15,5083762500
2007-05-16,5153625000
2007-05-17,5128312500
2007-05-18,5225512500
2007-05-21,5287275000
2007-05-22,5348025000
2007-05-23,5354100000
2007-05-24,5172862500
2007-05-25,5284237500
2007-05-29,5422950000
2007-05-30,5545462500
2007-05-31,5604187500
2007-06-01,5548500000
2007-06-04,5486737500
2007-06-05,5434087500
2007-06-06,5448262500
2007-06-07,4997700000
2007-06-08,5016937500
2007-06-11,5025037500
2007-06-12,4930875000
2007-06-13,5042250000
2007-06-14,5056425000
2007-06-15,5058450000
2007-06-18,5005800000
2007-06-19,5083762500
2007-06-20,5050350000
2007-06-21,5036175000
2007-06-22,4986562500
