,MKC
2000-01-03,3882946080
2000-01-04,3938575680
2000-01-05,3971953440
2000-01-06,3921886800
2000-01-07,3905197920
2000-01-10,3727183200
2000-01-11,3704931360
2000-01-12,3704931360
2000-01-13,3788375760
2000-01-14,3827316480
2000-01-18,3615924000
2000-01-19,3538042560
2000-01-20,3493538880
2000-01-21,3476850000
2000-01-24,3354464880
2000-01-25,3348901920
2000-01-26,3426783360
2000-01-27,3526916640
2000-01-28,3599235120
2000-01-31,3677116560
2000-02-01,3643738800
2000-02-02,3443472240
2000-02-03,3615924000
2000-02-04,3788375760
2000-02-07,3677116560
2000-02-08,3754998000
2000-02-09,3766123920
2000-02-10,3771686880
2000-02-11,3771686880
2000-02-14,3766123920
2000-02-15,3905197920
2000-02-16,3827316480
2000-02-17,3799501680
2000-02-18,3827316480
2000-02-22,3816190560
2000-02-23,3905197920
2000-02-24,3693805440
2000-02-25,3660427680
2000-02-28,3677116560
2000-02-29,1891904916
2000-03-01,1897436801
2000-03-02,1844883887
2000-03-03,1828288230
2000-03-06,1781267201
2000-03-07,1772969373
2000-03-08,1814458516
2000-03-09,1844883887
2000-03-10,1828288230
2000-03-13,1775735316
2000-03-14,1811692573
2000-03-15,2096584687
2000-03-16,2135307887
2000-03-17,2088286859
2000-03-20,2104882516
2000-03-21,2196158630
2000-03-22,2207222402
2000-03-23,2138073830
2000-03-24,2057861487
2000-03-27,2013606402
2000-03-28,2041265830
2000-03-29,2127010059
2000-03-30,2160201373
2000-03-31,2229349945
2000-04-03,2143605716
2000-04-04,2160201373
2000-04-05,2226584002
2000-04-06,2306796345
2000-04-07,2342753602
2000-04-10,2295732573
2000-04-11,2337221716
2000-04-12,2428497831
2000-04-13,2489348574
2000-04-14,2337221716
2000-04-17,2398072459
2000-04-18,2281902859
2000-04-19,2276370973
2000-04-20,2295732573
2000-04-24,2268073145
2000-04-25,2328923888
2000-04-26,2281902859
2000-04-27,2198924573
2000-04-28,2157435430
2000-05-01,2207222402
2000-05-02,2187860802
2000-05-03,2196158630
2000-05-04,2387008688
2000-05-05,2342753602
2000-05-08,2403604345
2000-05-09,2428497831
2000-05-10,2406370288
2000-05-11,2436795659
2000-05-12,2364881145
2000-05-15,2356583316
2000-05-16,2328923888
2000-05-17,2265307202
2000-05-18,2237647773
2000-05-19,2295732573
2000-05-22,2312328230
2000-05-23,2312328230
2000-05-24,2328923888
2000-05-25,2298498516
2000-05-26,2276370973
2000-05-30,2281902859
2000-05-31,2210299563
2000-06-01,2229330433
2000-06-02,2196706085
2000-06-05,2128738693
2000-06-06,2123301302
2000-06-07,2221174346
2000-06-08,2196706085
2000-06-09,2169519128
2000-06-12,2221174346
2000-06-13,2213018259
2000-06-14,2280985650
2000-06-15,2441388693
2000-06-16,2468575650
2000-06-19,2348953041
2000-06-20,2316328693
2000-06-21,2316328693
2000-06-22,2297297824
2000-06-23,2324484780
2000-06-26,2319047389
2000-06-27,2335359563
2000-06-28,2316328693
2000-06-29,2294579128
2000-06-30,2210299563
2000-07-03,2248361302
2000-07-05,2234767824
