,BIG
2000-01-03,1688303119
2000-01-04,1653988015
2000-01-05,1653988015
2000-01-06,1647124995
2000-01-07,1605946870
2000-01-10,1653988015
2000-01-11,1695166140
2000-01-12,1688303119
2000-01-13,1688303119
2000-01-14,1633398953
2000-01-18,1612809890
2000-01-19,1599083849
2000-01-20,1626535932
2000-01-21,1612809890
2000-01-24,1619672911
2000-01-25,1619672911
2000-01-26,1530453641
2000-01-27,1647124995
2000-01-28,1523590620
2000-01-31,1583246250
2000-02-01,1611022500
2000-02-02,1645742812
2000-02-03,1638798750
2000-02-04,1597134375
2000-02-07,1576302187
2000-02-08,1583246250
2000-02-09,1513805625
2000-02-10,1513805625
2000-02-11,1472141250
2000-02-14,1444365000
2000-02-15,1513805625
2000-02-16,1465197187
2000-02-17,1451309062
2000-02-18,1395756562
2000-02-22,1395756562
2000-02-23,1388812500
2000-02-24,1340204062
2000-02-25,1284651562
2000-02-28,1298539687
2000-02-29,1249931250
2000-03-01,1326315937
2000-03-02,1305483750
2000-03-03,1305483750
2000-03-06,1291595625
2000-03-07,1284651562
2000-03-08,1270763437
2000-03-09,1263819375
2000-03-10,1263819375
2000-03-13,1256875312
2000-03-14,1361036250
2000-03-15,1374924375
2000-03-16,1583246250
2000-03-17,1541581875
2000-03-20,1520749687
2000-03-21,1527693750
2000-03-22,1513805625
2000-03-23,1527693750
2000-03-24,1534637812
2000-03-27,1458253125
2000-03-28,1361036250
2000-03-29,1381868437
2000-03-30,1340204062
2000-03-31,1263819375
2000-04-03,1319371875
2000-04-04,1263819375
2000-04-05,1340204062
2000-04-06,1333260000
2000-04-07,1340204062
2000-04-10,1347148125
2000-04-11,1367980312
2000-04-12,1374924375
2000-04-13,1298539687
2000-04-14,1256875312
2000-04-17,1263819375
2000-04-18,1354092187
2000-04-19,1381868437
2000-04-20,1347148125
2000-04-24,1388812500
2000-04-25,1381868437
2000-04-26,1374924375
2000-04-27,1381868437
2000-04-28,1381868437
2000-05-01,1378080000
2000-05-02,1364160000
2000-05-03,1252800000
2000-05-04,1224960000
2000-05-05,1224960000
2000-05-08,1238880000
2000-05-09,1252800000
2000-05-10,1218000000
2000-05-11,1245840000
2000-05-12,1259760000
2000-05-15,1336320000
2000-05-16,1371120000
2000-05-17,1329360000
2000-05-18,1433760000
2000-05-19,1398960000
2000-05-22,1447680000
2000-05-23,1447680000
2000-05-24,1447680000
2000-05-25,1461600000
2000-05-26,1433760000
2000-05-30,1440720000
2000-05-31,1559040000
2000-06-01,1475520000
2000-06-02,1503360000
2000-06-05,1447680000
2000-06-06,1426800000
2000-06-07,1433760000
2000-06-08,1405920000
2000-06-09,1433760000
2000-06-12,1440720000
2000-06-13,1447680000
2000-06-14,1503360000
2000-06-15,1496400000
2000-06-16,1527720000
2000-06-19,1517280000
2000-06-20,1489440000
2000-06-21,1524240000
2000-06-22,1517280000
2000-06-23,1531200000
2000-06-26,1461600000
2000-06-27,1552080000
2000-06-28,1484220000
2000-06-29,1461600000
2000-06-30,1336320000
2000-07-03,1426800000
2000-07-05,1412880000
2000-07-06,1419840000
2000-07-07,1468560000
2000-07-10,1482480000
2000-07-11,1496400000
2000-07-12,1482480000
2000-07-13,1433760000
2000-07-14,1468560000
2000-07-17,1419840000
2000-07-18,1412880000
2000-07-19,1419840000
2000-07-20,1433760000
2000-07-21,1392000000
2000-07-24,1336320000
2000-07-25,1336320000
2000-07-26,1350240000
2000-07-27,1378080000
2000-07-28,1357200000
2000-07-31,1330470187
2000-08-01,1337436000
2000-08-02,1365299250
2000-08-03,1358333437
2000-08-04,1358333437
2000-08-07,1427991562
2000-08-08,1462820625
2000-08-09,1421025750
2000-08-10,1386196687
2000-08-11,1455854812
2000-08-14,1490683875
2000-08-15,1462820625
2000-08-16,1476752250
2000-08-17,1462820625
2000-08-18,1560342000
2000-08-21,1574273625
2000-08-22,1630000125
2000-08-23,1602136875
2000-08-24,1553376187
2000-08-25,1609102687
2000-08-28,1532478750
2000-08-29,1553376187
2000-08-30,1581239437
2000-08-31,1518547125
2000-09-01,1581239437
2000-09-05,1602136875
2000-09-06,1609102687
2000-09-07,1664829187
2000-09-08,1699658250
2000-09-11,1692692437
2000-09-12,1706624062
2000-09-13,1741453125
2000-09-14,1699658250
2000-09-15,1685726625
2000-09-18,1616068500
2000-09-19,1567307812
2000-09-20,1539444562
2000-09-21,1539444562
2000-09-22,1532478750
2000-09-25,1469786437
2000-09-26,1462820625
2000-09-27,1525512937
2000-09-28,1511581312
2000-09-29,1504615500
2000-10-02,1462820625
2000-10-03,1448889000
2000-10-04,1448889000
2000-10-05,1421025750
2000-10-06,1421025750
2000-10-09,1407094125
2000-10-10,1427991562
2000-10-11,1448889000
2000-10-12,1414059937
2000-10-13,1393162500
2000-10-16,1372265062
2000-10-17,1323504375
2000-10-18,1337436000
2000-10-19,1344401812
2000-10-20,1323504375
2000-10-23,1302606937
2000-10-24,1302606937
2000-10-25,1288675312
2000-10-26,1295641125
2000-10-27,1302606937
2000-10-30,1283361625
2000-10-31,1339773125
2000-11-01,1297464500
2000-11-02,1311567375
2000-11-03,1311567375
2000-11-06,1290413062
2000-11-07,1304515937
2000-11-08,1311567375
2000-11-09,1219898687
2000-11-10,1177590062
2000-11-13,1212847250
2000-11-14,1198744375
2000-11-15,1121178562
2000-11-16,1121178562
2000-11-17,1071818500
2000-11-20,1043612750
2000-11-21,1043612750
2000-11-22,1008355562
2000-11-24,973098375
2000-11-27,1015407000
2000-11-28,994252687
2000-11-29,1008355562
2000-11-30,966046937
2000-12-01,1008355562
2000-12-04,1001304125
2000-12-05,1015407000
2000-12-06,973098375
2000-12-07,994252687
2000-12-08,930789750
2000-12-11,987201250
2000-12-12,987201250
2000-12-13,1001304125
2000-12-14,1008355562
2000-12-15,1001304125
2000-12-18,987201250
2000-12-19,1015407000
2000-12-20,1008355562
2000-12-21,1071818500
2000-12-22,1142332875
2000-12-26,1092972812
2000-12-27,1107075687
2000-12-28,1205795812
2000-12-29,1198744375
2001-01-02,1198744375
2001-01-03,1262207312
2001-01-04,1332721687
2001-01-05,1339773125
2001-01-08,1360927437
2001-01-09,1353876000
2001-01-10,1318618812
2001-01-11,1290413062
2001-01-12,1276310187
2001-01-16,1318618812
2001-01-17,1311567375
2001-01-18,1241053000
2001-01-19,1262207312
2001-01-22,1234001562
2001-01-23,1241053000
2001-01-24,1269258750
2001-01-25,1290413062
2001-01-26,1290413062
2001-01-29,1336952550
2001-01-30,1377568830
2001-01-31,1466699000
2001-02-01,1411415730
2001-02-02,1370799450
2001-02-05,1355004230
2001-02-06,1477981300
2001-02-07,1580650230
2001-02-08,1515212890
2001-02-09,1501674130
2001-02-12,1483622450
2001-02-13,1599830140
2001-02-14,1608855980
2001-02-15,1692345000
2001-02-16,1580650230
2001-02-20,1589676070
2001-02-21,1519725810
2001-02-22,1511828200
2001-02-23,1490391830
2001-02-26,1517469350
2001-02-27,1640446420
2001-02-28,1749884730
2001-03-01,1353876000
2001-03-02,1341465470
2001-03-05,1324542020
2001-03-06,1376440600
2001-03-07,1423826260
2001-03-08,1410287500
2001-03-09,1410287500
2001-03-12,1353876000
2001-03-13,1292951580
2001-03-14,1254591760
2001-03-15,1269258750
2001-03-16,1248950610
2001-03-19,1261361140
2001-03-20,1279412820
