,EMR
2000-01-03,24589632000
2000-01-04,24299136000
2000-01-05,24751968000
2000-01-06,25444032000
2000-01-07,26597472000
2000-01-10,25204800000
2000-01-11,25153536000
2000-01-12,25495296000
2000-01-13,26272800000
2000-01-14,26033568000
2000-01-18,25708896000
2000-01-19,26349696000
2000-01-20,25819968000
2000-01-21,25657632000
2000-01-24,24828864000
2000-01-25,24427296000
2000-01-26,24136800000
2000-01-27,23786496000
2000-01-28,23923200000
2000-01-31,23521632000
2000-02-01,23333664000
2000-02-02,22855200000
2000-02-03,23120064000
2000-02-04,22111872000
2000-02-07,21334368000
2000-02-08,21308736000
2000-02-09,20505600000
2000-02-10,19941696000
2000-02-11,19813536000
2000-02-14,19813536000
2000-02-15,20454336000
2000-02-16,20881536000
2000-02-17,21095136000
2000-02-18,21360000000
2000-02-22,21197664000
2000-02-23,20744832000
2000-02-24,20693568000
2000-02-25,20343264000
2000-02-28,19864800000
2000-02-29,19463232000
2000-03-01,19061664000
2000-03-02,18822432000
2000-03-03,18634464000
2000-03-06,17993664000
2000-03-07,17728800000
2000-03-08,17942400000
2000-03-09,17728800000
2000-03-10,17566464000
2000-03-13,18156000000
2000-03-14,18079104000
2000-03-15,18506304000
2000-03-16,19548672000
2000-03-17,19224000000
2000-03-20,20052768000
2000-03-21,19702464000
2000-03-22,19386336000
2000-03-23,20001504000
2000-03-24,20189472000
2000-03-27,20052768000
2000-03-28,20155296000
2000-03-29,20796096000
2000-03-30,22752672000
2000-03-31,22557890913
2000-04-03,22506931823
2000-04-04,23517620459
2000-04-05,23194879550
2000-04-06,23356250005
2000-04-07,23279811368
2000-04-10,23305290914
2000-04-11,24205568187
2000-04-12,23993238641
2000-04-13,24205568187
2000-04-14,23067481823
2000-04-17,23381729550
2000-04-18,22982550004
2000-04-19,22218163641
2000-04-20,22320081822
2000-04-24,22880631823
2000-04-25,23857347732
2000-04-26,23118440914
2000-04-27,23194879550
2000-04-28,23305290914
2000-05-01,23678990914
2000-05-02,23543100005
2000-05-03,22795700004
2000-05-04,23042002277
2000-05-05,23118440914
2000-05-08,23432688641
2000-05-09,23678990914
2000-05-10,23330770459
2000-05-11,23704470459
2000-05-12,23806388641
2000-05-15,24180088641
2000-05-16,24681186368
2000-05-17,24154609096
2000-05-18,24231047732
2000-05-19,24256527277
2000-05-22,24256527277
2000-05-23,24630227278
2000-05-24,25105845459
2000-05-25,25428586369
2000-05-26,25105845459
2000-05-30,25165297732
2000-05-31,25054886369
2000-06-01,25904204551
2000-06-02,26541193187
2000-06-05,25479545460
2000-06-06,25530504550
2000-06-07,25454065914
2000-06-08,25003927278
2000-06-09,24978447732
2000-06-12,25054886369
2000-06-13,25505025005
2000-06-14,24766118187
2000-06-15,24366938641
2000-06-16,24417897732
2000-06-19,24681186368
2000-06-20,25292695459
2000-06-21,25131325005
2000-06-22,25479545460
2000-06-23,25904204551
2000-06-26,27314072733
2000-06-27,27339552278
2000-06-28,27016811369
2000-06-29,26753522733
2000-06-30,25791144735
2000-07-03,26004718309
2000-07-05,26269549540
2000-07-06,26320807198
2000-07-07,26431865456
2000-07-10,26987156747
2000-07-11,27286159750
2000-07-12,27602248639
2000-07-13,27175101492
2000-07-14,26961527918
2000-07-17,26346436026
2000-07-18,26218291882
2000-07-19,26320807198
2000-07-20,27662049239
2000-07-21,27815822212
2000-07-24,27764564555
2000-07-25,28003766957
2000-07-26,27098215005
2000-07-27,27662049239
2000-07-28,26192663054
2000-07-31,26081604795
2000-08-01,26594181372
2000-08-02,26987156747
2000-08-03,26457494285
2000-08-04,26645439029
2000-08-07,27790193383
2000-08-08,28781174764
2000-08-09,28806803593
2000-08-10,28729917107
2000-08-11,29498781971
2000-08-14,29977186776
2000-08-15,29020377167
2000-08-16,28832432422
2000-08-17,29122892482
2000-08-18,28969119509
2000-08-21,29370637827
2000-08-22,28994748338
2000-08-23,28969119509
2000-08-24,29157064254
2000-08-25,29498781971
2000-08-28,29797784974
2000-08-29,28832432422
2000-08-30,28328398789
2000-08-31,28268598188
2000-09-01,28328398789
2000-09-05,28943490680
2000-09-06,29737984374
2000-09-07,29046005996
2000-09-08,28994748338
2000-09-11,28883690080
2000-09-12,28302769960
2000-09-13,28166082873
2000-09-14,28140454044
2000-09-15,27764564555
2000-09-18,26457494285
2000-09-19,25739887078
2000-09-20,25415255246
2000-09-21,25039365757
2000-09-22,26055975967
2000-09-25,26807754945
2000-09-26,28029395786
2000-09-27,28089196386
2000-09-28,28354027617
2000-09-29,28618858849
2000-10-02,28583490477
2000-10-03,28830266668
2000-10-04,28345223811
2000-10-05,28294166668
2000-10-06,27766576192
2000-10-09,27392157144
2000-10-10,27417685715
2000-10-11,26490147620
2000-10-12,26592261906
2000-10-13,27579366668
2000-10-16,28345223811
2000-10-17,28132485715
2000-10-18,27494271430
2000-10-19,28294166668
2000-10-20,28430319049
2000-10-23,28532433334
2000-10-24,28830266668
2000-10-25,28770700001
2000-10-26,29221704763
2000-10-27,29119590477
2000-10-30,29808861906
2000-10-31,31246971430
2000-11-01,30285395239
2000-11-02,30685342858
2000-11-03,29996071430
2000-11-06,30898080954
2000-11-07,30072657144
2000-11-08,31485238097
2000-11-09,31808600001
2000-11-10,31646919049
2000-11-13,30957647620
2000-11-14,30957647620
2000-11-15,31459709525
2000-11-16,31595861906
2000-11-17,30608757144
2000-11-20,30532171430
2000-11-21,30557700001
2000-11-22,29919485715
2000-11-24,30744909525
2000-11-27,31749033335
2000-11-28,30847023811
2000-11-29,31510766668
2000-11-30,31008704763
2000-12-01,31672447620
2000-12-04,31859657144
2000-12-05,32838252382
2000-12-06,32710609525
2000-12-07,32412776192
2000-12-08,33536033335
2000-12-11,32548928573
2000-12-12,33136085716
2000-12-13,31910714287
2000-12-14,30634285716
2000-12-15,30319433335
2000-12-18,31485238097
2000-12-19,30957647620
2000-12-20,30608757144
2000-12-21,30710871430
2000-12-22,31034233335
2000-12-26,31595861906
2000-12-27,32872290478
2000-12-28,33536033335
2000-12-29,33536033335
2001-01-02,32590457141
2001-01-03,32428188093
2001-01-04,30822578569
2001-01-05,31147116664
2001-01-08,32214676188
2001-01-09,32453809522
2001-01-10,32376945236
2001-01-11,33094345236
2001-01-12,32744185712
2001-01-16,33119966664
2001-01-17,31975542855
2001-01-18,31121495236
2001-01-19,31070252379
2001-01-22,30907983331
2001-01-23,31497276188
2001-01-24,31890138093
2001-01-25,31813273807
2001-01-26,31010469045
2001-01-29,30489499998
2001-01-30,31471654760
2001-01-31,32453809522
2001-02-01,31428952379
2001-02-02,31001928569
2001-02-05,32325702379
2001-02-06,32026785712
2001-02-07,32265919045
2001-02-08,32248838093
2001-02-09,30634688093
2001-02-12,30429716664
2001-02-13,29934369045
2001-02-14,30190583331
2001-02-15,31121495236
2001-02-16,29661073807
2001-02-20,28721621426
2001-02-21,28610595236
2001-02-22,28337299998
2001-02-23,27782169046
2001-02-26,28789945236
2001-02-27,28943673807
2001-02-28,28567892855
2001-03-01,28140869046
2001-03-02,28320219046
2001-03-05,28866809522
2001-03-06,29413399998
2001-03-07,28695999998
2001-03-08,28994916665
2001-03-09,29797721426
2001-03-12,29968530950
2001-03-13,29515885712
2001-03-14,28320219046
2001-03-15,28602054760
2001-03-16,26381530950
2001-03-19,27543035712
2001-03-20,27184335712
2001-03-21,25544564284
2001-03-22,25612888093
2001-03-23,25621428570
2001-03-26,27227038093
2001-03-27,27141633331
2001-03-28,26048452379
2001-03-29,25826399998
2001-03-30,26475476189
2001-04-02,26431999994
2001-04-03,25745454540
2001-04-04,25788363630
2001-04-05,27015563630
2001-04-06,26286109085
2001-04-09,26689454539
2001-04-10,27315927266
2001-04-11,27127127266
2001-04-12,27890909085
2001-04-16,27762181812
2001-04-17,27487563630
2001-04-18,28706181812
2001-04-19,28285672721
2001-04-20,28036799994
2001-04-23,27762181812
2001-04-24,27127127266
2001-04-25,27830836357
2001-04-26,28105454539
2001-04-27,28809163630
2001-04-30,28594618175
2001-05-01,28328581812
2001-05-02,27933818175
2001-05-03,27667781812
2001-05-04,28234181812
2001-05-07,28302836357
2001-05-08,28191272721
2001-05-09,27830836357
2001-05-10,28174109084
2001-05-11,27736436357
2001-05-14,27805090903
2001-05-15,28105454539
2001-05-16,28963636357
2001-05-17,29633018175
2001-05-18,29684509084
2001-05-21,30722909084
2001-05-22,30508363629
2001-05-23,29881890902
2001-05-24,30302399993
2001-05-25,29753163630
2001-05-29,29607272721
2001-05-30,28766254539
2001-05-31,29058036357
2001-06-01,29040872721
2001-06-04,29006545448
2001-06-05,29478545448
2001-06-06,29315490902
2001-06-07,29238254539
2001-06-08,28783418175
2001-06-11,28440145448
2001-06-12,28766254539
2001-06-13,28517381812
2001-06-14,27916654539
2001-06-15,27813672721
2001-06-18,27350254539
2001-06-19,27178618176
2001-06-20,26758109085
2001-06-21,27401745448
2001-06-22,27238690903
2001-06-25,26740945448
2001-06-26,26998399994
2001-06-27,26603636358
2001-06-28,26449163630
2001-06-29,25959999994
2001-07-02,26121948971
2001-07-03,26215362963
2001-07-05,26775846913
2001-07-06,25867183539
2001-07-09,25595433744
2001-07-10,26079488065
2001-07-11,22470311111
2001-07-12,23319529218
2001-07-13,23930966255
2001-07-16,24024380247
2001-07-17,23667708642
2001-07-18,23718661728
2001-07-19,23404451028
2001-07-20,23353497942
2001-07-23,23744138271
2001-07-24,23098732510
2001-07-25,23455404115
2001-07-26,23361990123
2001-07-27,23684693004
2001-07-30,24151762963
