,ANSS
2001-01-04,179900125
2001-01-05,179900125
2001-01-08,151936375
2001-01-09,151004250
2001-01-10,151936375
2001-01-11,158461250
2001-01-12,155664875
2001-01-16,168714625
2001-01-17,178035875
2001-01-18,175239500
2001-01-19,164054000
2001-01-22,161024608
2001-01-23,156597000
2001-01-24,158461250
2001-01-25,160325500
2001-01-26,160325500
2001-01-29,160325500
2001-01-30,158461250
2001-01-31,158461250
2001-02-01,158461250
2001-02-02,170578875
2001-02-05,170578875
2001-02-06,188289250
2001-02-07,203203250
2001-02-08,199474750
2001-02-09,194814125
2001-02-12,187357125
2001-02-13,188289250
2001-02-14,189221375
2001-02-15,188289250
2001-02-16,178968000
2001-02-20,183628625
2001-02-21,171511000
2001-02-22,169646750
2001-02-23,159393375
2001-02-26,152868500
2001-02-27,161257625
2001-02-28,164054000
2001-03-01,167782500
2001-03-02,177103750
2001-03-05,180832250
2001-03-06,178968000
2001-03-07,184560750
2001-03-08,178968000
2001-03-09,175239500
2001-03-12,193882000
2001-03-13,199474750
2001-03-14,195746250
2001-03-15,194814125
2001-03-16,197610500
2001-03-19,208796000
2001-03-20,188289250
2001-03-21,184560750
2001-03-22,185492875
2001-03-23,179900125
2001-03-26,188289250
2001-03-27,190153500
2001-03-28,186425000
2001-03-29,187357125
2001-03-30,188289250
2001-04-02,181067750
2001-04-03,175689500
2001-04-04,169414875
2001-04-05,172104000
2001-04-06,172104000
2001-04-09,169092180
2001-04-10,167801400
2001-04-11,180996040
2001-04-12,183577600
2001-04-16,172104000
2001-04-17,173251360
2001-04-18,182860500
2001-04-19,190892020
2001-04-20,194334100
2001-04-23,186446000
2001-04-24,187019680
2001-04-25,199210380
2001-04-26,193617000
2001-04-27,193330160
2001-04-30,189888080
2001-05-01,195051200
2001-05-02,193617000
2001-05-03,200788000
2001-05-04,212978700
2001-05-07,211687920
2001-05-08,211544500
2001-05-09,217424720
2001-05-10,215130000
2001-05-11,216564200
2001-05-14,214843160
2001-05-15,198636700
2001-05-16,196485400
2001-05-17,192899900
2001-05-18,202222200
2001-05-21,232770660
2001-05-22,219862860
2001-05-23,220866800
2001-05-24,237073260
2001-05-25,233774600
2001-05-29,216851040
2001-05-30,211974760
2001-05-31,229902260
2001-06-01,229615420
2001-06-04,220293120
2001-06-05,213695800
2001-06-06,213552380
2001-06-07,207959000
2001-06-08,215130000
2001-06-11,222301000
2001-06-12,229472000
2001-06-13,233057500
2001-06-14,226890440
2001-06-15,220149700
2001-06-18,215130000
2001-06-19,228611480
2001-06-20,221583900
2001-06-21,221297060
2001-06-22,226603600
2001-06-25,220866800
2001-06-26,223591780
2001-06-27,226460180
2001-06-28,231623299
2001-06-29,268482240
2001-07-02,233819880
2001-07-03,232512000
2001-07-05,242103120
2001-07-06,234255840
2001-07-09,244573559
2001-07-10,231058800
2001-07-11,229750920
2001-07-12,233383919
2001-07-13,247044000
2001-07-16,235418400
2001-07-17,236726280
2001-07-18,239778000
2001-07-19,246172080
2001-07-20,243992280
2001-07-23,255036600
2001-07-24,249950400
2001-07-25,253728720
2001-07-26,268842000
2001-07-27,276834600
2001-07-30,270295200
2001-07-31,275236080
2001-08-01,278287800
2001-08-02,277851840
2001-08-03,275962680
2001-08-06,276834600
2001-08-07,274509480
2001-08-08,264627720
2001-08-09,257943000
2001-08-10,273492240
2001-08-13,272475000
2001-08-14,278287800
2001-08-15,270295200
2001-08-16,273928200
2001-08-17,271603080
2001-08-20,271748400
2001-08-21,269859240
2001-08-22,270731160
2001-08-23,270295200
2001-08-24,272329680
2001-08-27,275817360
2001-08-28,273201600
2001-08-29,276108000
2001-08-30,271893720
2001-08-31,273201600
2001-09-04,273782880
2001-09-05,274509480
2001-09-06,275090760
2001-09-07,274945440
2001-09-10,274654800
2001-09-17,258960240
2001-09-18,260413440
2001-09-19,245590799
2001-09-20,225246000
2001-09-21,212893800
2001-09-24,230913480
2001-09-25,231640080
2001-09-26,223792800
2001-09-27,221031720
2001-09-28,259396200
2001-10-01,245078400
2001-10-02,246537199
2001-10-03,259958160
2001-10-04,277901400
2001-10-05,277755520
2001-10-08,290301200
2001-10-09,274983800
2001-10-10,274254400
2001-10-11,270607400
2001-10-12,272795600
2001-10-15,274108520
2001-10-16,276880240
2001-10-17,268419199
2001-10-18,269878000
2001-10-19,259374640
2001-10-22,261854600
2001-10-23,273962640
2001-10-24,275713200
2001-10-25,275713200
2001-10-26,306348000
2001-10-29,310724400
2001-10-30,314371400
2001-10-31,306202120
2001-11-01,317143120
2001-11-02,313642000
2001-11-05,299054000
2001-11-06,310140880
2001-11-07,324291240
2001-11-08,301971600
2001-11-09,323999480
2001-11-12,324583000
2001-11-13,346319120
2001-11-14,353759000
2001-11-15,331877000
2001-11-16,315684320
2001-11-19,326041800
2001-11-20,312183200
2001-11-21,309995000
2001-11-23,313642000
2001-11-26,331001720
2001-11-27,332606400
2001-11-28,336982800
2001-11-29,381476200
2001-11-30,364700000
2001-12-03,365429400
2001-12-04,373744560
2001-12-05,372577520
2001-12-06,356676600
2001-12-07,374911600
2001-12-10,387457280
2001-12-11,398981800
2001-12-12,393876000
2001-12-13,402628800
2001-12-14,383664400
2001-12-17,387457280
2001-12-18,380017400
2001-12-19,397523000
2001-12-20,383372640
2001-12-21,392854840
2001-12-24,395772440
2001-12-26,404525240
2001-12-27,400294720
2001-12-28,387019640
2001-12-31,359594200
2002-01-02,351279040
2002-01-03,365575280
2002-01-04,366596440
2002-01-07,364700000
2002-01-08,382059720
2002-01-09,386582000
2002-01-10,397960640
2002-01-11,368055240
2002-01-14,383810280
2002-01-15,382789120
2002-01-16,372577520
2002-01-17,370535200
2002-01-18,367763480
2002-01-22,367763480
2002-01-23,357260120
2002-01-24,363824720
2002-01-25,357114240
2002-01-28,339025120
2002-01-29,319477200
2002-01-30,335378120
2002-01-31,327354720
2002-02-01,356093080
2002-02-04,323707720
2002-02-05,337712200
2002-02-06,328230000
2002-02-07,333044040
2002-02-08,358718920
2002-02-11,357406000
2002-02-12,358135400
2002-02-13,366596440
2002-02-14,351716680
2002-02-15,352591960
2002-02-19,351279040
2002-02-20,338003960
2002-02-21,359594200
2002-02-22,349528480
2002-02-25,333481680
2002-02-26,323707720
2002-02-27,337712200
2002-02-28,328959400
2002-03-01,345006200
2002-03-04,357551880
2002-03-05,349966120
2002-03-06,351570800
2002-03-07,357406000
2002-03-08,358864800
2002-03-11,351570800
2002-03-12,347048520
2002-03-13,348799080
2002-03-14,356530720
2002-03-15,368347000
2002-03-18,365575280
2002-03-19,364845880
2002-03-20,377537440
2002-03-21,379433880
2002-03-22,369805800
2002-03-25,363824720
2002-03-26,372869280
2002-03-27,371118720
2002-03-28,395334800
2002-04-01,394623000
2002-04-02,375992100
2002-04-03,360441900
2002-04-04,369243900
2002-04-05,368070300
2002-04-08,371884500
2002-04-09,378632700
2002-04-10,366603300
2002-04-11,356774400
2002-04-12,378045900
2002-04-15,389048400
2002-04-16,388755000
2002-04-17,383620500
2002-04-18,383767200
2002-04-19,395503200
2002-04-22,371151000
2002-04-23,366163200
2002-04-24,380979900
2002-04-25,381566700
2002-04-26,376285500
2002-04-29,375845400
2002-04-30,374085000
2002-05-01,367630200
2002-05-02,371151000
2002-05-03,364842900
2002-05-06,367483500
2002-05-07,360148500
2002-05-08,376872300
2002-05-09,374085000
2002-05-10,369537300
2002-05-13,377899200
2002-05-14,396090000
2002-05-15,395943300
2002-05-16,392422500
2002-05-17,402691500
2002-05-20,427190400
2002-05-21,417801600
2002-05-22,406359000
2002-05-23,406652400
2002-05-24,391102200
2002-05-28,389048400
2002-05-29,387288000
2002-05-30,388755000
2002-05-31,393156000
2002-06-03,389341800
2002-06-04,370124100
2002-06-05,387434700
2002-06-06,366750000
2002-06-07,367776900
2002-06-10,366016500
2002-06-11,355014000
2002-06-12,344011500
2002-06-13,345625200
2002-06-14,338583600
2002-06-17,346212000
2002-06-18,326554200
2002-06-19,330661800
2002-06-20,330368400
2002-06-21,309830400
2002-06-24,282544200
2002-06-25,278730000
2002-06-26,269341200
2002-06-27,293106600
2002-06-28,294867000
2002-07-01,262258219
2002-07-02,258030600
2002-07-03,268235199
2002-07-05,272754380
2002-07-08,267797860
2002-07-09,260946199
2002-07-10,256427020
2002-07-11,257301699
2002-07-12,246368199
2002-07-15,247826000
2002-07-16,255406560
2002-07-17,250450040
2002-07-18,246368199
2002-07-19,246805540
2002-07-22,246513980
2002-07-23,269693000
2002-07-24,279022920
2002-07-25,291122660
2002-07-26,303659740
2002-07-29,304825980
2002-07-30,305992220
2002-07-31,303659740
2002-08-01,308762040
2002-08-02,296953860
2002-08-05,285437240
2002-08-06,301181480
2002-08-07,315905260
2002-08-08,331066380
2002-08-09,316051040
2002-08-12,328150780
2002-08-13,319258200
2002-08-14,306138000
2002-08-15,307595800
2002-08-16,311677640
2002-08-19,329025460
2002-08-20,336460240
2002-08-21,341270980
2002-08-22,346081720
2002-08-23,340833640
2002-08-26,349726220
2002-08-27,320132880
2002-08-28,297245420
2002-08-29,318383520
2002-08-30,301764600
2002-09-03,282667420
2002-09-04,306138000
2002-09-05,298411660
2002-09-06,315176360
2002-09-09,328588120
2002-09-10,334856660
2002-09-11,324214720
2002-09-12,322173800
2002-09-13,331649500
2002-09-16,309636720
2002-09-17,282521640
2002-09-18,265173820
2002-09-19,248409120
2002-09-20,257155920
2002-09-23,255843900
2002-09-24,256572800
2002-09-25,262549780
2002-09-26,274941080
2002-09-27,252199400
2002-09-30,252023210
2002-10-01,233154380
2002-10-02,223061750
2002-10-03,216040790
2002-10-04,204924270
2002-10-07,219551270
2002-10-08,237103670
2002-10-09,210775070
2002-10-10,226425960
2002-10-11,233300650
2002-10-14,242076850
2002-10-15,252023210
2002-10-16,240321610
2002-10-17,259190439
2002-10-18,266065130
2002-10-21,284202610
2002-10-22,289175790
2002-10-23,286396660
2002-10-24,273378630
2002-10-25,284202610
2002-10-28,287420550
2002-10-29,269721880
2002-10-30,279960780
2002-10-31,286689200
2002-11-01,291516110
2002-11-04,310092400
2002-11-05,304241600
2002-11-06,310823750
2002-11-07,301608740
2002-11-08,294734050
2002-11-11,273817440
2002-11-12,291369840
2002-11-13,283324990
2002-11-14,293417620
2002-11-15,292540000
2002-11-18,283910070
2002-11-19,283617530
2002-11-20,292393730
2002-11-21,307020730
2002-11-22,307167000
2002-11-25,314480500
2002-11-26,310092400
2002-11-27,313456610
2002-11-29,301316200
2002-12-02,293856430
2002-12-03,297366910
2002-12-04,286104120
2002-12-05,285372770
2002-12-06,283617530
2002-12-09,285226500
2002-12-10,295904210
2002-12-11,294734050
2002-12-12,299414690
2002-12-13,287420550
2002-12-16,281423480
2002-12-17,276450300
2002-12-18,275865220
2002-12-19,278936890
2002-12-20,292101190
2002-12-23,304972950
2002-12-24,296196750
2002-12-26,300731120
2002-12-27,302778900
2002-12-30,298098260
2002-12-31,295465400
2003-01-02,296196750
2003-01-03,292540000
2003-01-06,295026590
2003-01-07,313017800
2003-01-08,316820820
2003-01-09,328229880
2003-01-10,327644800
2003-01-13,324426860
2003-01-14,323110430
2003-01-15,319599950
2003-01-16,320916380
2003-01-17,307167000
2003-01-21,298829610
2003-01-22,292393730
2003-01-23,297513180
2003-01-24,286104120
2003-01-27,283763800
2003-01-28,282008560
2003-01-29,282739910
2003-01-30,270745770
2003-01-31,273378630
2003-02-03,273524900
2003-02-04,295904210
2003-02-05,307020730
2003-02-06,319599950
2003-02-07,324719400
2003-02-10,330570200
2003-02-11,332617980
2003-02-12,333056790
2003-02-13,331886630
2003-02-14,333495600
2003-02-18,334958300
2003-02-19,337883700
2003-02-20,335689650
2003-02-21,337737430
2003-02-24,335104570
2003-02-25,341540450
2003-02-26,343003150
2003-02-27,345928550
2003-02-28,347537520
2003-03-03,344465850
2003-03-04,339346400
2003-03-05,339785210
2003-03-06,343003150
2003-03-07,340955370
2003-03-10,337737430
2003-03-11,337444890
2003-03-12,335250840
2003-03-13,340224020
2003-03-14,340809100
2003-03-17,341832990
2003-03-18,354704750
2003-03-19,353827130
2003-03-20,350901730
2003-03-21,352656970
2003-03-24,352218160
2003-03-25,356898800
2003-03-26,353680860
2003-03-27,352949510
2003-03-28,356752530
2003-03-31,355873050
2003-04-01,357061770
2003-04-02,369691920
2003-04-03,367165890
2003-04-04,362559600
2003-04-07,368206020
2003-04-08,368948970
2003-04-09,371772180
2003-04-10,373406670
2003-04-11,370434870
2003-04-14,377418600
2003-04-15,384996690
2003-04-16,385739640
2003-04-17,383213610
2003-04-21,381876300
2003-04-22,386334000
2003-04-23,392129010
2003-04-24,401193000
2003-04-25,386185410
2003-04-28,388265670
2003-04-29,386482590
2003-04-30,393169140
2003-05-01,399707100
2003-05-02,416497770
2003-05-05,430465230
2003-05-06,430613820
2003-05-07,424967400
2003-05-08,422738550
2003-05-09,423927270
2003-05-12,435963060
2003-05-13,425264580
2003-05-14,420806880
2003-05-15,422144190
2003-05-16,415309050
2003-05-19,394506450
2003-05-20,389751570
2003-05-21,387225540
2003-05-22,390048750
2003-05-23,391831830
2003-05-27,405502110
2003-05-28,411297120
2003-05-29,419618160
2003-05-30,424818810
2003-06-02,421847010
2003-06-03,421847010
2003-06-04,418280850
2003-06-05,415903410
2003-06-06,413971740
2003-06-09,409662630
2003-06-10,408622500
2003-06-11,419023800
2003-06-12,413377380
2003-06-13,414120330
2003-06-16,430911000
2003-06-17,429276510
2003-06-18,434031390
2003-06-19,444284100
2003-06-20,459886050
2003-06-23,462560670
2003-06-24,454685400
2003-06-25,464938110
2003-06-26,460034640
2003-06-27,460926180
2003-06-30,473875220
2003-07-01,477802780
2003-07-02,489283340
2003-07-03,487923799
2003-07-07,511035980
2003-07-08,520250639
2003-07-09,522214420
2003-07-10,501670260
2003-07-11,504540400
2003-07-14,507561600
2003-07-15,515416719
2003-07-16,513301879
2003-07-17,486413200
2003-07-18,488225920
2003-07-21,487168500
2003-07-22,487772740
2003-07-23,506655240
2003-07-24,506806299
2003-07-25,494268320
2003-07-28,506051000
2003-07-29,493664080
2003-07-30,491398180
2003-07-31,509676440
2003-08-01,509374320
2003-08-04,508316900
2003-08-05,506051000
2003-08-06,507561600
2003-08-07,499706480
2003-08-08,499253299
2003-08-11,503482980
2003-08-12,511338100
2003-08-13,515869900
2003-08-14,510431740
2003-08-15,516625200
2003-08-18,522969719
2003-08-19,540794800
2003-08-20,556505040
2003-08-21,567683480
2003-08-22,560432600
2003-08-25,560583660
2003-08-26,533997100
2003-08-27,527803639
2003-08-28,537018300
2003-08-29,533997100
2003-09-02,539133140
2003-09-03,573876940
2003-09-04,582487360
2003-09-05,565417580
2003-09-08,580976760
2003-09-09,579315100
2003-09-10,574028000
2003-09-11,584602200
2003-09-12,579315100
2003-09-15,567985600
2003-09-16,574028000
2003-09-17,574028000
2003-09-18,581127820
2003-09-19,575689660
2003-09-22,575991780
2003-09-23,604240000
2003-09-24,580825700
2003-09-25,556807160
2003-09-26,537924660
2003-09-29,544269180
2003-09-30,544295100
2003-10-01,553943550
2003-10-02,543376200
2003-10-03,530052150
2003-10-06,585645600
2003-10-07,574465650
2003-10-08,585951900
2003-10-09,585186150
2003-10-10,581510550
2003-10-13,586870800
2003-10-14,607699200
2003-10-15,603411000
2003-10-16,616888200
2003-10-17,614897250
2003-10-20,611527950
2003-10-21,597285000
2003-10-22,588096000
2003-10-23,555168750
2003-10-24,546745500
2003-10-27,553624998
2003-10-28,553637250
2003-10-29,553637250
2003-10-30,547664400
2003-10-31,545826600
2003-11-03,577681800
2003-11-04,559916400
2003-11-05,606167700
2003-11-06,612281448
2003-11-07,613518900
2003-11-10,620870100
2003-11-11,598357050
2003-11-12,601113750
2003-11-13,601113750
2003-11-14,594068850
2003-11-17,574771950
2003-11-18,584267250
2003-11-19,584573550
2003-11-20,578907000
2003-11-21,597131850
2003-11-24,606780300
2003-11-25,604942500
2003-11-26,601879500
2003-11-28,590699550
2003-12-01,632356350
2003-12-02,627915000
2003-12-03,595447200
2003-12-04,605708250
2003-12-05,590699550
2003-12-08,592384200
2003-12-09,597285000
2003-12-10,583042050
2003-12-11,604176750
2003-12-12,613518900
2003-12-15,606474000
2003-12-16,599888550
2003-12-17,596059800
2003-12-18,615663000
2003-12-19,625617750
2003-12-22,616428750
2003-12-23,622707900
2003-12-24,621482700
2003-12-26,616122450
