,NXPI
2011-08-25,3990470260
2011-08-26,4102213360
2011-08-29,4261136880
2011-08-30,4156843319
2011-08-31,4045100220
2011-09-01,4104696540
2011-09-02,4074898380
2011-09-06,3948256200
2011-09-07,4340598640
2011-09-08,4263620060
2011-09-09,4104696540
2011-09-12,4273552780
2011-09-13,4497038980
2011-09-14,4742873800
2011-09-15,5038372220
2011-09-16,4931595480
2011-09-19,4643546600
2011-09-20,4452341740
2011-09-21,4251204160
2011-09-22,4186641480
2011-09-23,4176708760
2011-09-26,4122078800
2011-09-27,4293418220
2011-09-28,4082347920
2011-09-29,3722286820
2011-09-30,3506250160
2011-10-03,3374117280
2011-10-04,3596098680
2011-10-05,3684891240
2011-10-06,3830412380
2011-10-07,3776150260
2011-10-10,3998131660
2011-10-11,3961134759
2011-10-12,4175716780
2011-10-13,4232445360
2011-10-14,4271908720
2011-10-17,4079524840
2011-10-18,4249710580
2011-10-19,4059793160
2011-10-20,3924137860
2011-10-21,3941403080
2011-10-24,4439628000
2011-10-25,4350835440
2011-10-26,4538286400
2011-10-27,4849060360
2011-10-28,4693673380
2011-10-31,4432228620
2011-11-01,4153518640
2011-11-02,4257109960
2011-11-03,4289173940
2011-11-04,4370567120
2011-11-07,4234911820
2011-11-08,4153518640
2011-11-09,3847677600
2011-11-10,3845211140
2011-11-11,4099256520
2011-11-14,4077058380
2011-11-15,4313838540
2011-11-16,4311372080
2011-11-17,4084457759
2011-11-18,4012930420
2011-11-21,3911805560
2011-11-22,3837811760
2011-11-23,3751485660
2011-11-25,3699690000
2011-11-28,3830412380
2011-11-29,3766284420
2011-11-30,4168317399
2011-12-01,4215180140
2011-12-02,4321237920
2011-12-05,4375500040
2011-12-06,4360701280
2011-12-07,4575283300
2011-12-08,4390298800
2011-12-09,4350835440
2011-12-12,4091857140
2011-12-13,3786016100
2011-12-14,3734220440
2011-12-15,3771217340
2011-12-16,3776150260
2011-12-19,3531970720
2011-12-20,3687357700
2011-12-21,3640494960
2011-12-22,3897006800
2011-12-23,3901939720
2011-12-27,3892073880
2011-12-28,3734220440
2011-12-29,3800814860
2011-12-30,3790949020
2012-01-03,3970143790
2012-01-04,4009820430
2012-01-05,4091653500
2012-01-06,4190845099
2012-01-09,4384268720
2012-01-10,4324753760
2012-01-11,4359470820
2012-01-12,4364430400
2012-01-13,4255319640
2012-01-17,4262759010
2012-01-18,4706641420
2012-01-19,4771115960
2012-01-20,5095968450
2012-01-23,5095968450
2012-01-24,5393543250
2012-01-25,5217478160
2012-01-26,5281952700
2012-01-27,5398502830
2012-01-30,5175321730
2012-01-31,5264594170
2012-02-01,5472896530
2012-02-02,5467936950
2012-02-03,5641522250
2012-02-06,5391063460
2012-02-07,5400982620
2012-02-08,5425780520
2012-02-09,5453058210
2012-02-10,5363785770
2012-02-13,5609284980
2012-02-14,5864703350
2012-02-15,6187076050
2012-02-16,6405297570
2012-02-17,6291227230
2012-02-21,6013490750
2012-02-22,5864703350
2012-02-23,6087884450
2012-02-24,6194515420
2012-02-27,6172197310
2012-02-28,6221793110
2012-02-29,6149879200
2012-03-01,6023409910
2012-03-02,5849824610
2012-03-05,5715915950
2012-03-06,5591926450
2012-03-07,5820067130
2012-03-08,6192035630
2012-03-09,6358181560
2012-03-12,6095323820
2012-03-13,6167237730
2012-03-14,6363141140
2012-03-15,6353221980
2012-03-16,6514408330
2012-03-19,6529287070
2012-03-20,6412736940
2012-03-21,6459852950
2012-03-22,6514408330
2012-03-23,6687993630
2012-03-26,6663195730
2012-03-27,6673114890
2012-03-28,6668155310
2012-03-29,6598721190
2012-03-30,6598721190
2012-04-02,6484864640
2012-04-03,6306108800
2012-04-04,6330936000
2012-04-05,6395486720
2012-04-09,6246523520
2012-04-10,5886529120
2012-04-11,5923769920
2012-04-12,6157145600
2012-04-13,5995768800
2012-04-16,6142249280
2012-04-17,6196869120
2012-04-18,6211765440
2012-04-19,5980872480
2012-04-20,5757427680
2012-04-23,5817012960
2012-04-24,5933700800
2012-04-25,5975907040
2012-04-26,6211765440
2012-04-27,6534519040
2012-04-30,6417831200
2012-05-01,6395486720
2012-05-02,6455072000
2012-05-03,6291212480
2012-05-04,6050388640
2012-05-07,5943631680
2012-05-08,5983355200
2012-05-09,5841840160
2012-05-10,5841840160
2012-05-11,5980872480
2012-05-14,5809564800
2012-05-15,5697842400
2012-05-16,5340330720
2012-05-17,5079645120
2012-05-18,4878544800
2012-05-21,5233573760
2012-05-22,5245987360
2012-05-23,5414812320
2012-05-24,5275780000
2012-05-25,5422260480
2012-05-29,5524052000
2012-05-30,5345296160
2012-05-31,5241021920
2012-06-01,4818959520
2012-06-04,4669996320
2012-06-05,4813994080
