,TSLA
2010-06-29,182296640
2010-06-30,2200656695
2010-07-01,2020728789
2010-07-02,1771597843
2010-07-06,1480945072
2010-07-07,1453263855
2010-07-08,1605510545
2010-07-09,1605510545
2010-07-12,1577829329
2010-07-13,1674713586
2010-07-14,1826960275
2010-07-15,1840800883
2010-07-16,1910003924
2010-07-19,2020728789
2010-07-20,1868482100
2010-07-21,1868482100
2010-07-22,1937685140
2010-07-23,1965366357
2010-07-26,1937685140
2010-07-27,1896163316
2010-07-28,1910003924
2010-07-29,1882322708
2010-07-30,1840800883
2010-08-02,1923844532
2010-08-03,2020728789
2010-08-04,1965366357
2010-08-05,1882322708
2010-08-06,1813119667
2010-08-09,1813119667
2010-08-10,1757757235
2010-08-11,1647032369
2010-08-12,1619351153
2010-08-13,1688554194
2010-08-16,1730076018
2010-08-17,1771597843
2010-08-18,1730076018
2010-08-19,1730076018
2010-08-20,1757757235
2010-08-23,1854641492
2010-08-24,1771597843
2010-08-25,1840800883
2010-08-26,1826960275
2010-08-27,1813119667
2010-08-30,1826960275
2010-08-31,1799279059
2010-09-01,1882322708
2010-09-02,1937685140
2010-09-03,1937685140
2010-09-07,1896163316
2010-09-08,1923844532
2010-09-09,1910003924
2010-09-10,1854641492
2010-09-13,1910003924
2010-09-14,1951525749
2010-09-15,2034569398
2010-09-16,1937685140
2010-09-17,1868482100
2010-09-20,1937685140
2010-09-21,1910003924
2010-09-22,1826960275
2010-09-23,1799279059
2010-09-24,1854641492
2010-09-27,1896163316
2010-09-28,1979206965
2010-09-29,2034569398
2010-09-30,1936130748
2010-10-01,1950367003
2010-10-04,1993075769
2010-10-05,2007312025
2010-10-06,1936130748
2010-10-07,1936130748
2010-10-08,1936130748
2010-10-11,1921894492
2010-10-12,1921894492
2010-10-13,1950367003
2010-10-14,1964603258
2010-10-15,1950367003
2010-10-18,1921894492
2010-10-19,1907658237
2010-10-20,1964603258
2010-10-21,1964603258
2010-10-22,1964603258
2010-10-25,1978839514
2010-10-26,2021548281
2010-10-27,1993075769
2010-10-28,2007312025
2010-10-29,2078493303
2010-11-01,2035784536
2010-11-02,2021548281
2010-11-03,2064257047
2010-11-04,2363218413
2010-11-05,2320509646
2010-11-08,2377454668
2010-11-09,2334745902
2010-11-10,2790306078
2010-11-11,2662179778
2010-11-12,2833014844
2010-11-15,2918432377
2010-11-16,2818778589
2010-11-17,2804542333
2010-11-18,2833014844
2010-11-19,2946904888
2010-11-22,3174684976
2010-11-23,3274338764
2010-11-24,3359756298
2010-11-26,3345520042
2010-11-29,3260102509
2010-11-30,3359756298
2010-12-01,3260102509
2010-12-02,3075031188
