,TTWO
2000-01-03,317541714
2000-01-04,308841941
2000-01-05,307391967
2000-01-06,304492055
2000-01-07,313191828
2000-01-10,318991688
2000-01-11,311741854
2000-01-12,301592142
2000-01-13,323341574
2000-01-14,332041347
2000-01-18,324791513
2000-01-19,308841941
2000-01-20,308841941
2000-01-21,275492823
2000-01-24,260993190
2000-01-25,263893102
2000-01-26,278392736
2000-01-27,278755238
2000-01-28,274042849
2000-01-31,319629484
2000-02-01,308386224
2000-02-02,308386224
2000-02-03,303567689
2000-02-04,311598567
2000-02-07,308386224
2000-02-08,337297432
2000-02-09,358177762
2000-02-10,362996297
2000-02-11,353359227
2000-02-14,345328310
2000-02-15,338903623
2000-02-16,356571571
2000-02-17,335691241
2000-02-18,337297432
2000-02-22,342115967
2000-02-23,362996297
2000-02-24,334085088
2000-02-25,330872706
2000-02-28,318023293
2000-02-29,319629484
2000-03-01,359783915
2000-03-02,382270436
2000-03-03,404756919
2000-03-06,403150727
2000-03-07,421621790
2000-03-08,460973144
2000-03-09,478641131
2000-03-10,414393988
2000-03-13,427243401
2000-03-14,387088971
2000-03-15,383876588
2000-03-16,382270436
2000-03-17,385482780
2000-03-20,377451901
2000-03-21,398332193
2000-03-22,398332193
2000-03-23,375845710
2000-03-24,343722158
2000-03-27,353359227
2000-03-28,346934502
2000-03-29,345328310
2000-03-30,319629484
2000-03-31,340509776
2000-04-03,332478897
2000-04-04,308386224
2000-04-05,324448019
2000-04-06,332478897
2000-04-07,311598567
2000-04-10,273050289
2000-04-11,263413220
2000-04-12,244139081
2000-04-13,247351463
2000-04-14,212015529
2000-04-17,224864942
2000-04-18,253776150
2000-04-19,256988532
2000-04-20,256988532
2000-04-24,247351463
2000-04-25,231289668
2000-04-26,231289668
2000-04-27,232895859
2000-04-28,247351463
2000-05-01,303177790
2000-05-02,317701307
2000-05-03,306808691
2000-05-04,308624098
2000-05-05,321332164
2000-05-08,319516714
2000-05-09,323147615
2000-05-10,310439548
2000-05-11,330409329
2000-05-12,328593922
2000-05-15,341301945
2000-05-16,348563704
2000-05-17,373979792
2000-05-18,366718078
2000-05-19,363087177
2000-05-22,357640869
2000-05-23,341301945
2000-05-24,330409329
2000-05-25,299546933
2000-05-26,286838866
2000-05-30,290469767
2000-05-31,263238228
2000-06-01,297731482
2000-06-02,339486538
2000-06-05,337671088
2000-06-06,324963022
2000-06-07,315885856
2000-06-08,319516714
2000-06-09,328593922
2000-06-12,357640869
2000-06-13,359456319
2000-06-14,370348935
2000-06-15,368533485
2000-06-16,366718078
2000-06-19,343117396
2000-06-20,317701307
2000-06-21,330409329
2000-06-22,328593922
2000-06-23,332224780
2000-06-26,335855637
2000-06-27,323147615
2000-06-28,337671088
2000-06-29,337671088
2000-06-30,352194561
2000-07-03,352194561
2000-07-05,359456319
2000-07-06,377610693
2000-07-07,376702946
2000-07-10,344932846
2000-07-11,357640869
2000-07-12,373979792
2000-07-13,341301945
2000-07-14,334040230
2000-07-17,326778472
2000-07-18,330409329
2000-07-19,324963022
2000-07-20,315885856
2000-07-21,295916075
2000-07-24,288654317
2000-07-25,290469767
2000-07-26,312254999
2000-07-27,292285174
2000-07-28,275946251
2000-07-31,321448710
2000-08-01,319427003
2000-08-02,322964977
2000-08-03,314372811
2000-08-04,297693868
2000-08-07,295166723
2000-08-08,353795766
2000-08-09,353795766
2000-08-10,351774060
2000-08-11,341665626
2000-08-14,355817423
2000-08-15,363904200
2000-08-16,363904200
2000-08-17,367947563
2000-08-18,363904200
2000-08-21,371990976
2000-08-22,386142773
2000-08-23,380077703
2000-08-24,412424760
2000-08-25,442750110
2000-08-28,440728403
2000-08-29,440728403
2000-08-30,446793473
2000-08-31,448309741
2000-09-01,450836886
2000-09-05,460945320
2000-09-06,525639383
2000-09-07,523617726
2000-09-08,517552656
2000-09-11,517552656
2000-09-12,513509243
2000-09-13,503400810
2000-09-14,513509243
2000-09-15,517552656
2000-09-18,511487586
2000-09-19,485205600
2000-09-20,487227306
2000-09-21,454880250
2000-09-22,463472416
2000-09-25,458923613
2000-09-26,434663333
2000-09-27,363904200
2000-09-28,408381396
2000-09-29,406359690
2000-10-02,396251256
2000-10-03,382099410
2000-10-04,404337983
2000-10-05,420511536
2000-10-06,408381396
2000-10-09,402316326
2000-10-10,394229550
2000-10-11,376034340
2000-10-12,361882493
2000-10-13,380077703
2000-10-16,382099410
2000-10-17,359860836
2000-10-18,345708990
2000-10-19,390186186
2000-10-20,410403053
2000-10-23,418489830
2000-10-24,420511536
