,GD
2000-01-03,9855957760
2000-01-04,10269803520
2000-01-05,10972939520
2000-01-06,11013118720
2000-01-07,11302408960
2000-01-10,11201960960
2000-01-11,11049280000
2000-01-12,10647488000
2000-01-13,10647488000
2000-01-14,10723828480
2000-01-18,10410430720
2000-01-19,10197480960
2000-01-20,9880065280
2000-01-21,9920244480
2000-01-24,9329610240
2000-01-25,9454165760
2000-01-26,9430058240
2000-01-27,9442112000
2000-01-28,9494344960
2000-01-31,9466219520
2000-02-01,9707294720
2000-02-02,9542560000
2000-02-03,9293448960
2000-02-04,9152821760
2000-02-07,8939872000
2000-02-08,8638528000
2000-02-09,8389416960
2000-02-10,8473793280
2000-02-11,8325130240
2000-02-14,8349237760
2000-02-15,8301022720
2000-02-16,8349237760
2000-02-17,8662635520
2000-02-18,8413524480
2000-02-22,8638528000
2000-02-23,8662635520
2000-02-24,8489864960
2000-02-25,8626474240
2000-02-28,8650581760
2000-02-29,8690760960
2000-03-01,8513972480
2000-03-02,8260843519
2000-03-03,7810836480
2000-03-06,7597886720
2000-03-07,7485384960
2000-03-08,7533600000
2000-03-09,7999678720
2000-03-10,7899230720
2000-03-13,7846997760
2000-03-14,8059947519
2000-03-15,8714868480
2000-03-16,9064427520
2000-03-17,9193000960
2000-03-20,9253269760
2000-03-21,9341664000
2000-03-22,9229162240
2000-03-23,9329610240
2000-03-24,9695240960
2000-03-27,9606846720
2000-03-28,9466219520
2000-03-29,9454165760
2000-03-30,9707294720
2000-03-31,9996584960
2000-04-03,10181291520
2000-04-04,10393401760
2000-04-05,10181291520
2000-04-06,10229316480
2000-04-07,10157279040
2000-04-10,10157279040
2000-04-11,10241322720
2000-04-12,10469441280
2000-04-13,10557487040
2000-04-14,10193297760
2000-04-17,10093245760
2000-04-18,10057227040
2000-04-19,10405408000
2000-04-20,10717570240
2000-04-24,11606032000
2000-04-25,11870169280
2000-04-26,11381915520
2000-04-27,11882175520
2000-04-28,11706084000
2000-05-01,11794129760
2000-05-02,11441946720
2000-05-03,11169805280
2000-05-04,11169805280
2000-05-05,11405928000
