,SRE
2000-01-03,1977000060
2000-01-04,1997546250
2000-01-05,2040921540
2000-01-06,2097994290
2000-01-07,2054619000
2000-01-10,2034072810
2000-01-11,1926776040
2000-01-12,2011243710
2000-01-13,1997546250
2000-01-14,1990697520
2000-01-18,1977000060
2000-01-19,1970151330
2000-01-20,1961019690
2000-01-21,1990697520
2000-01-24,1961019690
2000-01-25,1970151330
2000-01-26,2125389210
2000-01-27,2091145560
2000-01-28,2068316460
2000-01-31,2118540479
2000-02-01,2132237940
2000-02-02,2141369580
2000-02-03,2168764500
2000-02-04,2168764500
2000-02-07,2175613230
2000-02-08,2175613230
2000-02-09,2141369580
2000-02-10,2141369580
2000-02-11,2148218310
2000-02-14,2148218310
2000-02-15,2155067040
2000-02-16,2161915770
2000-02-17,2141369580
2000-02-18,2139086669
2000-02-22,2118540479
2000-02-23,2097994290
2000-02-24,2084296830
2000-02-25,2141369580
2000-02-28,2068316460
2000-02-29,2054619000
2000-03-01,2054619000
2000-03-02,2004394979
2000-03-03,2011243710
2000-03-06,1983848790
2000-03-07,1970151330
2000-03-08,1940473500
2000-03-09,1947322229
2000-03-10,1990697520
2000-03-13,1970151330
2000-03-14,1940473500
2000-03-15,2034072810
2000-03-16,2104843020
2000-03-17,2011243710
2000-03-20,1983848790
2000-03-21,1983848790
2000-03-22,1940473500
2000-03-23,1961019690
2000-03-24,1983848790
2000-03-27,1990697520
2000-03-28,1954170960
2000-03-29,1997546250
2000-03-30,1977000060
2000-03-31,1687614680
2000-04-03,1673517660
2000-04-04,1673517660
2000-04-05,1711781000
2000-04-06,1711781000
2000-04-07,1723864160
2000-04-10,1744002760
2000-04-11,1780252240
2000-04-12,1844695760
2000-04-13,1880945240
2000-04-14,1856778920
2000-04-17,1901083840
2000-04-18,1868862079
2000-04-19,1868862079
2000-04-20,1856778920
2000-04-24,1856778920
2000-04-25,1889000680
2000-04-26,1901083840
2000-04-27,1824557160
2000-04-28,1868862079
2000-05-01,1824557160
2000-05-02,1711781000
2000-05-03,1824557160
2000-05-04,1901083840
2000-05-05,1907125420
2000-05-08,1862820500
2000-05-09,1880945240
2000-05-10,1844695760
2000-05-11,1874903660
2000-05-12,1830598740
2000-05-15,1907125420
2000-05-16,1844695760
2000-05-17,1856778920
2000-05-18,1850737340
2000-05-19,1844695760
2000-05-22,1889000680
2000-05-23,1895042260
2000-05-24,1919208579
2000-05-25,1868862079
2000-05-26,1895042260
2000-05-30,1895042260
2000-05-31,1907125420
2000-06-01,1925250160
2000-06-02,1901083840
2000-06-05,1850737340
2000-06-06,1868862079
2000-06-07,1868862079
2000-06-08,1844695760
2000-06-09,1880945240
2000-06-12,1901083840
2000-06-13,1925250160
2000-06-14,1868862079
2000-06-15,1901083840
2000-06-16,1907125420
2000-06-19,1895042260
2000-06-20,1862820500
2000-06-21,1862820500
2000-06-22,1830598740
2000-06-23,1844695760
2000-06-26,1830598740
2000-06-27,1762127500
2000-06-28,1780252240
2000-06-29,1750044340
2000-06-30,1711373000
2000-07-03,1773787780
2000-07-05,1749627220
2000-07-06,1806001860
2000-07-07,1806001860
2000-07-10,1850296220
2000-07-11,1862376500
2000-07-12,1868416639
2000-07-13,1862376500
2000-07-14,1894590580
2000-07-17,1888550440
2000-07-18,1862376500
2000-07-19,1830162420
2000-07-20,1844256080
2000-07-21,1824122280
2000-07-24,1838215940
2000-07-25,1856336360
2000-07-26,1793921580
2000-07-27,1838215940
2000-07-28,1868416639
2000-07-31,1888550440
2000-08-01,1918751139
2000-08-02,1880496920
2000-08-03,1938884940
2000-08-04,1944925080
2000-08-07,1944925080
2000-08-08,1950965220
2000-08-09,1924791280
2000-08-10,1888550440
2000-08-11,1874456780
2000-08-14,1912711000
2000-08-15,1938884940
2000-08-16,1969085639
2000-08-17,1975125780
2000-08-18,1963045500
2000-08-21,1963045500
2000-08-22,1950965220
2000-08-23,1930831420
2000-08-24,1888550440
2000-08-25,1880496920
2000-08-28,1906670860
2000-08-29,1862376500
2000-08-30,1888550440
2000-08-31,1963045500
2000-09-01,1969085639
2000-09-05,1963045500
2000-09-06,1969085639
2000-09-07,1963045500
2000-09-08,1981165920
2000-09-11,2039553940
2000-09-12,2019420139
2000-09-13,2013380000
2000-09-14,2013380000
2000-09-15,2025460280
2000-09-18,2019420139
2000-09-19,1963045500
2000-09-20,1950965220
2000-09-21,1906670860
2000-09-22,1906670860
2000-09-25,1912711000
2000-09-26,1989219440
2000-09-27,2001299720
2000-09-28,2007339860
2000-09-29,2095928580
2000-10-02,2099718300
2000-10-03,2067352700
2000-10-04,2041055650
2000-10-05,2004644350
2000-10-06,2049147050
2000-10-09,2034987100
2000-10-10,2010712900
2000-10-11,2022850000
2000-10-12,2022850000
2000-10-13,2028918549
2000-10-16,2079489799
2000-10-17,2111855400
2000-10-18,2041055650
2000-10-19,2061284150
2000-10-20,2073421250
2000-10-23,2034987100
2000-10-24,2010712900
2000-10-25,1972278750
2000-10-26,2034987100
2000-10-27,2041055650
2000-10-30,2073421250
2000-10-31,2091626900
2000-11-01,2142198150
2000-11-02,2156358100
2000-11-03,2123992500
2000-11-06,2180632300
2000-11-07,2168495200
2000-11-08,2174563750
2000-11-09,2225135000
2000-11-10,2237272100
2000-11-13,2219066450
2000-11-14,2200860800
2000-11-15,2225135000
2000-11-16,2257500600
2000-11-17,2314140400
2000-11-20,2370780200
2000-11-21,2439557100
2000-11-22,2427420000
2000-11-24,2409214350
2000-11-27,2459785600
2000-11-28,2471922700
2000-11-29,2477991250
2000-11-30,2471922700
2000-12-01,2459785600
2000-12-04,2471922700
2000-12-05,2471922700
2000-12-06,2415282900
2000-12-07,2445625650
2000-12-08,2320208950
2000-12-11,2117923950
2000-12-12,2251432050
2000-12-13,2231203550
2000-12-14,2212997900
2000-12-15,2237272100
2000-12-18,2332346050
2000-12-19,2263569150
2000-12-20,2287843350
2000-12-21,2352574550
2000-12-22,2293911900
2000-12-26,2326277500
2000-12-27,2352574550
2000-12-28,2332346050
2000-12-29,2352574550
2001-01-02,2275706250
2001-01-03,2225135000
2001-01-04,1966210200
2001-01-05,1978347299
2001-01-08,1990484400
2001-01-09,2010712900
2001-01-10,1998575800
2001-01-11,1838770650
2001-01-12,1858999150
2001-01-16,1858999150
2001-01-17,1897433300
2001-01-18,1921707500
2001-01-19,1915638950
2001-01-22,1927776049
2001-01-23,1915638950
2001-01-24,2022850000
2001-01-25,2067352700
2001-01-26,2049147050
2001-01-29,2095672600
2001-01-30,2085558350
2001-01-31,2061284150
2001-02-01,2037009950
2001-02-02,2109832550
2001-02-05,2152312400
2001-02-06,2144221000
2001-02-07,2221089300
2001-02-08,2200860800
2001-02-09,2275706250
2001-02-12,2255477750
2001-02-13,2235249250
2001-02-14,2196815100
2001-02-15,2198837950
2001-02-16,2223112150
2001-02-20,2204906500
2001-02-21,2219066450
2001-02-22,2217043600
2001-02-23,2235249250
2001-02-26,2247386350
2001-02-27,2257500600
2001-02-28,2261546300
2001-03-01,2245363500
2001-03-02,2291889050
2001-03-05,2289866200
2001-03-06,2289866200
2001-03-07,2386963000
2001-03-08,2401122950
2001-03-09,2340437450
2001-03-12,2336391750
2001-03-13,2330323200
2001-03-14,2310094700
2001-03-15,2338414600
2001-03-16,2251432050
2001-03-19,2326277500
2001-03-20,2267614850
2001-03-21,2251432050
2001-03-22,2196815100
2001-03-23,2132083899
2001-03-26,2326277500
2001-03-27,2316163250
2001-03-28,2332346050
2001-03-29,2346506000
2001-03-30,2354597400
2001-04-02,2369610000
2001-04-03,2363508000
2001-04-04,2363508000
2001-04-05,2455038000
2001-04-06,2267910000
2001-04-09,2357406000
2001-04-10,2457072000
2001-04-11,2426562000
2001-04-12,2416392000
2001-04-16,2548602000
2001-04-17,2654370000
2001-04-18,2636064000
2001-04-19,2552670000
2001-04-20,2487582000
2001-04-23,2615724000
2001-04-24,2733696000
2001-04-25,2686914000
2001-04-26,2760138000
2001-04-27,2869974000
2001-04-30,2815056000
2001-05-01,2810988000
2001-05-02,2808954000
2001-05-03,2760138000
2001-05-04,2776410000
2001-05-07,2819124000
2001-05-08,2851668000
2001-05-09,2872008000
2001-05-10,2867940000
2001-05-11,2888280000
2001-05-14,2857770000
2001-05-15,2821158000
2001-05-16,2817090000
2001-05-17,2796750000
2001-05-18,2784546000
2001-05-21,2876076000
2001-05-22,2880144000
2001-05-23,2847600000
2001-05-24,2819124000
2001-05-25,2733696000
2001-05-29,2697084000
2001-05-30,2745900000
2001-05-31,2776410000
2001-06-01,2760138000
2001-06-04,2780478000
2001-06-05,2737764000
2001-06-06,2717424000
2001-06-07,2703186000
2001-06-08,2695050000
2001-06-11,2717424000
2001-06-12,2766240000
2001-06-13,2680812000
2001-06-14,2585214000
2001-06-15,2623860000
2001-06-18,2676744000
2001-06-19,2774376000
2001-06-20,2796750000
2001-06-21,2719458000
2001-06-22,2721492000
2001-06-25,2739798000
2001-06-26,2774376000
2001-06-27,2754036000
2001-06-28,2794716000
2001-06-29,2780478000
2001-07-02,2817684000
2001-07-03,2827893000
2001-07-05,2850352800
2001-07-06,2831976600
2001-07-09,2809516800
2001-07-10,2825851200
2001-07-11,2807475000
2001-07-12,2807475000
2001-07-13,2807475000
2001-07-16,2819725800
2001-07-17,2793182400
2001-07-18,2703343200
2001-07-19,2768680800
2001-07-20,2682925200
2001-07-23,2572668000
2001-07-24,2476703400
2001-07-25,2584918800
2001-07-26,2603295000
2001-07-27,2623713000
2001-07-30,2599211400
2001-07-31,2591044200
2001-08-01,2627796600
2001-08-02,2664549000
2001-08-03,2691092400
2001-08-06,2668632600
2001-08-07,2733970200
2001-08-08,2695176000
2001-08-09,2715594000
2001-08-10,2717635800
2001-08-13,2727844800
2001-08-14,2729886600
2001-08-15,2693134200
2001-08-16,2701301400
2001-08-17,2693134200
2001-08-20,2703343200
2001-08-21,2689050600
2001-08-22,2713552200
2001-08-23,2731928400
2001-08-24,2785015200
2001-08-27,2807475000
2001-08-28,2797266000
2001-08-29,2801349600
2001-08-30,2795224200
2001-08-31,2766639000
2001-09-04,2774806200
2001-09-05,2799307800
2001-09-06,2807475000
2001-09-07,2787057000
2001-09-10,2748262800
2001-09-17,2687008800
2001-09-18,2631880200
2001-09-19,2574709800
2001-09-20,2533873800
2001-09-21,2480787000
2001-09-24,2448118200
2001-09-25,2460369000
2001-09-26,2431783800
2001-09-27,2441992800
2001-09-28,2527748400
2001-10-01,2552468380
2001-10-02,2638506640
2001-10-03,2681525770
2001-10-04,2677428710
2001-10-05,2691768420
2001-10-08,2687671360
2001-10-09,2572953680
2001-10-10,2634409580
2001-10-11,2575002210
2001-10-12,2511497780
2001-10-15,2478721300
2001-10-16,2556565440
2001-10-17,2525837490
2001-10-18,2441847760
2001-10-19,2488963950
2001-10-22,2534031610
2001-10-23,2472575710
2001-10-24,2370149210
2001-10-25,2368100680
2001-10-26,2282062420
2001-10-29,2296402130
2001-10-30,2310741840
2001-10-31,2396780100
2001-11-01,2407022750
2001-11-02,2364003620
2001-11-05,2427508050
2001-11-06,2443896290
2001-11-07,2409071280
2001-11-08,2454138940
2001-11-09,2458236000
2001-11-12,2464381590
2001-11-13,2435702170
2001-11-14,2370149210
2001-11-15,2368100680
2001-11-16,2384488920
2001-11-19,2404974220
2001-11-20,2413168340
2001-11-21,2368100680
2001-11-23,2404974220
2001-11-26,2370149210
2001-11-27,2361955090
2001-11-28,2325081550
2001-11-29,2335324200
2001-11-30,2372197740
2001-12-03,2380391860
2001-12-04,2417265400
2001-12-05,2435702170
2001-12-06,2407022750
2001-12-07,2499206600
2001-12-10,2439799230
2001-12-11,2364003620
2001-12-12,2396780100
2001-12-13,2409071280
2001-12-14,2429556580
2001-12-17,2439799230
2001-12-18,2470527180
2001-12-19,2536080140
2001-12-20,2550419850
2001-12-21,2466430120
2001-12-24,2474624240
2001-12-26,2501255130
2001-12-27,2531983080
2001-12-28,2521740430
2001-12-31,2515594840
2002-01-02,2538128670
2002-01-03,2536080140
2002-01-04,2554516910
2002-01-07,2560662500
2002-01-08,2575002210
2002-01-09,2566808090
2002-01-10,2564759560
2002-01-11,2558613970
2002-01-14,2589341920
2002-01-15,2626215460
2002-01-16,2607778690
2002-01-17,2603681630
2002-01-18,2589341920
2002-01-22,2560662500
2002-01-23,2589341920
2002-01-24,2560662500
2002-01-25,2536080140
2002-01-28,2523788960
2002-01-29,2458236000
2002-01-30,2443896290
2002-01-31,2454138940
2002-02-01,2458236000
2002-02-04,2407022750
2002-02-05,2390634510
2002-02-06,2331227140
2002-02-07,2329178610
2002-02-08,2359906560
2002-02-11,2396780100
2002-02-12,2400877160
2002-02-13,2407022750
2002-02-14,2419313930
2002-02-15,2404974220
2002-02-19,2382440390
2002-02-20,2407022750
2002-02-21,2370149210
2002-02-22,2394731570
2002-02-25,2333275670
2002-02-26,2333275670
2002-02-27,2308693310
2002-02-28,2286159480
2002-03-01,2323033020
2002-03-04,2378343330
2002-03-05,2431605110
2002-03-06,2484866890
2002-03-07,2466430120
2002-03-08,2476672770
2002-03-11,2507400720
2002-03-12,2482818360
2002-03-13,2468478650
2002-03-14,2452090410
2002-03-15,2472575710
2002-03-18,2460284530
2002-03-19,2470527180
2002-03-20,2464381590
2002-03-21,2538128670
2002-03-22,2550419850
2002-03-25,2540177200
2002-03-26,2523788960
2002-03-27,2538128670
2002-03-28,2575002210
2002-04-01,2581299780
2002-04-02,2669602000
2002-04-03,2626477660
2002-04-04,2573085620
2002-04-05,2550496680
2002-04-08,2595674560
2002-04-09,2568978540
2002-04-10,2642905980
2002-04-11,2556657300
2002-04-12,2566925000
2002-04-15,2573085620
2002-04-16,2630584740
2002-04-17,2659334300
2002-04-18,2665494920
2002-04-19,2659334300
2002-04-22,2624424120
2002-04-23,2573085620
2002-04-24,2568978540
2002-04-25,2610049340
2002-04-26,2665494920
2002-04-29,2640852440
2002-04-30,2626477660
2002-05-01,2651120140
2002-05-02,2667548460
