,AES
2000-01-03,15014750000
2000-01-04,14418302000
2000-01-05,14575698000
2000-01-06,14691674000
2000-01-07,14977471999
2000-01-10,15648476000
2000-01-11,15727174000
2000-01-12,16050250000
2000-01-13,16543148000
2000-01-14,17243146000
2000-01-18,16141374000
2000-01-19,16232498000
2000-01-20,16087528000
2000-01-21,16568000000
2000-01-24,16568000000
2000-01-25,15739600000
2000-01-26,15002324000
2000-01-27,15714748000
2000-01-28,15818298000
2000-01-31,16592852000
2000-02-01,16725396000
2000-02-02,16427171999
2000-02-03,16646698000
2000-02-04,15586346000
2000-02-07,16568000000
2000-02-08,17487524000
2000-02-09,17785748000
2000-02-10,17164448000
2000-02-11,16982200000
2000-02-14,17707050000
2000-02-15,17889298000
2000-02-16,18262078000
2000-02-17,18212374000
2000-02-18,18224800000
2000-02-22,17798174000
2000-02-23,17433678000
2000-02-24,17578648000
2000-02-25,17499950000
2000-02-28,17773322000
2000-02-29,17359122000
2000-03-01,16969774000
2000-03-02,18042552000
2000-03-03,18005274000
2000-03-06,16853798000
2000-03-07,16489302000
2000-03-08,16207646000
2000-03-09,15648476000
2000-03-10,15118300000
2000-03-13,15118300000
2000-03-14,14886348000
2000-03-15,15404098000
2000-03-16,16592852000
2000-03-17,16128948000
2000-03-20,15921848000
2000-03-21,15453802000
2000-03-22,14948478000
2000-03-23,15288121999
2000-03-24,15689896000
2000-03-27,15391671999
2000-03-28,15081021999
2000-03-29,15611198000
2000-03-30,16489302000
2000-03-31,18626740000
2000-04-03,18418620000
2000-04-04,17576680000
2000-04-05,17869940000
2000-04-06,17884130000
2000-04-07,18210500000
2000-04-10,18787560000
2000-04-11,18447000000
2000-04-12,18106440000
2000-04-13,18078060000
2000-04-14,17472620000
2000-04-17,17576680000
2000-04-18,18210500000
2000-04-19,18787560000
2000-04-20,20367380000
2000-04-24,19823430000
2000-04-25,19672070000
2000-04-26,20220750000
2000-04-27,19970060000
2000-04-28,21270810000
2000-05-01,20755240000
2000-05-02,20102500000
2000-05-03,20234940000
2000-05-04,20130880000
2000-05-05,20339000000
2000-05-08,19199070000
2000-05-09,18669310000
2000-05-10,17411130000
2000-05-11,17590870000
2000-05-12,18508490000
2000-05-15,19421380000
2000-05-16,19080820000
2000-05-17,19407190000
2000-05-18,19511250000
2000-05-19,19586930000
2000-05-22,19747750000
2000-05-23,19823430000
2000-05-24,19378810000
2000-05-25,19776130000
2000-05-26,20324810000
2000-05-30,20428870000
2000-05-31,20636990000
2000-06-01,21138370000
2000-06-02,21758000000
2000-06-05,20755240000
2000-06-06,21285000000
2000-06-07,21876250000
2000-06-08,22320870000
2000-06-09,22704000000
2000-06-12,22614130000
2000-06-13,23120240000
2000-06-14,20665370000
2000-06-15,21403250000
2000-06-16,21876250000
2000-06-19,21464740000
2000-06-20,21228240000
2000-06-21,20930250000
2000-06-22,20045740000
2000-06-23,19336240000
2000-06-26,21786380000
2000-06-27,21582990000
2000-06-28,21966120000
2000-06-29,21048500000
2000-06-30,21084206918
2000-07-03,21717241402
2000-07-05,21689517264
2000-07-06,21342965539
2000-07-07,22179310368
2000-07-10,22756896575
2000-07-11,22960206920
2000-07-12,23334482783
2000-07-13,24549724163
2000-07-14,23279034507
2000-07-17,24951724164
2000-07-18,24230896577
2000-07-19,23422275886
2000-07-20,24434206922
2000-07-21,24143103473
2000-07-24,24203172439
2000-07-25,24692965543
2000-07-26,23912068990
2000-07-27,24346413818
2000-07-28,23537793128
2000-07-31,24692965543
2000-08-01,25704896578
2000-08-02,25182758647
2000-08-03,24461931060
2000-08-04,24401862094
2000-08-07,25270551750
2000-08-08,26684482786
2000-08-09,25704896578
2000-08-10,24863931060
2000-08-11,25270551750
2000-08-14,27146551752
2000-08-15,26282482786
2000-08-16,25903586233
2000-08-17,27091103476
2000-08-18,27091103476
2000-08-21,26513517269
2000-08-22,26860068993
2000-08-23,27322137959
2000-08-24,27146551752
2000-08-25,26398000027
2000-08-28,27322137959
2000-08-29,27031034511
2000-08-30,28477310374
2000-08-31,29456896582
2000-09-01,30958620722
2000-09-05,29138068995
2000-09-06,28532758650
2000-09-07,28361793133
2000-09-08,28186206926
2000-09-11,29831172444
2000-09-12,30353310376
2000-09-13,30150000031
2000-09-14,30468827618
2000-09-15,31189655205
2000-09-18,29803448307
2000-09-19,29401448306
2000-09-20,28879310375
2000-09-21,28592827616
2000-09-22,30094551755
2000-09-25,30353310376
2000-09-26,30870827618
2000-09-27,31942827619
2000-09-28,31596275895
2000-09-29,31651724171
2000-10-02,31223331068
2000-10-03,31055344861
2000-10-04,29729137963
2000-10-05,28982041410
2000-10-06,28623965548
2000-10-09,29839655205
2000-10-10,30639800033
2000-10-11,28791951755
2000-10-12,26634655201
2000-10-13,25971551752
2000-10-16,26108593131
2000-10-17,26055544856
2000-10-18,23929193129
2000-10-19,24618820716
2000-10-20,25392441407
2000-10-23,24592296578
2000-10-24,24287268992
2000-10-25,22766551749
