,MSCI
2007-11-15,2189790000
2007-11-16,2094144000
2007-11-19,2160425000
2007-11-20,2292148000
2007-11-21,2235935000
2007-11-23,2298860000
2007-11-26,2332420000
2007-11-27,2263622000
2007-11-28,2290470000
2007-11-29,2290470000
2007-11-30,2765304177
2007-12-03,2797307697
2007-12-04,2935322879
2007-12-05,2928322109
2007-12-06,2891318038
2007-12-07,2888317708
2007-12-10,2900319029
2007-12-11,2900319029
2007-12-12,2848313308
2007-12-13,2894318368
2007-12-14,2872315948
2007-12-17,2798307807
2007-12-18,2850313528
2007-12-19,2895318478
2007-12-20,2889317818
2007-12-21,3372370953
2007-12-24,3392373153
2007-12-26,3435377884
2007-12-27,3655402086
2007-12-28,3732410557
2007-12-31,3840422438
2008-01-02,3385372383
2008-01-03,3079338720
2008-01-04,3015331680
2008-01-07,2814309568
2008-01-08,2663292956
2008-01-09,2776305387
2008-01-10,2964326069
2008-01-11,3043334760
2008-01-14,3050335530
2008-01-15,3071337840
2008-01-16,2930322329
2008-01-17,2899318918
2008-01-18,2932322549
2008-01-22,2890317928
2008-01-23,3116342791
2008-01-24,3217353902
2008-01-25,3178349611
2008-01-28,3306363693
2008-01-29,3278360612
2008-01-30,3270359732
2008-01-31,3297362702
2008-02-01,3460380634
2008-02-04,3348368313
2008-02-05,3287361602
2008-02-06,3137345101
2008-02-07,2971326839
2008-02-08,3133344661
2008-02-11,3143345761
2008-02-12,3130344331
2008-02-13,3383372163
2008-02-14,3328366113
2008-02-15,3174349171
2008-02-19,3210353132
2008-02-20,3221354342
2008-02-21,3360369633
2008-02-22,3373371063
2008-02-25,3309364023
2008-02-26,3392373153
2008-02-27,3200352032
2008-02-28,3109342021
2008-02-29,2973773009
2008-03-03,2907755849
2008-03-04,2936763389
2008-03-05,3165822931
2008-03-06,2986776389
2008-03-07,2826734788
2008-03-10,2701702287
2008-03-11,3029787570
2008-03-12,2983775609
2008-03-13,2994778469
2008-03-14,2686698386
2008-03-17,2357612843
2008-03-18,2700702027
2008-03-19,2669693966
2008-03-20,2821733488
2008-03-24,3007781850
2008-03-25,3039790170
2008-03-26,2941764689
2008-03-27,2970772229
2008-03-28,3125812531
2008-03-31,2975773529
2008-04-01,3089803170
2008-04-02,3177826051
2008-04-03,3203832812
2008-04-04,3278852312
2008-04-07,3141816691
2008-04-08,3079800570
2008-04-09,2798727507
