,EL
2000-01-03,11795280000
2000-01-04,11585840000
2000-01-05,11195520000
2000-01-06,11528720000
2000-01-07,11928560000
2000-01-10,12318880000
2000-01-11,12004720000
2000-01-12,11942840000
2000-01-13,11990440000
2000-01-14,12537840000
2000-01-18,12656840000
2000-01-19,12775840000
2000-01-20,12775840000
2000-01-21,12733000000
2000-01-24,12852000000
2000-01-25,12880560000
2000-01-26,13151880000
2000-01-27,12656840000
2000-01-28,12361720000
2000-01-31,12166560000
2000-02-01,12318880000
2000-02-02,12242720000
2000-02-03,12333160000
2000-02-04,12095160000
2000-02-07,11990440000
2000-02-08,11900000000
2000-02-09,12004720000
2000-02-10,11871440000
2000-02-11,11842880000
2000-02-14,11752440000
2000-02-15,11885720000
2000-02-16,11885720000
2000-02-17,12138000000
2000-02-18,12166560000
2000-02-22,12285560000
2000-02-23,12138000000
2000-02-24,11514440000
2000-02-25,11052720000
2000-02-28,10933720000
2000-02-29,10324440000
2000-03-01,10710000000
2000-03-02,10605280000
2000-03-03,10890880000
2000-03-06,10724280000
2000-03-07,9819880000
2000-03-08,10024560000
2000-03-09,10234000000
2000-03-10,9520000000
2000-03-13,9581880000
2000-03-14,9653280000
2000-03-15,10710000000
2000-03-16,11228840000
2000-03-17,10695720000
2000-03-20,10619560000
2000-03-21,11067000000
2000-03-22,11543000000
2000-03-23,11990440000
2000-03-24,11543000000
2000-03-27,10890880000
2000-03-28,11543000000
2000-03-29,11662000000
2000-03-30,12019000000
2000-03-31,11899262000
2000-04-03,12046636000
2000-04-04,12046636000
2000-04-05,12541052000
2000-04-06,12507774000
2000-04-07,12674164000
2000-04-10,12759736000
2000-04-11,12213026000
2000-04-12,12198764000
2000-04-13,12346138000
2000-04-14,11171900000
2000-04-17,11499926000
2000-04-18,11171900000
2000-04-19,11024526000
2000-04-20,11081574000
2000-04-24,10843874000
2000-04-25,10382736000
2000-04-26,10026186000
2000-04-27,10087988000
2000-04-28,10501586000
2000-05-01,10339950000
2000-05-02,10549126000
2000-05-03,10311426000
2000-05-04,10235362000
2000-05-05,10235362000
2000-05-08,10178314000
2000-05-09,10235362000
2000-05-10,10577650000
2000-05-11,10934200000
2000-05-12,10919938000
