,EP
2000-12-20,12995737.0
2000-12-21,11488791.0
2000-12-22,12995737.0
2000-12-26,12995737.0
2000-12-27,12995737.0
2000-12-28,12995737.0
2000-12-29,12995737.0
2001-01-02,12995737.0
2001-01-03,11202072.0
2001-01-04,11202072.0
2001-01-05,10995367.0
2001-01-08,10995367.0
2001-01-09,11202072.0
2001-01-10,11202072.0
2001-01-11,12002220.0
2001-01-12,12002220.0
2001-01-16,16499718.0
2001-01-17,32005920.0
2001-01-18,25604736.0
2001-01-19,22997587.0
2001-01-22,20500458.0
2001-01-23,23491011.0
2001-01-24,22997587.0
2001-01-25,20997217.0
2001-01-26,24004440.0
2001-01-29,24501198.0
2001-01-30,23844410.0
2001-01-31,23491011.0
2001-02-01,21123907.0
2001-02-02,19523611.0
2001-02-05,22004070.0
2001-02-06,22004070.0
2001-02-07,22004070.0
2001-02-08,21764025.0
2001-02-09,20997217.0
2001-02-12,21844040.0
2001-02-13,21603996.0
2001-02-14,20500458.0
2001-02-15,20500458.0
2001-02-16,20500458.0
2001-02-20,14499348.0
2001-02-21,9488421.7
2001-02-22,12002220.0
2001-02-23,12498978.0
2001-02-26,10995367.0
2001-02-27,11488791.0
2001-02-28,10995367.0
2001-03-01,11042042.0
2001-03-02,10001850.0
2001-03-05,10001850.0
2001-03-06,10001850.0
2001-03-07,9488421.7
2001-03-08,9488421.7
2001-03-09,8498238.55
2001-03-12,8498238.55
2001-03-13,7488051.7
2001-03-14,6994627.1
2001-03-15,6001110.0
2001-03-16,6721243.2
2001-03-19,6241154.4
2001-03-20,5487681.7
2001-03-21,5887755.7
2001-03-22,6001110.0
2001-03-23,6497868.55
2001-03-26,6497868.55
2001-03-27,6497868.55
2001-03-28,6994627.1
2001-03-29,6994627.1
2001-03-30,6994627.1
2001-04-02,8074153.0
2001-04-03,6927300.0
2001-04-04,6927300.0
2001-04-05,6927300.0
2001-04-06,6927300.0
2001-04-09,6927300.0
2001-04-10,6927300.0
2001-04-11,6927300.0
2001-04-12,7389120.0
2001-04-16,9051672.0
2001-04-17,9051672.0
2001-04-18,9051672.0
2001-04-19,9051672.0
2001-04-20,9051672.0
2001-04-23,9051672.0
2001-04-24,9051672.0
2001-04-25,7758576.0
2001-04-26,6834936.0
2001-04-27,7758576.0
2001-04-30,7758576.0
2001-05-01,8312760.0
2001-05-02,9236400.0
2001-05-03,10529496.0
2001-05-04,12007320.0
2001-05-07,12007320.0
2001-05-08,12007320.0
2001-05-09,13854600.0
2001-05-10,13854600.0
2001-05-11,13300416.0
2001-05-14,12007320.0
2001-05-15,12561504.0
2001-05-16,12007320.0
2001-05-17,12007320.0
2001-05-18,12007320.0
2001-05-21,12007320.0
2001-05-22,12007320.0
2001-05-23,13854600.0
2001-05-24,12376775.0
2001-05-25,12376775.0
2001-05-29,10160040.0
2001-05-30,9605856.0
2001-05-31,8312760.0
2001-06-01,10529496.0
2001-06-04,10529496.0
2001-06-05,7758576.0
2001-06-06,7758576.0
2001-06-07,8682216.0
2001-06-08,8682216.0
2001-06-11,8682216.0
2001-06-12,8682216.0
2001-06-13,8682216.0
2001-06-14,8682216.0
2001-06-15,8682216.0
2001-06-18,9051672.0
2001-06-19,7758576.0
2001-06-20,7758576.0
2001-06-21,7758576.0
2001-06-22,8128032.0
2001-06-25,8128032.0
2001-06-26,8312760.0
2001-06-27,7019664.0
2001-06-28,7019664.0
2001-06-29,7019664.0
