,CPRT
2000-01-03,1047705750
2000-01-04,916745754
2000-01-05,910027543
2000-01-06,846223875
2000-01-07,943605706
2000-01-10,957042129
2000-01-11,918422084
2000-01-12,920098413
2000-01-13,930169283
2000-01-14,941929377
2000-01-18,948647589
2000-01-19,970465658
2000-01-20,1056100290
2000-01-21,1047705750
2000-01-24,1046029420
2000-01-25,1049382079
2000-01-26,967113000
2000-01-27,953676576
2000-01-28,972154882
2000-01-31,916542186
2000-02-01,943508063
2000-02-02,980566733
2000-02-03,1017638344
2000-02-04,1017638344
2000-02-07,1044591280
2000-02-08,1041227016
2000-02-09,1078285686
2000-02-10,1189487577
2000-02-11,1122098766
2000-02-14,1152428907
2000-02-15,1152428907
2000-02-16,1162534641
2000-02-17,1145687438
2000-02-18,1132204500
2000-02-22,1152428907
2000-02-23,1123780898
2000-02-24,1078285686
2000-02-25,1061438483
2000-02-28,1172640375
2000-02-29,1133886632
2000-03-01,1130522367
2000-03-02,1010896875
2000-03-03,931707257
2000-03-06,909813657
2000-03-07,889589250
2000-03-08,950249532
2000-03-09,943508063
2000-03-10,913177922
2000-03-13,970461000
2000-03-14,940130858
2000-03-15,899694983
2000-03-16,943508063
2000-03-17,960355266
2000-03-20,983943938
2000-03-21,1044591280
2000-03-22,1024379813
2000-03-23,990685407
2000-03-24,953613797
2000-03-27,960355266
2000-03-28,960355266
2000-03-29,953613797
2000-03-30,916542186
2000-03-31,943508063
2000-04-03,983943938
2000-04-04,967096735
2000-04-05,940130858
2000-04-06,1004155405
2000-04-07,1024379813
2000-04-10,1007532610
2000-04-11,988990335
2000-04-12,1024379813
2000-04-13,1017638344
2000-04-14,994049672
2000-04-17,970461000
2000-04-18,953613797
2000-04-19,943508063
2000-04-20,940130858
2000-04-24,892953514
2000-04-25,983943938
2000-04-26,943508063
2000-04-27,943508063
2000-04-28,930025125
2000-05-01,976791600
2000-05-02,922521058
2000-05-03,963220708
2000-05-04,976791600
2000-05-05,986963256
2000-05-08,936091950
2000-05-09,976791600
2000-05-10,956448286
2000-05-11,980177810
2000-05-12,936091950
2000-05-15,983577045
2000-05-16,956448286
2000-05-17,939478160
2000-05-18,936091950
2000-05-19,929306504
2000-05-22,922521058
2000-05-23,929306504
2000-05-24,946263606
2000-05-25,946263606
2000-05-26,936091950
2000-05-30,942877395
2000-05-31,963220708
2000-06-01,976791600
2000-06-02,963220708
2000-06-05,973405389
2000-06-06,970006154
2000-06-07,976791600
2000-06-08,1020877460
2000-06-09,1010705804
2000-06-12,990362491
2000-06-13,980177810
2000-06-14,966619943
2000-06-15,986963256
2000-06-16,973405389
2000-06-19,929306504
2000-06-20,942877395
2000-06-21,922521058
2000-06-22,881821408
2000-06-23,875048986
2000-06-26,902177745
2000-06-27,905563956
2000-06-28,949662841
2000-06-29,844520993
2000-06-30,868263541
2000-07-03,841121758
2000-07-05,820778445
2000-07-06,813993000
2000-07-07,793649686
2000-07-10,739379145
2000-07-11,725808254
2000-07-12,803821343
2000-07-13,790250452
2000-07-14,776679560
2000-07-17,786864241
2000-07-18,756336247
2000-07-19,752950036
2000-07-20,752950036
2000-07-21,746164591
2000-07-24,725808254
2000-07-25,695280260
2000-07-26,739379145
2000-07-27,702065706
2000-07-28,719022808
2000-07-31,722849385
2000-08-01,777408750
2000-08-02,763765635
2000-08-03,777408750
2000-08-04,784230307
2000-08-07,835372346
2000-08-08,859241250
2000-08-09,849015460
2000-08-10,849015460
2000-08-11,859241250
2000-08-14,872884364
2000-08-15,869467039
2000-08-16,869467039
2000-08-17,876288596
2000-08-18,883110153
2000-08-21,879705921
2000-08-22,852419692
2000-08-23,869467039
2000-08-24,872884364
2000-08-25,866062807
2000-08-28,876288596
2000-08-29,927430635
2000-08-30,924026403
2000-08-31,924026403
2000-09-01,924026403
2000-09-05,924026403
2000-09-06,920622171
2000-09-07,934252192
2000-09-08,900157500
2000-09-11,913800614
2000-09-12,889931710
2000-09-13,903561732
2000-09-14,886514385
2000-09-15,831968114
2000-09-18,787634539
2000-09-19,941073750
2000-09-20,831968114
2000-09-21,818325000
2000-09-22,864360691
2000-09-25,756957171
2000-09-26,780812982
2000-09-27,774004517
2000-09-28,784230307
2000-09-29,756957171
2000-10-02,767182960
2000-10-03,777408750
2000-10-04,808099210
2000-10-05,797873421
2000-10-06,763765635
2000-10-09,770587192
2000-10-10,767182960
2000-10-11,729670942
2000-10-12,750135614
2000-10-13,736492500
2000-10-16,743314057
2000-10-17,681933135
2000-10-18,729670942
2000-10-19,760361403
2000-10-20,763765635
2000-10-23,746718289
2000-10-24,763765635
2000-10-25,756957171
2000-10-26,726266710
2000-10-27,787634539
2000-10-30,794456096
2000-10-31,824113609
2000-11-01,820699500
2000-11-02,851479014
2000-11-03,878831286
