,ATVI
2001-02-27,696189443
2001-02-28,690544663
2001-03-01,669847376
2001-03-02,699952751
2001-03-05,698071278
2001-03-06,696189443
2001-03-07,709360838
2001-03-08,741347685
2001-03-09,741347685
2001-03-12,707479004
2001-03-13,731939959
2001-03-14,713123784
2001-03-15,707479004
2001-03-16,699952751
2001-03-19,701834223
2001-03-20,699952751
2001-03-21,688663190
2001-03-22,707479004
2001-03-23,715005618
2001-03-26,720650399
2001-03-27,730058125
2001-03-28,745110993
2001-03-29,731939959
2001-03-30,731939959
2001-04-02,724413344
2001-04-03,707479004
2001-04-04,694307970
2001-04-05,679255102
2001-04-06,679255102
2001-04-09,671352410
2001-04-10,682792619
2001-04-11,689415707
2001-04-12,689415707
2001-04-16,722230937
2001-04-17,752637246
2001-04-18,808031597
2001-04-19,799601817
2001-04-20,781839816
2001-04-23,775517663
2001-04-24,793279664
2001-04-25,786355641
2001-04-26,793881894
2001-04-27,811945191
2001-04-30,820675905
2001-05-01,854996168
2001-05-02,835427477
2001-05-03,813751520
2001-05-04,808934762
2001-05-07,827901223
2001-05-08,820675905
2001-05-09,872758169
2001-05-10,891122762
2001-05-11,864027817
2001-05-14,850781279
2001-05-15,820374609
2001-05-16,850480344
2001-05-17,875768960
2001-05-18,854694873
2001-05-21,877575289
2001-05-22,907078433
2001-05-23,936581939
2001-05-24,1014555049
2001-05-25,1032016477
2001-05-29,1012447785
2001-05-30,977826587
2001-05-31,1025393027
2001-06-01,1070250335
2001-06-04,1057305093
2001-06-05,1060616456
2001-06-06,1116612676
2001-06-07,1200908302
2001-06-08,1166588038
2001-06-11,1185855434
2001-06-12,1202112402
2001-06-13,1232217776
2001-06-14,1115709511
2001-06-15,1133471874
2001-06-18,1077776588
2001-06-19,1070551269
2001-06-20,1045262654
2001-06-21,1097044346
2001-06-22,1022081664
2001-06-25,1042252225
2001-06-26,1098248445
2001-06-27,1098850675
2001-06-28,1156351929
2001-06-29,1181640545
2001-07-02,1278384936
2001-07-03,1246142911
2001-07-05,1243151371
2001-07-06,1209911767
2001-07-09,1194954065
2001-07-10,1195951245
2001-07-11,1191298003
2001-07-12,1208582326
2001-07-13,1283038576
2001-07-16,1242486451
2001-07-17,1331567743
2001-07-18,1269078054
2001-07-19,1279049855
2001-07-20,1250796152
2001-07-23,1165371320
2001-07-24,1178999182
2001-07-25,1248469532
2001-07-26,1253455432
2001-07-27,1258773593
2001-07-30,1176340301
2001-07-31,1127478475
2001-08-01,1117838934
2001-08-02,1097230411
2001-08-03,1046706883
2001-08-06,1059337566
2001-08-07,1103546151
2001-08-08,1055348845
2001-08-09,1097563070
2001-08-10,1106205032
2001-08-13,1116509493
2001-08-14,1148751518
2001-08-15,1166368500
2001-08-16,1135788176
2001-08-17,1081940449
2001-08-20,1078283989
2001-08-21,1085929169
2001-08-22,1090915070
2001-08-23,1058340386
2001-08-24,1128475655
2001-08-27,1173681021
2001-08-28,1245145731
2001-08-29,1274728476
2001-08-30,1251461072
2001-08-31,1231517469
2001-09-04,1190300823
2001-09-05,1149416438
2001-09-06,1163376960
2001-09-07,1135123256
2001-09-10,1084599729
2001-09-17,1029422162
2001-09-18,943997329
2001-09-19,947321130
2001-09-20,850926917
2001-09-21,904110124
2001-09-24,872532620
2001-09-25,832645414
2001-09-26,813366731
2001-09-27,809378011
2001-09-28,904774645
2001-10-01,876445834
2001-10-02,898784418
2001-10-03,1040495971
2001-10-04,1107861043
2001-10-05,1047825864
2001-10-08,1061438524
2001-10-09,1101927180
2001-10-10,1122171927
2001-10-11,1217460542
2001-10-12,1144510510
2001-10-15,1152189306
2001-10-16,1217460542
2001-10-17,1221649052
2001-10-18,1266675541
2001-10-19,1225837563
2001-10-22,1279589976
2001-10-23,1294947987
2001-10-24,1355681390
2001-10-25,1346955047
2001-10-26,1322871112
2001-10-29,1311702029
2001-10-30,1274005434
2001-10-31,1261788806
2001-11-01,1336483771
2001-11-02,1359520579
2001-11-05,1395472241
2001-11-06,1405594195
2001-11-07,1346955047
2001-11-08,1282382456
2001-11-09,1318333698
2001-11-12,1360218804
2001-11-13,1374878591
2001-11-14,1326710719
2001-11-15,1240846253
2001-11-16,1204545688
2001-11-19,1261788806
2001-11-20,1265279092
2001-11-21,1191107690
2001-11-23,1130897851
2001-11-26,1116761628
2001-11-27,1123044393
2001-11-28,1116761628
2001-11-29,1214668062
2001-11-30,1301056092
2001-12-03,1306815294
2001-12-04,1262312370
2001-12-05,1360742368
2001-12-06,1326710719
2001-12-07,1335087741
2001-12-10,1338229123
2001-12-11,1424093590
2001-12-12,1461266621
2001-12-13,1350794655
2001-12-14,1330375666
2001-12-17,1412051622
2001-12-18,1350794655
2001-12-19,1349223964
2001-12-20,1287966997
2001-12-21,1317286571
2001-12-24,1301056092
2001-12-26,1405245292
2001-12-27,1403151037
2001-12-28,1387444123
2001-12-31,1561536307
2002-01-02,1586151067
2002-01-03,1581948547
2002-01-04,1610765826
2002-01-07,1563337387
2002-01-08,1560935948
2002-01-09,1533919748
2002-01-10,1535720828
2002-01-11,1441464311
2002-01-14,1410845953
2002-01-15,1449268991
2002-01-16,1475684830
2002-01-17,1485290590
2002-01-18,1464277991
2002-01-22,1464878351
2002-01-23,1488892750
2002-01-24,1652190664
2002-01-25,1596957546
2002-01-28,1593955746
2002-01-29,1560935948
2002-01-30,1566339187
2002-01-31,1577746027
2002-02-01,1550129468
2002-02-04,1533919748
2002-02-05,1523113269
2002-02-06,1457674031
2002-02-07,1484089870
2002-02-08,1535120468
2002-02-11,1536921548
2002-02-12,1558534508
2002-02-13,1592755026
2002-02-14,1621572305
2002-02-15,1602961146
2002-02-19,1544125868
2002-02-20,1578346387
2002-02-21,1538722628
2002-02-22,1603561506
2002-02-25,1628776625
2002-02-26,1638382385
2002-02-27,1744045741
2002-02-28,1714628102
2002-03-01,1790273460
2002-03-04,1853911618
2002-03-05,1828696499
2002-03-06,1793275260
2002-03-07,1820891819
2002-03-08,1939162735
2002-03-11,1933759495
2002-03-12,1867719897
2002-03-13,1835900818
2002-03-14,1826895419
2002-03-15,1758454381
2002-03-18,1768660501
