,PRGO
2000-01-03,596473710
2000-01-04,591338020
2000-01-05,591338020
2000-01-06,596473710
2000-01-07,611880780
2000-01-10,623619500
2000-01-11,605277750
2000-01-12,622152160
2000-01-13,628021520
2000-01-14,600875730
2000-01-18,596473710
2000-01-19,619217480
2000-01-20,628021520
2000-01-21,633157210
2000-01-24,614815460
2000-01-25,621418490
2000-01-26,633157210
2000-01-27,651498960
2000-01-28,628021520
2000-01-31,630222530
2000-02-01,637559230
2000-02-02,662504010
2000-02-03,641961250
2000-02-04,635358220
2000-02-07,664705020
2000-02-08,662504010
2000-02-09,651498960
2000-02-10,651498960
2000-02-11,619217480
2000-02-14,578131960
2000-02-15,614815460
2000-02-16,621418490
2000-02-17,596473710
2000-02-18,600875730
2000-02-22,596473710
2000-02-23,554654520
2000-02-24,556855530
2000-02-25,554654520
2000-02-28,546584150
2000-02-29,538513780
2000-03-01,548051490
2000-03-02,564192230
2000-03-03,564192230
2000-03-06,561991220
2000-03-07,564192230
2000-03-08,559790210
2000-03-09,554654520
2000-03-10,543649470
2000-03-13,534111760
2000-03-14,509900650
2000-03-15,506965970
2000-03-16,517971020
2000-03-17,538513780
2000-03-20,538513780
2000-03-21,545850480
2000-03-22,545850480
2000-03-23,543649470
2000-03-24,536312770
2000-03-27,541448460
2000-03-28,529709740
2000-03-29,536312770
2000-03-30,534111760
2000-03-31,556855530
2000-04-03,536312770
2000-04-04,523106710
2000-04-05,527508730
2000-04-06,531910750
2000-04-07,531910750
2000-04-10,534111760
2000-04-11,536312770
2000-04-12,523106710
2000-04-13,517971020
2000-04-14,517971020
2000-04-17,531910750
2000-04-18,511367990
2000-04-19,509166980
2000-04-20,506965970
2000-04-24,513569000
2000-04-25,495227250
2000-04-26,426262270
2000-04-27,378573720
2000-04-28,417458230
2000-05-01,405719510
2000-05-02,396915470
2000-05-03,378573720
2000-05-04,396915470
2000-05-05,399116480
2000-05-08,394714460
2000-05-09,387377760
2000-05-10,387377760
2000-05-11,387377760
2000-05-12,382975740
2000-05-15,403518500
2000-05-16,431397960
2000-05-17,433598970
2000-05-18,419659240
2000-05-19,403518500
2000-05-22,421860250
2000-05-23,410121530
2000-05-24,428463280
2000-05-25,426262270
2000-05-26,435799980
2000-05-30,470282470
2000-05-31,440202000
2000-06-01,454141730
2000-06-02,451940720
2000-06-05,458543750
2000-06-06,462945770
2000-06-07,468081460
2000-06-08,468081460
2000-06-09,462945770
2000-06-12,456342740
2000-06-13,424061260
2000-06-14,442403010
2000-06-15,481287520
2000-06-16,493026240
2000-06-19,476885500
2000-06-20,468081460
2000-06-21,481287520
2000-06-22,472483480
2000-06-23,462945770
2000-06-26,476885500
2000-06-27,474684490
2000-06-28,451940720
2000-06-29,493026240
2000-06-30,462945770
2000-07-03,474782427
2000-07-05,505631999
2000-07-06,519928141
2000-07-07,507889284
2000-07-10,493593141
2000-07-11,484563999
2000-07-12,512403856
2000-07-13,522185427
2000-07-14,524442713
2000-07-17,498860141
2000-07-18,498860141
2000-07-19,503374713
2000-07-20,528957284
2000-07-21,517670856
2000-07-24,503374713
2000-07-25,514661141
2000-07-26,522185427
2000-07-27,512403856
2000-07-28,514661141
2000-07-31,507889284
2000-08-01,512403856
2000-08-02,526699999
2000-08-03,543253427
2000-08-04,526699999
2000-08-07,514661141
2000-08-08,526699999
2000-08-09,512403856
2000-08-10,514661141
2000-08-11,522185427
2000-08-14,522185427
2000-08-15,507889284
2000-08-16,512403856
2000-08-17,507889284
2000-08-18,522185427
2000-08-21,524442713
2000-08-22,524442713
2000-08-23,526699999
2000-08-24,571093284
2000-08-25,585389427
2000-08-28,583132141
2000-08-29,568835998
2000-08-30,574102998
2000-08-31,557549570
2000-09-01,550025284
2000-09-05,526699999
2000-09-06,526699999
2000-09-07,536481570
2000-09-08,536481570
2000-09-11,520680570
2000-09-12,498860141
2000-09-13,526699999
2000-09-14,526699999
2000-09-15,524442713
2000-09-18,524442713
2000-09-19,526699999
2000-09-20,526699999
2000-09-21,526699999
2000-09-22,528957284
2000-09-25,512403856
2000-09-26,483059141
2000-09-27,484563999
2000-09-28,507889284
2000-09-29,514661141
2000-10-02,514654000
2000-10-03,500684820
2000-10-04,496273500
2000-10-05,491862180
2000-10-06,469070360
2000-10-09,471276020
2000-10-10,459512500
2000-10-11,459512500
2000-10-12,436720680
2000-10-13,489656520
2000-10-16,496273500
2000-10-17,500684820
2000-10-18,524211860
2000-10-19,516859660
2000-10-20,510242680
2000-10-23,469070360
2000-10-24,477893000
2000-10-25,451425080
2000-10-26,480098660
2000-10-27,477893000
2000-10-30,477893000
2000-10-31,487450860
2000-11-01,514654000
2000-11-02,505831360
2000-11-03,555826320
2000-11-06,551415000
2000-11-07,560972860
2000-11-08,519065320
2000-11-09,516859660
2000-11-10,505831360
2000-11-13,487450860
2000-11-14,491862180
2000-11-15,489656520
2000-11-16,487450860
2000-11-17,491862180
2000-11-20,489656520
2000-11-21,491862180
2000-11-22,547003680
2000-11-24,547003680
2000-11-27,535240160
2000-11-28,512448340
2000-11-29,514654000
2000-11-30,514654000
2000-12-01,519065320
2000-12-04,514654000
2000-12-05,514654000
2000-12-06,477893000
2000-12-07,514654000
2000-12-08,512448340
2000-12-11,524211860
2000-12-12,514654000
2000-12-13,537445820
2000-12-14,544798020
2000-12-15,537445820
2000-12-18,549209340
2000-12-19,558031980
2000-12-20,537445820
2000-12-21,583764680
2000-12-22,594792980
2000-12-26,620525680
2000-12-27,616114360
2000-12-28,634494860
2000-12-29,608762160
2001-01-02,606111000
2001-01-03,628886080
2001-01-04,601702920
2001-01-05,612723120
2001-01-08,624478000
2001-01-09,628886080
2001-01-10,677374960
2001-01-11,720721080
2001-01-12,704558120
2001-01-16,732475960
2001-01-17,672966880
2001-01-18,665620080
2001-01-19,624478000
2001-01-22,656803920
2001-01-23,628886080
2001-01-24,620069920
2001-01-25,615661840
2001-01-26,661212000
2001-01-29,667824120
2001-01-30,697946000
2001-01-31,734680000
2001-02-01,700150040
2001-02-02,683987080
2001-02-05,716313000
2001-02-06,730271920
2001-02-07,730271920
