,PFE
2000-01-03,186036480000
2000-01-04,179146240000
2000-01-05,182037680000
2000-01-06,188620320000
2000-01-07,201354959999
2000-01-10,200985840000
2000-01-11,198463520000
2000-01-12,205046160000
2000-01-13,215935200000
2000-01-14,215935200000
2000-01-18,213043760000
2000-01-19,215935200000
2000-01-20,212428560000
2000-01-21,204677040000
2000-01-24,200616720000
2000-01-25,203569680000
2000-01-26,203569680000
2000-01-27,201354959999
2000-01-28,205353760000
2000-01-31,211198160000
2000-02-01,215935200000
2000-02-02,210152319999
2000-02-03,207937599999
2000-02-04,208675840000
2000-02-07,215935200000
2000-02-08,220733760000
2000-02-09,210829040000
2000-02-10,204307920000
2000-02-11,204307920000
2000-02-14,204307920000
2000-02-15,207568480000
2000-02-16,196987040000
2000-02-17,198463520000
2000-02-18,198463520000
2000-02-22,195510560000
2000-02-23,198463520000
2000-02-24,192988240000
2000-02-25,188989440000
2000-02-28,187882080000
2000-02-29,187512960000
2000-03-01,186036480000
2000-03-02,186774720000
2000-03-03,190404400000
2000-03-06,184929120000
2000-03-07,175085920000
2000-03-08,189358560000
2000-03-09,200616720000
2000-03-10,204307920000
2000-03-13,200247599999
2000-03-14,194095600000
2000-03-15,205722880000
2000-03-16,213043760000
2000-03-17,209044959999
2000-03-20,204307920000
2000-03-21,214151120000
2000-03-22,207937599999
2000-03-23,205722880000
2000-03-24,203569680000
2000-03-27,202831440000
2000-03-28,204677040000
2000-03-29,212305520000
2000-03-30,213043760000
2000-03-31,213412880000
2000-04-03,224122849999
2000-04-04,234443070000
2000-04-05,227853050000
2000-04-06,226360969999
2000-04-07,228909940000
2000-04-10,234816090000
2000-04-11,234816090000
2000-04-12,238173270000
2000-04-13,233697030000
2000-04-14,223749830000
2000-04-17,224122849999
2000-04-18,233386180000
2000-04-19,243706400000
2000-04-20,244763289999
2000-04-24,256575590000
2000-04-25,256202570000
2000-04-26,256575590000
2000-04-27,252161520000
2000-04-28,248493490000
2000-05-01,246628390000
2000-05-02,253280580000
2000-05-03,251788500000
2000-05-04,253653599999
2000-05-05,263227780000
2000-05-08,272055920000
2000-05-09,263227780000
2000-05-10,255953890000
2000-05-11,251912840000
2000-05-12,254213130000
2000-05-15,259559750000
2000-05-16,262481740000
2000-05-17,265403730000
2000-05-18,266522789999
2000-05-19,260616640000
2000-05-22,259186730000
2000-05-23,260616640000
2000-05-24,260989659999
2000-05-25,269320440000
2000-05-26,266149770000
2000-05-30,260616640000
2000-05-31,262481740000
2000-06-01,265403730000
2000-06-02,256948610000
2000-06-05,252161520000
2000-06-06,256202570000
2000-06-07,256575590000
2000-06-08,260989659999
2000-06-09,271309880000
2000-06-12,261735700000
2000-06-13,270439500000
2000-06-14,274853570000
2000-06-15,277216030000
2000-06-16,282749160000
2000-06-19,275723950000
2000-06-20,272801960000
2000-06-21,276469990000
2000-06-22,269879969999
2000-06-23,270563840000
2000-06-26,272801960000
2000-06-27,277216030000
2000-06-28,274169700000
2000-06-29,272739789999
2000-06-30,283122180000
2000-07-03,281754720000
2000-07-05,280322280000
2000-07-06,275153040000
2000-07-07,270731160000
2000-07-10,282502080000
2000-07-11,289539720000
2000-07-12,283436280000
2000-07-13,272537280000
2000-07-14,266247000000
2000-07-17,272475000000
2000-07-18,265188240000
2000-07-19,274405680000
2000-07-20,265873320000
2000-07-21,271042560000
2000-07-24,281069640000
2000-07-25,260019000000
2000-07-26,257029560000
2000-07-27,263568960000
2000-07-28,259271640000
2000-07-31,256282200000
2000-08-01,270357479999
2000-08-02,272537280000
2000-08-03,264440880000
2000-08-04,268862760000
2000-08-07,265437359999
2000-08-08,265437359999
2000-08-09,252607680000
2000-08-10,248185800000
2000-08-11,253355040000
2000-08-14,252420840000
2000-08-15,248185800000
2000-08-16,256655880000
2000-08-17,260019000000
2000-08-18,252607680000
2000-08-21,258524280000
2000-08-22,251112960000
2000-08-23,254289240000
2000-08-24,254662920000
2000-08-25,258897960000
2000-08-28,253168200000
2000-08-29,251486640000
2000-08-30,248185800000
2000-08-31,254912040000
2000-09-01,255036600000
2000-09-05,241148160000
2000-09-06,235605240000
2000-09-07,238221000000
2000-09-08,239342040000
2000-09-11,242269200000
2000-09-12,237847320000
2000-09-13,242642880000
2000-09-14,244511280000
2000-09-15,243763920000
2000-09-18,247812120000
2000-09-19,242331479999
2000-09-20,241833240000
2000-09-21,251112960000
2000-09-22,261825120000
2000-09-25,260704080000
2000-09-26,257029560000
2000-09-27,255534840000
2000-09-28,258150600000
2000-09-29,265437359999
2000-10-02,261829259999
2000-10-03,261829259999
2000-10-04,252972720000
2000-10-05,264823020000
2000-10-06,264074580000
2000-10-09,255218040000
2000-10-10,263326140000
2000-10-11,261080820000
2000-10-12,264074580000
2000-10-13,252224280000
2000-10-16,258523650000
2000-10-17,265945680000
2000-10-18,258897870000
2000-10-19,254469599999
2000-10-20,256652550000
2000-10-23,268502849999
2000-10-24,254469599999
2000-10-25,265945680000
2000-10-26,268502849999
2000-10-27,261080820000
2000-10-30,259646310000
2000-10-31,255529890000
2000-11-01,257400990000
2000-11-02,255529890000
2000-11-03,258149430000
2000-11-06,263326140000
2000-11-07,265197240000
2000-11-08,268502849999
2000-11-09,264074580000
2000-11-10,261080820000
2000-11-13,249667110000
2000-11-14,253346939999
2000-11-15,254843820000
2000-11-16,256278330000
2000-11-17,254469599999
2000-11-20,254469599999
2000-11-21,257400990000
2000-11-22,254469599999
2000-11-24,250353180000
2000-11-27,265571460000
2000-11-28,266257530000
2000-11-29,269999730000
2000-11-30,262203480000
2000-12-01,257400990000
2000-12-04,261455040000
2000-12-05,263326140000
2000-12-06,256652550000
2000-12-07,257026770000
2000-12-08,257400990000
2000-12-11,258149430000
2000-12-12,260394750000
2000-12-13,271122390000
2000-12-14,269625509999
2000-12-15,268877070000
2000-12-18,275176440000
2000-12-19,280727370000
2000-12-20,274428000000
2000-12-21,251475840000
2000-12-22,262577700000
2000-12-26,264448800000
2000-12-27,267754410000
2000-12-28,270748169999
2000-12-29,272182680000
2001-01-02,273368720000
2001-01-03,258188510000
2001-01-04,247818490000
2001-01-05,251129400000
2001-01-08,248193309999
2001-01-09,256314410000
2001-01-10,250754580000
2001-01-11,243008300000
2001-01-12,245569570000
2001-01-16,247068849999
2001-01-17,241509019999
2001-01-18,243757940000
2001-01-19,245257220000
2001-01-22,249692590000
2001-01-23,254127960000
2001-01-24,254502780000
2001-01-25,263373519999
2001-01-26,262623880000
2001-01-29,256626760000
2001-01-30,262436470000
2001-01-31,267621480000
2001-02-01,267933830000
2001-02-02,266122200000
2001-02-05,271182269999
2001-02-06,271744500000
2001-02-07,263748340000
2001-02-08,265247620000
2001-02-09,266934309999
2001-02-12,273368720000
2001-02-13,266871840000
2001-02-14,267871360000
2001-02-15,262249059999
2001-02-16,268246180000
2001-02-20,265934790000
2001-02-21,265559970000
2001-02-22,267246660000
2001-02-23,265622440000
2001-02-26,268183710000
2001-02-27,267933830000
2001-02-28,266684430000
2001-03-01,261374480000
2001-03-02,258500860000
2001-03-05,259750260000
2001-03-06,255439830000
2001-03-07,248630599999
2001-03-08,248942950000
2001-03-09,251629160000
2001-03-12,239135160000
2001-03-13,236511420000
2001-03-14,231139000000
2001-03-15,228452790000
2001-03-16,221518620000
