,KR
2000-01-03,15619735648
2000-01-04,16131046953
2000-01-05,16394949561
2000-01-06,15768180866
2000-01-07,15619735648
2000-01-10,15207387822
2000-01-11,15108424344
2000-01-12,15306351301
2000-01-13,15669217388
2000-01-14,15207387822
2000-01-18,14844521736
2000-01-19,14844521736
2000-01-20,14333210431
2000-01-21,13871380866
2000-01-24,13459033040
2000-01-25,13294093910
2000-01-26,13607478258
2000-01-27,13970344344
2000-01-28,13656959997
2000-01-31,14442780000
2000-02-01,14758560000
2000-02-02,15107580000
2000-02-03,14958000000
2000-02-04,14642220000
2000-02-07,14077140000
2000-02-08,14808420000
2000-02-09,14127000000
2000-02-10,13445580000
2000-02-11,13927560000
2000-02-14,13611780000
2000-02-15,14127000000
2000-02-16,13977420000
2000-02-17,13246140000
2000-02-18,12465000000
2000-02-22,12614580000
2000-02-23,12514860000
2000-02-24,12265560000
2000-02-25,11783580000
2000-02-28,12564720000
2000-02-29,12415140000
2000-03-01,12315420000
2000-03-02,12099360000
2000-03-03,12265560000
2000-03-06,12415140000
2000-03-07,12265560000
2000-03-08,12780780000
2000-03-09,12315420000
2000-03-10,12265560000
2000-03-13,12415140000
2000-03-14,11999640000
2000-03-15,12365280000
2000-03-16,12930360000
2000-03-17,13861080000
2000-03-20,13345859999
2000-03-21,13811220000
2000-03-22,14276580000
2000-03-23,13811220000
2000-03-24,14858280000
2000-03-27,14492640000
2000-03-28,14343060000
2000-03-29,14692080000
2000-03-30,14492640000
2000-03-31,14592359999
2000-04-03,15689280000
2000-04-04,16769580000
2000-04-05,16836060000
2000-04-06,16254359999
2000-04-07,16005060000
2000-04-10,16005060000
2000-04-11,17135220000
2000-04-12,17766780000
2000-04-13,16885920000
2000-04-14,15838859999
2000-04-17,14958000000
2000-04-18,14908140000
2000-04-19,14958000000
2000-04-20,14692080000
2000-04-24,15689280000
2000-04-25,16154640000
2000-04-26,15938580000
2000-04-27,15838859999
2000-04-28,15423359999
2000-05-01,15107580000
2000-05-02,15689280000
2000-05-03,15373500000
2000-05-04,15739140000
2000-05-05,16254359999
2000-05-08,16005060000
2000-05-09,16054920000
2000-05-10,16719720000
2000-05-11,17135220000
2000-05-12,16669859999
2000-05-15,17301420000
2000-05-16,17451000000
2000-05-17,17185080000
2000-05-18,17035500000
2000-05-19,16669859999
2000-05-22,16480000000
2000-05-23,16117439999
2000-05-24,16430560000
2000-05-25,15969120000
2000-05-26,17106240000
2000-05-30,17106240000
2000-05-31,16381120000
2000-06-01,16628320000
2000-06-02,15656000000
2000-06-05,15244000000
2000-06-06,15244000000
2000-06-07,15557120000
2000-06-08,15244000000
2000-06-09,15145120000
2000-06-12,15458240000
2000-06-13,15656000000
2000-06-14,15557120000
2000-06-15,15458240000
2000-06-16,15095680000
2000-06-19,15392320000
2000-06-20,16282240000
2000-06-21,16166880000
2000-06-22,17040320000
2000-06-23,18128000000
2000-06-26,16842560000
2000-06-27,16941439999
2000-06-28,16694240000
2000-06-29,17106240000
2000-06-30,18177440000
2000-07-03,18078560000
2000-07-05,18078560000
2000-07-06,18688320000
2000-07-07,18803680000
2000-07-10,18589440000
2000-07-11,18540000000
2000-07-12,18128000000
2000-07-13,17765440000
2000-07-14,17814880000
2000-07-17,17897280000
2000-07-18,17814880000
2000-07-19,17518240000
2000-07-20,17716000000
2000-07-21,17452320000
2000-07-24,17452320000
2000-07-25,17765440000
2000-07-26,17304000000
2000-07-27,17864320000
2000-07-28,17353440000
2000-07-31,17040320000
2000-08-01,17765440000
2000-08-02,17814880000
2000-08-03,17930240000
2000-08-04,17452320000
2000-08-07,17254560000
2000-08-08,17979680000
2000-08-09,17765440000
2000-08-10,17304000000
2000-08-11,17254560000
2000-08-14,17093220000
2000-08-15,17043960000
2000-08-16,17191740000
2000-08-17,17290260000
2000-08-18,17323100000
2000-08-21,18521760000
2000-08-22,18883000000
2000-08-23,18209780000
2000-08-24,17914220000
2000-08-25,17963480000
2000-08-28,18160520000
2000-08-29,18062000000
2000-08-30,18275460000
2000-08-31,18636700000
2000-09-01,18423240000
2000-09-05,18571020000
2000-09-06,18373980000
2000-09-07,18275460000
2000-09-08,18735220000
2000-09-11,19194980000
2000-09-12,19096460000
2000-09-13,18981520000
2000-09-14,18571020000
2000-09-15,18472500000
2000-09-18,18012740000
2000-09-19,18423240000
2000-09-20,18275460000
2000-09-21,18160520000
2000-09-22,18324720000
2000-09-25,17963480000
2000-09-26,18423240000
2000-09-27,18521760000
2000-09-28,18324720000
2000-09-29,18521760000
2000-10-02,18160520000
2000-10-03,18423240000
2000-10-04,17750020000
2000-10-05,17963480000
2000-10-06,17864960000
2000-10-09,17799280000
2000-10-10,17651500000
2000-10-11,17454460000
2000-10-12,16518520000
2000-10-13,17552980000
2000-10-16,17388780000
2000-10-17,17454460000
2000-10-18,17602240000
2000-10-19,17388780000
2000-10-20,17241000000
2000-10-23,17093220000
2000-10-24,17503720000
2000-10-25,17454460000
2000-10-26,17388780000
2000-10-27,17241000000
2000-10-30,18062000000
2000-10-31,18521760000
2000-11-01,18620280000
2000-11-02,18620280000
2000-11-03,18833740000
2000-11-06,18938060000
2000-11-07,18889040000
2000-11-08,19297540000
2000-11-09,19869440000
2000-11-10,20016500000
2000-11-13,21045920000
2000-11-14,20572060000
2000-11-15,21143960000
2000-11-16,21911940000
2000-11-17,21552460000
2000-11-20,20735460000
2000-11-21,20228920000
2000-11-22,21143960000
2000-11-24,21291020000
2000-11-27,21797560000
2000-11-28,21291020000
2000-11-29,21862920000
2000-11-30,21650500000
2000-12-01,21340040000
2000-12-04,21045920000
2000-12-05,20114540000
2000-12-06,19558980000
2000-12-07,20637420000
2000-12-08,20114540000
2000-12-11,19608000000
2000-12-12,20425000000
2000-12-13,21192980000
2000-12-14,21601480000
2000-12-15,21242000000
2000-12-18,21552460000
2000-12-19,21192980000
2000-12-20,21552460000
2000-12-21,21242000000
2000-12-22,21552460000
2000-12-26,21454420000
2000-12-27,21242000000
2000-12-28,21911940000
2000-12-29,22108020000
2001-01-02,21797560000
2001-01-03,20228920000
2001-01-04,18889040000
2001-01-05,18938060000
2001-01-08,19608000000
2001-01-09,19509960000
2001-01-10,18938060000
2001-01-11,19003420000
2001-01-12,18333480000
2001-01-16,19150480000
2001-01-17,19706040000
2001-01-18,19820420000
2001-01-19,19706040000
2001-01-22,20425000000
2001-01-23,19608000000
2001-01-24,19608000000
2001-01-25,19297540000
2001-01-26,19558980000
2001-01-29,19722380000
2001-01-30,19575320000
2001-01-31,20065520000
2001-02-01,20343300000
2001-02-02,20114540000
2001-02-05,19488000000
2001-02-06,19780320000
2001-02-07,20397440000
2001-02-08,20429920000
2001-02-09,20381200000
2001-02-12,20170080000
2001-02-13,19488000000
2001-02-14,19130720000
2001-02-15,19910240000
2001-02-16,19780320000
2001-02-20,20023920000
2001-02-21,19682880000
2001-02-22,19942720000
2001-02-23,19488000000
2001-02-26,19666640000
2001-02-27,20218800000
2001-02-28,19682880000
2001-03-01,19796560000
2001-03-02,19747840000
2001-03-05,19244400000
2001-03-06,18676000000
2001-03-07,19406800000
2001-03-08,20267520000
2001-03-09,20267520000
2001-03-12,20088880000
2001-03-13,19504240000
2001-03-14,18708480000
2001-03-15,18351200000
2001-03-16,19098240000
2001-03-19,19146960000
2001-03-20,19423040000
2001-03-21,18984560000
2001-03-22,18708480000
2001-03-23,19130720000
2001-03-26,19471760000
2001-03-27,20267520000
2001-03-28,20300000000
2001-03-29,20770960000
2001-03-30,20949600000
2001-04-02,20494880000
2001-04-03,20202560000
2001-04-04,19942720000
2001-04-05,18676000000
2001-04-06,17961440000
2001-04-09,18481120000
2001-04-10,18270000000
2001-04-11,17961440000
2001-04-12,17766560000
2001-04-16,17409280000
2001-04-17,18140080000
2001-04-18,18010160000
2001-04-19,18221280000
2001-04-20,18026400000
2001-04-23,17912720000
2001-04-24,17945200000
2001-04-25,18075120000
2001-04-26,18107600000
2001-04-27,18123840000
2001-04-30,18351200000
2001-05-01,19276880000
2001-05-02,20348720000
2001-05-03,20316240000
2001-05-04,20543600000
2001-05-07,20088880000
2001-05-08,19488000000
2001-05-09,19780320000
2001-05-10,20105120000
2001-05-11,19650400000
2001-05-14,19536720000
2001-05-15,19163200000
2001-05-16,19488000000
2001-05-17,19309360000
2001-05-18,19406800000
2001-05-21,19488000000
2001-05-22,19504240000
2001-05-23,19423040000
2001-05-24,19894000000
2001-05-25,19585440000
2001-05-29,19947900000
2001-05-30,19931800000
2001-05-31,20076700000
2001-06-01,20125000000
2001-06-04,20125000000
2001-06-05,19947900000
2001-06-06,19915700000
2001-06-07,20157200000
2001-06-08,20205500000
2001-06-11,20173300000
2001-06-12,20495300000
2001-06-13,20543600000
2001-06-14,20012300000
2001-06-15,20382600000
2001-06-18,20221600000
2001-06-19,20125000000
2001-06-20,19609800000
2001-06-21,20044500000
2001-06-22,20028400000
2001-06-25,20060600000
2001-06-26,19931800000
2001-06-27,20527500000
2001-06-28,20785100000
2001-06-29,20125000000
2001-07-02,20463100000
2001-07-03,20430900000
2001-07-05,20591900000
2001-07-06,20511400000
2001-07-09,20092800000
2001-07-10,19609800000
2001-07-11,19320000000
2001-07-12,18837000000
2001-07-13,19142900000
2001-07-16,19159000000
2001-07-17,19722500000
2001-07-18,20125000000
2001-07-19,20237700000
2001-07-20,20656300000
2001-07-23,20157200000
2001-07-24,20334300000
2001-07-25,20511400000
2001-07-26,20447000000
2001-07-27,20640200000
2001-07-30,20962200000
2001-07-31,21219800000
2001-08-01,21074900000
2001-08-02,21574000000
2001-08-03,21332500000
2001-08-06,21074900000
2001-08-07,20833400000
2001-08-08,20511400000
2001-08-09,20302100000
2001-08-10,20978300000
2001-08-13,21010500000
2001-08-14,21638400000
2001-08-15,20930000000
2001-08-16,20688500000
2001-08-17,20543600000
2001-08-20,20489580000
2001-08-21,20681820000
2001-08-22,21066300000
2001-08-23,21210480000
2001-08-24,21627000000
2001-08-27,21210480000
2001-08-28,21386700000
2001-08-29,21114360000
2001-08-30,21194460000
2001-08-31,21322620000
2001-09-04,21915360000
2001-09-05,21306600000
2001-09-06,21306600000
2001-09-07,21338640000
2001-09-10,21675060000
2001-09-17,21162420000
2001-09-18,20858040000
2001-09-19,19656540000
2001-09-20,19047780000
2001-09-21,18663300000
2001-09-24,19224000000
2001-09-25,20265300000
2001-09-26,19304100000
2001-09-27,19544400000
2001-09-28,19736640000
2001-10-01,19224000000
2001-10-02,19416240000
2001-10-03,19912860000
2001-10-04,19720620000
2001-10-05,19832760000
2001-10-08,19560420000
2001-10-09,19816740000
2001-10-10,19848780000
2001-10-11,20025000000
2001-10-12,20057040000
2001-10-15,20025000000
2001-10-16,19752660000
2001-10-17,19896840000
2001-10-18,19848780000
2001-10-19,20025000000
2001-10-22,20105100000
2001-10-23,20041020000
2001-10-24,19512360000
2001-10-25,19240020000
2001-10-26,19352160000
2001-10-29,19640520000
2001-10-30,19448280000
2001-10-31,19592460000
2001-11-01,19704600000
2001-11-02,19608480000
2001-11-05,19448280000
2001-11-06,19304100000
2001-11-07,19432260000
2001-11-08,19496340000
2001-11-09,19416240000
2001-11-12,19401390000
2001-11-13,19743480000
2001-11-14,19922670000
2001-11-15,20167020000
2001-11-16,20101860000
2001-11-19,19857510000
2001-11-20,20362500000
2001-11-21,19971540000
2001-11-23,20281050000
2001-11-26,20557980000
2001-11-27,20476530000
2001-11-28,20411370000
2001-11-29,20769750000
2001-11-30,20623140000
2001-12-03,20672010000
2001-12-04,20932650000
2001-12-05,21062970000
2001-12-06,20737170000
2001-12-07,20036700000
2001-12-10,18977850000
2001-12-11,16224840000
2001-12-12,16241130000
2001-12-13,16273710000
2001-12-14,16713540000
2001-12-17,16404030000
2001-12-18,16371450000
2001-12-19,16273710000
2001-12-20,16404030000
2001-12-21,16697250000
2001-12-24,16697250000
2001-12-26,16697250000
2001-12-27,17039340000
2001-12-28,17104500000
2001-12-31,17006760000
2002-01-02,16713540000
2002-01-03,16794990000
2002-01-04,16648380000
2002-01-07,16713540000
2002-01-08,16583220000
2002-01-09,16664670000
2002-01-10,16697250000
2002-01-11,16746119999
2002-01-14,16599510000
2002-01-15,16713540000
2002-01-16,16713540000
2002-01-17,16794990000
2002-01-18,16729830000
2002-01-22,16632090000
2002-01-23,16680960000
2002-01-24,16876440000
2002-01-25,16876440000
2002-01-28,17153369999
2002-01-29,16860150000
2002-01-30,16909020000
2002-01-31,16778700000
2002-02-01,16550640000
2002-02-04,16193060000
2002-02-05,16494400000
2002-02-06,16161340000
2002-02-07,16605420000
2002-02-08,16319939999
2002-02-11,16319939999
2002-02-12,16541980000
2002-02-13,16304079999
2002-02-14,16526120000
2002-02-15,16319939999
2002-02-19,16319939999
2002-02-20,16890900000
2002-02-21,16462680000
2002-02-22,16779880000
2002-02-25,17049500000
2002-02-26,17477720000
2002-02-27,17477720000
2002-02-28,17572880000
2002-03-01,17731480000
2002-03-04,18064540000
2002-03-05,17937660000
2002-03-06,17699760000
2002-03-07,17652180000
2002-03-08,17683900000
2002-03-11,17890080000
2002-03-12,17430140000
2002-03-13,17620460000
2002-03-14,17636320000
2002-03-15,17715620000
2002-03-18,17620460000
2002-03-19,17747340000
2002-03-20,17810780000
2002-03-21,17683900000
2002-03-22,17842500000
2002-03-25,17588740000
2002-03-26,17604600000
2002-03-27,17683900000
2002-03-28,17572880000
2002-04-01,17287400000
2002-04-02,17446000000
2002-04-03,17461860000
2002-04-04,17683900000
2002-04-05,17446000000
2002-04-08,17509440000
2002-04-09,18127980000
2002-04-10,18286580000
2002-04-11,17826640000
2002-04-12,17572880000
2002-04-15,17842500000
2002-04-16,17731480000
