,TFC
2000-01-03,10529926969
2000-01-04,10223943039
2000-01-05,10354496182
2000-01-06,10835910898
2000-01-07,10913426827
2000-01-10,10631921612
2000-01-11,10354496182
2000-01-12,10607442898
2000-01-13,11476437258
2000-01-14,11908894545
2000-01-18,11374442615
2000-01-19,11219410757
2000-01-20,10811432184
2000-01-21,10913426827
2000-01-24,10607442898
2000-01-25,10607442898
2000-01-26,11272447971
2000-01-27,11423400044
2000-01-28,11272447971
2000-01-31,11476437258
2000-02-01,11627389330
2000-02-02,11500915972
2000-02-03,11627389330
2000-02-04,11219410757
2000-02-07,10709437541
2000-02-08,10631921612
2000-02-09,10582964183
2000-02-10,10301458968
2000-02-11,10354496182
2000-02-14,10199464325
2000-02-15,10505448254
2000-02-16,10199464325
2000-02-17,9815964466
2000-02-18,9611975179
2000-02-22,9767007037
2000-02-23,9407985893
2000-02-24,9232555106
2000-02-25,9257033821
2000-02-28,9509980536
2000-02-29,9587496465
2000-03-01,9436544393
2000-03-02,9383507179
2000-03-03,9538539036
2000-03-06,9232555106
2000-03-07,8975528606
2000-03-08,9028565820
2000-03-09,9359028464
2000-03-10,9203996606
2000-03-13,9334549750
2000-03-14,9130560463
2000-03-15,10121948396
2000-03-16,11141894828
2000-03-17,10913426827
2000-03-20,10660480112
2000-03-21,11272447971
2000-03-22,11321405400
2000-03-23,11680426544
2000-03-24,11578431901
2000-03-27,11219410757
2000-03-28,11243889471
2000-03-29,11500915972
2000-03-30,11141894828
2000-03-31,11818601613
2000-04-03,12345089568
2000-04-04,12505141907
2000-04-05,12189249134
2000-04-06,12109222965
2000-04-07,11742787348
2000-04-10,11873356361
2000-04-11,11793330192
2000-04-12,12083951543
2000-04-13,11768058770
2000-04-14,10976220885
2000-04-17,11216299393
2000-04-18,11321596984
2000-04-19,11056247055
2000-04-20,11136273224
2000-04-24,11346868406
2000-04-25,11818601613
2000-04-26,11452165997
2000-04-27,11056247055
2000-04-28,11216299393
2000-05-01,11346868406
2000-05-02,11321596984
2000-05-03,11161544646
2000-05-04,10976220885
2000-05-05,10925678042
2000-05-08,11081518476
2000-05-09,11186816067
2000-05-10,11081518476
2000-05-11,11426894575
2000-05-12,11557463588
2000-05-15,11713304022
2000-05-16,11477437419
2000-05-17,11397411249
2000-05-18,11637489757
2000-05-19,11216299393
2000-05-22,11557463588
2000-05-23,11848084939
2000-05-24,12163977712
2000-05-25,11818601613
2000-05-26,12109222965
2000-05-30,12189249134
2000-05-31,12345089568
2000-06-01,12821034680
2000-06-02,13372794057
2000-06-05,12741008511
2000-06-06,12399844316
2000-06-07,12479870485
2000-06-08,12214520556
2000-06-09,11923899204
2000-06-12,12016561084
2000-06-13,12083951543
2000-06-14,12163977712
2000-06-15,11321596984
2000-06-16,10752989992
2000-06-19,10950949464
2000-06-20,11005704211
2000-06-21,10765625703
2000-06-22,10950949464
2000-06-23,10925678042
2000-06-26,10950949464
2000-06-27,10950949464
2000-06-28,10879347102
2000-06-29,10529759100
2000-06-30,10783703988
2000-07-03,11461072329
2000-07-05,11573967053
2000-07-06,11713956510
2000-07-07,12079735414
2000-07-10,12138440670
2000-07-11,12477124841
2000-07-12,12138440670
2000-07-13,11881040701
2000-07-14,12079735414
2000-07-17,11741051244
2000-07-18,11515261797
2000-07-19,11461072329
2000-07-20,11799756500
2000-07-21,11461072329
2000-07-24,11601061786
2000-07-25,11573967053
2000-07-26,11289472350
2000-07-27,11235282882
2000-07-28,10864988189
2000-07-31,11262377616
2000-08-01,11289472350
2000-08-02,11542356530
2000-08-03,11966840691
2000-08-04,12251335394
2000-08-07,12192630138
2000-08-08,12165535404
2000-08-09,12165535404
2000-08-10,12251335394
2000-08-11,12391324851
2000-08-14,12332619595
2000-08-15,12165535404
2000-08-16,11993935424
2000-08-17,12106830148
2000-08-18,11912651223
2000-08-21,11853945967
2000-08-22,12106830148
2000-08-23,11912651223
2000-08-24,11826851233
2000-08-25,11939745957
2000-08-28,12052640680
2000-08-29,11881040701
2000-08-30,12052640680
2000-08-31,12228756449
2000-09-01,12052640680
2000-09-05,12138440670
2000-09-06,12391324851
2000-09-07,12531314308
2000-09-08,12955798468
2000-09-11,13181587915
2000-09-12,13208682649
2000-09-13,13520272086
2000-09-14,13520272086
2000-09-15,13461566830
2000-09-18,13122882659
2000-09-19,13208682649
2000-09-20,13154493182
2000-09-21,13041598458
2000-09-22,13122882659
2000-09-25,13294482639
2000-09-26,13380282629
2000-09-27,13493177352
2000-09-28,13746061533
2000-09-29,13606072076
2000-10-02,12480642822
2000-10-03,12685243524
2000-10-04,12480642822
2000-10-05,12456090737
2000-10-06,12022337249
2000-10-09,11891392800
