,CR
2000-01-03,1186878000
2000-01-04,1194585000
2000-01-05,1221559500
2000-01-06,1209999000
2000-01-07,1209999000
2000-01-10,1213852500
2000-01-11,1209999000
2000-01-12,1190731500
2000-01-13,1225413000
2000-01-14,1198438500
2000-01-18,1236973500
2000-01-19,1267801500
2000-01-20,1252387500
2000-01-21,1244680500
2000-01-24,1183024500
2000-01-25,1186878000
2000-01-26,1190731500
2000-01-27,1194585000
2000-01-28,1148343000
2000-01-31,1206145500
2000-02-01,1229266500
2000-02-02,1233120000
2000-02-03,1225413000
2000-02-04,1244680500
2000-02-07,1229266500
2000-02-08,1248534000
2000-02-09,1217706000
2000-02-10,1217706000
2000-02-11,1206145500
2000-02-14,1221559500
2000-02-15,1263948000
2000-02-16,1252387500
2000-02-17,1233120000
2000-02-18,1217706000
2000-02-22,1202292000
2000-02-23,1221559500
2000-02-24,1179171000
2000-02-25,1179171000
2000-02-28,1202292000
2000-02-29,1225413000
2000-03-01,1190731500
2000-03-02,1209999000
2000-03-03,1240827000
2000-03-06,1217706000
2000-03-07,1198438500
2000-03-08,1248534000
2000-03-09,1233120000
2000-03-10,1221559500
2000-03-13,1198438500
2000-03-14,1217706000
2000-03-15,1248534000
2000-03-16,1402674000
2000-03-17,1406527500
2000-03-20,1406527500
2000-03-21,1394967000
2000-03-22,1445062500
2000-03-23,1448916000
2000-03-24,1448916000
2000-03-27,1433502000
2000-03-28,1425795000
2000-03-29,1429648500
2000-03-30,1433502000
2000-03-31,1430314437
2000-04-03,1426520500
2000-04-04,1464459875
2000-04-05,1472047750
2000-04-06,1494811375
2000-04-07,1475841687
2000-04-10,1456872000
2000-04-11,1468253812
2000-04-12,1528956812
2000-04-13,1551720437
2000-04-14,1483429562
2000-04-17,1551720437
2000-04-18,1597247687
2000-04-19,1623805250
2000-04-20,1601041625
2000-04-24,1608629500
2000-04-25,1665538562
2000-04-26,1604835562
2000-04-27,1638981000
2000-04-28,1631393125
2000-05-01,1669332500
2000-05-02,1627599187
2000-05-03,1585865875
2000-05-04,1601041625
2000-05-05,1620011312
2000-05-08,1627599187
2000-05-09,1616217375
2000-05-10,1638981000
2000-05-11,1711065812
2000-05-12,1764180937
2000-05-15,1764180937
2000-05-16,1730035500
2000-05-17,1707271875
2000-05-18,1695890062
2000-05-19,1646568875
2000-05-22,1635187062
2000-05-23,1654156750
2000-05-24,1661744625
2000-05-25,1638981000
2000-05-26,1585865875
2000-05-30,1631393125
2000-05-31,1601041625
2000-06-01,1676920375
2000-06-02,1703477937
2000-06-05,1695890062
2000-06-06,1718653687
2000-06-07,1684508250
2000-06-08,1661744625
2000-06-09,1646568875
2000-06-12,1635187062
2000-06-13,1593453750
2000-06-14,1623805250
2000-06-15,1593453750
2000-06-16,1570690125
2000-06-19,1513781062
2000-06-20,1456872000
2000-06-21,1483429562
2000-06-22,1453078062
2000-06-23,1453078062
2000-06-26,1426520500
2000-06-27,1441696250
2000-06-28,1412293234
2000-06-29,1494811375
2000-06-30,1476084656
2000-07-03,1516850000
2000-07-05,1494097250
2000-07-06,1478928750
2000-07-07,1456176000
2000-07-10,1490305125
2000-07-11,1486513000
2000-07-12,1463760250
2000-07-13,1478928750
2000-07-14,1482720875
2000-07-17,1456176000
2000-07-18,1425839000
2000-07-19,1441007500
2000-07-20,1414462625
2000-07-21,1365165000
2000-07-24,1312075250
2000-07-25,1361372875
2000-07-26,1342412250
2000-07-27,1281738250
2000-07-28,1296906750
2000-07-31,1334828000
2000-08-01,1365165000
2000-08-02,1380333500
2000-08-03,1399294125
2000-08-04,1441007500
2000-08-07,1456176000
2000-08-08,1497889375
2000-08-09,1475136625
2000-08-10,1452383875
2000-08-11,1467552375
2000-08-14,1463760250
2000-08-15,1463760250
2000-08-16,1471344500
2000-08-17,1444799625
2000-08-18,1471344500
2000-08-21,1497889375
2000-08-22,1478928750
2000-08-23,1452383875
2000-08-24,1452383875
2000-08-25,1448591750
2000-08-28,1528226375
2000-08-29,1524434250
2000-08-30,1497889375
2000-08-31,1525382281
2000-09-01,1535810625
2000-09-05,1535810625
2000-09-06,1562355500
2000-09-07,1573731875
2000-09-08,1577524000
2000-09-11,1566147625
2000-09-12,1357580750
2000-09-13,1338620125
2000-09-14,1346204375
2000-09-15,1293114625
2000-09-18,1285530375
2000-09-19,1293114625
2000-09-20,1315867375
2000-09-21,1308283125
2000-09-22,1289322500
2000-09-25,1312075250
2000-09-26,1323451625
2000-09-27,1342412250
2000-09-28,1346204375
2000-09-29,1387917750
2000-10-02,1362296500
2000-10-03,1388639250
2000-10-04,1399929000
2000-10-05,1381112750
2000-10-06,1377349500
2000-10-09,1384876000
2000-10-10,1381112750
2000-10-11,1354770000
2000-10-12,1354770000
2000-10-13,1377349500
2000-10-16,1445088000
2000-10-17,1377349500
2000-10-18,1437561500
2000-10-19,1437561500
2000-10-20,1452614500
2000-10-23,1482720500
2000-10-24,1478957250
2000-10-25,1456377750
2000-10-26,1463904250
2000-10-27,1456377750
2000-10-30,1531642750
2000-10-31,1576801750
2000-11-01,1573038500
2000-11-02,1588091500
2000-11-03,1561748750
2000-11-06,1550459000
2000-11-07,1554222250
2000-11-08,1557985500
2000-11-09,1557985500
2000-11-10,1516589750
2000-11-13,1501536750
2000-11-14,1494010250
2000-11-15,1516589750
2000-11-16,1490247000
2000-11-17,1505300000
2000-11-20,1490247000
2000-11-21,1497773500
2000-11-22,1478957250
2000-11-24,1494010250
2000-11-27,1520353000
2000-11-28,1524116250
2000-11-29,1527879500
2000-11-30,1520353000
2000-12-01,1516589750
2000-12-04,1576801750
2000-12-05,1599381250
2000-12-06,1584328250
2000-12-07,1550459000
2000-12-08,1557985500
2000-12-11,1565512000
2000-12-12,1576801750
2000-12-13,1569275250
2000-12-14,1561748750
2000-12-15,1539169250
2000-12-18,1561748750
2000-12-19,1501536750
2000-12-20,1482720500
2000-12-21,1535406000
2000-12-22,1561748750
2000-12-26,1588091500
2000-12-27,1678409500
2000-12-28,1693462500
2000-12-29,1712278750
2001-01-02,1678409500
2001-01-03,1670883000
2001-01-04,1689699250
2001-01-05,1682172750
2001-01-08,1655830000
2001-01-09,1652066750
2001-01-10,1655830000
2001-01-11,1637013750
2001-01-12,1621960750
2001-01-16,1640777000
2001-01-17,1625724000
2001-01-18,1588091500
2001-01-19,1603144500
2001-01-22,1584328250
2001-01-23,1621960750
2001-01-24,1629487250
