,KEY
2000-01-03,9168055500
2000-01-04,9057597000
2000-01-05,8894118420
2000-01-06,9225493920
2000-01-07,9472920960
2000-01-10,9168055500
2000-01-11,9168055500
2000-01-12,9278514000
2000-01-13,9525941040
2000-01-14,9720348000
2000-01-18,9335952420
2000-01-19,9115035420
2000-01-20,9057597000
2000-01-21,9446410920
2000-01-24,9031086960
2000-01-25,8894118420
2000-01-26,9525941040
2000-01-27,9305024040
2000-01-28,9057597000
2000-01-31,9278514000
2000-02-01,9168055500
2000-02-02,9057597000
2000-02-03,9031086960
2000-02-04,8894118420
2000-02-07,8836680000
2000-02-08,9004576920
2000-02-09,8615763000
2000-02-10,8284387500
2000-02-11,8257877460
2000-02-14,8036960460
2000-02-15,8200439039
2000-02-16,7899991920
2000-02-17,7926501960
2000-02-18,7621636500
2000-02-22,7705584960
2000-02-23,7595126460
2000-02-24,7705584960
2000-02-25,7511178000
2000-02-28,7511178000
2000-02-29,7484667960
2000-03-01,7568616420
2000-03-02,7484667960
2000-03-03,7705584960
2000-03-06,7679074920
2000-03-07,7069344000
2000-03-08,6932375460
2000-03-09,6985395540
2000-03-10,7095854039
2000-03-13,7179802500
2000-03-14,7016323920
2000-03-15,7816043460
2000-03-16,8341825920
2000-03-17,8310897539
2000-03-20,8036960460
2000-03-21,8368335960
2000-03-22,8589252960
2000-03-23,8615763000
2000-03-24,8452284420
2000-03-27,8257877460
2000-03-28,8478794460
2000-03-29,8394846000
2000-03-30,8284387500
2000-03-31,8248128000
2000-04-03,8465184000
2000-04-04,8330609280
2000-04-05,8139600000
2000-04-06,8165646719
2000-04-07,7870450560
2000-04-10,7814016000
2000-04-11,7896497280
2000-04-12,8139600000
2000-04-13,7978978560
2000-04-14,7462385280
2000-04-17,7653394560
2000-04-18,7731534719
2000-04-19,7705488000
2000-04-20,7761922560
2000-04-24,8005025280
2000-04-25,8274174719
2000-04-26,8196034560
2000-04-27,8031072000
2000-04-28,8031072000
2000-05-01,8196034560
2000-05-02,8057118719
2000-05-03,7896497280
2000-05-04,7705488000
2000-05-05,7705488000
2000-05-08,7870450560
2000-05-09,7814016000
2000-05-10,7870450560
2000-05-11,8031072000
2000-05-12,8248128000
2000-05-15,8356656000
2000-05-16,8031072000
2000-05-17,8113553280
2000-05-18,8304562560
2000-05-19,8165646719
2000-05-22,8330609280
2000-05-23,8630146560
2000-05-24,9116352000
2000-05-25,8738674560
2000-05-26,8981777280
2000-05-30,9116352000
2000-05-31,9116352000
2000-06-01,9441936000
2000-06-02,9932482560
2000-06-05,9606898560
2000-06-06,9090305280
2000-06-07,9281314560
2000-06-08,9172786560
2000-06-09,8790768000
2000-06-12,8925342720
2000-06-13,8899296000
2000-06-14,8925342720
2000-06-15,8547665280
2000-06-16,8113553280
2000-06-19,8304562560
2000-06-20,8057118719
2000-06-21,7948590719
2000-06-22,8139600000
2000-06-23,8139600000
2000-06-26,8165646719
2000-06-27,8304562560
2000-06-28,8334950400
2000-06-29,8304562560
2000-06-30,7573565920
2000-07-03,8080475039
2000-07-05,8162096000
2000-07-06,8162096000
2000-07-07,8376888000
2000-07-10,8376888000
2000-07-11,8351112960
2000-07-12,8351112960
2000-07-13,8217941920
2000-07-14,8269492000
2000-07-17,8136320960
2000-07-18,7947304000
2000-07-19,7839908000
2000-07-20,8136320960
2000-07-21,7865683039
2000-07-24,8003149920
2000-07-25,8054700000
2000-07-26,7758287039
2000-07-27,7788357920
2000-07-28,7573565920
2000-07-31,7543495039
2000-08-01,7758287039
2000-08-02,7788357920
2000-08-03,8028924960
2000-08-04,8432733920
2000-08-07,8432733920
2000-08-08,8325337920
2000-08-09,8269492000
2000-08-10,8351112960
2000-08-11,8565904960
2000-08-14,8540129920
2000-08-15,8510059039
2000-08-16,8510059039
2000-08-17,8510059039
2000-08-18,8376888000
2000-08-21,8402663039
2000-08-22,8724851040
2000-08-23,8540129920
2000-08-24,8484284000
2000-08-25,8269492000
2000-08-28,8432733920
2000-08-29,8325337920
2000-08-30,8432733920
2000-08-31,8677596800
2000-09-01,8647525920
2000-09-05,8888092960
2000-09-06,9399297920
2000-09-07,9425072960
2000-09-08,9665640000
2000-09-11,10443187040
2000-09-12,10095224000
2000-09-13,10043673920
2000-09-14,10284240960
2000-09-15,10391636960
2000-09-18,9962052960
2000-09-19,9880432000
2000-09-20,10013603040
2000-09-21,9962052960
2000-09-22,10095224000
2000-09-25,10417412000
2000-09-26,10657979040
2000-09-27,10980167040
2000-09-28,11465596960
2000-09-29,10872771040
2000-10-02,10812000000
2000-10-03,11024500000
2000-10-04,11024500000
2000-10-05,10786500000
2000-10-06,10467750000
2000-10-09,10361500000
2000-10-10,10119250000
2000-10-11,9724000000
2000-10-12,9511500000
2000-10-13,10013000000
2000-10-16,10093750000
2000-10-17,9694250000
2000-10-18,9269250000
2000-10-19,9588000000
2000-10-20,9562500000
2000-10-23,9668750000
2000-10-24,10013000000
2000-10-25,9962000000
2000-10-26,9775000000
2000-10-27,10119250000
2000-10-30,10518750000
2000-10-31,10493250000
