,CRL
2000-06-23,436048118
2000-06-26,774147500
2000-06-27,763088250
2000-06-28,763088250
2000-06-29,749817150
2000-06-30,785206750
2000-07-03,785206750
2000-07-05,794054150
2000-07-06,840503000
2000-07-07,836079300
2000-07-10,875892600
2000-07-11,893587400
2000-07-12,880316300
2000-07-13,928977000
2000-07-14,858197800
2000-07-17,838291150
2000-07-18,875892600
2000-07-19,880316300
2000-07-20,869257050
2000-07-21,855985950
2000-07-24,902434800
2000-07-25,878104450
2000-07-26,964366600
2000-07-27,999756200
2000-07-28,975425850
2000-07-31,1068323550
2000-08-01,1008603600
2000-08-02,997544350
2000-08-03,1074959100
2000-08-04,1057264300
2000-08-07,1167856800
2000-08-08,1170068650
2000-08-09,1121407950
2000-08-10,1083806500
2000-08-11,1039569500
2000-08-14,988696950
2000-08-15,933400700
2000-08-16,913494050
2000-08-17,913494050
2000-08-18,928977000
2000-08-21,902434800
2000-08-22,933400700
2000-08-23,988696950
2000-08-24,990908800
2000-08-25,975425850
2000-08-28,988696950
2000-08-29,986485100
2000-08-30,973214000
2000-08-31,971002150
2000-09-01,979849550
2000-09-05,971002150
2000-09-06,973214000
2000-09-07,964366600
2000-09-08,942248100
2000-09-11,948883650
2000-09-12,935612550
2000-09-13,920129600
2000-09-14,913494050
2000-09-15,880316300
2000-09-18,813960800
2000-09-19,760876400
2000-09-20,780783050
2000-09-21,796266000
2000-09-22,813960800
2000-09-25,1075350000
2000-09-26,1148212500
2000-09-27,1188412500
2000-09-28,1276350000
2000-09-29,1366800000
2000-10-02,1268812500
2000-10-03,1251225000
2000-10-04,1165800000
2000-10-05,1120575000
2000-10-06,1077862500
2000-10-09,1050225000
2000-10-10,1005000000
2000-10-11,982387500
2000-10-12,964800000
2000-10-13,969825000
2000-10-16,1042687500
2000-10-17,1020075000
2000-10-18,1090425000
2000-10-19,1052737500
2000-10-20,1095450000
2000-10-23,1097962500
2000-10-24,1067812500
2000-10-25,1065300000
2000-10-26,1045200000
2000-10-27,1025100000
2000-10-30,1015050000
2000-10-31,1055250000
2000-11-01,1025100000
2000-11-02,984900000
2000-11-03,979875000
2000-11-06,954750000
2000-11-07,939675000
2000-11-08,949725000
2000-11-09,932137500
2000-11-10,914550000
2000-11-13,884400000
2000-11-14,964800000
2000-11-15,964800000
2000-11-16,982387500
2000-11-17,987412500
2000-11-20,974850000
2000-11-21,977362500
2000-11-22,974850000
2000-11-24,969825000
2000-11-27,954750000
2000-11-28,942187500
2000-11-29,939675000
2000-11-30,859275000
2000-12-01,944700000
2000-12-04,937162500
2000-12-05,929625000
2000-12-06,924600000
2000-12-07,894450000
2000-12-08,864300000
2000-12-11,824100000
2000-12-12,891937500
2000-12-13,889425000
2000-12-14,904500000
2000-12-15,901987500
2000-12-18,924600000
2000-12-19,934650000
2000-12-20,969825000
2000-12-21,967312500
2000-12-22,1057762500
2000-12-26,1055250000
2000-12-27,1092937500
2000-12-28,1090425000
2000-12-29,1100475000
2001-01-02,955718648
2001-01-03,877980768
2001-01-04,921422524
2001-01-05,896272034
2001-01-08,845971052
2001-01-09,880267176
2001-01-10,877980768
2001-01-11,896272034
2001-01-12,875694359
2001-01-16,891699217
2001-01-17,818534153
2001-01-18,809388520
2001-01-19,873407951
2001-01-22,914563300
2001-01-23,896272034
2001-01-24,898558442
2001-01-25,877980768
2001-01-26,916849708
2001-01-29,945658452
2001-01-30,1027969149
2001-01-31,1031627438
2001-02-01,943829289
2001-02-02,942000199
2001-02-05,942000199
2001-02-06,949316741
2001-02-07,942000199
2001-02-08,942000199
2001-02-09,925538023
2001-02-12,912734209
2001-02-13,918221553
2001-02-14,909075920
2001-02-15,896272034
2001-02-16,896272034
2001-02-20,914563300
2001-02-21,903588576
2001-02-22,874688340
2001-02-23,849080531
2001-02-26,885297310
2001-02-27,909075920
2001-02-28,885297310
2001-03-01,871030050
2001-03-02,868835135
2001-03-05,848714778
2001-03-06,839569145
2001-03-07,797499161
2001-03-08,797499161
2001-03-09,760916629
2001-03-12,658485576
2001-03-13,698726361
2001-03-14,707871994
2001-03-15,707871994
2001-03-16,731650640
2001-03-19,767867346
2001-03-20,742991188
2001-03-21,718846753
2001-03-22,679703444
2001-03-23,744454526
2001-03-26,768233172
2001-03-27,820912054
2001-03-28,823106970
2001-03-29,872493388
2001-03-30,905417667
2001-04-02,954572968
2001-04-03,948144868
2001-04-04,960197557
2001-04-05,944127305
