,RSG
2000-01-03,2479815000
2000-01-04,2324497500
2000-01-05,2282377500
2000-01-06,2271847500
2000-01-07,2390310000
2000-01-10,2403472500
2000-01-11,2348190000
2000-01-12,2358720000
2000-01-13,2369250000
2000-01-14,2358720000
2000-01-18,2324497500
2000-01-19,2282377500
2000-01-20,2282377500
2000-01-21,2282377500
2000-01-24,2227095000
2000-01-25,2192872500
2000-01-26,2084940000
2000-01-27,2106000000
2000-01-28,2061247500
2000-01-31,2061247500
2000-02-01,1953315000
2000-02-02,1963845000
2000-02-03,1898032500
2000-02-04,2019127500
2000-02-07,1995435000
2000-02-08,1984905000
2000-02-09,1929622500
2000-02-10,1821690000
2000-02-11,1766407500
2000-02-14,1832220000
2000-02-15,1919092500
2000-02-16,1919092500
2000-02-17,2019127500
2000-02-18,1908562500
2000-02-22,1984905000
2000-02-23,2029657500
2000-02-24,1984905000
2000-02-25,1984905000
2000-02-28,1876972500
2000-02-29,1887502500
2000-03-01,1863810000
2000-03-02,1832220000
2000-03-03,1887502500
2000-03-06,1863810000
2000-03-07,1811160000
2000-03-08,1821690000
2000-03-09,1953315000
2000-03-10,1919092500
2000-03-13,1953315000
2000-03-14,1821690000
2000-03-15,1797997500
2000-03-16,1842750000
2000-03-17,1832220000
2000-03-20,1887502500
2000-03-21,1821690000
2000-03-22,1853280000
2000-03-23,1898032500
2000-03-24,1811160000
2000-03-27,1919092500
2000-03-28,1908562500
2000-03-29,1863810000
2000-03-30,1863810000
2000-03-31,1923466500
2000-04-03,2100246000
2000-04-04,2044837500
2000-04-05,2055391500
2000-04-06,2187316500
2000-04-07,2277025500
2000-04-10,2277025500
2000-04-11,2242725000
2000-04-12,2166208500
2000-04-13,2197870500
2000-04-14,2145100500
2000-04-17,2187316500
2000-04-18,2211063000
2000-04-19,2155654500
2000-04-20,2187316500
2000-04-24,2221617000
2000-04-25,2232171000
2000-04-26,2298133500
2000-04-27,2329795500
2000-04-28,2408950500
2000-05-01,2461720500
2000-05-02,2461720500
2000-05-03,2385204000
2000-05-04,2408950500
2000-05-05,2461720500
2000-05-08,2440612500
2000-05-09,2440612500
2000-05-10,2461720500
2000-05-11,2857495500
2000-05-12,2870688000
2000-05-15,2857495500
2000-05-16,2791533000
2000-05-17,2846941500
2000-05-18,2759871000
2000-05-19,2683354500
2000-05-22,2627946000
2000-05-23,2561983500
2000-05-24,2583091500
2000-05-25,2759871000
2000-05-26,2902350000
2000-05-30,2936650500
2000-05-31,2902350000
2000-06-01,2825833500
2000-06-02,2825833500
2000-06-05,2683354500
2000-06-06,2561983500
2000-06-07,2506575000
2000-06-08,2551429500
2000-06-09,2606838000
2000-06-12,2593645500
2000-06-13,2451166500
2000-06-14,2496021000
