,KLAC
2000-01-03,9983410500
2000-01-04,9558310440
2000-01-05,9079842840
2000-01-06,9149772720
2000-01-07,9690809160
2000-01-10,10725035280
2000-01-11,10633022280
2000-01-12,10966109340
2000-01-13,11019476880
2000-01-14,12697794000
2000-01-18,12018738060
2000-01-19,11834712060
2000-01-20,11639644500
2000-01-21,11823670500
2000-01-24,11006595060
2000-01-25,11398570440
2000-01-26,10743437880
2000-01-27,10478440440
2000-01-28,10362504060
2000-01-31,10789444380
2000-02-01,11157496380
2000-02-02,11880718560
2000-02-03,12180680940
2000-02-04,12134674440
2000-02-07,12548732940
2000-02-08,12835813500
2000-02-09,12478803060
2000-02-10,12962791440
2000-02-11,12605781000
2000-02-14,12445678380
2000-02-15,12824771940
2000-02-16,13203865500
2000-02-17,13617924000
2000-02-18,12513768000
2000-02-22,13181782380
2000-02-23,13306920060
2000-02-24,13398933060
2000-02-25,12629704380
2000-02-28,12846855060
2000-02-29,14342986440
2000-03-01,13858998060
2000-03-02,13273795380
2000-03-03,15320164500
2000-03-06,15447142440
2000-03-07,15458184000
2000-03-08,14538054000
2000-03-09,15642210000
2000-03-10,16770289380
2000-03-13,15447142440
2000-03-14,14055905880
2000-03-15,13825873380
2000-03-16,13825873380
2000-03-17,14722080000
2000-03-20,14181043560
2000-03-21,14849057940
2000-03-22,15377212560
2000-03-23,15964255500
2000-03-24,16435362060
2000-03-27,16459285440
2000-03-28,15642210000
2000-03-29,14319063060
2000-03-30,14584060500
2000-03-31,15673701500
2000-04-03,14336088280
2000-04-04,14814205940
2000-04-05,15139772440
2000-04-06,16581566940
2000-04-07,18127542720
2000-04-10,15591844780
2000-04-11,16069962440
2000-04-12,14510964000
2000-04-13,12045960500
2000-04-14,10721369940
2000-04-17,12650584000
2000-04-18,13394736000
2000-04-19,12010613280
2000-04-20,12116654940
2000-04-24,11884107440
2000-04-25,12302692940
2000-04-26,11848760220
2000-04-27,13197535720
2000-04-28,13930525440
2000-05-01,13312879280
2000-05-02,12778950220
2000-05-03,11616212720
2000-05-04,11720394000
2000-05-05,11837597940
2000-05-08,11151117720
2000-05-09,10232090000
2000-05-10,9115862000
2000-05-11,9313062280
2000-05-12,9638628780
2000-05-15,10232090000
2000-05-16,10604166000
2000-05-17,10721369940
2000-05-18,10535331940
2000-05-19,9744670440
2000-05-22,9685138280
2000-05-23,8650767000
2000-05-24,8929824000
2000-05-25,8209856940
2000-05-26,8453566720
2000-05-30,9813504500
2000-05-31,9220043280
2000-06-01,10209765440
2000-06-02,11441337000
2000-06-05,10918570220
2000-06-06,10150233280
2000-06-07,10674860440
2000-06-08,10836713500
2000-06-09,10779041720
2000-06-12,10116746440
2000-06-13,10371618500
2000-06-14,9884198940
2000-06-15,10046052000
2000-06-16,10209765440
2000-06-19,11441337000
2000-06-20,11802250720
2000-06-21,11709231720
2000-06-22,11465521940
2000-06-23,11011589220
2000-06-26,11731556280
2000-06-27,11325993440
2000-06-28,11512031440
2000-06-29,10721369940
2000-06-30,10967233920
2000-07-03,10920413420
2000-07-05,9375336920
2000-07-06,9551382000
2000-07-07,10066407500
2000-07-10,9903472160
2000-07-11,10512138660
2000-07-12,11236920000
2000-07-13,11038401080
2000-07-14,11611484000
2000-07-17,11927990580
2000-07-18,11248156920
2000-07-19,10253689500
2000-07-20,10499028920
2000-07-21,9446504080
2000-07-24,9809831160
2000-07-25,10336093580
2000-07-26,10264926420
2000-07-27,9457741000
2000-07-28,9540145080
2000-07-31,9972766500
2000-08-01,9352863080
2000-08-02,9504561500
2000-08-03,8369632580
2000-08-04,8427690000
2000-08-07,8884658080
2000-08-08,8568151500
2000-08-09,8661792500
2000-08-10,7937011160
2000-08-11,8369632580
2000-08-14,9551382000
2000-08-15,9879125500
2000-08-16,9972766500
2000-08-17,10264926420
2000-08-18,10311746920
2000-08-21,9879125500
2000-08-22,10418497660
2000-08-23,11294977420
2000-08-24,11014054420
2000-08-25,11107695420
2000-08-28,11459785580
2000-08-29,11729471660
2000-08-30,12208913580
2000-08-31,12291317660
2000-09-01,12512310420
2000-09-05,12150856160
2000-09-06,11081475940
2000-09-07,11448548660
2000-09-08,10440971500
2000-09-11,10148811580
2000-09-12,9399683580
2000-09-13,9645023000
2000-09-14,9551382000
2000-09-15,9341626160
2000-09-18,9212401580
2000-09-19,9997113160
2000-09-20,9984003420
2000-09-21,9234875420
2000-09-22,8124293160
2000-09-25,7912664500
2000-09-26,7455696420
2000-09-27,7656088160
2000-09-28,8485747420
2000-09-29,7714145580
2000-10-02,7039386000
2000-10-03,6981959430
2000-10-04,7537700430
2000-10-05,7074582930
2000-10-06,6541071570
2000-10-09,6680006820
2000-10-10,6344709750
2000-10-11,6600350610
2000-10-12,6426218430
2000-10-13,6402136320
2000-10-16,5824165680
2000-10-17,5198030820
2000-10-18,5268424680
2000-10-19,6483645000
2000-10-20,6379906680
2000-10-23,6726318570
2000-10-24,6170577570
2000-10-25,5939018820
