,SE
2017-10-20,4769457963
2017-10-23,4476133365
2017-10-24,4470266873
2017-10-25,4027346730
2017-10-26,4112410863
2017-10-27,4109477617
2017-10-30,4135876831
2017-10-31,4423334937
2017-11-01,4525998547
2017-11-02,4470266873
2017-11-03,4396935724
2017-11-06,4402802215
2017-11-07,4399868970
2017-11-08,4352937034
2017-11-09,4253206671
2017-11-10,4317738082
2017-11-13,4320671328
2017-11-14,4402802215
2017-11-15,4314804836
2017-11-16,4408668707
2017-11-17,4399868970
2017-11-20,4543598023
2017-11-21,4335337558
2017-11-22,4062545682
2017-11-24,3910016891
2017-11-27,3716422656
2017-11-28,3358566647
2017-11-29,3217770840
2017-11-30,3402565336
2017-12-01,3646024753
2017-12-04,3514028684
2017-12-05,3734022132
2017-12-06,3558027373
2017-12-07,3789753806
2017-12-08,3898283907
2017-12-11,3933482859
2017-12-12,3868951447
2017-12-13,3731088886
2017-12-14,3452430518
2017-12-15,3519895176
2017-12-18,3496429208
2017-12-19,3481762978
2017-12-20,3584426587
2017-12-21,3745755116
2017-12-22,3883617677
2017-12-26,3813219774
2017-12-27,3924683121
2017-12-28,3959882073
2017-12-29,3910016891
2018-01-02,4360267739
2018-01-03,4524489967
2018-01-04,4356916265
2018-01-05,4655197455
2018-01-08,4648494507
2018-01-09,4631737137
2018-01-10,4554653233
2018-01-11,4769147573
2018-01-12,4346861842
2018-01-16,4283183835
2018-01-17,4232911725
2018-01-18,4216154354
2018-01-19,4125664555
2018-01-22,4219505828
2018-01-23,4323401524
2018-01-24,4276480887
2018-01-25,4273129413
2018-01-26,4454109012
2018-01-29,4095501289
2018-01-30,4031823282
2018-01-31,4108907185
2018-02-01,3994957067
2018-02-02,3998308541
2018-02-05,3854195157
2018-02-06,3746947987
2018-02-07,3753650936
2018-02-08,3646403766
2018-02-09,3797220098
2018-02-12,3850843683
2018-02-13,3887709898
2018-02-14,3931279060
2018-02-15,4149124873
2018-02-16,4132367503
2018-02-20,4132367503
2018-02-21,4196045510
2018-02-22,4008362963
2018-02-23,4075392444
2018-02-26,4072040970
2018-02-27,4108907185
2018-02-28,3673215558
2018-03-01,3696675877
2018-03-02,3576022811
2018-03-05,3612889025
2018-03-06,3663161136
2018-03-07,3884358423
2018-03-08,3750299461
2018-03-09,3713433247
2018-03-12,3840789261
2018-03-13,3787165676
2018-03-14,3736893565
