,AM
2018-04-06,2919600320
2018-04-09,2897256440
2018-04-10,2927048280
2018-04-11,2960564100
2018-04-12,2981045990
2018-04-13,2995941910
2018-04-16,3085317430
2018-04-17,3193312849
2018-04-18,3191450860
2018-04-19,3126281210
2018-04-20,3079731460
2018-04-23,3169106980
2018-04-24,3103937330
2018-04-25,3150487080
2018-04-26,3236138620
2018-04-27,3223104690
2018-04-30,3206346780
2018-05-01,3247310560
2018-05-02,3273378419
2018-05-03,3174692950
2018-05-04,3148625090
2018-05-07,3226828669
2018-05-08,3232414640
2018-05-09,3195174840
2018-05-10,3215656730
2018-05-11,3230552650
2018-05-14,3297584290
2018-05-15,3306894240
2018-05-16,3321790160
2018-05-17,3338548070
2018-05-18,3403717720
2018-05-21,3461439410
2018-05-22,3465163390
2018-05-23,3468887370
2018-05-24,3392545780
2018-05-25,3390683790
2018-05-29,3381373840
2018-05-30,3517299110
2018-05-31,3584330750
2018-06-01,3643914430
2018-06-04,3632742490
2018-06-05,3595502690
2018-06-06,3539642990
2018-06-07,3582468759
2018-06-08,3552676919
2018-06-11,3584330750
2018-06-12,3539642990
2018-06-13,3500541200
2018-06-14,3535919009
2018-06-15,3416751650
2018-06-18,3439095530
2018-06-19,3534057020
2018-06-20,3560124880
2018-06-21,3558262890
2018-06-22,3575020800
2018-06-25,3532195030
2018-06-26,3526609060
2018-06-27,3411165680
2018-06-28,3465163390
2018-06-29,3511713140
2018-07-02,3513744960
2018-07-03,3539814080
2018-07-05,3545400320
2018-07-06,3595676480
2018-07-09,3634780160
2018-07-10,3575193600
2018-07-11,3562159040
2018-07-12,3627331840
2018-07-13,3537952000
2018-07-16,3416916800
2018-07-17,3474641280
2018-07-18,3478365440
2018-07-19,3588228160
2018-07-20,3582641919
2018-07-23,3578917760
2018-07-24,3549124480
2018-07-25,3612435199
2018-07-26,3631056000
2018-07-27,3558434880
2018-07-30,3586366080
2018-07-31,3578917760
2018-08-01,3578917760
2018-08-02,3545400320
2018-08-03,3444848000
2018-08-06,3517469120
2018-08-07,3510020800
2018-08-08,3539814080
2018-08-09,3573331520
2018-08-10,3601262720
2018-08-13,3539814080
2018-08-14,3556572800
2018-08-15,3465330880
2018-08-16,3485813760
2018-08-17,3515607040
2018-08-20,3554710720
2018-08-21,3604986880
2018-08-22,3625469760
2018-08-23,3491400000
2018-08-24,3416916800
2018-08-27,3361054400
2018-08-28,3290295360
2018-08-29,3213950080
2018-08-30,3217674240
2018-08-31,3145053120
2018-09-04,3174846400
2018-09-05,3143191040
2018-09-06,3076156160
2018-09-07,3115259840
2018-09-10,3118984000
2018-09-11,3191605120
2018-09-12,3273536639
2018-09-13,3279122880
2018-09-14,3206501760
2018-09-17,3098501120
2018-09-18,3180432639
2018-09-19,3161811840
2018-09-20,3187880960
2018-09-21,3230708800
2018-09-24,3212088000
2018-09-25,3197191360
2018-09-26,3141328960
2018-09-27,3156225600
2018-09-28,3150639360
2018-10-01,3275895000
2018-10-02,3332053200
2018-10-03,3290870519
2018-10-04,3268407240
2018-10-05,3277766940
2018-10-08,3204761280
2018-10-09,3498655860
2018-10-10,3474320639
2018-10-11,3376979760
2018-10-12,3348900660
2018-10-15,3356388420
2018-10-16,3451857360
2018-10-17,3388211400
2018-10-18,3373235880
2018-10-19,3371363940
2018-10-22,3330181260
2018-10-23,3251559780
2018-10-24,3163578599
2018-10-25,3156090840
2018-10-26,3032542800
2018-10-29,2957665200
2018-10-30,2950177440
2018-10-31,3015695340
2018-11-01,2938945800
2018-11-02,2860324320
2018-11-05,2835989100
2018-11-06,2867812080
2018-11-07,2834117160
2018-11-08,2849092680
2018-11-09,2839732980
2018-11-12,2843476860
2018-11-13,2792934480
2018-11-14,2792934480
2018-11-15,2738648220
2018-11-16,2777958960
2018-11-19,2781702840
2018-11-20,2680618080
2018-11-21,2727416580
2018-11-23,2639435400
2018-11-26,2716184940
2018-11-27,2710569120
2018-11-28,2824757460
2018-11-29,2800422240
2018-11-30,2772343140
2018-12-03,2834117160
2018-12-04,2768599260
2018-12-06,2716184940
2018-12-07,2706825240
2018-12-10,2684361960
2018-12-11,2663770620
2018-12-12,2665642560
2018-12-13,2665642560
2018-12-14,2643179280
2018-12-17,2512143480
2018-12-18,2394211260
2018-12-19,2392339320
2018-12-20,2207017260
2018-12-21,2087213100
2018-12-24,1971152819
2018-12-26,2094700860
2018-12-27,2044158480
2018-12-28,2070365640
2018-12-31,2838344860
2019-01-02,2891659030
2019-01-03,2970360900
2019-01-04,3198850200
2019-01-07,3302939770
2019-01-08,3386719180
2019-01-09,3277552070
2019-01-10,3193772660
2019-01-11,3109993250
2019-01-14,3056679080
2019-01-15,3092221860
2019-01-16,3130303410
2019-01-17,3196311430
2019-01-18,3234392980
2019-01-22,3178540040
2019-01-23,3173462500
2019-01-24,3252164370
2019-01-25,3330866240
2019-01-28,3394335490
2019-01-29,3440033350
2019-01-30,3516196450
2019-01-31,3407029340
2019-02-01,3404490570
2019-02-04,3467959820
2019-02-05,3493347520
2019-02-06,3465421050
2019-02-07,3300401000
2019-02-08,3262319450
2019-02-11,3285168380
2019-02-12,3386719180
2019-02-13,3356253940
2019-02-14,3437494580
2019-02-15,3536506610
2019-02-19,3632979870
2019-02-20,3572049390
2019-02-21,3523812760
2019-02-22,3442572120
2019-02-25,3427339500
2019-02-26,3371486560
2019-02-27,3313094850
2019-02-28,3242009290
2019-03-01,3236931750
2019-03-04,3211544050
2019-03-05,3203927740
2019-03-06,3181078810
2019-03-07,3170923730
2019-03-08,3074450470
2019-03-11,3135380950
2019-03-12,3183617580
2019-03-13,3183617580
2019-03-14,3323249930
2019-03-15,3335943780
2019-03-18,3465421050
2019-03-19,3503502600
2019-03-20,3470498590
2019-03-21,3427339500
2019-03-22,3376564100
2019-03-25,3379102870
2019-03-26,3363870250
2019-03-27,3384180410
2019-03-28,3422261960
2019-03-29,3498425060
2019-04-01,7252536960
2019-04-02,7135969280
2019-04-03,7125832960
2019-04-04,7054878720
2019-04-05,7181582720
2019-04-08,7222128000
2019-04-09,7059946880
2019-04-10,6963651840
2019-04-11,7110628480
2019-04-12,7232264320
2019-04-15,7176514560
2019-04-16,7161310080
2019-04-17,6983924480
2019-04-18,6918038400
2019-04-22,6852152320
2019-04-23,6842016000
2019-04-24,6771061760
2019-04-25,6472040320
2019-04-26,6416290560
2019-04-29,6375745280
2019-04-30,6188223360
2019-05-01,6096996480
2019-05-02,6228768640
2019-05-03,6183155200
2019-05-06,6117269120
2019-05-07,6249041280
2019-05-08,6213564160
2019-05-09,6203427840
2019-05-10,6583539840
2019-05-13,6492312960
2019-05-14,6573403520
2019-05-15,6760925440
2019-05-16,6882561280
2019-05-17,6755857280
2019-05-20,6745720960
2019-05-21,6725448320
2019-05-22,6811607040
