,FLT
2011-06-30,2395475160
2011-07-01,2400324300
2011-07-05,2386585070
2011-07-06,2432651900
2011-07-07,2400324300
2011-07-08,2408406200
2011-07-11,2422953620
2011-07-12,2424570000
2011-07-13,2436692850
2011-07-14,2417296290
2011-07-15,2393858780
2011-07-18,2384968690
2011-07-19,2401940680
2011-07-20,2388201450
2011-07-21,2384968690
2011-07-22,2375270410
2011-07-25,2356682040
2011-07-26,2370421270
2011-07-27,2367996700
2011-07-28,2382544120
2011-07-29,2395475160
2011-08-01,2393858780
2011-08-02,2359106610
2011-08-03,2352641090
2011-08-04,2295259600
2011-08-05,2425378190
2011-08-08,2179688430
2011-08-09,2332436340
2011-08-10,2296875980
2011-08-11,2218481550
2011-08-12,2178880240
2011-08-15,2182921190
2011-08-16,2124731510
2011-08-17,2182113000
2011-08-18,2067350019
2011-08-19,2041487940
2011-08-22,2040679750
2011-08-23,2167565580
2011-08-24,2253233720
2011-08-25,2255658290
2011-08-26,2262932000
2011-08-29,2300916930
2011-08-30,2268589330
2011-08-31,2296067790
2011-09-01,2283944940
2011-09-02,2254041910
2011-09-06,2247576390
2011-09-07,2265356570
2011-09-08,2246768200
2011-09-09,2237069920
2011-09-12,2253233720
2011-09-13,2264548380
2011-09-14,2296875980
2011-09-15,2331628150
2011-09-16,2351832900
2011-09-19,2280712180
2011-09-20,2250809150
2011-09-21,2161908250
2011-09-22,2120690559
2011-09-23,2150593590
2011-09-26,2119074180
2011-09-27,2186962140
2011-09-28,2166757390
2011-09-29,2120690559
2011-09-30,2168156900
2011-10-03,2128525700
2011-10-04,2254024500
2011-10-05,2291178750
2011-10-06,2314296950
2011-10-07,2295307000
2011-10-10,2312645650
2011-10-11,2311820000
2011-10-12,2329984300
2011-10-13,2320902150
2011-10-14,2318425200
2011-10-17,2250721900
2011-10-18,2288701800
2011-10-19,2303563500
2011-10-20,2289527450
2011-10-21,2291178750
2011-10-24,2315948250
2011-10-25,2306866100
2011-10-26,2311820000
2011-10-27,2326681700
2011-10-28,2327507350
2011-10-31,2308517400
