,CNP
2000-01-03,5504572425
2000-01-04,5566190773
2000-01-05,5797993130
2000-01-06,5827335201
2000-01-07,5921229826
2000-01-10,5844940443
2000-01-11,5797993130
2000-01-12,5888953549
2000-01-13,5874282514
2000-01-14,5718769540
2000-01-18,5674756434
2000-01-19,5718769540
2000-01-20,5657151192
2000-01-21,5704098505
2000-01-24,5548585531
2000-01-25,5302112139
2000-01-26,5519243461
2000-01-27,5548585531
2000-01-28,5486967183
2000-01-31,5642480157
2000-02-01,5519243461
2000-02-02,5566190773
2000-02-03,5950571897
2000-02-04,5765716853
2000-02-07,5689427469
2000-02-08,5736374782
2000-02-09,5736374782
2000-02-10,5704098505
2000-02-11,5566190773
2000-02-14,5519243461
2000-02-15,5472296148
2000-02-16,5396006764
2000-02-17,5272770068
2000-02-18,5240493791
2000-02-22,5240493791
2000-02-23,5255164826
2000-02-24,5070309782
2000-02-25,5008691434
2000-02-28,5131928130
2000-02-29,5084980817
2000-03-01,5055638747
2000-03-02,5117257095
2000-03-03,5211151720
2000-03-06,4979349363
2000-03-07,4914796808
2000-03-08,5084980817
2000-03-09,5225822756
2000-03-10,5225822756
2000-03-13,5381335729
2000-03-14,5255164826
2000-03-15,5613138086
2000-03-16,6029795487
2000-03-17,5797993130
2000-03-20,5627809121
2000-03-21,5718769540
2000-03-22,5472296148
2000-03-23,5548585531
2000-03-24,5486967183
2000-03-27,5533914496
2000-03-28,5381335729
2000-03-29,5504572425
2000-03-30,5595532844
2000-03-31,5827335201
2000-04-03,5511374820
2000-04-04,5721710940
2000-04-05,5764346640
2000-04-06,5465896740
2000-04-07,5406206760
2000-04-10,5704656660
2000-04-11,5826879000
2000-04-12,6153752700
2000-04-13,6440833080
2000-04-14,6258920760
2000-04-17,6349876920
2000-04-18,6216285060
2000-04-19,6230496960
2000-04-20,6349876920
2000-04-24,6560213039
2000-04-25,6588636840
2000-04-26,6739282980
2000-04-27,6543158760
2000-04-28,6378300720
2000-05-01,6364088820
2000-05-02,6199230780
2000-05-03,6216285060
2000-05-04,6275975039
2000-05-05,6111117000
2000-05-08,6335665020
2000-05-09,6290186940
2000-05-10,6440833080
2000-05-11,6543158760
2000-05-12,6483468780
2000-05-15,6543158760
2000-05-16,6423778800
2000-05-17,6304398840
2000-05-18,6440833080
2000-05-19,6423778800
2000-05-22,6767706780
2000-05-23,6798972960
2000-05-24,6767706780
2000-05-25,6693804900
2000-05-26,6872874840
2000-05-30,6693804900
2000-05-31,6844451039
2000-06-01,6739282980
2000-06-02,6588636840
2000-06-05,6440833080
2000-06-06,6648326820
2000-06-07,6634114920
2000-06-08,6634114920
2000-06-09,6767706780
2000-06-12,6767706780
2000-06-13,6813184860
2000-06-14,6798972960
2000-06-15,6995097180
2000-06-16,7091738100
2000-06-19,7068999060
2000-06-20,6995097180
2000-06-21,7128689039
2000-06-22,7083210960
2000-06-23,7142900940
2000-06-26,7128689039
2000-06-27,7009309080
2000-06-28,7120161900
2000-06-29,7037732880
2000-06-30,7083210960
2000-07-03,7166648790
2000-07-05,7180907940
2000-07-06,7198018920
2000-07-07,7272166500
2000-07-10,7468942770
2000-07-11,7677126360
2000-07-12,7859643480
2000-07-13,7873902630
2000-07-14,7796903220
2000-07-17,7879606290
2000-07-18,7782644070
2000-07-19,7859643480
2000-07-20,7782644070
2000-07-21,7782644070
2000-07-24,7722755639
2000-07-25,7859643480
2000-07-26,7694237340
2000-07-27,8067827070
2000-07-28,8084938050
2000-07-31,8053567920
2000-08-01,8099197200
2000-08-02,8324491770
2000-08-03,8478490590
2000-08-04,8549786340
2000-08-07,8869191300
2000-08-08,8866339470
2000-08-09,8815006530
2000-08-10,8809302870
2000-08-11,8883450450
2000-08-14,8894857770
2000-08-15,8940487050
2000-08-16,8943338880
2000-08-17,8880598620
2000-08-18,8880598620
2000-08-21,8866339470
2000-08-22,8803599210
2000-08-23,9000375480
2000-08-24,8820710190
2000-08-25,8729451630
2000-08-28,8969005350
2000-08-29,8834969340
2000-08-30,8880598620
2000-08-31,8897709600
2000-09-01,9063115740
2000-09-05,9105893190
2000-09-06,9316928610
2000-09-07,9331187760
2000-09-08,9547926840
2000-09-11,9770369580
2000-09-12,9616370760
2000-09-13,9465223770
2000-09-14,9391076190
2000-09-15,9585000630
2000-09-18,9884442779
2000-09-19,9602111610
2000-09-20,9345446910
2000-09-21,9194299920
2000-09-22,9482334750
2000-09-25,9482334750
2000-09-26,9947183040
2000-09-27,10657288710
2000-09-28,10819843020
2000-09-29,11179173600
2000-10-02,11584133460
2000-10-03,11253321180
2000-10-04,11013767460
2000-10-05,10697214330
2000-10-06,10623066750
2000-10-09,10714325310
2000-10-10,10953879029
2000-10-11,11013767460
2000-10-12,10714325310
2000-10-13,10742843610
2000-10-16,11133544320
2000-10-17,11224802880
2000-10-18,10862620470
2000-10-19,10819843020
2000-10-20,10323624600
2000-10-23,10471919760
2000-10-24,10186736760
2000-10-25,9767517750
