,RHI
2000-12-01,5315837370
2000-12-04,5680858202
2000-12-05,5659594853
2000-12-06,5227240080
2000-12-07,5427469954
2000-12-08,5493031949
2000-12-11,5360136014
2000-12-12,5493031949
2000-12-13,5404434659
2000-12-14,5503663623
2000-12-15,4927781241
2000-12-18,4607059054
2000-12-19,4607059054
2000-12-20,4351898860
2000-12-21,4617690728
2000-12-22,4640726024
2000-12-26,4651357698
2000-12-27,4573392083
2000-12-28,4739954988
2000-12-29,4695656343
2001-01-02,4216720665
2001-01-03,4766268221
2001-01-04,4613028999
2001-01-05,4061720073
2001-01-08,4030015406
2001-01-09,3721775591
2001-01-10,4007117591
2001-01-11,4074049665
2001-01-12,4051151851
2001-01-16,4040583628
2001-01-17,4084617888
2001-01-18,4074049665
2001-01-19,3919049073
2001-01-22,4007117591
2001-01-23,3973651554
2001-01-24,4359391665
2001-01-25,4413994147
2001-01-26,4514392258
2001-01-29,4586608443
2001-01-30,4794450147
2001-01-31,4711665739
2001-02-01,4678199702
2001-02-02,4625358591
2001-02-05,4642972295
2001-02-06,4667631480
2001-02-07,4667631480
2001-02-08,4667631480
2001-02-09,4667631480
2001-02-12,4669392850
2001-02-13,4667631480
2001-02-14,4671154221
2001-02-15,4685245184
2001-02-16,4581324332
2001-02-20,4449221554
2001-02-21,4447460184
2001-02-22,4415755517
2001-02-23,4165640925
2001-02-26,4338255221
2001-02-27,4271323147
2001-02-28,4237857110
2001-03-01,4236095739
2001-03-02,4361153036
2001-03-05,4258993554
2001-03-06,4278368628
2001-03-07,4315357406
2001-03-08,4308311925
2001-03-09,4243141221
2001-03-12,4126890776
2001-03-13,3963083332
2001-03-14,4001833480
2001-03-15,4030015406
2001-03-16,4000072110
2001-03-19,3996549369
2001-03-20,3875014814
2001-03-21,3816889591
2001-03-22,3818650962
2001-03-23,3875014814
2001-03-26,3970128813
2001-03-27,4047629110
2001-03-28,3963083332
2001-03-29,3993026628
2001-03-30,3936662776
2001-04-02,3769885644
2001-04-03,3516159825
2001-04-04,3656737644
2001-04-05,3929321462
2001-04-06,3831602735
2001-04-09,3598449280
2001-04-10,3754456371
2001-04-11,3845317644
2001-04-12,3799029826
2001-04-16,3757885098
2001-04-17,3781886189
2001-04-18,4450488009
2001-04-19,4709356919
2001-04-20,4642496737
2001-04-23,4565350373
2001-04-24,4591065827
2001-04-25,4769359646
2001-04-26,4721357464
2001-04-27,4810504373
2001-04-30,4765930919
2001-05-01,4822504919
2001-05-02,5009370556
2001-05-03,4795075101
2001-05-04,4801932555
2001-05-07,4916794919
2001-05-08,4663069100
2001-05-09,4664783464
2001-05-10,4663069100
2001-05-11,4664783464
2001-05-14,4786503282
2001-05-15,4899651283
2001-05-16,5161948920
2001-05-17,5134519101
2001-05-18,5155091465
2001-05-21,5223666011
2001-05-22,5143090920
2001-05-23,5095088738
2001-05-24,4980226374
2001-05-25,4983655101
2001-05-29,4885936374
2001-05-30,4789932010
2001-05-31,4834505464
2001-06-01,4772788373
2001-06-04,4846506010
2001-06-05,4904794374
2001-06-06,4855077828
2001-06-07,4767645282
2001-06-08,4784788919
2001-06-11,4716214373
2001-06-12,4800218192
2001-06-13,4798503828
2001-06-14,4628781828
2001-06-15,4621924373
2001-06-18,4592780191
2001-06-19,4520776918
2001-06-20,4585922737
2001-06-21,4359626736
2001-06-22,4388770918
2001-06-25,4289337827
2001-06-26,4251621827
2001-06-27,4357912372
2001-06-28,4340768736
2001-06-29,4267051099
2001-07-02,4335611150
2001-07-03,4675693995
2001-07-05,4572422765
2001-07-06,4428199150
2001-07-09,4305341996
2001-07-10,4132629765
2001-07-11,4228778842
2001-07-12,4367660842
2001-07-13,4337391688
2001-07-16,4285756073
2001-07-17,4447785073
2001-07-18,4300000380
2001-07-19,4515445534
2001-07-20,4558178457
2001-07-23,4504762303
2001-07-24,4478054226
2001-07-25,4568861688
2001-07-26,4631180534
2001-07-27,4620497303
2001-07-30,4631180534
2001-07-31,4638302688
2001-08-01,4693499380
2001-08-02,4782526303
2001-08-03,4754037688
2001-08-06,4754037688
2001-08-07,4809234380
2001-08-08,4807453842
2001-08-09,4807453842
2001-08-10,4825259226
2001-08-13,4850186765
2001-08-14,4846625688
2001-08-15,4827039765
2001-08-16,4898261303
2001-08-17,4807453842
2001-08-20,4809234380
2001-08-21,4745134995
2001-08-22,4761159842
2001-08-23,4565300611
2001-08-24,4675693995
2001-08-27,4659669149
2001-08-28,4584886534
2001-08-29,4463809919
2001-08-30,4460248842
2001-08-31,4431760226
2001-09-04,4380124611
2001-09-05,4406832688
2001-09-06,4289317150
2001-09-07,4226998304
2001-09-10,4093457919
2001-09-17,3881573842
2001-09-18,3829938227
2001-09-19,3735569689
2001-09-20,3507660766
2001-09-21,3374120381
2001-09-24,3507660766
2001-09-25,3416853304
2001-09-26,3342070689
2001-09-27,3350973381
2001-09-28,3562857458
2001-10-01,3549133240
2001-10-02,3531387573
2001-10-03,3694647702
2001-10-04,3912919397
2001-10-05,3778052333
2001-10-08,3675127470
2001-10-09,3620115904
2001-10-10,3921792230
2001-10-11,4152485890
2001-10-12,4127641958
2001-10-15,4136514791
2001-10-16,4049561026
2001-10-17,3886300897
2001-10-18,3795798000
2001-10-19,3811769099
2001-10-22,3762081234
2001-10-23,3685774869
2001-10-24,3724815335
2001-10-25,3840162165
2001-10-26,3934214196
2001-10-29,3872104364
2001-10-30,3708844235
2001-10-31,3660930937
2001-11-01,3756757534
2001-11-02,3739011868
2001-11-05,3916468530
2001-11-06,4067306693
2001-11-07,4053110160
2001-11-08,4212821155
2001-11-09,4108121725
2001-11-12,3992774895
2001-11-13,4198624622
2001-11-14,4452387649
2001-11-15,4528694014
2001-11-16,4494977248
2001-11-19,4631618878
2001-11-20,4594352979
2001-11-21,4608549512
2001-11-23,4675983043
2001-11-26,4732769175
2001-11-27,4636942578
2001-11-28,4512722914
2001-11-29,4631618878
2001-11-30,4782457040
2001-12-03,4532243147
2001-12-04,4640491711
2001-12-05,4844566872
2001-12-06,4888931038
2001-12-07,4904902137
2001-12-10,4883607338
2001-12-11,4919098670
2001-12-12,4771809641
2001-12-13,4691954143
2001-12-14,4583705579
2001-12-17,4612098645
2001-12-18,4791329874
2001-12-19,4773584207
2001-12-20,4684855876
2001-12-21,4702601543
2001-12-24,4723896342
2001-12-26,4667110210
2001-12-27,4738092875
2001-12-28,4793104440
2001-12-31,4865808000
2002-01-02,4829360000
2002-01-03,4900433600
2002-01-04,5035291200
2002-01-07,4938704000
2002-01-08,4889499200
2002-01-09,4805668800
2002-01-10,4710904000
2002-01-11,4656232000
2002-01-14,4596092800
2002-01-15,4545065600
2002-01-16,4541420800
2002-01-17,4448478400
2002-01-18,4404740800
2002-01-22,4461235200
2002-01-23,4464880000
2002-01-24,4586980800
2002-01-25,4501328000
2002-01-28,4576046400
2002-01-29,4565112000
2002-01-30,4619784000
2002-01-31,4778332800
2002-02-01,4740062400
2002-02-04,4610672000
2002-02-05,4556000000
2002-02-06,4501328000
2002-02-07,4412030400
2002-02-08,4497683200
2002-02-11,4687212800
2002-02-12,4674456000
2002-02-13,4805668800
2002-02-14,4809313600
2002-02-15,4749174400
2002-02-19,4672633600
2002-02-20,4696324800
2002-02-21,4570579200
2002-02-22,4681745600
2002-02-25,4665344000
2002-02-26,4687212800
2002-02-27,4727305600
2002-02-28,4740062400
2002-03-01,4829360000
2002-03-04,5053515200
2002-03-05,5044403200
2002-03-06,5288604800
2002-03-07,5330520000
2002-03-08,5434396800
2002-03-11,5614814400
2002-03-12,5525516800
2002-03-13,5467200000
2002-03-14,5303184000
2002-03-15,5387014400
2002-03-18,5397948800
2002-03-19,5374257600
2002-03-20,5376080000
2002-03-21,5314118400
2002-03-22,5335987200
2002-03-25,5213886400
2002-03-26,5388836800
2002-03-27,5376080000
2002-03-28,5379724800
2002-04-01,4632750000
2002-04-02,4546485000
2002-04-03,4151902499
2002-04-04,4059247500
2002-04-05,4075222500
2002-04-08,4182255000
2002-04-09,4273312500
2002-04-10,4413892500
2002-04-11,4311652500
2002-04-12,4409100000
2002-04-15,4393125000
2002-04-16,4528912500
2002-04-17,4265325000
2002-04-18,4206217499
2002-04-19,4153500000
2002-04-22,4113562500
2002-04-23,4172670000
2002-04-24,4185450000
2002-04-25,4201425000
2002-04-26,4185450000
2002-04-29,4142317500
2002-04-30,4195035000
2002-05-01,4242960000
2002-05-02,4212607500
2002-05-03,4156695000
2002-05-06,4080015000
2002-05-07,3958605000
2002-05-08,3993750000
2002-05-09,4008127500
2002-05-10,3969787500
2002-05-13,4158292500
2002-05-14,4233375000
2002-05-15,4231777499
2002-05-16,4282897500
2002-05-17,4271714999
2002-05-20,4196632500
2002-05-21,4214205000
2002-05-22,4131135000
2002-05-23,4153500000
2002-05-24,4049662500
2002-05-28,3985762500
2002-05-29,3901095000
2002-05-30,3918667500
2002-05-31,3942630000
2002-06-03,3715785000
2002-06-04,3693420000
2002-06-05,3747735000
2002-06-06,3763710000
2002-06-07,3754125000
2002-06-10,3778087500
2002-06-11,3856365000
2002-06-12,3805245000
2002-06-13,3731760000
2002-06-14,3750930000
2002-06-17,3846779999
2002-06-18,3861157500
2002-06-19,3865950000
2002-06-20,3814830000
2002-06-21,3816427500
2002-06-24,3787672500
2002-06-25,3723772500
2002-06-26,3570412500
2002-06-27,3626325000
2002-06-28,3722175000
2002-07-01,3546624000
2002-07-02,3540480000
2002-07-03,3522048000
2002-07-05,3757056000
2002-07-08,3734016000
2002-07-09,3671040000
2002-07-10,3549696000
2002-07-11,3561984000
2002-07-12,3534336000
2002-07-15,3528192000
2002-07-16,3326976000
2002-07-17,3517440000
2002-07-18,3227136000
2002-07-19,2955263999
2002-07-22,2884608000
2002-07-23,2918400000
2002-07-24,2827776000
2002-07-25,2864640000
2002-07-26,2844672000
2002-07-29,3159552000
2002-07-30,3072000000
2002-07-31,3064320000
2002-08-01,2987520000
2002-08-02,2755584000
2002-08-05,2646528000
2002-08-06,2760192000
2002-08-07,2688000000
2002-08-08,2727936000
2002-08-09,2798592000
2002-08-12,2734080000
2002-08-13,2709504000
2002-08-14,2707968000
2002-08-15,2795520000
2002-08-16,2764800000
2002-08-19,2823168000
2002-08-20,2774016000
2002-08-21,2764800000
2002-08-22,2895360000
2002-08-23,2807808000
2002-08-26,2841600000
2002-08-27,2792448000
2002-08-28,2727936000
2002-08-29,2672640000
2002-08-30,2660352000
2002-09-03,2546687999
2002-09-04,2582016000
2002-09-05,2457600000
2002-09-06,2612736000
2002-09-09,2631168000
2002-09-10,2632704000
2002-09-11,2657280000
2002-09-12,2575872000
2002-09-13,2575872000
2002-09-16,2565120000
2002-09-17,2580480000
2002-09-18,2558976000
2002-09-19,2474496000
2002-09-20,2558976000
2002-09-23,2515968000
2002-09-24,2405376000
2002-09-25,2465280000
2002-09-26,2589696000
2002-09-27,2506752000
2002-09-30,2155717320
2002-10-01,2125833400
2002-10-02,1922079400
2002-10-03,1981847240
2002-10-04,1787601760
2002-10-07,1659915920
2002-10-08,1718325400
2002-10-09,1638182160
2002-10-10,1693874920
2002-10-11,1774018160
2002-10-14,1791676840
2002-10-15,1976413800
2002-10-16,1874536800
2002-10-17,2112249800
2002-10-18,2135341920
2002-10-21,2227710400
2002-10-22,2200543200
2002-10-23,2218201880
2002-10-24,2394788680
2002-10-25,2392071960
2002-10-28,2326870680
2002-10-29,2282044800
2002-10-30,2302420200
2002-10-31,2268461200
2002-11-01,2336379200
2002-11-04,2370338200
2002-11-05,2397505400
2002-11-06,2392071960
2002-11-07,2322795600
2002-11-08,2301061840
2002-11-11,2229068760
2002-11-12,2268461200
2002-11-13,2316003800
2002-11-14,2393430320
2002-11-15,2373054920
2002-11-18,2427389320
2002-11-19,2413805720
2002-11-20,2511607640
2002-11-21,2803655040
2002-11-22,2737095400
2002-11-25,2701778040
2002-11-26,2546925000
2002-11-27,2704494760
2002-11-29,2669177400
2002-12-02,2674610840
2002-12-03,2551000080
2002-12-04,2546925000
2002-12-05,2506174200
