,LUMN
2000-01-03,6323099250
2000-01-04,6069825937
2000-01-05,6113493750
2000-01-06,6043625250
2000-01-07,5991223875
2000-01-10,6165895125
2000-01-11,6122227312
2000-01-12,6174628687
2000-01-13,6183362250
2000-01-14,6235763625
2000-01-18,6340566375
2000-01-19,6174628687
2000-01-20,6113493750
2000-01-21,6096026625
2000-01-24,5999957437
2000-01-25,5851486875
2000-01-26,5842753312
2000-01-27,5580746437
2000-01-28,5266338187
2000-01-31,5397341625
2000-02-01,5397341625
2000-02-02,5528345062
2000-02-03,5545812187
2000-02-04,5458476562
2000-02-07,5406075187
2000-02-08,5458476562
2000-02-09,5353673812
2000-02-10,5292538875
2000-02-11,5292538875
2000-02-14,5318739562
2000-02-15,5170269000
2000-02-16,5152801875
2000-02-17,5074199812
2000-02-18,4838393625
2000-02-22,4943196375
2000-02-23,4882061437
2000-02-24,4724857312
2000-02-25,4707390187
2000-02-28,4672455937
2000-02-29,4698656625
2000-03-01,4812192937
2000-03-02,4751058000
2000-03-03,4916995687
2000-03-06,4742324437
2000-03-07,4541452500
2000-03-08,4646255250
2000-03-09,4611321000
2000-03-10,4654988812
2000-03-13,4768525125
2000-03-14,4847127187
2000-03-15,4733590875
2000-03-16,4611321000
2000-03-17,5100400500
2000-03-20,5100400500
2000-03-21,5213936812
2000-03-22,5013064875
2000-03-23,5047999125
2000-03-24,5056732687
2000-03-27,5187736125
2000-03-28,5100400500
2000-03-29,5205203250
2000-03-30,5170269000
2000-03-31,5197314375
2000-04-03,5241062812
2000-04-04,5372308125
2000-04-05,5547301875
2000-04-06,5582300625
2000-04-07,5556051562
2000-04-10,5529802500
2000-04-11,5599800000
2000-04-12,5459805000
2000-04-13,5328559687
2000-04-14,5039820000
2000-04-17,4838577187
2000-04-18,4969822500
2000-04-19,4829827500
2000-04-20,4724831250
2000-04-24,4707331875
2000-04-25,4794828750
2000-04-26,4698582187
2000-04-27,4094853750
2000-04-28,3429877500
2000-05-01,3692368125
2000-05-02,3473625937
2000-05-03,3552373125
2000-05-04,3578622187
2000-05-05,3596121562
2000-05-08,3578622187
2000-05-09,3613620937
2000-05-10,3578622187
2000-05-11,3709867500
2000-05-12,3806114062
2000-05-15,3928609687
2000-05-16,3928609687
2000-05-17,4007356875
2000-05-18,4042355625
2000-05-19,3911110312
2000-05-22,3788614687
2000-05-23,3832363125
2000-05-24,3744866250
2000-05-25,3718617187
2000-05-26,3683618437
2000-05-30,3858612187
2000-05-31,3779865000
2000-06-01,3954858750
2000-06-02,4112353125
2000-06-05,4042355625
2000-06-06,4051105312
2000-06-07,3946109062
2000-06-08,3919860000
2000-06-09,4331095312
2000-06-12,4147351875
2000-06-13,4208599687
2000-06-14,4208599687
2000-06-15,4243598437
2000-06-16,4239223593
2000-06-19,4453590937
2000-06-20,4366094062
2000-06-21,4427341875
2000-06-22,4444841250
2000-06-23,4322345625
2000-06-26,4304846250
2000-06-27,4296096562
2000-06-28,4247973281
2000-06-29,4173600937
2000-06-30,4031325000
2000-07-03,4189072500
2000-07-05,4197836250
2000-07-06,4075143750
2000-07-07,4145253750
2000-07-10,4101435000
2000-07-11,4127726250
