,GL
2000-01-03,3699713250
2000-01-04,3626189537
2000-01-05,3626189537
2000-01-06,3620307640
2000-01-07,3693831353
2000-01-10,3643835228
2000-01-11,3635012383
2000-01-12,3620307640
2000-01-13,3652658074
2000-01-14,3579134361
2000-01-18,3364445118
2000-01-19,3185047257
2000-01-20,3087995956
2000-01-21,3046822677
2000-01-24,3070350265
2000-01-25,3046822677
2000-01-26,3096818802
2000-01-27,3120346390
2000-01-28,3005649397
2000-01-31,3290921405
2000-02-01,2940948530
2000-02-02,3032117934
2000-02-03,3037999831
2000-02-04,3014472243
2000-02-07,3014472243
2000-02-08,2908598096
2000-02-09,2802723949
2000-02-10,2738023081
2000-02-11,2743904978
2000-02-14,2679204110
2000-02-15,2729200235
2000-02-16,2711554544
2000-02-17,2646853677
2000-02-18,2596857551
2000-02-22,2629207985
2000-02-23,2564507118
2000-02-24,2540979529
2000-02-25,2532156684
2000-02-28,2523333838
2000-02-29,2590975654
2000-03-01,2646853677
2000-03-02,2573329963
2000-03-03,2623326088
2000-03-06,2564507118
2000-03-07,2482160559
2000-03-08,2508629096
2000-03-09,2532156684
2000-03-10,2499806250
2000-03-13,2490983404
2000-03-14,2490983404
2000-03-15,2614503243
2000-03-16,2958594221
2000-03-17,2932125684
2000-03-20,2949771375
2000-03-21,3070350265
2000-03-22,3032117934
2000-03-23,3105641647
2000-03-24,3120346390
2000-03-27,3005649397
2000-03-28,2958594221
2000-03-29,2973298963
2000-03-30,3064468368
2000-03-31,2961808106
2000-04-03,3033836513
2000-04-04,2984857196
2000-04-05,3016549695
2000-04-06,3033836513
2000-04-07,3016549695
2000-04-10,3056885603
2000-04-11,3056885603
2000-04-12,3074172421
2000-04-13,3056885603
2000-04-14,2863849472
2000-04-17,2863849472
2000-04-18,2935877879
2000-04-19,2840800381
2000-04-20,2898423107
2000-04-24,3056885603
2000-04-25,3200942418
2000-04-26,3088578102
2000-04-27,3002144014
2000-04-28,3209585827
2000-05-01,3281614234
2000-05-02,3169249919
2000-05-03,3097221511
2000-05-04,3065529012
2000-05-05,3033836513
2000-05-08,3114508329
2000-05-09,3097221511
2000-05-10,3002144014
2000-05-11,2984857196
2000-05-12,3097221511
2000-05-15,3186536736
2000-05-16,3218229235
2000-05-17,3218229235
2000-05-18,3281614234
2000-05-19,3200942418
2000-05-22,3321950142
2000-05-23,3344999232
2000-05-24,3480412638
2000-05-25,3368048323
2000-05-26,3362286050
2000-05-30,3376691731
2000-05-31,3480412638
2000-06-01,3624469452
2000-06-02,3546678772
2000-06-05,3497699456
2000-06-06,3512105137
2000-06-07,3584133544
2000-06-08,3448720139
2000-06-09,3480412638
2000-06-12,3440076730
2000-06-13,3506342864
2000-06-14,3474650365
2000-06-15,3362286050
2000-06-16,3313306733
2000-06-19,3296019915
2000-06-20,3146200828
2000-06-21,3169249919
2000-06-22,3128914010
2000-06-23,3200942418
2000-06-26,3209585827
2000-06-27,3264327416
2000-06-28,3272970825
2000-06-29,3296019915
2000-06-30,3132946521
2000-07-03,3244327482
2000-07-05,3181497197
2000-07-06,3261463015
2000-07-07,3307157768
2000-07-10,3235759716
2000-07-11,3275742625
2000-07-12,3338572911
2000-07-13,3301445924
2000-07-14,3378555820
2000-07-17,3221480106
2000-07-18,3181497197
2000-07-19,3101531378
2000-07-20,3110099145
2000-07-21,3141514288
2000-07-24,3110099145
2000-07-25,3190064963
2000-07-26,3244327482
2000-07-27,3275742625
2000-07-28,3181497197
2000-07-31,3158649820
2000-08-01,3284310392
2000-08-02,3235759716
2000-08-03,3158649820
2000-08-04,3378555820
2000-08-07,3347140677
2000-08-08,3418538729
2000-08-09,3307157768
2000-08-10,3267174859
2000-08-11,3444242028
2000-08-14,3592749976
2000-08-15,3561334833
2000-08-16,3435674262
2000-08-17,3418538729
2000-08-18,3427106496
2000-08-21,3481369015
2000-08-22,3515640080
2000-08-23,3498504548
2000-08-24,3435674262
2000-08-25,3418538729
2000-08-28,3404259119
2000-08-29,3409970963
2000-08-30,3515640080
2000-08-31,3561334833
2000-09-01,3489936781
2000-09-05,3489936781
2000-09-06,3561334833
2000-09-07,3515640080
2000-09-08,3641300652
2000-09-11,3618453275
2000-09-12,3624165119
2000-09-13,3729834236
2000-09-14,3649868418
2000-09-15,3561334833
2000-09-18,3435674262
2000-09-19,3498504548
2000-09-20,3489936781
2000-09-21,3467089405
2000-09-22,3552767067
2000-09-25,3507072314
2000-09-26,3521351924
2000-09-27,3601317742
2000-09-28,3641300652
2000-09-29,3529919690
2000-10-02,3735834637
