,S
2021-06-30,5122102592
2021-07-01,4825623242
2021-07-02,5373989519
2021-07-06,5965743019
2021-07-07,6205577940
2021-07-08,6026003050
2021-07-09,5934407803
2021-07-12,6095904685
2021-07-13,5906688189
2021-07-14,5543922806
2021-07-15,5230570647
2021-07-16,5320960693
2021-07-19,5664442867
2021-07-20,5718676894
2021-07-21,5676494873
2021-07-22,5757243313
2021-07-23,5611414040
2021-07-26,5965743019
2021-07-27,5736754903
2021-07-28,6003104238
2021-07-29,6093494284
2021-07-30,5942844207
2021-08-02,13668085833
2021-08-03,13641785880
2021-08-04,13165756722
2021-08-05,13807475587
2021-08-06,13384046336
2021-08-09,13310406466
2021-08-10,12968507070
2021-08-11,12266298312
2021-08-12,13065816898
2021-08-13,13244656582
2021-08-16,12979027052
2021-08-17,12366238135
2021-08-18,12808077354
2021-08-19,13244656582
2021-08-20,13489246150
2021-08-23,13973165294
2021-08-24,14912073634
2021-08-25,15619542383
2021-08-26,16045601630
2021-08-27,17068669821
2021-08-30,17144939686
2021-08-31,16813560272
2021-09-01,17689348724
2021-09-02,17037109877
2021-09-03,18157487896
2021-09-07,18675596980
2021-09-08,17947088268
2021-09-09,17368489291
2021-09-10,16766220356
2021-09-13,16042971635
2021-09-14,16332271123
2021-09-15,17755098607
2021-09-16,19133216171
2021-09-17,18212717798
2021-09-20,16800410295
2021-09-21,16874050165
2021-09-22,16926650072
2021-09-23,16008781695
2021-09-24,16058751607
2021-09-27,15017273448
2021-09-28,14635924122
2021-09-29,14301914713
2021-09-30,14088885089
2021-10-01,14528094313
2021-10-04,13510286112
2021-10-05,13505026122
2021-10-06,14067845127
2021-10-07,14927853606
2021-10-08,14372924587
2021-10-11,13778545638
2021-10-12,14449194452
2021-10-13,15532752537
2021-10-14,15779972100
2021-10-15,15669512295
2021-10-18,16474290872
2021-10-19,16434840942
2021-10-20,16453250909
2021-10-21,17294849421
2021-10-22,16776740337
2021-10-25,17163349654
2021-10-26,17357969310
2021-10-27,16776740337
2021-10-28,16834600235
2021-10-29,17463169124
2021-11-01,17799079059
2021-11-02,17070850351
2021-11-03,17496093392
2021-11-04,18410365932
2021-11-05,17783132445
2021-11-08,18575147610
2021-11-09,19898716577
2021-11-10,18795742438
2021-11-11,19441580308
2021-11-12,20278777546
2021-11-15,19016337266
2021-11-16,19850876735
2021-11-17,19590415372
2021-11-18,19170487869
2021-11-19,18684116140
2021-11-22,17017694971
2021-11-23,15484162252
2021-11-24,15532002094
2021-11-26,15316722804
2021-11-29,15433664641
