,GEHC
2022-12-15,27235568340
2022-12-16,25755769126
2022-12-19,25646826853
2022-12-20,25969114412
2022-12-21,25855632877
2022-12-22,26146145606
2022-12-23,26100752992
2022-12-27,26078056685
2022-12-28,26100752992
2022-12-29,26327716062
2022-12-30,26500207994
2023-01-03,25424000000
2023-01-04,27462460000
2023-01-05,26786000000
2023-01-06,26763300000
2023-01-09,26377400000
2023-01-10,27240000000
2023-01-11,29505459999
2023-01-12,29805100000
2023-01-13,29709760000
2023-01-17,28751820000
2023-01-18,28184320000
2023-01-19,29028760000
2023-01-20,30313580000
2023-01-23,31562080000
2023-01-24,31598399999
2023-01-25,31194339999
2023-01-26,31425880000
2023-01-27,31816320000
2023-01-30,32461000000
2023-01-31,31562080000
2023-02-01,31784540000
2023-02-02,32075100000
2023-02-03,32029700000
2023-02-06,32624440000
2023-02-07,32520019999
2023-02-08,31857180000
2023-02-09,31058140000
2023-02-10,31434959999
2023-02-13,31521220000
2023-02-14,32964940000
2023-02-15,32833279999
2023-02-16,32193140000
2023-02-17,33219180000
2023-02-21,32901380000
2023-02-22,32660760000
2023-02-23,34458600000
2023-02-24,34054540000
2023-02-27,34522160000
2023-02-28,34504000000
2023-03-01,34186200000
2023-03-02,34068160000
2023-03-03,34671980000
2023-03-06,34812720000
2023-03-07,34617500000
2023-03-08,34790020000
2023-03-09,34676520000
2023-03-10,34036380000
2023-03-13,34612960000
2023-03-14,35021560000
2023-03-15,34849040000
2023-03-16,34785480000
2023-03-17,34431360000
2023-03-20,34140800000
2023-03-21,34740080000
2023-03-22,33945580000
2023-03-23,34372340000
2023-03-24,34712840000
2023-03-27,34676520000
2023-03-28,34912600000
2023-03-29,35974960000
2023-03-30,37291560000
2023-03-31,37323650000
2023-04-03,37223550000
2023-04-04,37123450000
2023-04-05,36909600000
2023-04-06,36472800000
2023-04-10,36668450000
2023-04-11,36668450000
2023-04-12,37196250000
2023-04-13,37737700000
2023-04-14,37478350000
2023-04-17,37637600000
2023-04-18,38065300000
2023-04-19,39016250000
2023-04-20,38675000000
2023-04-21,39348400000
2023-04-24,39944450000
2023-04-25,36577450000
2023-04-26,36454600000
2023-04-27,37091600000
2023-04-28,37009700000
2023-05-01,36754900000
2023-05-02,35699300000
2023-05-03,36268050000
2023-05-04,35608300000
2023-05-05,35940450000
2023-05-08,36136100000
2023-05-09,34748350000
2023-05-10,34534500000
2023-05-11,34120449999
2023-05-12,34088600000
2023-05-15,34093150000
2023-05-16,35389900000
2023-05-17,36536500000
2023-05-18,36258950000
2023-05-19,36099700000
2023-05-22,35981400000
2023-05-23,35121450000
2023-05-24,34821150000
2023-05-25,36336300000
2023-05-26,35685650000
2023-05-30,35471800000
2023-05-31,36177050000
2023-06-01,36322650000
2023-06-02,36386350000
2023-06-05,36622950000
2023-06-06,37733150000
