,LMT
2000-01-03,7838775000
2000-01-04,8105874000
2000-01-05,8152325999
2000-01-06,8276198000
2000-01-07,8299424000
2000-01-10,7985873000
2000-01-11,7718774000
2000-01-12,8202649000
2000-01-13,8032325000
2000-01-14,7935550000
2000-01-18,7742000000
2000-01-19,8009099000
2000-01-20,7958775999
2000-01-21,8129100000
2000-01-24,7571675999
2000-01-25,7451675000
2000-01-26,7765225999
2000-01-27,7525224000
2000-01-28,7308448000
2000-01-31,7161350000
2000-02-01,7234899000
2000-02-02,7234899000
2000-02-03,7211673000
2000-02-04,7405223000
2000-02-07,7258125000
2000-02-08,7114898000
2000-02-09,7114898000
2000-02-10,7087800999
2000-02-11,6774250000
2000-02-14,6991025999
2000-02-15,7018123000
2000-02-16,6871025000
2000-02-17,6967800000
2000-02-18,6751024000
2000-02-22,6967800000
2000-02-23,6894250999
2000-02-24,6797475999
2000-02-25,6871025000
2000-02-28,6774250000
2000-02-29,6751024000
2000-03-01,6847799000
2000-03-02,6631023000
2000-03-03,6580700000
2000-03-06,6967800000
2000-03-07,6700700999
2000-03-08,6824573000
2000-03-09,6631023000
2000-03-10,6507150999
2000-03-13,6557474000
2000-03-14,6437473000
2000-03-15,6631023000
2000-03-16,6991025999
2000-03-17,6967800000
2000-03-20,6874896000
2000-03-21,6700700999
2000-03-22,6631023000
2000-03-23,6603925999
2000-03-24,6774250000
2000-03-27,6894250999
2000-03-28,7258125000
2000-03-29,7451675000
2000-03-30,8082648000
2000-03-31,7804363640
2000-04-03,7804363640
2000-04-04,7754727276
2000-04-05,7995272731
2000-04-06,8090727276
2000-04-07,8041090912
2000-04-10,8067818185
2000-04-11,7972363640
2000-04-12,8422909094
2000-04-13,8258727276
2000-04-14,7899818185
2000-04-17,8136545458
2000-04-18,8018181822
2000-04-19,7972363640
2000-04-20,8663454549
2000-04-24,9881454550
2000-04-25,9759272731
2000-04-26,9213272731
2000-04-27,9117818186
2000-04-28,9499636368
2000-05-01,10309090914
2000-05-02,9950181822
2000-05-03,9759272731
2000-05-04,10045636368
2000-05-05,9999818186
2000-05-08,9950181822
2000-05-09,9927272732
2000-05-10,9950181822
2000-05-11,9999818186
2000-05-12,9854727277
2000-05-15,9786000004
2000-05-16,9618000004
2000-05-17,9377454549
2000-05-18,9499636368
2000-05-19,9282000004
2000-05-22,8995636367
2000-05-23,9595090913
2000-05-24,9568363640
2000-05-25,9282000004
2000-05-26,9186545458
2000-05-30,9450000004
2000-05-31,9427090913
2000-06-01,9568363640
2000-06-02,9904363641
2000-06-05,9881454550
2000-06-06,9904363641
2000-06-07,9690545459
2000-06-08,9450000004
2000-06-09,9663818186
2000-06-12,9759272731
2000-06-13,9640909095
2000-06-14,9499636368
2000-06-15,9545454550
2000-06-16,9282000004
2000-06-19,9404181822
2000-06-20,9377454549
2000-06-21,9259090913
2000-06-22,9045272731
2000-06-23,9236181822
2000-06-26,9472909095
2000-06-27,9282000004
2000-06-28,8831454549
2000-06-29,9545454550
2000-06-30,10038068961
2000-07-03,9835770111
2000-07-05,10114942525
2000-07-06,10167540226
2000-07-07,10240367812
2000-07-10,10191816088
2000-07-11,10013793099
2000-07-12,10139218387
2000-07-13,10519540226
2000-07-14,10673287352
2000-07-17,10268689651
2000-07-18,10268689651
2000-07-19,10268689651
2000-07-20,10822988501
2000-07-21,10644965513
2000-07-24,10746114938
2000-07-25,11001011490
2000-07-26,11126436777
2000-07-27,11001011490
2000-07-28,11227586202
2000-07-31,11381333329
2000-08-01,11785931030
2000-08-02,11632183903
2000-08-03,11684781604
2000-08-04,11733333329
2000-08-07,11911356317
2000-08-08,11887080455
2000-08-09,11935632179
2000-08-10,11988229880
2000-08-11,11988229880
2000-08-14,11834482754
2000-08-15,11656459765
2000-08-16,11328735628
2000-08-17,11203310340
2000-08-18,11328735628
2000-08-21,11506758616
2000-08-22,11810206892
2000-08-23,11482482754
2000-08-24,11506758616
2000-08-25,11607908041
2000-08-28,11454160915
2000-08-29,11150712639
2000-08-30,11251862064
2000-08-31,11482482754
2000-09-01,11353011490
2000-09-05,11126436777
2000-09-06,11684781604
2000-09-07,12214804593
2000-09-08,12113655167
2000-09-11,12061057466
2000-09-12,11935632179
2000-09-13,12012505742
2000-09-14,11887080455
2000-09-15,11959908041
2000-09-18,11858758616
2000-09-19,11607908041
2000-09-20,11280183903
2000-09-21,12465655167
2000-09-22,12291678156
2000-09-25,12137931030
2000-09-26,12947126432
2000-09-27,13295080454
2000-09-28,12971402294
2000-09-29,13335540224
2000-10-02,13442979753
2000-10-03,13677499026
2000-10-04,13849200637
2000-10-05,13673311182
2000-10-06,13308968740
2000-10-09,13857576325
2000-10-10,13706813935
2000-10-11,13706813935
2000-10-12,13819885728
2000-10-13,14079532065
2000-10-16,14050217156
2000-10-17,13819885728
2000-10-18,13501609571
2000-10-19,13614681364
2000-10-20,14242857988
2000-10-23,14301487806
2000-10-24,14301487806
2000-10-25,14594636897
2000-10-26,14670018092
2000-10-27,14469001572
2000-10-30,14657454560
2000-10-31,15013421313
2000-11-01,14820780482
2000-11-02,14657454560
2000-11-03,13526736636
2000-11-06,14033465780
2000-11-07,13974835961
2000-11-08,13731941000
2000-11-09,13463918974
2000-11-10,13355035026
2000-11-13,13300593052
2000-11-14,13610493520
2000-11-15,13803134351
2000-11-16,13916206143
2000-11-17,14066968533
2000-11-20,14083719910
2000-11-21,14389432533
2000-11-22,14196791702
2000-11-24,14385244689
2000-11-27,13798946507
2000-11-28,14154913260
2000-11-29,14615576118
2000-11-30,14280548585
2000-12-01,13149830662
2000-12-04,14113034819
2000-12-05,14121410507
2000-12-06,13141454974
2000-12-07,13430416221
2000-12-08,13509985260
2000-12-11,13241963233
2000-12-12,12772924688
2000-12-13,12647289363
2000-12-14,12894372168
2000-12-15,13082825155
2000-12-18,13413664844
2000-12-19,13133079285
2000-12-20,13380162091
2000-12-21,13442979753
2000-12-22,13610493520
2000-12-26,13786382974
2000-12-27,13928769676
2000-12-28,14343366248
2000-12-29,14217730923
2001-01-02,14434530000
2001-01-03,14244045000
2001-01-04,14138220000
2001-01-05,13905405000
2001-01-08,13930802999
2001-01-09,14493792000
2001-01-10,14294841000
2001-01-11,14218647000
2001-01-12,14201714999
2001-01-16,14138220000
2001-01-17,13554066000
2001-01-18,13524435000
2001-01-19,13431309000
2001-01-22,14078958000
2001-01-23,13968900000
2001-01-24,13545600000
2001-01-25,14608083000
2001-01-26,14764704000
2001-01-29,14836664999
2001-01-30,14705442000
2001-01-31,14680044000
2001-02-01,15327693000
2001-02-02,15408120000
2001-02-05,15365789999
2001-02-06,15213401999
2001-02-07,15293829000
2001-02-08,15505479000
2001-02-09,15293829000
2001-02-12,14773170000
2001-02-13,15624002999
2001-02-14,15162606000
2001-02-15,15107576999
2001-02-16,15344625000
2001-02-20,15865283999
2001-02-21,15598605000
2001-02-22,15979575000
2001-02-23,15640935000
2001-02-26,16076933999
2001-02-27,16085400000
2001-02-28,15856818000
2001-03-01,15547808999
2001-03-02,16212389999
2001-03-05,16271651999
2001-03-06,15822954000
2001-03-07,16529864999
2001-03-08,16339380000
2001-03-09,16322448000
2001-03-12,16504467000
2001-03-13,16229322000
2001-03-14,15933012000
2001-03-15,15873750000
2001-03-16,15662100000
2001-03-19,15323460000
2001-03-20,14802801000
2001-03-21,14586918000
2001-03-22,14392200000
2001-03-23,14773170000
2001-03-26,15285363000
2001-03-27,15412352999
2001-03-28,14845131000
2001-03-29,15234567000
2001-03-30,15090645000
2001-04-02,15225882361
2001-04-03,15204705890
2001-04-04,15035294126
2001-04-05,15225882361
2001-04-06,15247058832
2001-04-09,15162352949
2001-04-10,15420705890
2001-04-11,15416470596
2001-04-12,15522352949
2001-04-16,15352941185
2001-04-17,15352941185
2001-04-18,15310588243
2001-04-19,14908235302
2001-04-20,14810823537
2001-04-23,14611764714
2001-04-24,15200470596
2001-04-25,15200470596
2001-04-26,15120000008
