,HP
2000-01-03,1019494040
2000-01-04,988840000
2000-01-05,988840000
2000-01-06,1047181560
2000-01-07,1071902560
2000-01-10,1068936040
2000-01-11,1100578920
2000-01-12,1087724000
2000-01-13,1112445000
2000-01-14,1155953960
2000-01-18,1155953960
2000-01-19,1199462920
2000-01-20,1121344560
2000-01-21,1167820040
2000-01-24,1150020920
2000-01-25,1155953960
2000-01-26,1161887000
2000-01-27,1134199480
2000-01-28,1118378040
2000-01-31,1161887000
2000-02-01,1186608000
2000-02-02,1150020920
2000-02-03,1161887000
2000-02-04,1164853520
2000-02-07,1217262040
2000-02-08,1180674960
2000-02-09,1137166000
2000-02-10,1189574520
2000-02-11,1177708440
2000-02-14,1224183920
2000-02-15,1273625920
2000-02-16,1285492000
2000-02-17,1304279960
2000-02-18,1230116960
2000-02-22,1202429440
2000-02-23,1170786560
2000-02-24,1241983040
2000-02-25,1202429440
2000-02-28,1251871440
2000-02-29,1316146040
2000-03-01,1329000960
2000-03-02,1397230920
2000-03-03,1384376000
2000-03-06,1403163960
2000-03-07,1439751040
2000-03-08,1384376000
2000-03-09,1331967480
2000-03-10,1334934000
2000-03-13,1347788920
2000-03-14,1304279960
2000-03-15,1273625920
2000-03-16,1347788920
2000-03-17,1304279960
2000-03-20,1260771000
2000-03-21,1329000960
2000-03-22,1350755440
2000-03-23,1356688480
2000-03-24,1381409480
2000-03-27,1409097000
2000-03-28,1378442960
2000-03-29,1427884960
2000-03-30,1470405080
2000-03-31,3073402000
2000-04-03,3154698440
2000-04-04,3005985440
2000-04-05,2918740480
2000-04-06,3023831000
2000-04-07,3079350520
2000-04-10,2881066520
2000-04-11,3049607920
2000-04-12,3198320920
2000-04-13,3011933960
2000-04-14,3041676560
2000-04-17,2968311480
2000-04-18,3049607920
2000-04-19,2986157040
2000-04-20,3111075960
2000-04-24,3049607920
2000-04-25,3011933960
2000-04-26,3079350520
2000-04-27,3117024480
2000-04-28,3105127440
2000-05-01,3091247560
2000-05-02,3166595480
2000-05-03,3122973000
2000-05-04,3204269440
2000-05-05,3382725039
2000-05-08,3364879480
2000-05-09,3352982440
2000-05-10,3239960560
