,CARR
2020-03-19,10394400000
2020-03-20,11044050000
2020-03-23,9995948000
2020-03-24,10134540000
2020-03-25,11650390000
2020-03-26,13382790000
2020-03-27,12603210000
2020-03-30,13772580000
2020-03-31,14941950000
2020-04-01,13036310000
2020-04-02,11503136000
2020-04-03,14656104000
2020-04-06,13374128000
2020-04-07,13209550000
2020-04-08,12352012000
2020-04-09,12802436000
2020-04-13,12118138000
2020-04-14,12014194000
2020-04-15,11572432000
2020-04-16,11165318000
2020-04-17,11901588000
2020-04-20,12516590000
2020-04-21,12724478000
2020-04-22,12811098000
2020-04-23,13616664000
2020-04-24,14075750000
2020-04-27,14552160000
2020-04-28,14725400000
2020-04-29,15279768000
2020-04-30,15340402000
2020-05-01,14526174000
2020-05-04,14205679999
2020-05-05,13833214000
2020-05-06,14110398000
2020-05-07,14214342000
2020-05-08,15903432000
2020-05-11,15894770000
2020-05-12,15418360000
2020-05-13,14240328000
2020-05-14,14335610000
2020-05-15,14474202000
2020-05-18,15201810000
2020-05-19,15392374000
2020-05-20,16223926000
2020-05-21,16847590000
2020-05-22,16501110000
2020-05-26,16899562000
2020-05-27,17315338000
2020-05-28,16977520000
2020-05-29,17731114000
2020-06-01,18900484000
2020-06-02,18502032000
2020-06-03,19246964000
2020-06-04,19645416000
2020-06-05,20407672000
2020-06-08,21109294000
2020-06-09,20104502000
2020-06-10,19229640000
2020-06-11,18242172000
2020-06-12,18657948000
2020-06-15,19030414000
2020-06-16,19117034000
2020-06-17,18415412000
2020-06-18,18406750000
2020-06-19,18579990000
2020-06-22,19697388000
2020-06-23,19394218000
2020-06-24,18900484000
2020-06-25,18640624000
2020-06-26,18164214000
2020-06-29,19160344000
2020-06-30,19251408000
2020-07-01,19589304000
2020-07-02,19849224000
2020-07-06,20975544000
2020-07-07,20802264000
2020-07-08,20784936000
2020-07-09,20715624000
2020-07-10,21564696000
2020-07-13,21036192000
2020-07-14,21789960000
2020-07-15,22916280000
2020-07-16,23054904000
2020-07-17,22942272000
2020-07-20,22881624000
2020-07-21,23020248000
2020-07-22,23046240000
2020-07-23,23696040000
2020-07-24,23028912000
2020-07-27,22743000000
2020-07-28,22587048000
2020-07-29,23548752000
2020-07-30,23306160000
2020-07-31,23600736000
2020-08-03,23929968000
2020-08-04,24059928000
2020-08-05,24354504000
2020-08-06,24493128000
2020-08-07,25099608000
2020-08-10,25524144000
