,HFC
2000-01-03,112460419
2000-01-04,113493160
2000-01-05,115039629
2000-01-06,113493160
2000-01-07,114008209
2000-01-10,113493160
2000-01-11,115039629
2000-01-12,113493160
2000-01-13,113493160
2000-01-14,110912629
2000-01-18,111945370
2000-01-19,111429000
2000-01-20,110912629
2000-01-21,113493160
2000-01-24,113493160
2000-01-25,113493160
2000-01-26,113493160
2000-01-27,112976790
2000-01-28,113493160
2000-01-31,111429000
2000-02-01,111820046
2000-02-02,109768953
2000-02-03,112846906
2000-02-04,112333476
2000-02-07,112333476
2000-02-08,112333476
2000-02-09,112846906
2000-02-10,113872453
2000-02-11,112846906
2000-02-14,111820046
2000-02-15,110794500
2000-02-16,108743406
2000-02-17,107716546
2000-02-18,106691000
2000-02-22,106177570
2000-02-23,105665453
2000-02-24,107716546
2000-02-25,108743406
2000-02-28,108743406
2000-02-29,108743406
2000-03-01,110794500
2000-03-02,111820046
2000-03-03,109768953
2000-03-06,109768953
2000-03-07,109768953
2000-03-08,108743406
2000-03-09,108743406
2000-03-10,105665453
2000-03-13,101561953
2000-03-14,99509546
2000-03-15,99509546
2000-03-16,99509546
2000-03-17,99509546
2000-03-20,100536406
2000-03-21,101561953
2000-03-22,102587500
2000-03-23,102587500
2000-03-24,100536406
2000-03-27,102587500
2000-03-28,101561953
2000-03-29,102587500
2000-03-30,95406046
2000-03-31,94380500
2000-04-03,90790429
2000-04-04,92329406
2000-04-05,87199046
2000-04-06,82070000
2000-04-07,84122406
2000-04-10,86173500
2000-04-11,93354953
2000-04-12,88225906
2000-04-13,90277000
2000-04-14,86173500
2000-04-17,84122406
2000-04-18,85147953
2000-04-19,87199046
2000-04-20,87199046
2000-04-24,87712476
2000-04-25,87712476
2000-04-26,84634523
2000-04-27,85147953
2000-04-28,85147953
2000-05-01,78310801
2000-05-02,75480000
2000-05-03,75480000
2000-05-04,75007797
2000-05-05,77367603
2000-05-08,76423198
2000-05-09,75007797
2000-05-10,74536801
2000-05-11,74536801
2000-05-12,74536801
2000-05-15,72178202
2000-05-16,71706000
2000-05-17,70762801
2000-05-18,76423198
2000-05-19,76423198
2000-05-22,75007797
2000-05-23,74536801
2000-05-24,72649198
2000-05-25,74064599
2000-05-26,74536801
2000-05-30,78310801
2000-05-31,75480000
2000-06-01,75480000
2000-06-02,74536801
2000-06-05,75480000
2000-06-06,74536801
2000-06-07,73593603
2000-06-08,76423198
2000-06-09,83971198
2000-06-12,87745198
2000-06-13,89632801
2000-06-14,100011603
2000-06-15,97651797
2000-06-16,93877797
2000-06-19,90576000
2000-06-20,92463603
2000-06-21,92463603
2000-06-22,92463603
2000-06-23,92934599
2000-06-26,94350000
2000-06-27,95293198
2000-06-28,93406801
2000-06-29,91519198
2000-06-30,89632801
2000-07-03,89632801
2000-07-05,91519198
2000-07-06,90576000
2000-07-07,91048202
2000-07-10,91519198
2000-07-11,91991400
2000-07-12,92463603
2000-07-13,94350000
2000-07-14,94822202
2000-07-17,95293198
2000-07-18,99067198
2000-07-19,97180801
2000-07-20,96237603
2000-07-21,94350000
2000-07-24,92463603
2000-07-25,91519198
2000-07-26,91519198
2000-07-27,90576000
2000-07-28,90576000
2000-07-31,90576000
2000-08-01,91555572
2000-08-02,91555572
2000-08-03,90612000
2000-08-04,91555572
2000-08-07,92500354
2000-08-08,91555572
2000-08-09,93443927
2000-08-10,92500354
2000-08-11,91555572
2000-08-14,92027963
2000-08-15,93443927
2000-08-16,94387500
2000-08-17,95331072
2000-08-18,99106572
2000-08-21,98163000
2000-08-22,99106572
2000-08-23,99106572
2000-08-24,98163000
2000-08-25,99106572
2000-08-28,97219427
2000-08-29,97219427
2000-08-30,97219427
2000-08-31,97219427
2000-09-01,96747036
2000-09-05,96275854
2000-09-06,96747036
2000-09-07,96747036
2000-09-08,96747036
2000-09-11,98163000
2000-09-12,96275854
2000-09-13,93443927
2000-09-14,94387500
2000-09-15,97219427
2000-09-18,97219427
2000-09-19,95803463
2000-09-20,95331072
2000-09-21,96275854
2000-09-22,96275854
2000-09-25,96275854
2000-09-26,95331072
2000-09-27,95331072
2000-09-28,94387500
2000-09-29,93443927
2000-10-02,93443927
