,ALLE
2016-09-01,6896640000
2016-09-02,6949440000
2016-09-06,6918719999
2016-09-07,6805440000
2016-09-08,6708480000
2016-09-09,6415680000
2016-09-12,6468480000
2016-09-13,6391680000
2016-09-14,6344640000
2016-09-15,6417599999
2016-09-16,6360000000
2016-09-19,6467520000
2016-09-20,6466560000
2016-09-21,6516480000
2016-09-22,6628800000
2016-09-23,6592320000
2016-09-26,6552000000
2016-09-27,6618240000
2016-09-28,6663360000
2016-09-29,6552960000
2016-09-30,6587796000
2016-10-03,6517052000
2016-10-04,6441528000
2016-10-05,6457780000
2016-10-06,6496020000
2016-10-07,6393728000
2016-10-10,6431968000
2016-10-11,6331588000
2016-10-12,6408068000
2016-10-13,6361224000
2016-10-14,6471164000
2016-10-17,6533304000
2016-10-18,6491240000
2016-10-19,6424320000
2016-10-20,6431968000
2016-10-21,6422408000
2016-10-24,6477856000
2016-10-25,6263712000
2016-10-26,6270404000
2016-10-27,6007504000
2016-10-28,6079204000
2016-10-31,6103104000
2016-11-01,6066776000
2016-11-02,6056260000
2016-11-03,6050524000
2016-11-04,6083984000
2016-11-07,6254152000
2016-11-08,6281875999
2016-11-09,6381300000
2016-11-10,6606916000
2016-11-11,6626036000
2016-11-14,6557204000
2016-11-15,6574412000
2016-11-16,6459691999
2016-11-17,6527568000
2016-11-18,6435791999
2016-11-21,6494108000
2016-11-22,6500800000
2016-11-23,6472120000
2016-11-25,6492196000
2016-11-28,6443440000
2016-11-29,6451088000
2016-11-30,6396596000
2016-12-01,6257975999
2016-12-02,6201572000
2016-12-05,6176716000
2016-12-06,6214000000
2016-12-07,6288568000
2016-12-08,6250328000
2016-12-09,6279008000
2016-12-12,6225472000
2016-12-13,6276140000
2016-12-14,6256064000
2016-12-15,6204440000
2016-12-16,6139432000
2016-12-19,6205396000
2016-12-20,6245548000
2016-12-21,6266580000
2016-12-22,6237900000
2016-12-23,6251284000
2016-12-27,6265624000
2016-12-28,6194880000
2016-12-29,6192012000
2016-12-30,6118400000
2017-01-03,6165910000
2017-01-04,6283129000
2017-01-05,6317437000
2017-01-06,6279317000
2017-01-09,6234526000
2017-01-10,6146850000
2017-01-11,6261210000
2017-01-12,6301236000
2017-01-13,6242150000
2017-01-17,6277411000
2017-01-18,6335544000
2017-01-19,6345074000
2017-01-20,6209748000
2017-01-23,6201170999
2017-01-24,6329826000
2017-01-25,6346979999
2017-01-26,6285035000
2017-01-27,6339356000
2017-01-30,6274552000
2017-01-31,6258351000
2017-02-01,6284082000
2017-02-02,6253586000
2017-02-03,6416549000
2017-02-06,6417502000
2017-02-07,6387006000
2017-02-08,6442279999
2017-02-09,6835869000
2017-02-10,6853976000
2017-02-13,6809185000
2017-02-14,6773924000
2017-02-15,6845399000
2017-02-16,6950229000
2017-02-17,6982631000
2017-02-21,7100803000
2017-02-22,7057918000
2017-02-23,7047435000
2017-02-24,7047435000
2017-02-27,7014079999
2017-02-28,6917827000
2017-03-01,7022657000
2017-03-02,7048387999
2017-03-03,7035045999
2017-03-06,6976912999
2017-03-07,6943558000
2017-03-08,6967383000
2017-03-09,7000737999
2017-03-10,7096991000
2017-03-13,7124628000
2017-03-14,7087461000
2017-03-15,7139876000
2017-03-16,7161795000
2017-03-17,7193244000
2017-03-20,7169419000
2017-03-21,7077931000
2017-03-22,7125581000
2017-03-23,7134158000
2017-03-24,7152265000
2017-03-27,7137017000
2017-03-28,7158936000
2017-03-29,7186573000
2017-03-30,7229458000
2017-03-31,7206640000
2017-04-03,7208544000
2017-04-04,7130480000
2017-04-05,7057176000
2017-04-06,7111440000
2017-04-07,7110488000
2017-04-10,7103824000
2017-04-11,7167608000
2017-04-12,7162847999
2017-04-13,7150472000
2017-04-17,7257096000
2017-04-18,7229488000
2017-04-19,7314216000
2017-04-20,7398944000
2017-04-21,7417032000
2017-04-24,7448447999
2017-04-25,7497000000
2017-04-26,7589344000
2017-04-27,7675024000
2017-04-28,7486528000
2017-05-01,7397040000
2017-05-02,7389424000
2017-05-03,7357056000
2017-05-04,7363719999
2017-05-05,7378000000
2017-05-08,7311360000
2017-05-09,7328496000
2017-05-10,7314216000
2017-05-11,7358008000
2017-05-12,7304696000
2017-05-15,7353247999
2017-05-16,7471296000
2017-05-17,7331352000
2017-05-18,7360863999
2017-05-19,7526512000
2017-05-22,7564591999
2017-05-23,7511280000
2017-05-24,7525560000
2017-05-25,7564591999
2017-05-26,7556976000
2017-05-30,7469391999
2017-05-31,7485576000
2017-06-01,7534128000
2017-06-02,7621712000
2017-06-05,7616000000
2017-06-06,7477008000
2017-06-07,7457016000
2017-06-08,7392280000
2017-06-09,7352296000
2017-06-12,7468440000
2017-06-13,7547456000
2017-06-14,7592200000
2017-06-15,7687400000
2017-06-16,7766416000
2017-06-19,7822584000
2017-06-20,7797832000
2017-06-21,7759752000
2017-06-22,7729288000
2017-06-23,7754040000
2017-06-26,7750232000
2017-06-27,7672168000
2017-06-28,7734047999
2017-06-29,7598863999
2017-06-30,7706400000
2017-07-03,7730150000
2017-07-05,7803300000
2017-07-06,7662700000
2017-07-07,7715900000
2017-07-10,7745350000
2017-07-11,7739650000
2017-07-12,7789049999
2017-07-13,7675050000
2017-07-14,7673150000
2017-07-17,7678850000
2017-07-18,7656999999
2017-07-19,7666500000
2017-07-20,7703550000
2017-07-21,7638950000
2017-07-24,7629450000
2017-07-25,7514499999
2017-07-26,7456549999
2017-07-27,7714000000
2017-07-28,7733000000
2017-07-31,7717799999
2017-08-01,7739650000
2017-08-02,7680749999
2017-08-03,7672200000
2017-08-04,7725399999
2017-08-07,7789049999
2017-08-08,7730150000
2017-08-09,7656050000
2017-08-10,7497400000
2017-08-11,7531600000
2017-08-14,7549650000
2017-08-15,7500250000
2017-08-16,7532550000
2017-08-17,7488850000
2017-08-18,7426150000
2017-08-21,7360600000
2017-08-22,7417600000
2017-08-23,7323550000
2017-08-24,7329250000
2017-08-25,7373900000
2017-08-28,7414750000
2017-08-29,7388150000
2017-08-30,7438500000
2017-08-31,7477449999
2017-09-01,7519250000
2017-09-05,7543000000
2017-09-06,7624700000
2017-09-07,7620900000
2017-09-08,7676950000
2017-09-11,7701649999
2017-09-12,7695000000
2017-09-13,7771950000
2017-09-14,7848900000
2017-09-15,7863150000
2017-09-18,7851750000
2017-09-19,7870749999
2017-09-20,7939149999
2017-09-21,7929650000
2017-09-22,8032250000
2017-09-25,8027500000
2017-09-26,8108249999
2017-09-27,8106350000
2017-09-28,8147200000
2017-09-29,8214650000
2017-10-02,8229003000
2017-10-03,8318397000
2017-10-04,8248023000
2017-10-05,8280356999
2017-10-06,8291769000
2017-10-09,8332662000
2017-10-10,8350731000
2017-10-11,8383065000
2017-10-12,8517156000
2017-10-13,8397330000
2017-10-16,8382114000
2017-10-17,8273700000
2017-10-18,8330759999
2017-10-19,8344073999
2017-10-20,8370702000
2017-10-23,8303181000
2017-10-24,8414448000
2017-10-25,8225198999
2017-10-26,7674570000
2017-10-27,7635579000
2017-10-30,7795347000
2017-10-31,7930389000
2017-11-01,7867623000
2017-11-02,7820073000
2017-11-03,7800102000
2017-11-06,7901859000
2017-11-07,7943703000
2017-11-08,7934193000
2017-11-09,7805808000
2017-11-10,7905663000
2017-11-13,7982694000
2017-11-14,7883790000
2017-11-15,7801053000
2017-11-16,7837191000
2017-11-17,7860015000
2017-11-20,7916123999
2017-11-21,7931340000
2017-11-22,7908516000
2017-11-24,7885692000
2017-11-27,7902809999
2017-11-28,7924683000
2017-11-29,7887594000
2017-11-30,8001714000
2017-12-01,8043558000
2017-12-04,7934193000
2017-12-05,7798200000
2017-12-06,7778229000
2017-12-07,7903761000
2017-12-08,7841945999
2017-12-11,7814367000
2017-12-12,7812465000
2017-12-13,7859064000
2017-12-14,7767768000
2017-12-15,7824828000
2017-12-18,7851456000
2017-12-19,7614656999
2017-12-20,7703100000
2017-12-21,7703100000
2017-12-22,7640334000
2017-12-26,7645089000
2017-12-27,7608000000
2017-12-28,7566156000
2017-12-29,7566156000
2018-01-02,7599441000
2018-01-03,7631775000
2018-01-04,7738287000
2018-01-05,7757306999
2018-01-08,7725923999
2018-01-09,7886643000
2018-01-10,7855259999
2018-01-11,8024538000
2018-01-12,8087304000
2018-01-16,7995056999
2018-01-17,8008370999
2018-01-18,7993155000
2018-01-19,8200473000
2018-01-22,8159580000
2018-01-23,8116784999
2018-01-24,8138658000
2018-01-25,8116784999
2018-01-26,8213787000
2018-01-29,8243268000
2018-01-30,8125344000
2018-01-31,8189061000
2018-02-01,8099667000
2018-02-02,7783934999
2018-02-05,7523361000
2018-02-06,7618461000
2018-02-07,7604195999
2018-02-08,7353131999
2018-02-09,7464398999
2018-02-12,7584225000
2018-02-13,7574715000
2018-02-14,7605147000
2018-02-15,7822926000
2018-02-16,7866672000
2018-02-20,8146266000
2018-02-21,8247072000
2018-02-22,8182404000
2018-02-23,8194767000
2018-02-26,8354534999
2018-02-27,8270847000
2018-02-28,7998861000
2018-03-01,7804856999
2018-03-02,7820073000
2018-03-05,7894251000
2018-03-06,7980792000
2018-03-07,7981743000
2018-03-08,8060676000
2018-03-09,8293670999
2018-03-12,8311740000
2018-03-13,8187159000
2018-03-14,8117736000
2018-03-15,8129148000
2018-03-16,8167188000
2018-03-19,8107275000
2018-03-20,8143413000
2018-03-21,8172894000
2018-03-22,8045459999
2018-03-23,7889495999
2018-03-26,8041656000
2018-03-27,7988400000
2018-03-28,7905663000
2018-03-29,8111079000
2018-04-02,7907799999
2018-04-03,8036050000
2018-04-04,8145299999
2018-04-05,8164300000
2018-04-06,8051250000
2018-04-09,8031300000
2018-04-10,8096850000
2018-04-11,8031300000
2018-04-12,8104450000
2018-04-13,8033200000
2018-04-16,8110150000
2018-04-17,8133900000
2018-04-18,8217500000
2018-04-19,8112050000
2018-04-20,8051250000
2018-04-23,8029400000
2018-04-24,7804250000
2018-04-25,7887850000
2018-04-26,7466050000
2018-04-27,7393850000
