,AWK
2008-04-23,3294599200
2008-04-24,3328184920
2008-04-25,3385760440
2008-04-28,3358572000
2008-04-29,3369767240
2008-04-30,3382561800
2008-05-01,3504110120
2008-05-02,3520103320
2008-05-05,3504110120
2008-05-06,3446534600
2008-05-07,3392157720
2008-05-08,3398555000
2008-05-09,3465726440
2008-05-12,3438538000
2008-05-13,3409750240
2008-05-14,3406551600
2008-05-15,3384161120
2008-05-16,3457729840
2008-05-19,3478521000
2008-05-20,3462527800
2008-05-21,3384161120
2008-05-22,3414548200
2008-05-23,3380962480
2008-05-27,3395356360
2008-05-28,3424144120
2008-05-29,3368167920
2008-05-30,3438538000
2008-06-02,3454531200
2008-06-03,3409750240
2008-06-04,3449733240
2008-06-05,3486517600
2008-06-06,3534497200
2008-06-09,3571281559
2008-06-10,3494514200
2008-06-11,3472123720
2008-06-12,3494514200
2008-06-13,3580877480
2008-06-16,3638453000
2008-06-17,3707223760
2008-06-18,3684833280
2008-06-19,3660843480
2008-06-20,3678436000
2008-06-23,3638453000
2008-06-24,3659244160
2008-06-25,3737610840
2008-06-26,3617661840
2008-06-27,3601668640
2008-06-30,3547668820
2008-07-01,3659633120
2008-07-02,3622844850
2008-07-03,3486888200
2008-07-07,3437304009
2008-07-08,3470893300
2008-07-09,3453298910
2008-07-10,3400515740
2008-07-11,3203778470
2008-07-14,3152594790
2008-07-15,3024635590
2008-07-16,3103010600
2008-07-17,3150995300
2008-07-18,3127002950
2008-07-21,3154194280
2008-07-22,3187783570
2008-07-23,3149395810
2008-07-24,3018237630
2008-07-25,3063023350
2008-07-28,2979849870
2008-07-29,3039031000
2008-07-30,3112607540
2008-07-31,3079018250
2008-08-01,3085416210
2008-08-04,3135000400
2008-08-05,3253362660
2008-08-06,3214974900
2008-08-07,3222972350
2008-08-08,3210176430
2008-08-11,3322140730
2008-08-12,3338135630
2008-08-13,3373324410
2008-08-14,3355730020
2008-08-15,3318941750
2008-08-18,3382921350
2008-08-19,3506082080
2008-08-20,3502883100
2008-08-21,3502883100
2008-08-22,3510880550
2008-08-25,3482089730
2008-08-26,3456497890
2008-08-27,3474092280
2008-08-28,3536472390
2008-08-29,3670829550
2008-09-02,3646837200
2008-09-03,3498084630
2008-09-04,3434105030
2008-09-05,3354130530
2008-09-08,3344533590
2008-09-09,3302946850
2008-09-10,3371724919
2008-09-11,3370125430
2008-09-12,3363727470
2008-09-15,3246964700
2008-09-16,3256561640
2008-09-17,3184584590
2008-09-18,3238967250
2008-09-19,3198980000
2008-09-22,3144597340
2008-09-23,3093413660
2008-09-24,3135000400
2008-09-25,3198980000
2008-09-26,3063023350
2008-09-29,3214974900
2008-09-30,3439742000
2008-10-01,3226957960
2008-10-02,3218958560
2008-10-03,3188560840
2008-10-06,3122965760
2008-10-07,3138964560
2008-10-08,3050971160
2008-10-09,2990175720
2008-10-10,2927780400
2008-10-13,3103767200
2008-10-14,3060570440
2008-10-15,2895782800
2008-10-16,2946978960
2008-10-17,3060570440
2008-10-20,3161362880
2008-10-21,3150163720
2008-10-22,3034972360
2008-10-23,2999775000
2008-10-24,2881383880
2008-10-27,2745394080
2008-10-28,3095767800
2008-10-29,2985376080
2008-10-30,3178961560
2008-10-31,3244556640
2008-11-03,3249356280
2008-11-04,3223758200
2008-11-05,3116566240
2008-11-06,3028572840
2008-11-07,3095767800
2008-11-10,3108566840
2008-11-11,3166162520
2008-11-12,3028572840
2008-11-13,3340549440
2008-11-14,3119766000
2008-11-17,3127765400
2008-11-18,3188560840
2008-11-19,3087768400
2008-11-20,3023773200
2008-11-21,3199760000
2008-11-24,3310151720
2008-11-25,3330950160
2008-11-26,3215758800
2008-11-28,3244556640
2008-12-01,3050971160
2008-12-02,3034972360
2008-12-03,3233357480
2008-12-04,3242956760
2008-12-05,3278154119
2008-12-08,3353348480
2008-12-09,3314951360
2008-12-10,3306951960
2008-12-11,3311751600
2008-12-12,3265355080
2008-12-15,3302152320
2008-12-16,3350148720
2008-12-17,3490938160
2008-12-18,3318151119
2008-12-19,3374146920
2008-12-22,3529335280
2008-12-23,3545334080
2008-12-24,3506936960
2008-12-26,3484538640
2008-12-29,3350148720
2008-12-30,3159763000
2008-12-31,3341029680
2009-01-02,3379432320
2009-01-05,3278625389
2009-01-06,3278625389
2009-01-07,3203420220
2009-01-08,3230622090
2009-01-09,3313827810
2009-01-12,3174618240
2009-01-13,3213020879
2009-01-14,3184218900
2009-01-15,3254623740
2009-01-16,3272224950
2009-01-20,3257823960
2009-01-21,3326628690
2009-01-22,3312227700
2009-01-23,3325028580
2009-01-26,3336229350
2009-01-27,3403433970
2009-01-28,3417834960
2009-01-29,3382632540
2009-01-30,3389032980
2009-02-02,3321828360
2009-02-03,3369831660
2009-02-04,3313827810
2009-02-05,3344229900
2009-02-06,3365031330
2009-02-09,3437036280
2009-02-10,3398633639
2009-02-11,3381032430
2009-02-12,3368231550
2009-02-13,3302627040
2009-02-17,3333029129
2009-02-18,3291426270
2009-02-19,3320228250
2009-02-20,3312227700
2009-02-23,3233822310
2009-02-24,3160217250
2009-02-25,3073811310
2009-02-26,2960203500
2009-02-27,2968204050
2009-03-02,2852996129
2009-03-03,2692985129
2009-03-04,2748988980
2009-03-05,2713786560
2009-03-06,2691385020
2009-03-09,2665783260
2009-03-10,2644981830
2009-03-11,2673783810
2009-03-12,2657782710
2009-03-13,2905799760
2009-03-16,3041809110
2009-03-17,2920200750
2009-03-18,2981004930
2009-03-19,2928201300
2009-03-20,2942602290
2009-03-23,2888198550
2009-03-24,2894598990
2009-03-25,2941002180
2009-03-26,2961803610
2009-03-27,2968204050
2009-03-30,2960203500
2009-03-31,3140525959
2009-04-01,2982193830
2009-04-02,2967503220
2009-04-03,2993619860
2009-04-06,2977296959
2009-04-07,2965870930
2009-04-08,3003413600
2009-04-09,2977296959
2009-04-13,2887521010
2009-04-14,2872830400
