,FL
2000-01-03,961800000
2000-01-04,945312000
2000-01-05,935694000
2000-01-06,953556000
2000-01-07,910962000
2000-01-10,970044000
2000-01-11,945312000
2000-01-12,935694000
2000-01-13,919206000
2000-01-14,893100000
2000-01-18,927450000
2000-01-19,919206000
2000-01-20,919206000
2000-01-21,901344000
2000-01-24,876612000
2000-01-25,893100000
2000-01-26,884856000
2000-01-27,884856000
2000-01-28,816156000
2000-01-31,825600000
2000-02-01,877888000
2000-02-02,886144000
2000-02-03,833856000
2000-02-04,851744000
2000-02-07,843488000
2000-02-08,833856000
2000-02-09,782944000
2000-02-10,791200000
2000-02-11,833856000
2000-02-14,825600000
2000-02-15,782944000
2000-02-16,791200000
2000-02-17,791200000
2000-02-18,791200000
2000-02-22,782944000
2000-02-23,756800000
2000-02-24,774688000
2000-02-25,756800000
2000-02-28,730656000
2000-02-29,782944000
2000-03-01,833856000
2000-03-02,946688000
2000-03-03,954944000
2000-03-06,937056000
2000-03-07,928800000
2000-03-08,963200000
2000-03-09,971456000
2000-03-10,963200000
2000-03-13,954944000
2000-03-14,946688000
2000-03-15,971456000
2000-03-16,1040256000
2000-03-17,1118688000
2000-03-20,1153088000
2000-03-21,1126944000
2000-03-22,1066400000
2000-03-23,1135200000
2000-03-24,1161344000
2000-03-27,1126944000
2000-03-28,1118688000
2000-03-29,1135200000
2000-03-30,1238400000
2000-03-31,1230144000
2000-04-03,1402144000
2000-04-04,1307200000
2000-04-05,1367744000
2000-04-06,1497088000
2000-04-07,1625056000
2000-04-10,1574144000
2000-04-11,1565888000
2000-04-12,1513600000
2000-04-13,1444800000
2000-04-14,1325088000
2000-04-17,1341600000
2000-04-18,1479200000
2000-04-19,1487456000
2000-04-20,1531488000
2000-04-24,1487456000
2000-04-25,1548000000
2000-04-26,1600288000
2000-04-27,1616800000
2000-04-28,1634688000
2000-05-01,1635876000
2000-05-02,1635876000
2000-05-03,1557387000
2000-05-04,1652400000
2000-05-05,1747413000
2000-05-08,1678563000
2000-05-09,1739151000
2000-05-10,1644138000
2000-05-11,1686825000
2000-05-12,1652400000
2000-05-15,1686825000
2000-05-16,1686825000
2000-05-17,1567026000
2000-05-18,1506438000
2000-05-19,1540863000
2000-05-22,1454112000
2000-05-23,1514700000
2000-05-24,1445850000
2000-05-25,1472013000
2000-05-26,1429326000
2000-05-30,1488537000
2000-05-31,1488537000
2000-06-01,1472013000
2000-06-02,1488537000
2000-06-05,1463751000
2000-06-06,1377000000
2000-06-07,1437588000
2000-06-08,1472013000
2000-06-09,1419687000
2000-06-12,1411425000
2000-06-13,1411425000
2000-06-14,1411425000
2000-06-15,1480275000
2000-06-16,1454112000
2000-06-19,1498176000
2000-06-20,1454112000
2000-06-21,1463751000
2000-06-22,1472013000
2000-06-23,1463751000
2000-06-26,1463751000
2000-06-27,1532601000
2000-06-28,1532601000
2000-06-29,1488537000
2000-06-30,1411425000
2000-07-03,1454112000
2000-07-05,1480275000
2000-07-06,1480275000
2000-07-07,1635876000
2000-07-10,1660662000
2000-07-11,1617975000
2000-07-12,1781838000
2000-07-13,1763937000
2000-07-14,1832787000
2000-07-17,1885113000
2000-07-18,1858950000
2000-07-19,1790100000
2000-07-20,1850688000
2000-07-21,1962225000
2000-07-24,1953963000
2000-07-25,2031075000
2000-07-26,2014551000
2000-07-27,1988388000
2000-07-28,1936062000
2000-07-31,1948527000
2000-08-01,2034025000
2000-08-02,2034025000
2000-08-03,2017477000
2000-08-04,2034025000
2000-08-07,2025751000
2000-08-08,2068500000
2000-08-09,2155377000
2000-08-10,2111249000
2000-08-11,2120902000
2000-08-14,2155377000
2000-08-15,2214674000
2000-08-16,2206400000
2000-08-17,2180199000
2000-08-18,1999550000
2000-08-21,2060226000
2000-08-22,2017477000
2000-08-23,2068500000
2000-08-24,2051952000
2000-08-25,2034025000
2000-08-28,2007824000
2000-08-29,1965075000
2000-08-30,1956801000
2000-08-31,1930600000
2000-09-01,1973349000
2000-09-05,1991276000
2000-09-06,1983002000
2000-09-07,1948527000
2000-09-08,1930600000
2000-09-11,1983002000
2000-09-12,1956801000
2000-09-13,1948527000
2000-09-14,1930600000
2000-09-15,1991276000
2000-09-18,1956801000
2000-09-19,1956801000
2000-09-20,1965075000
2000-09-21,1956801000
2000-09-22,1904399000
2000-09-25,1800974000
2000-09-26,1766499000
2000-09-27,1792700000
2000-09-28,1800974000
2000-09-29,1707202000
2000-10-02,1818901000
2000-10-03,1776152000
2000-10-04,1766499000
2000-10-05,1827175000
2000-10-06,1792700000
2000-10-09,1818901000
2000-10-10,1776152000
2000-10-11,1766499000
2000-10-12,1681001000
2000-10-13,1638252000
2000-10-16,1654800000
2000-10-17,1585850000
2000-10-18,1638252000
2000-10-19,1723750000
2000-10-20,1800974000
2000-10-23,1784426000
2000-10-24,1853376000
2000-10-25,1861650000
2000-10-26,1835449000
2000-10-27,1810627000
2000-10-30,1880740000
2000-10-31,1914615000
2000-11-01,1888870000
2000-11-02,1939005000
2000-11-03,1964750000
2000-11-06,1982365000
2000-11-07,2032500000
2000-11-08,2024370000
2000-11-09,1914615000
2000-11-10,1880740000
2000-11-13,1982365000
2000-11-14,1897000000
2000-11-15,1998625000
2000-11-16,1948490000
2000-11-17,1948490000
2000-11-20,1930875000
2000-11-21,1880740000
2000-11-22,1846865000
2000-11-24,1863125000
2000-11-27,1897000000
2000-11-28,1779115000
2000-11-29,1787245000
2000-11-30,1821120000
2000-12-01,1821120000
2000-12-04,1888870000
2000-12-05,1922745000
2000-12-06,1812990000
2000-12-07,1779115000
2000-12-08,1846865000
2000-12-11,1939005000
2000-12-12,1948490000
2000-12-13,1888870000
2000-12-14,1846865000
2000-12-15,1727625000
2000-12-18,1769630000
2000-12-19,1787245000
2000-12-20,1769630000
2000-12-21,1930875000
2000-12-22,2024370000
2000-12-26,2050115000
2000-12-27,2168000000
2000-12-28,2176130000
2000-12-29,2100250000
2001-01-02,2006755000
2001-01-03,2219490000
2001-01-04,2083990000
2001-01-05,1982365000
2001-01-08,2050115000
2001-01-09,2083990000
2001-01-10,2006755000
2001-01-11,1863125000
2001-01-12,1787245000
2001-01-16,1753370000
2001-01-17,1787245000
2001-01-18,1711365000
2001-01-19,1456625000
2001-01-22,1414620000
2001-01-23,1600255000
2001-01-24,1583995000
2001-01-25,1575865000
2001-01-26,1668005000
2001-01-29,1780470000
2001-01-30,1727625000
2001-01-31,1754725000
2001-02-01,1680200000
2001-02-02,1636840000
2001-02-05,1618848000
2001-02-06,1718640000
