,OI
2000-01-03,3463070625
2000-01-04,3334808750
2000-01-05,3371455000
2000-01-06,3563847812
2000-01-07,3481393750
2000-01-10,3472232187
2000-01-11,3371455000
2000-01-12,3215708437
2000-01-13,3234031562
2000-01-14,3197385312
2000-01-18,3114931250
2000-01-19,3078285000
2000-01-20,3050800312
2000-01-21,2959184687
2000-01-24,2858407500
2000-01-25,2794276562
2000-01-26,2757630312
2000-01-27,2748468750
2000-01-28,2766791875
2000-01-31,2684337812
2000-02-01,2730145625
2000-02-02,2656853125
2000-02-03,2638530000
2000-02-04,2510268125
2000-02-07,2418652500
2000-02-08,2482783437
2000-02-09,2446137187
2000-02-10,2446137187
2000-02-11,2391167812
2000-02-14,2372844687
2000-02-15,2391167812
2000-02-16,2317875312
2000-02-17,2272067500
2000-02-18,2207936562
2000-02-22,2207936562
2000-02-23,2162128750
2000-02-24,2134644062
2000-02-25,2116320937
2000-02-28,2033866875
2000-02-29,2024705312
2000-03-01,2006382187
2000-03-02,1997220625
2000-03-03,2097997812
2000-03-06,2024705312
2000-03-07,2033866875
2000-03-08,2107159375
2000-03-09,2217098125
2000-03-10,2382006250
2000-03-13,2473621875
2000-03-14,2418652500
2000-03-15,2647691562
2000-03-16,2830922812
2000-03-17,2803438125
2000-03-20,2775953437
2000-03-21,2766791875
2000-03-22,2711822500
2000-03-23,2666014687
2000-03-24,2647691562
2000-03-27,2565237500
2000-03-28,2501106562
2000-03-29,2473621875
2000-03-30,2528591250
2000-03-31,2471191875
2000-04-03,2480344437
2000-04-04,2480344437
2000-04-05,2443734187
2000-04-06,2370513687
2000-04-07,2333903437
2000-04-10,2407123937
2000-04-11,2416276500
2000-04-12,2462039312
2000-04-13,2489497000
2000-04-14,2361361125
2000-04-17,2333903437
2000-04-18,2333903437
2000-04-19,2352208562
2000-04-20,2233225250
2000-04-24,2086784250
2000-04-25,2050174000
2000-04-26,2004411187
2000-04-27,1986106062
2000-04-28,1976953500
2000-05-01,1986106062
2000-05-02,1967800937
2000-05-03,1958648375
2000-05-04,1885427875
2000-05-05,1848817625
2000-05-08,1894580437
2000-05-09,1894580437
2000-05-10,1876275312
2000-05-11,1931190687
2000-05-12,1903733000
2000-05-15,2022716312
2000-05-16,2086784250
2000-05-17,2068479125
2000-05-18,2041021437
2000-05-19,1903733000
2000-05-22,1839665062
2000-05-23,1738986875
2000-05-24,1729834312
2000-05-25,1702376625
2000-05-26,1674918937
2000-05-30,1656613812
2000-05-31,1647461250
2000-06-01,1656613812
2000-06-02,1647461250
2000-06-05,1647461250
2000-06-06,1684071500
2000-06-07,1684071500
2000-06-08,1674918937
2000-06-09,1665766375
2000-06-12,1665766375
2000-06-13,1702376625
2000-06-14,1738986875
2000-06-15,1757292000
2000-06-16,1748139437
2000-06-19,1720681750
2000-06-20,1711529187
2000-06-21,1738986875
2000-06-22,1729834312
2000-06-23,1784749687
2000-06-26,1784749687
2000-06-27,1812207375
2000-06-28,1814495515
2000-06-29,1784749687
2000-06-30,1703102500
2000-07-03,1721317500
2000-07-05,1785070000
2000-07-06,1794177500
2000-07-07,1830607500
2000-07-10,1848822500
2000-07-11,1903467500
2000-07-12,1921682500
2000-07-13,1939897500
2000-07-14,1958112500
2000-07-17,1926236250
2000-07-18,1976327500
2000-07-19,1976327500
2000-07-20,2040080000
2000-07-21,2021865000
2000-07-24,2049187500
2000-07-25,2049187500
2000-07-26,2012757500
2000-07-27,1976327500
2000-07-28,1939897500
2000-07-31,1939897500
2000-08-01,2021865000
2000-08-02,2012757500
2000-08-03,2012757500
2000-08-04,2040080000
2000-08-07,2040080000
2000-08-08,2049187500
2000-08-09,2030972500
2000-08-10,2021865000
2000-08-11,2030972500
2000-08-14,2049187500
2000-08-15,2076510000
2000-08-16,2040080000
2000-08-17,2012757500
2000-08-18,1985435000
2000-08-21,1976327500
2000-08-22,1958112500
2000-08-23,1921682500
2000-08-24,1857930000
2000-08-25,1857930000
2000-08-28,1848822500
2000-08-29,1839715000
2000-08-30,1830607500
2000-08-31,1905744375
2000-09-01,1912575000
2000-09-05,1894360000
2000-09-06,1930790000
2000-09-07,1985435000
2000-09-08,2012757500
2000-09-11,1949005000
2000-09-12,1930790000
2000-09-13,1876145000
2000-09-14,1812392500
2000-09-15,1721317500
2000-09-18,1712210000
2000-09-19,1684887500
2000-09-20,1612027500
2000-09-21,1530060000
2000-09-22,1475415000
2000-09-25,1429877500
2000-09-26,1448092500
2000-09-27,1438985000
2000-09-28,1411662500
2000-09-29,1347910000
2000-10-02,1310790937
2000-10-03,1346950687
2000-10-04,1365030562
2000-10-05,994393125
2000-10-06,1003433062
2000-10-09,1102872375
2000-10-10,1048632750
2000-10-11,1075752562
2000-10-12,1003433062
2000-10-13,985353187
2000-10-16,976313250
2000-10-17,958233375
2000-10-18,931113562
2000-10-19,985353187
2000-10-20,1102872375
2000-10-23,931113562
2000-10-24,931113562
2000-10-25,913033687
2000-10-26,913033687
2000-10-27,903993750
2000-10-30,913033687
2000-10-31,858794062
2000-11-01,831674250
2000-11-02,858794062
