,WMT
2000-01-03,298039590000
2000-01-04,286406820000
2000-01-05,280791000000
2000-01-06,283866330000
2000-01-07,305259930000
2000-01-10,299777820000
2000-01-11,295231680000
2000-01-12,290016990000
2000-01-13,290284410000
2000-01-14,287476500000
2000-01-18,292156350000
2000-01-19,285470850000
2000-01-20,282395520000
2000-01-21,278250510000
2000-01-24,263007570000
2000-01-25,272367270000
2000-01-26,276111150000
2000-01-27,263542410000
2000-01-28,245625270000
2000-01-31,244020750000
2000-02-01,261536759999
2000-02-02,260199660000
2000-02-03,260199660000
2000-02-04,250973670000
2000-02-07,246026399999
2000-02-08,265146929999
2000-02-09,256322070000
2000-02-10,258194009999
2000-02-11,249903990000
2000-02-14,257926590000
2000-02-15,258461429999
2000-02-16,235597020000
2000-02-17,218081009999
2000-02-18,215005679999
2000-02-22,214738259999
2000-02-23,210058410000
2000-02-24,198826770000
2000-02-25,200565000000
2000-02-28,205512270000
2000-02-29,217813590000
2000-03-01,222894570000
2000-03-02,225301350000
2000-03-03,234527340000
2000-03-06,225033929999
2000-03-07,211930350000
2000-03-08,215273100000
2000-03-09,218081009999
2000-03-10,214470840000
2000-03-13,209523570000
2000-03-14,212866320000
2000-03-15,228911520000
2000-03-16,244823009999
2000-03-17,248433179999
2000-03-20,245625270000
2000-03-21,252310770000
2000-03-22,246828660000
2000-03-23,240678000000
2000-03-24,247363500000
2000-03-27,247096080000
2000-03-28,242951070000
2000-03-29,263542410000
2000-03-30,263007570000
2000-03-31,251775929999
2000-04-03,271832429999
2000-04-04,267420000000
2000-04-05,259664820000
2000-04-06,272367270000
2000-04-07,274105500000
2000-04-10,283331490000
2000-04-11,282395520000
2000-04-12,278250510000
2000-04-13,267420000000
2000-04-14,245357850000
2000-04-17,240678000000
2000-04-18,242282520000
2000-04-19,244823009999
2000-04-20,257124330000
2000-04-24,262339020000
2000-04-25,266082899999
2000-04-26,261804179999
2000-04-27,257124330000
2000-04-28,246828660000
2000-05-01,258657449999
2000-05-02,257317950000
2000-05-03,238564949999
2000-05-04,229322400000
2000-05-05,229054500000
2000-05-08,233876700000
2000-05-09,236689650000
2000-05-10,253165499999
2000-05-11,250084650000
2000-05-12,253701300000
2000-05-15,254505000000
2000-05-16,258925349999
2000-05-17,251692050000
2000-05-18,258657449999
2000-05-19,254772900000
2000-05-22,256112400000
2000-05-23,255308699999
2000-05-24,253969200000
2000-05-25,245530349999
2000-05-26,241110000000
2000-05-30,236689650000
2000-05-31,258925349999
2000-06-01,257050050000
2000-06-02,263747550000
2000-06-05,264819150000
2000-06-06,259461150000
2000-06-07,258389550000
2000-06-08,253969200000
2000-06-09,241110000000
2000-06-12,235484099999
2000-06-13,245530349999
2000-06-14,246066150000
2000-06-15,247807500000
2000-06-16,240306300000
2000-06-19,242449500000
2000-06-20,242717400000
2000-06-21,239100750000
2000-06-22,234144600000
2000-06-23,240038400000
2000-06-26,240574200000
2000-06-27,253701300000
2000-06-28,249816749999
2000-06-29,241645800000
2000-06-30,257317950000
2000-07-03,253969200000
2000-07-05,254505000000
2000-07-06,255308699999
2000-07-07,276204900000
2000-07-10,273525900000
2000-07-11,276874650000
2000-07-12,272320349999
2000-07-13,268435800000
2000-07-14,271248750000
2000-07-17,271248750000
2000-07-18,268167900000
2000-07-19,268703699999
2000-07-20,267900000000
2000-07-21,266560499999
2000-07-24,256514249999
2000-07-25,264283350000
2000-07-26,262274099999
2000-07-27,267900000000
2000-07-28,262006199999
2000-07-31,245427239999
2000-08-01,243818760000
2000-08-02,241540080000
2000-08-03,238993319999
2000-08-04,236580599999
2000-08-07,246231480000
2000-08-08,256954680000
2000-08-09,237384840000
2000-08-10,227063760000
2000-08-11,230414760000
2000-08-14,234570000000
2000-08-15,231219000000
2000-08-16,221434080000
2000-08-17,223444680000
2000-08-18,225589319999
2000-08-21,219155400000
2000-08-22,221970239999
