,PPG
2000-12-01,7250825560
2000-12-04,7503408893
2000-12-05,7641487782
2000-12-06,7439421116
2000-12-07,7072333338
2000-12-08,7345123338
2000-12-11,7240722227
2000-12-12,7156527782
2000-12-13,6967932226
2000-12-14,7102643338
2000-12-15,6978035560
2000-12-18,7102643338
2000-12-19,7345123338
2000-12-20,7146424449
2000-12-21,7324916671
2000-12-22,7621281116
2000-12-26,7587603338
2000-12-27,7883967782
2000-12-28,7968162227
2000-12-29,7799773338
2001-01-02,7711030294
2001-01-03,7721212112
2001-01-04,8274424232
2001-01-05,8145454536
2001-01-08,8240484838
2001-01-09,7945212111
2001-01-10,7850181809
2001-01-11,7615999991
2001-01-12,7615999991
2001-01-16,7816242415
2001-01-17,7626181809
2001-01-18,7636363627
2001-01-19,7456484839
2001-01-22,7531151506
2001-01-23,7571878779
2001-01-24,7656727263
2001-01-25,7795878778
2001-01-26,7666909082
2001-01-29,7714424233
2001-01-30,7772121203
2001-01-31,7836606051
2001-02-01,7948606051
2001-02-02,8091151505
2001-02-05,8359272717
2001-02-06,8440727262
2001-02-07,8308363626
2001-02-08,8430545444
2001-02-09,8427151505
2001-02-12,8532363626
2001-02-13,8515393929
2001-02-14,8542545444
2001-02-15,8654545444
2001-02-16,8416969687
2001-02-20,8484848475
2001-02-21,8389818172
2001-02-22,8474666656
2001-02-23,8399999990
2001-02-26,8681696959
2001-02-27,8627393929
2001-02-28,8671515141
2001-03-01,8685090899
2001-03-02,8888727262
2001-03-05,9061818171
2001-03-06,9061818171
2001-03-07,9319757564
2001-03-08,9414787867
2001-03-09,9418181807
2001-03-12,9282424231
2001-03-13,8936242413
2001-03-14,8678303020
2001-03-15,8610424232
2001-03-16,8467878778
2001-03-19,8678303020
2001-03-20,8573090899
2001-03-21,8308363626
2001-03-22,7996121202
2001-03-23,7799272718
2001-03-26,7907878778
2001-03-27,7968969687
2001-03-28,7972363627
2001-03-29,7870545445
2001-03-30,7823030293
2001-04-02,7977420000
2001-04-03,7708139999
2001-04-04,8054838000
2001-04-05,8273627999
2001-04-06,8081766000
2001-04-09,8152452000
2001-04-10,8468856000
2001-04-11,8404902000
2001-04-12,8458758000
2001-04-16,8441927999
2001-04-17,8445294000
2001-04-18,8758332000
2001-04-19,8859312000
2001-04-20,8892972000
2001-04-23,8882874000
2001-04-24,8896338000
2001-04-25,8987220000
2001-04-26,9145422000
2001-04-27,9041076000
2001-04-30,8946828000
2001-05-01,8946828000
2001-05-02,9101664000
2001-05-03,9098298000
2001-05-04,9280062000
2001-05-07,9212742000
2001-05-08,9246402000
2001-05-09,9276696000
2001-05-10,9384408000
2001-05-11,9320454000
2001-05-14,9488754000
2001-05-15,9556074000
2001-05-16,9966726000
2001-05-17,9949896000
2001-05-18,9929700000
2001-05-21,10020582000
2001-05-22,9980190000
2001-05-23,9788328000
2001-05-24,9397872000
2001-05-25,9387774000
2001-05-29,9465192000
2001-05-30,9340650000
2001-05-31,9357480000
2001-06-01,9219474000
2001-06-04,9273330000
2001-06-05,9340650000
2001-06-06,9286794000
2001-06-07,9317088000
2001-06-08,9216108000
2001-06-11,9115128000
2001-06-12,9105030000
2001-06-13,9138690000
2001-06-14,8892972000
2001-06-15,8778528000
2001-06-18,8758332000
2001-06-19,8903070000
2001-06-20,8950194000
2001-06-21,8876142000
2001-06-22,8667450000
2001-06-25,8627058000
2001-06-26,8711208000
2001-06-27,8744868000
2001-06-28,8724672000
2001-06-29,8849214000
2001-07-02,8801785710
2001-07-03,8738678567
2001-07-05,8815071424
2001-07-06,8599178567
2001-07-09,8778535710
2001-07-10,8662285710
2001-07-11,8692178567
2001-07-12,8911392853
2001-07-13,8795142853
2001-07-16,8682214281
2001-07-17,8692178567
2001-07-18,8901428567
2001-07-19,9077464281
2001-07-20,9057535710
2001-07-23,8871535710
2001-07-24,8609142853
2001-07-25,8961214281
2001-07-26,8934642853
2001-07-27,8967857139
2001-07-30,8858249996
2001-07-31,9127285710
2001-08-01,9074142853
2001-08-02,9213642853
2001-08-03,9203678567
2001-08-06,9167142853
2001-08-07,9183749996
2001-08-08,8997749996
2001-08-09,8964535710
2001-08-10,9054214281
2001-08-13,9097392853
2001-08-14,9117321424
2001-08-15,9004392853
2001-08-16,8981142853
2001-08-17,8844964281
2001-08-20,8718749996
2001-08-21,8788499996
2001-08-22,8881499996
2001-08-23,8884821424
2001-08-24,9097392853
2001-08-27,9107357138
2001-08-28,8981142853
2001-08-29,8858249996
2001-08-30,8778535710
2001-08-31,8987785710
2001-09-04,9137249996
2001-09-05,9110678567
2001-09-06,9004392853
2001-09-07,8612464282
2001-09-10,8449714282
2001-09-17,7489821425
2001-09-18,7473214282
2001-09-19,7410107139
2001-09-20,6965035711
2001-09-21,6762428568
2001-09-24,7141071425
2001-09-25,7154357139
2001-09-26,7058035711
2001-09-27,7151035711
2001-09-28,7599428568
2001-10-01,7704278455
2001-10-02,7805784100
2001-10-03,8012178912
2001-10-04,7951275525
2001-10-05,8035863562
2001-10-08,7836235794
2001-10-09,7951275525
2001-10-10,8171204422
2001-10-11,8573843481
2001-10-12,8397900363
2001-10-15,8360681626
2001-10-16,8431735578
2001-10-17,8316695846
2001-10-18,8211806680
2001-10-19,8191505551
2001-10-22,8509556572
2001-10-23,8492638965
2001-10-24,8458803750
2001-10-25,8600911653
2001-10-26,8668582083
2001-10-29,8431735578
2001-10-30,8232107809
2001-10-31,8262559503
2001-11-01,8458803750
2001-11-02,8705800819
2001-11-05,8722718427
2001-11-06,8922346195
2001-11-07,8834374636
2001-11-08,8756553642
2001-11-09,8817457029
2001-11-12,8638130389
2001-11-13,8935880281
2001-11-14,9098289313
2001-11-15,9162576222
2001-11-16,9149042136
2001-11-19,9280999474
2001-11-20,9220096087
2001-11-21,9125357485
2001-11-23,9260698345
2001-11-26,9203178480
2001-11-27,9155809179
2001-11-28,8983249582
2001-11-29,9023851840
2001-11-30,9098289313
2001-12-03,8973099018
2001-12-04,9071221141
2001-12-05,9338519340
2001-12-06,9277615953
2001-12-07,9006934233
2001-12-10,8719334905
2001-12-11,8841141679
2001-12-12,8671965604
2001-12-13,8509556572
2001-12-14,8441886142
2001-12-17,8577227002
2001-12-18,8797155900
2001-12-19,8736252513
2001-12-20,8763320685
2001-12-21,8556925873
2001-12-24,8607678696
2001-12-26,8594144610
2001-12-27,8594144610
2001-12-28,8651664475
2001-12-31,8792400000
2002-01-02,8731200000
2002-01-03,8880800000
2002-01-04,9149400000
2002-01-07,9135800000
2002-01-08,9010000000
2002-01-09,8965800000
2002-01-10,8680200000
2002-01-11,8537400000
2002-01-14,8231400000
2002-01-15,8221200000
2002-01-16,7922000000
2002-01-17,7745200000
2002-01-18,7670400000
2002-01-22,7687400000
2002-01-23,7901599999
2002-01-24,7955999999
2002-01-25,8177000000
2002-01-28,8071599999
2002-01-29,7908400000
2002-01-30,8044400000
2002-01-31,8262000000
2002-02-01,8180400000
2002-02-04,8020600000
2002-02-05,7881200000
2002-02-06,7942400000
2002-02-07,7908400000
2002-02-08,7962800000
2002-02-11,8313000000
2002-02-12,8272199999
2002-02-13,8313000000
2002-02-14,8214400000
2002-02-15,8340200000
2002-02-19,8092000000
2002-02-20,8330000000
2002-02-21,8432000000
2002-02-22,8568000000
2002-02-25,8629200000
2002-02-26,8676800000
2002-02-27,8704000000
2002-02-28,8727800000
2002-03-01,8942000000
2002-03-04,9231000000
2002-03-05,8911400000
2002-03-06,9061000000
2002-03-07,9180000000
2002-03-08,9241200000
2002-03-11,9214000000
2002-03-12,9268400000
2002-03-13,9146000000
2002-03-14,9292200000
2002-03-15,9397600000
2002-03-18,9414600000
2002-03-19,9482600000
2002-03-20,9608400000
2002-03-21,9302400000
2002-03-22,9152800000
2002-03-25,8955600000
2002-03-26,9166400000
2002-03-27,9401000000
2002-03-28,9336400000
2002-04-01,9216911761
2002-04-02,9206764702
2002-04-03,9115441173
2002-04-04,8922647055
2002-04-05,9074852938
2002-04-08,9115441173
2002-04-09,9159411761
2002-04-10,9287941173
2002-04-11,9179705879
2002-04-12,9189852937
2002-04-15,9101911761
2002-04-16,9358970584
2002-04-17,9284558820
2002-04-18,8966617643
2002-04-19,9047794114
2002-04-22,8922647055
2002-04-23,8834705879
2002-04-24,8851617643
2002-04-25,8767058820
2002-04-26,8814411761
2002-04-29,8668970585
2002-04-30,8848235291
2002-05-01,8831323526
2002-05-02,9057941173
2002-05-03,9108676467
