,EHC
2000-01-03,1609678056
2000-01-04,1648242456
2000-01-05,1648242456
2000-01-06,1628960256
2000-01-07,1763164368
2000-01-10,1820239680
2000-01-11,2031572592
2000-01-12,1973725992
2000-01-13,2222852016
2000-01-14,2127212303
2000-01-18,2069365703
2000-01-19,2012290392
2000-01-20,1897368480
2000-01-21,1954443792
2000-01-24,1839521880
2000-01-25,1782446568
2000-01-26,1648242456
2000-01-27,1686806856
2000-01-28,1667524656
2000-01-31,1686806856
2000-02-01,1648242456
2000-02-02,1743882168
2000-02-03,1820239680
2000-02-04,1743882168
2000-02-07,1743882168
2000-02-08,1667524656
2000-02-09,1590395856
2000-02-10,1533320544
2000-02-11,1648242456
2000-02-14,1628960256
2000-02-15,1686806856
2000-02-16,1609678056
2000-02-17,1571113656
2000-02-18,1609678056
2000-02-22,1609678056
2000-02-23,1590395856
2000-02-24,1609678056
2000-02-25,1533320544
2000-02-28,1514038344
2000-02-29,1494756144
2000-03-01,1590395856
2000-03-02,1533320544
2000-03-03,1724599968
2000-03-06,1743882168
2000-03-07,1552602744
2000-03-08,1514038344
2000-03-09,1590395856
2000-03-10,1552602744
2000-03-13,1533320544
2000-03-14,1494756144
2000-03-15,1514038344
2000-03-16,1609678056
2000-03-17,1590395856
2000-03-20,1571113656
2000-03-21,1743882168
2000-03-22,1724599968
2000-03-23,1858804080
2000-03-24,1897368480
2000-03-27,1897368480
2000-03-28,1839521880
2000-03-29,1878086280
2000-03-30,1782446568
2000-03-31,1743882168
2000-04-03,1820239680
2000-04-04,1743882168
2000-04-05,1705317768
2000-04-06,1916650680
2000-04-07,1897368480
2000-04-10,2012290392
2000-04-11,2069365703
2000-04-12,2146494503
2000-04-13,2069365703
2000-04-14,1801728768
2000-04-17,1993008192
2000-04-18,2165776704
2000-04-19,2414902728
2000-04-20,2299980816
2000-04-24,2452695840
2000-04-25,2434184928
2000-04-26,2395620528
2000-04-27,2529824640
2000-04-28,2471978040
2000-05-01,2434184928
2000-05-02,2491260240
2000-05-03,2376338328
2000-05-04,2357056128
2000-05-05,2452695840
2000-05-08,2529824640
2000-05-09,2471978040
2000-05-10,2434184928
2000-05-11,2414902728
2000-05-12,2434184928
2000-05-15,2357056128
2000-05-16,2491260240
2000-05-17,2471978040
2000-05-18,2452695840
2000-05-19,2376338328
2000-05-22,2242134216
2000-05-23,2203569816
2000-05-24,2146494503
2000-05-25,2088647903
2000-05-26,2107930103
2000-05-30,2031572592
2000-05-31,1954443792
2000-06-01,2050854792
2000-06-02,2069365703
2000-06-05,2031572592
2000-06-06,2031572592
2000-06-07,2127212303
2000-06-08,2146494503
2000-06-09,2280698616
2000-06-12,2185058904
2000-06-13,2185058904
2000-06-14,2185058904
2000-06-15,2261416416
2000-06-16,2318491728
2000-06-19,2222852016
2000-06-20,2146494503
2000-06-21,2185058904
2000-06-22,2127212303
2000-06-23,2146494503
2000-06-26,2280698616
2000-06-27,2242134216
2000-06-28,2242134216
2000-06-29,2242134216
2000-06-30,2203404110
2000-07-03,2222684860
2000-07-05,2337598130
2000-07-06,2299807860
2000-07-07,2241965610
2000-07-10,2261246360
2000-07-11,2203404110
2000-07-12,2203404110
2000-07-13,2261246360
2000-07-14,2203404110
2000-07-17,2165613840
2000-07-18,2107771589
2000-07-19,1897225800
2000-07-20,1916506550
2000-07-21,1858664300
2000-07-24,1763031780
2000-07-25,1724470280
2000-07-26,1667399260
2000-07-27,1858664300
2000-07-28,1763031780
2000-07-31,1820102800
2000-08-01,1782312530
2000-08-02,1782312530
2000-08-03,1858664300
2000-08-04,1820102800
2000-08-07,1916506550
2000-08-08,1801593280
2000-08-09,1763031780
2000-08-10,1763031780
2000-08-11,1782312530
2000-08-14,1897225800
2000-08-15,1763031780
2000-08-16,1724470280
2000-08-17,1724470280
2000-08-18,1743751030
2000-08-21,1763031780
2000-08-22,1763031780
2000-08-23,1839383550
2000-08-24,1820102800
2000-08-25,1839383550
2000-08-28,1897225800
2000-08-29,1897225800
2000-08-30,1897225800
2000-08-31,1877945050
2000-09-01,1897225800
2000-09-05,2031419820
2000-09-06,1973577570
2000-09-07,1954296820
2000-09-08,2165613840
2000-09-11,2165613840
2000-09-12,2146333089
2000-09-13,2299807860
2000-09-14,2280527110
2000-09-15,2203404110
2000-09-18,2184894590
2000-09-19,2222684860
2000-09-20,2241965610
2000-09-21,2241965610
2000-09-22,2299807860
2000-09-25,2299807860
2000-09-26,2318317380
2000-09-27,2452511400
2000-09-28,2434001880
2000-09-29,2491072900
2000-10-02,2603663244
2000-10-03,2834996472
2000-10-04,2932032222
2000-10-05,3182772600
2000-10-06,3259624914
2000-10-09,3259624914
2000-10-10,3298439214
2000-10-11,3182772600
2000-10-12,3047698836
2000-10-13,3008884536
2000-10-16,3124551150
2000-10-17,3355884377
2000-10-18,3722291370
2000-10-19,3606624756
2000-10-20,3645439056
2000-10-23,3626031906
2000-10-24,3684253356
2000-10-25,3606624756
2000-10-26,3722291370
2000-10-27,3645439056
2000-10-30,3510365292
2000-10-31,3703660506
