,GPC
2000-01-03,4253182440
2000-01-04,4208988940
2000-01-05,4187776060
2000-01-06,4187776060
2000-01-07,4463543500
2000-01-10,4408743560
2000-01-11,4341569440
2000-01-12,4309750120
2000-01-13,4408743560
2000-01-14,4375156500
2000-01-18,4385762940
2000-01-19,4429956440
2000-01-20,4297375940
2000-01-21,4276163060
2000-01-24,4253182440
2000-01-25,4187776060
2000-01-26,4099389060
2000-01-27,4065802000
2000-01-28,4021608500
2000-01-31,4265556620
2000-02-01,4076408440
2000-02-02,4065802000
2000-02-03,4088782620
2000-02-04,4021608500
2000-02-07,4055195560
2000-02-08,4021608500
2000-02-09,3977415000
2000-02-10,3912008620
2000-02-11,3823621620
2000-02-14,3899634440
2000-02-15,3966808560
2000-02-16,3943827940
2000-02-17,3943827940
2000-02-18,3956202120
2000-02-22,4011002060
2000-02-23,3899634440
2000-02-24,3855440940
2000-02-25,3844834500
2000-02-28,3899634440
2000-02-29,3988021440
2000-03-01,3878421560
2000-03-02,3855440940
2000-03-03,3867815120
2000-03-06,3767053940
2000-03-07,3590279940
2000-03-08,3668060500
2000-03-09,3634473440
2000-03-10,3657454060
2000-03-13,3722860440
2000-03-14,3602654120
2000-03-15,3889028000
2000-03-16,4132976120
2000-03-17,4198382500
2000-03-20,4120601940
2000-03-21,4154189000
2000-03-22,4134743860
2000-03-23,4208988940
2000-03-24,4109995500
2000-03-27,4154189000
2000-03-28,4109995500
2000-03-29,4109995500
2000-03-30,4164795440
2000-03-31,4210999200
2000-04-03,4265664600
2000-04-04,4286825400
2000-04-05,4286825400
2000-04-06,4320330000
2000-04-07,4232160000
2000-04-10,4276245000
2000-04-11,4431424200
2000-04-12,4353834600
2000-04-13,4330910400
2000-04-14,4221579600
2000-04-17,4330910400
2000-04-18,4364415000
2000-04-19,4353834600
2000-04-20,4364415000
2000-04-24,4452585000
2000-04-25,4628925000
2000-04-26,4639505400
2000-04-27,4595420400
2000-04-28,4628925000
2000-05-01,4662429600
2000-05-02,4628925000
2000-05-03,4595420400
2000-05-04,4584840000
2000-05-05,4507250400
2000-05-08,4574259600
2000-05-09,4540755000
2000-05-10,4486089600
2000-05-11,4496670000
2000-05-12,4519594200
2000-05-15,4486089600
2000-05-16,4574259600
2000-05-17,4463165400
2000-05-18,4431424200
2000-05-19,4431424200
2000-05-22,4419080400
2000-05-23,4408500000
2000-05-24,4486089600
2000-05-25,4431424200
2000-05-26,4286825400
2000-05-30,4343254200
2000-05-31,4210999200
2000-06-01,4276245000
2000-06-02,4276245000
2000-06-05,4265664600
2000-06-06,4198655400
2000-06-07,4089324600
2000-06-08,4078744200
2000-06-09,4055820000
2000-06-12,4045239600
2000-06-13,4078744200
2000-06-14,4089324600
2000-06-15,4011735000
2000-06-16,3902404200
2000-06-19,3814234200
2000-06-20,3770149200
2000-06-21,3757805400
2000-06-22,3726064200
2000-06-23,3736644600
2000-06-26,3703140000
2000-06-27,3736644600
2000-06-28,3713720400
2000-06-29,3659055000
2000-06-30,3483840000
2000-07-03,3658032000
2000-07-05,3668483520
2000-07-06,3668483520
2000-07-07,3734676480
2000-07-10,3767772960
2000-07-11,3821772480
2000-07-12,3799127520
2000-07-13,3799127520
2000-07-14,3811320960
2000-07-17,3701580000
2000-07-18,3701580000
2000-07-19,3637128960
2000-07-20,3624935520
2000-07-21,3593580960
2000-07-24,3668483520
2000-07-25,3614484000
2000-07-26,3624935520
2000-07-27,3570936000
2000-07-28,3506484960
2000-07-31,3494291520
2000-08-01,3537839520
2000-08-02,3570936000
2000-08-03,3537839520
2000-08-04,3570936000
2000-08-07,3581387520
2000-08-08,3647580480
2000-08-09,3624935520
2000-08-10,3658032000
2000-08-11,3755579520
2000-08-14,3799127520
2000-08-15,3724224960
2000-08-16,3724224960
2000-08-17,3701580000
2000-08-18,3691128480
2000-08-21,3724224960
2000-08-22,3712031520
2000-08-23,3637128960
2000-08-24,3658032000
2000-08-25,3637128960
2000-08-28,3624935520
2000-08-29,3593580960
2000-08-30,3581387520
2000-08-31,3581387520
2000-09-01,3550032960
2000-09-05,3637128960
2000-09-06,3658032000
2000-09-07,3647580480
2000-09-08,3604032480
2000-09-11,3647580480
2000-09-12,3624935520
2000-09-13,3581387520
2000-09-14,3516936480
2000-09-15,3462936960
2000-09-18,3429840480
2000-09-19,3353196000
2000-09-20,3299196480
2000-09-21,3320099520
2000-09-22,3299196480
2000-09-25,3276551520
2000-09-26,3245196960
2000-09-27,3299196480
2000-09-28,3332292960
2000-09-29,3320099520
2000-10-02,3269653000
2000-10-03,3378067810
2000-10-04,3378067810
2000-10-05,3409043470
2000-10-06,3366021720
2000-10-09,3388393030
2000-10-10,3378067810
2000-10-11,3398718250
2000-10-12,3378067810
2000-10-13,3366021720
2000-10-16,3366021720
2000-10-17,3335046060
2000-10-18,3292024310
2000-10-19,3421089560
2000-10-20,3388393030
2000-10-23,3355696500
2000-10-24,3409043470
2000-10-25,3378067810
2000-10-26,3409043470
2000-10-27,3398718250
2000-10-30,3495086970
2000-10-31,3667173970
2000-11-01,3624152220
2000-11-02,3603501780
2000-11-03,3593176560
2000-11-06,3636198310
2000-11-07,3603501780
2000-11-08,3593176560
2000-11-09,3538108720
2000-11-10,3335046060
2000-11-13,3366021720
2000-11-14,3378067810
2000-11-15,3398718250
2000-11-16,3355696500
2000-11-17,3388393030
2000-11-20,3312674750
2000-11-21,3292024310
2000-11-22,3249002560
2000-11-24,3335046060
2000-11-27,3388393030
2000-11-28,3292024310
2000-11-29,3335046060
2000-11-30,3302349530
2000-12-01,3355696500
2000-12-04,3495086970
2000-12-05,3474436530
2000-12-06,3421089560
2000-12-07,3452065220
2000-12-08,3484761750
2000-12-11,3517458280
2000-12-12,3636198310
2000-12-13,3624152220
2000-12-14,3613827000
2000-12-15,3613827000
2000-12-18,3742892250
2000-12-19,3882282720
2000-12-20,3882282720
2000-12-21,4097391470
2000-12-22,4259153250
2000-12-26,4302175000
2000-12-27,4506958530
2000-12-28,4496633310
2000-12-29,4506958530
2001-01-02,4539655060
2001-01-03,4646349000
2001-01-04,4679045530
2001-01-05,4582676810
2001-01-08,4570630720
2001-01-09,4593002030
2001-01-10,4539655060
2001-01-11,4496633310
2001-01-12,4527608970
2001-01-16,4496633310
2001-01-17,4484587220
2001-01-18,4388218500
2001-01-19,4410589810
2001-01-22,4388218500
2001-01-23,4281524560
2001-01-24,4324546310
2001-01-25,4324546310
2001-01-26,4291849780
2001-01-29,4259153250
2001-01-30,4302175000
2001-01-31,4364126320
2001-02-01,4352080230
2001-02-02,4357242840
2001-02-05,4401985460
2001-02-06,4451890690
2001-02-07,4517283750
2001-02-08,4537934190
2001-02-09,4510400270
2001-02-12,4548259410
2001-02-13,4606768990
2001-02-14,4593002030
2001-02-15,4673882920
2001-02-16,4697975100
2001-02-20,4828761220
2001-02-21,4835644700
2001-02-22,4728950760
2001-02-23,4641186390
2001-02-26,4723788150
2001-02-27,4679045530
2001-02-28,4639465520
2001-03-01,4623977690
2001-03-02,4646349000
2001-03-05,4703137710
2001-03-06,4708300320
2001-03-07,4675603790
2001-03-08,4697975100
2001-03-09,4634302910
2001-03-12,4582676810
2001-03-13,4558584630
2001-03-14,4414031550
2001-03-15,4474262000
2001-03-16,4350359360
2001-03-19,4420915030
2001-03-20,4414031550
2001-03-21,4271199340
2001-03-22,4233340200
2001-03-23,4174830620
2001-03-26,4369288930
2001-03-27,4398543720
2001-03-28,4431240250
2001-03-29,4383055890
2001-03-30,4458774170
2001-04-02,4503531130
2001-04-03,4379343370
2001-04-04,4506980790
2001-04-05,4660490660
2001-04-06,4613920250
2001-04-09,4667389980
2001-04-10,4762255630
2001-04-11,4650141680
2001-04-12,4703611410
2001-04-16,4763980460
2001-04-17,4757081140
2001-04-18,4915765500
2001-04-19,4829524000
2001-04-20,4795027400
2001-04-23,4786403250
2001-04-24,4686363110
2001-04-25,4650141680
2001-04-26,4662215490
2001-04-27,4657041000
2001-04-30,4657041000
2001-05-01,4657041000
2001-05-02,4660490660
2001-05-03,4613920250
2001-05-04,4613920250
2001-05-07,4658765830
2001-05-08,4698436920
2001-05-09,4653591340
2001-05-10,4674289300
2001-05-11,4658765830
2001-05-14,4674289300
2001-05-15,4710510730
2001-05-16,4882993730
2001-05-17,4872644750
2001-05-18,4872644750
2001-05-21,4843322640
2001-05-22,4834698490
2001-05-23,4829524000
2001-05-24,4855396450
2001-05-25,4853671620
2001-05-29,4877819240
2001-05-30,4881268900
2001-05-31,4927839310
2001-06-01,4908866180
2001-06-04,4941637950
2001-06-05,5043402920
2001-06-06,4998557340
2001-06-07,5024429790
2001-06-08,5014080810
2001-06-11,4988208360
2001-06-12,4984758700
2001-06-13,4976134550
2001-06-14,4970960060
2001-06-15,4974409720
2001-06-18,5031329110
2001-06-19,5036503600
2001-06-20,5083074010
2001-06-21,5171040340
2001-06-22,5157241700
2001-06-25,5157241700
2001-06-26,5183114150
2001-06-27,5217610750
2001-06-28,5400442730
2001-06-29,5433214500
2001-07-02,5502244990
2001-07-03,5540322810
2001-07-05,5602631970
2001-07-06,5559361720
2001-07-09,5562823340
2001-07-10,5521283900
2001-07-11,5737635150
2001-07-12,5903792910
2001-07-13,5865715090
2001-07-16,5855330230
2001-07-17,5934947490
2001-07-18,5883023190
2001-07-19,5848406990
2001-07-20,5810329170
2001-07-23,5673595180
2001-07-24,5602631970
2001-07-25,5659748700
2001-07-26,5737635150
2001-07-27,5649363840
2001-07-30,5670133560
2001-07-31,5697826520
2001-08-01,5765328110
2001-08-02,5694364900
2001-08-03,5744558390
2001-08-06,5728981100
2001-08-07,5727250290
2001-08-08,5715134620
2001-08-09,5687441660
2001-08-10,5754943250
2001-08-13,5685710850
2001-08-14,5713403810
2001-08-15,5659748700
2001-08-16,5748020010
2001-08-17,5517822280
2001-08-20,5502244990
2001-08-21,5514360660
2001-08-22,5465897980
2001-08-23,5538592000
2001-08-24,5478013650
2001-08-27,5412242870
2001-08-28,5365511000
2001-08-29,5296278600
2001-08-30,5332625610
2001-08-31,5323971560
2001-09-04,5458974740
2001-09-05,5410512060
2001-09-06,5382819100
2001-09-07,5329163990
2001-09-10,5287624550
2001-09-17,5010694950
2001-09-18,4903384730
2001-09-19,4757996690
2001-09-20,4861845290
2001-09-21,4854922050
2001-09-24,5123197600
2001-09-25,5244354300
2001-09-26,5322240750
2001-09-27,5362049380
2001-09-28,5514360660
2001-10-01,5704794200
2001-10-02,5826172800
2001-10-03,5846980560
2001-10-04,5829640760
2001-10-05,5921541700
2001-10-08,5902467920
2001-10-09,5800163100
2001-10-10,5885128120
2001-10-11,6001304780
2001-10-12,5982231000
2001-10-15,6063728060
2001-10-16,6094939700
2001-10-17,5872990260
2001-10-18,5898999960
2001-10-19,5878192200
2001-10-22,5963157220
2001-10-23,5904201899
2001-10-24,5864320360
2001-10-25,5859118420
2001-10-26,5957955280
2001-10-29,5774153399
2001-10-30,5699592260
2001-10-31,5635435000
2001-11-01,5737739820
2001-11-02,5902467920
2001-11-05,5938881500
2001-11-06,5952753340
2001-11-07,5982231000
2001-11-08,5942349460
2001-11-09,5921541700
2001-11-12,5810566980
2001-11-13,5869522300
2001-11-14,5921541700
2001-11-15,6020378560
2001-11-16,5833108720
2001-11-19,5951019360
2001-11-20,5883394140
2001-11-21,5800163100
2001-11-23,5841778620
2001-11-26,5964891200
2001-11-27,5886862100
2001-11-28,5890330060
2001-11-29,5860852399
2001-11-30,5843512600
2001-12-03,5834842700
2001-12-04,5852182500
2001-12-05,6061994080
2001-12-06,6245795960
2001-12-07,6273539640
2001-12-10,6124417360
2001-12-11,6124417360
2001-12-12,6129619300
2001-12-13,6114013480
2001-12-14,6164298899
2001-12-17,6294347399
2001-12-18,6360238640
2001-12-19,6294347399
2001-12-20,6320357100
2001-12-21,6355036700
2001-12-24,6408790080
2001-12-26,6492021120
2001-12-27,6407056100
2001-12-28,6360238640
2001-12-31,6381285900
2002-01-02,6275220930
2002-01-03,6242184300
2002-01-04,6190021200
2002-01-07,6230012910
2002-01-08,6259572000
2002-01-09,6294347400
2002-01-10,6094388849
2002-01-11,6174372270
2002-01-14,6059613450
