,MTW
2000-01-03,181106328
2000-01-04,177081756
2000-01-05,180740472
2000-01-06,184399187
2000-01-07,189155497
2000-01-10,188057903
2000-01-11,180740472
2000-01-12,175618254
2000-01-13,176715874
2000-01-14,175618254
2000-01-18,173423040
2000-01-19,174154778
2000-01-20,168300848
2000-01-21,167569084
2000-01-24,163178631
2000-01-25,167203228
2000-01-26,167203228
2000-01-27,166837346
2000-01-28,164276251
2000-01-31,159885797
2000-02-01,161349273
2000-02-02,162081011
2000-02-03,160983417
2000-02-04,162081011
2000-02-07,160251679
2000-02-08,155129461
2000-02-09,157690557
2000-02-10,154763605
2000-02-11,149641387
2000-02-14,147446173
2000-02-15,150373151
2000-02-16,150007269
2000-02-17,155129461
2000-02-18,156227081
2000-02-22,157324701
2000-02-23,161715155
2000-02-24,161715155
2000-02-25,154763605
2000-02-28,156592963
2000-02-29,157690557
2000-03-01,152202483
2000-03-02,154763605
2000-03-03,157324701
2000-03-06,152202483
2000-03-07,146348554
2000-03-08,150739007
2000-03-09,158056439
2000-03-10,152934247
2000-03-13,150739007
2000-03-14,146348554
2000-03-15,154397723
2000-03-16,169764324
2000-03-17,163544513
2000-03-20,163178631
2000-03-21,162081011
2000-03-22,166471490
2000-03-23,169764324
2000-03-24,168300848
2000-03-27,163178631
2000-03-28,159519915
2000-03-29,160617535
2000-03-30,164642133
2000-03-31,153980975
2000-04-03,154680884
2000-04-04,152581133
2000-04-05,156430669
2000-04-06,159580271
2000-04-07,156780611
2000-04-10,155380793
2000-04-11,156430669
2000-04-12,162379932
2000-04-13,163079841
2000-04-14,162379932
2000-04-17,163779749
2000-04-18,167979228
2000-04-19,156780611
2000-04-20,161330056
2000-04-24,161330056
2000-04-25,175328333
2000-04-26,174278457
2000-04-27,183727290
2000-04-28,185827041
2000-05-01,184777165
2000-05-02,185127107
2000-05-03,181977505
2000-05-04,182327472
2000-05-05,188976644
2000-05-08,185127107
2000-05-09,187226859
2000-05-10,180577687
2000-05-11,192826155
2000-05-12,191076395
2000-05-15,190376461
2000-05-16,191776304
2000-05-17,191076395
2000-05-18,190726428
2000-05-19,188276735
2000-05-22,186876892
2000-05-23,186176983
2000-05-24,191776304
2000-05-25,184427199
2000-05-26,181277596
2000-05-30,186876892
2000-05-31,183027381
2000-06-01,190026519
2000-06-02,190726428
2000-06-05,177428060
2000-06-06,180577687
2000-06-07,174278457
2000-06-08,173578549
2000-06-09,174978366
2000-06-12,170428946
2000-06-13,173578549
2000-06-14,173228582
2000-06-15,174978366
2000-06-16,170778888
2000-06-19,170428946
2000-06-20,167279319
2000-06-21,164829625
2000-06-22,180577687
2000-06-23,170778888
2000-06-26,177778027
2000-06-27,167979228
2000-06-28,169379070
2000-06-29,165879501
2000-06-30,149254177
2000-07-03,168085310
2000-07-05,166341686
2000-07-06,167387841
2000-07-07,167039131
2000-07-10,166690396
2000-07-11,166690396
2000-07-12,167387841
2000-07-13,160762078
2000-07-14,147161818
2000-07-17,146115638
2000-07-18,145766928
2000-07-19,140884765
2000-07-20,142628390
2000-07-21,140884765
2000-07-24,136002627
2000-07-25,135305182
2000-07-26,133910292
2000-07-27,131817933
2000-07-28,131817933
2000-07-31,137397516
2000-08-01,132515378
2000-08-02,136002627
2000-08-03,127633240
2000-08-04,129376864
2000-08-07,129725574
2000-08-08,134259002
2000-08-09,131817933
2000-08-10,131120488
2000-08-11,136700072
2000-08-14,131817933
2000-08-15,126238325
2000-08-16,126238325
2000-08-17,123448546
2000-08-18,124145991
2000-08-21,125889615
2000-08-22,125540881
2000-08-23,123797256
2000-08-24,126935795
2000-08-25,128330684
2000-08-28,127284505
2000-08-29,124145991
2000-08-30,127284505
2000-08-31,127981950
2000-09-01,126935795
2000-09-05,127284505
2000-09-06,129725574
2000-09-07,129376864
2000-09-08,128330684
2000-09-11,132166668
2000-09-12,133910292
2000-09-13,135653892
2000-09-14,136700072
2000-09-15,131817933
2000-09-18,134607737
2000-09-19,116474049
2000-09-20,117520228
2000-09-21,118217673
2000-09-22,110894441
2000-09-25,112289355
2000-09-26,115079159
2000-09-27,110196996
2000-09-28,114032979
2000-09-29,110196996
2000-10-02,108170659
2000-10-03,106797048
2000-10-04,110574448
2000-10-05,110574448
2000-10-06,109887654
2000-10-09,109200837
2000-10-10,105423462
2000-10-11,103019673
2000-10-12,98555480
2000-10-13,105080053
2000-10-16,107140457
2000-10-17,106110255
2000-10-18,109887654
2000-10-19,109887654
2000-10-20,119159425
2000-10-23,125340588
2000-10-24,131865185
2000-10-25,129804781
2000-10-26,132895363
2000-10-27,135299152
2000-10-30,142167133
2000-10-31,149378524
2000-11-01,145944533
2000-11-02,144227537
2000-11-03,138389758
2000-11-06,139076551
2000-11-07,137016147
2000-11-08,137359556
2000-11-09,137702965
2000-11-10,132551979
2000-11-13,137359556
2000-11-14,140793547
2000-11-15,141823749
2000-11-16,141480340
2000-11-17,140793547
2000-11-20,138389758
2000-11-21,142510542
2000-11-22,141136956
2000-11-24,148004913
2000-11-27,146974735
2000-11-28,142167133
2000-11-29,142167133
2000-11-30,137359556
2000-12-01,140793547
2000-12-04,142510542
2000-12-05,150752110
2000-12-06,150752110
2000-12-07,151095519
2000-12-08,153842692
2000-12-11,157620092
2000-12-12,157963500
2000-12-13,153499308
2000-12-14,149035115
2000-12-15,143197335
2000-12-18,147318119
2000-12-19,144570922
2000-12-20,141136956
2000-12-21,144914331
2000-12-22,152469106
2000-12-26,153842692
2000-12-27,158993678
2000-12-28,167922064
2000-12-29,159337087
2001-01-02,153842692
2001-01-03,158306885
2001-01-04,157620092
2001-01-05,155216303
2001-01-08,158993678
2001-01-09,162084284
2001-01-10,169639059
2001-01-11,165518275
2001-01-12,163801280
2001-01-16,163457871
2001-01-17,162771078
2001-01-18,162084284
2001-01-19,155903096
2001-01-22,157276683
2001-01-23,159337087
2001-01-24,162427669
2001-01-25,162771078
2001-01-26,156589890
2001-01-29,162853497
2001-01-30,163952361
2001-01-31,164556760
2001-02-01,162633705
2001-02-02,161589770
2001-02-05,159996415
2001-02-06,159062365
2001-02-07,162084284
2001-02-08,157414056
2001-02-09,157414056
2001-02-12,160710674
2001-02-13,157468986
2001-02-14,159611809
2001-02-15,160710674
2001-02-16,159721693
2001-02-20,159996415
2001-02-21,157139334
2001-02-22,154392136
2001-02-23,155600909
2001-02-26,160161254
2001-02-27,155765747
2001-02-28,154941581
2001-03-01,153293272
2001-03-02,155930561
2001-03-05,154941581
2001-03-06,152853712
2001-03-07,156205283
2001-03-08,156260238
2001-03-09,154941581
2001-03-12,152084499
2001-03-13,153842692
2001-03-14,150985635
2001-03-15,149721908
2001-03-16,147634039
2001-03-19,149172488
2001-03-20,147249433
2001-03-21,140381476
2001-03-22,134832151
2001-03-23,133513494
2001-03-26,135985969
2001-03-27,139722147
2001-03-28,136040899
2001-03-29,135161803
2001-03-30,136260692
2001-04-02,130803162
2001-04-03,130198618
2001-04-04,133441219
2001-04-05,135199908
2001-04-06,133496164
2001-04-09,140256167
2001-04-10,141300396
2001-04-11,141795026
2001-04-12,140695827
2001-04-16,141080566
2001-04-17,139431768
2001-04-18,142894200
2001-04-19,142619424
2001-04-20,145752087
2001-04-23,144542998
2001-04-24,145642172
2001-04-25,150038917
2001-04-26,151687691
2001-04-27,153336488
2001-04-30,151138116
2001-05-01,153886063
2001-05-02,151138116
2001-05-03,148994688
2001-05-04,153336488
2001-05-07,153886063
2001-05-08,153886063
2001-05-09,153886063
2001-05-10,154050948
2001-05-11,151907545
2001-05-14,148280229
2001-05-15,152622004
2001-05-16,156249321
2001-05-17,159931606
2001-05-18,159436977
2001-05-21,159382007
2001-05-22,160206406
2001-05-23,158832408
2001-05-24,157183634
2001-05-25,157458434
2001-05-29,153116634
2001-05-30,151138116
2001-05-31,152951774
2001-06-01,151138116
2001-06-04,153336488
2001-06-05,157238604
2001-06-06,153336488
2001-06-07,154710462
2001-06-08,157183634
2001-06-11,157293549
2001-06-12,154765432
2001-06-13,153666233
2001-06-14,156798920
2001-06-15,154710462
2001-06-18,155864606
2001-06-19,155644776
2001-06-20,157458434
2001-06-21,155809661
2001-06-22,153886063
2001-06-25,152786889
2001-06-26,153336488
2001-06-27,158172894
2001-06-28,159107207
2001-06-29,162129979
2001-07-02,157432339
2001-07-03,158201909
2001-07-05,155343498
2001-07-06,149241915
2001-07-09,150231356
2001-07-10,149791591
2001-07-11,149241915
2001-07-12,156717748
2001-07-13,159796030
2001-07-16,156168048
2001-07-17,159411245
2001-07-18,156717748
2001-07-19,158916524
2001-07-20,153804357
2001-07-23,153639467
2001-07-24,152210261
2001-07-25,152485111
2001-07-26,150890991
2001-07-27,151990367
2001-07-30,153309637
2001-07-31,152759937
2001-08-01,152814917
2001-08-02,153364617
2001-08-03,153694422
2001-08-06,152595046
2001-08-07,152540067
2001-08-08,152540067
2001-08-09,151660561
2001-08-10,155288543
2001-08-13,155563393
2001-08-14,155563393
2001-08-15,153639467
2001-08-16,155123628
2001-08-17,153419572
2001-08-20,154463993
2001-08-21,153639467
2001-08-22,156113069
2001-08-23,156827683
2001-08-24,158861545
2001-08-27,157267448
2001-08-28,158201909
2001-08-29,158311844
2001-08-30,157762169
2001-08-31,157487319
2001-09-04,155563393
2001-09-05,155068672
2001-09-06,153199702
2001-09-07,149406805
2001-09-10,144569513
2001-09-17,137368505
2001-09-18,138083120
2001-09-19,134125333
2001-09-20,128628381
2001-09-21,125220270
2001-09-24,129288016
2001-09-25,131761642
2001-09-26,125879905
2001-09-27,129068146
2001-09-28,133245803
2001-10-01,132531115
2001-10-02,130606392
2001-10-03,135115746
2001-10-04,137205452
2001-10-05,141329862
2001-10-08,139625101
2001-10-09,134180898
2001-10-10,146279164
