,KIM
2000-12-01,2547738037
2000-12-04,2544053673
2000-12-05,2579055136
2000-12-06,2551422402
2000-12-07,2529316215
2000-12-08,2544053673
2000-12-11,2625109692
2000-12-12,2597476958
2000-12-13,2603003505
2000-12-14,2621425327
2000-12-15,2656426790
2000-12-18,2698796981
2000-12-19,2698796981
2000-12-20,2682217341
2000-12-21,2674848612
2000-12-22,2674848612
2000-12-26,2663795519
2000-12-27,2741167173
2000-12-28,2698796981
2000-12-29,2713534439
2001-01-02,2784426616
2001-01-03,2814878308
2001-01-04,2799652462
2001-01-05,2755878154
2001-01-08,2736845847
2001-01-09,2759684616
2001-01-10,2744458770
2001-01-11,2736845847
2001-01-12,2731136154
2001-01-16,2744458770
2001-01-17,2727329693
2001-01-18,2736845847
2001-01-19,2752071693
2001-01-22,2752071693
2001-01-23,2767297539
2001-01-24,2740652308
2001-01-25,2748265231
2001-01-26,2748265231
2001-01-29,2759684616
2001-01-30,2803458924
2001-01-31,2788233078
2001-02-01,2765394308
2001-02-02,2746362001
2001-02-05,2746362001
2001-02-06,2731136154
2001-02-07,2721620001
2001-02-08,2700684462
2001-02-09,2679748924
2001-02-12,2655006924
2001-02-13,2616942308
2001-02-14,2630264924
2001-02-15,2632168154
2001-02-16,2634071385
2001-02-20,2664523078
2001-02-21,2632168154
2001-02-22,2605522924
2001-02-23,2594103539
2001-02-26,2626458462
2001-02-27,2649297231
2001-02-28,2655006924
2001-03-01,2687361847
2001-03-02,2733039385
2001-03-05,2729232924
2001-03-06,2727329693
2001-03-07,2729232924
2001-03-08,2744458770
2001-03-09,2734942616
2001-03-12,2725426462
2001-03-13,2715910308
2001-03-14,2706394154
2001-03-15,2696878001
2001-03-16,2683555385
2001-03-19,2700684462
2001-03-20,2704490924
2001-03-21,2693071539
2001-03-22,2677845693
2001-03-23,2666426308
2001-03-26,2693071539
2001-03-27,2683555385
2001-03-28,2685458616
2001-03-29,2702587693
2001-03-30,2727329693
2001-04-02,2711769580
2001-04-03,2675408520
2001-04-04,2663926080
2001-04-05,2677322260
2001-04-06,2665839820
2001-04-09,2679236000
2001-04-10,2677322260
2001-04-11,2673494780
2001-04-12,2669667300
2001-04-16,2616082580
2001-04-17,2677322260
2001-04-18,2709855840
2001-04-19,2744303160
2001-04-20,2753871860
2001-04-23,2750044380
2001-04-24,2744303160
2001-04-25,2751958120
2001-04-26,2788319180
2001-04-27,2788319180
2001-04-30,2807456580
2001-05-01,2794060400
2001-05-02,2774923000
2001-05-03,2780664220
2001-05-04,2771095520
2001-05-07,2773009260
2001-05-08,2799801620
2001-05-09,2790232920
2001-05-10,2790232920
2001-05-11,2790232920
2001-05-14,2790232920
2001-05-15,2778750480
2001-05-16,2792146660
2001-05-17,2773009260
2001-05-18,2732820720
2001-05-21,2725165760
2001-05-22,2742389420
2001-05-23,2761526820
2001-05-24,2774923000
2001-05-25,2755785600
2001-05-29,2765354300
2001-05-30,2717510800
2001-05-31,2725165760
2001-06-01,2746216900
2001-06-04,2759613080
2001-06-05,2790232920
2001-06-06,2792146660
2001-06-07,2794060400
2001-06-08,2767268040
2001-06-11,2790232920
2001-06-12,2817025280
2001-06-13,2838076420
2001-06-14,2870610000
2001-06-15,2872523740
2001-06-18,2882092440
2001-06-19,2878264960
2001-06-20,2903143580
2001-06-21,2933763420
2001-06-22,2926108460
2001-06-25,2893574880
2001-06-26,2937590900
2001-06-27,2933763420
2001-06-28,2956728300
2001-06-29,3019881720
2001-07-02,2985644480
2001-07-03,3020271800
2001-07-05,3004881880
2001-07-06,3012576840
2001-07-09,2997186920
2001-07-10,2983720740
2001-07-11,2976025780
2001-07-12,2976025780
2001-07-13,2985644480
2001-07-16,2991415700
2001-07-17,2993339440
2001-07-18,2991415700
2001-07-19,2995263180
2001-07-20,2995263180
2001-07-23,2991415700
2001-07-24,2985644480
2001-07-25,2985644480
2001-07-26,2991415700
2001-07-27,2979873260
2001-07-30,2960635860
2001-07-31,3001034400
2001-08-01,3016424320
2001-08-02,3031814240
2001-08-03,3043356680
2001-08-06,3070289040
2001-08-07,3104916360
2001-08-08,3108763840
2001-08-09,3108763840
2001-08-10,3137619939
2001-08-13,3131848720
2001-08-14,3160704820
2001-08-15,3189560919
2001-08-16,3183789700
2001-08-17,3193408400
2001-08-20,3183789700
2001-08-21,3201103360
2001-08-22,3178018480
2001-08-23,3197255880
2001-08-24,3158781080
2001-08-27,3153009860
2001-08-28,3135696200
2001-08-29,3110687580
2001-08-30,3077984000
2001-08-31,3076060260
2001-09-04,3064517820
2001-09-05,3052975380
2001-09-06,3010653100
2001-09-07,3001034400
2001-09-10,2977949520
2001-09-17,2862525120
2001-09-18,2899076180
2001-09-19,2904847400
2001-09-20,2895228700
2001-09-21,2856753900
2001-09-24,2864448860
2001-09-25,2900999920
2001-09-26,2962559600
2001-09-27,3033737980
2001-09-28,3112611320
2001-10-01,3345830556
2001-10-02,3366676852
2001-10-03,3331238148
2001-10-04,3354169074
2001-10-05,3385438519
2001-10-08,3385438519
2001-10-09,3439638889
2001-10-10,3425046482
2001-10-11,3466739074
2001-10-12,3447977408
2001-10-15,3468823704
2001-10-16,3443808148
2001-10-17,3439638889
2001-10-18,3400030926
2001-10-19,3372930741
2001-10-22,3331238148
2001-10-23,3335407408
2001-10-24,3331238148
2001-10-25,3362507593
2001-10-26,3387523148
2001-10-29,3404200185
2001-10-30,3402115556
2001-10-31,3397946296
2001-11-01,3429215741
2001-11-02,3397946296
2001-11-05,3395861667
2001-11-06,3420877222
2001-11-07,3391692408
2001-11-08,3393777037
2001-11-09,3362507593
2001-11-12,3377100000
2001-11-13,3422961852
2001-11-14,3439638889
2001-11-15,3470908333
2001-11-16,3472992963
2001-11-19,3460485185
2001-11-20,3450062037
2001-11-21,3475077593
2001-11-23,3481331482
2001-11-26,3447977408
2001-11-27,3441723519
2001-11-28,3464654445
2001-11-29,3475077593
2001-11-30,3445892778
2001-12-03,3443808148
2001-12-04,3475077593
2001-12-05,3520939445
2001-12-06,3543870371
2001-12-07,3512600926
2001-12-10,3508431667
2001-12-11,3500093148
2001-12-12,3431300370
2001-12-13,3418792593
2001-12-14,3452146667
2001-12-17,3450062037
2001-12-18,3439638889
2001-12-19,3429215741
2001-12-20,3416707963
2001-12-21,3435469630
2001-12-24,3462569815
2001-12-26,3443808148
2001-12-27,3470908333
2001-12-28,3397946296
2001-12-31,3408369445
2002-01-02,3460485185
2002-01-03,3364592222
2002-01-04,3333322778
2002-01-07,3335407408
2002-01-08,3322899630
2002-01-09,3331238148
2002-01-10,3337492037
2002-01-11,3283291667
2002-01-14,3289545556
2002-01-15,3166552407
2002-01-16,3212414259
2002-01-17,3256191482
2002-01-18,3245768333
2002-01-22,3224922037
2002-01-23,3191567963
2002-01-24,3197821852
2002-01-25,3189483333
2002-01-28,3179060185
2002-01-29,3181144815
2002-01-30,3208245000
2002-01-31,3181144815
2002-02-01,3233260556
2002-02-04,3231175926
2002-02-05,3208245000
2002-02-06,3210329630
2002-02-07,3193652593
2002-02-08,3156129259
2002-02-11,3174890926
2002-02-12,3141536852
2002-02-13,3208245000
2002-02-14,3181144815
2002-02-15,3201991111
2002-02-19,3237429815
2002-02-20,3272868519
2002-02-21,3235345185
2002-02-22,3285376296
2002-02-25,3258276111
2002-02-26,3260360741
2002-02-27,3262445370
2002-02-28,3233260556
2002-03-01,3260360741
2002-03-04,3308307222
2002-03-05,3377100000
2002-03-06,3450062037
2002-03-07,3460485185
2002-03-08,3472992963
2002-03-11,3427131111
2002-03-12,3377100000
2002-03-13,3356253704
2002-03-14,3391692408
2002-03-15,3416707963
2002-03-18,3427131111
2002-03-19,3435469630
2002-03-20,3431300370
2002-03-21,3439638889
2002-03-22,3445892778
2002-03-25,3431300370
2002-03-26,3418792593
2002-03-27,3437554259
2002-03-28,3408369445
2002-04-01,3389245980
2002-04-02,3395510760
2002-04-03,3387157720
2002-04-04,3403863800
2002-04-05,3418481620
2002-04-08,3416393360
2002-04-09,3426834660
2002-04-10,3460246820
2002-04-11,3445629000
2002-04-12,3510365059
2002-04-15,3456070300
2002-04-16,3439364220
2002-04-17,3420569880
2002-04-18,3420569880
2002-04-19,3393422500
2002-04-22,3364186860
2002-04-23,3316156880
2002-04-24,3347480780
2002-04-25,3332862960
2002-04-26,3326598180
2002-04-29,3289009500
2002-04-30,3351657300
2002-05-01,3393422500
2002-05-02,3414305100
2002-05-03,3393422500
