,ETR
2000-12-01,8945899782
2000-12-04,8945899782
2000-12-05,8836134140
2000-12-06,8836134140
2000-12-07,8726368499
2000-12-08,8574891913
2000-12-11,8315845000
2000-12-12,8520009093
2000-12-13,8493665339
2000-12-14,8219251235
2000-12-15,8520009093
2000-12-18,8739540376
2000-12-19,9084204490
2000-12-20,9468384235
2000-12-21,9384962348
2000-12-22,9384962348
2000-12-26,9494727989
2000-12-27,9439845169
2000-12-28,9207142009
2000-12-29,9288368583
2001-01-02,9181540553
2001-01-03,8906644129
2001-01-04,8136934143
2001-01-05,8233697684
2001-01-08,8315067025
2001-01-09,8246892712
2001-01-10,8191913427
2001-01-11,7463987697
2001-01-12,7725689093
2001-01-16,7560751238
2001-01-17,7820253462
2001-01-18,7862037719
2001-01-19,7752079149
2001-01-22,8068759829
2001-01-23,8110544086
2001-01-24,8081954858
2001-01-25,8136934143
2001-01-26,8068759829
2001-01-29,8026975573
2001-01-30,8020378059
2001-01-31,7789465063
2001-02-01,7661913122
2001-02-02,7840046005
2001-02-05,7870834404
2001-02-06,7965398774
2001-02-07,8009382202
2001-02-08,8125938286
2001-02-09,8227100169
2001-02-12,8136934143
2001-02-13,8090751543
2001-02-14,8163324199
2001-02-15,8132535800
2001-02-16,8257888569
2001-02-20,8308469511
2001-02-21,8444818137
2001-02-22,8506394936
2001-02-23,8491000736
2001-02-26,8447017308
2001-02-27,8620751848
2001-02-28,8539382507
2001-03-01,8631747705
2001-03-02,8675731133
2001-03-05,8603158477
2001-03-06,8517390793
2001-03-07,8565772564
2001-03-08,8664735276
2001-03-09,8642743562
2001-03-12,8532784993
2001-03-13,8440419794
2001-03-14,8345855425
2001-03-15,8367847138
2001-03-16,8246892712
2001-03-19,8114942429
2001-03-20,8035772259
2001-03-21,7982992145
2001-03-22,7818054291
2001-03-23,7631124723
2001-03-26,7917017004
2001-03-27,8114942429
2001-03-28,8114942429
2001-03-29,8174320056
2001-03-30,8356851282
2001-04-02,8402316724
2001-04-03,8623430322
2001-04-04,8789265520
2001-04-05,8492973299
2001-04-06,8313871284
2001-04-09,8453172851
2001-04-10,8546040562
2001-04-11,8534984882
2001-04-12,8501817843
2001-04-16,8601318962
2001-04-17,8833488240
2001-04-18,8727353713
2001-04-19,8479706483
2001-04-20,8534984882
2001-04-23,8672075313
2001-04-24,8645541681
2001-04-25,8729564849
2001-04-26,8767154160
2001-04-27,8906455727
2001-04-30,8955100719
2001-05-01,9085557741
2001-05-02,8899822319
2001-05-03,8944045039
2001-05-04,9076713197
2001-05-07,9096613421
2001-05-08,9156314093
2001-05-09,9176214317
2001-05-10,9273504300
2001-05-11,9286771116
2001-05-14,9386272235
2001-05-15,9397327915
2001-05-16,9474717674
2001-05-17,9419439274
2001-05-18,9596330153
2001-05-21,9664875368
2001-05-22,9709098088
2001-05-23,9835132839
2001-05-24,9740053991
2001-05-25,9552107433
2001-05-29,9618441513
2001-05-30,9616230377
2001-05-31,9552107433
2001-06-01,9503462442
2001-06-04,9485773354
2001-06-05,9485773354
2001-06-06,9344260651
2001-06-07,9231492716
2001-06-08,9264659756
2001-06-11,9308882475
2001-06-12,9131991597
2001-06-13,8932989359
2001-06-14,8643330545
2001-06-15,8877710959
2001-06-18,8711875761
2001-06-19,8811376880
2001-06-20,8756098480
2001-06-21,8512873523
2001-06-22,8603530098
2001-06-25,8601318962
2001-06-26,8764943024
2001-06-27,8775998704
2001-06-28,8685342129
2001-06-29,8488551027
2001-07-02,8762835598
2001-07-03,8734017773
2001-07-05,8844855562
2001-07-06,8878106898
2001-07-09,8997811711
2001-07-10,8984511176
2001-07-11,8906924724
2001-07-12,8855939341
2001-07-13,8807170713
2001-07-16,8809387469
2001-07-17,8605445937
2001-07-18,8623179984
2001-07-19,8665298344
2001-07-20,8357169290
2001-07-23,7958153250
2001-07-24,7873916530
2001-07-25,7958153250
2001-07-26,8246331501
2001-07-27,8312834175
2001-07-30,8266282303
2001-07-31,8312834175
2001-08-01,8423671964
2001-08-02,8601012426
2001-08-03,8620963228
2001-08-06,8312834175
2001-08-07,8370469825
2001-08-08,8255198524
2001-08-09,8423671964
2001-08-10,8368253069
2001-08-13,8292883372
2001-08-14,8312834175
2001-08-15,8288449861
2001-08-16,8532292997
2001-08-17,8634263763
2001-08-20,8645347542
2001-08-21,8589928647
2001-08-22,8581061624
2001-08-23,8578844868
2001-08-24,8574411357
2001-08-27,8709633459
2001-08-28,8802737202
2001-08-29,8864806364
2001-08-30,8678598878
2001-08-31,8538943264
2001-09-04,8709633459
2001-09-05,8700766436
2001-09-06,8811604225
2001-09-07,8667515099
2001-09-10,8538943264
2001-09-17,8512342195
2001-09-18,8510125439
2001-09-19,8128843445
2001-09-20,8102242375
2001-09-21,8066774283
2001-09-24,7798546834
2001-09-25,7665541487
2001-09-26,7461599955
2001-09-27,7579088011
2001-09-28,7882783553
2001-10-01,7935746767
2001-10-02,8278376502
2001-10-03,8366797079
2001-10-04,8355744507
2001-10-05,8464059714
2001-10-08,8506059488
2001-10-09,8256271358
2001-10-10,8123640493
2001-10-11,8090482777
2001-10-12,8112587921
2001-10-15,8002062200
2001-10-16,8229745185
2001-10-17,8344691935
2001-10-18,8212061070
2001-10-19,8189955926
2001-10-22,8112587921
2001-10-23,8280587017
2001-10-24,8256271358
2001-10-25,8399954796
2001-10-26,8433112512
2001-10-29,8399954796
2001-10-30,8598901093
2001-10-31,8587848521
2001-11-01,8444165084
2001-11-02,8090482777
2001-11-05,8322586791
2001-11-06,8415428396
2001-11-07,8300481647
2001-11-08,8532585661
2001-11-09,8603322122
2001-11-12,8477322800
2001-11-13,8517112060
2001-11-14,8355744507
2001-11-15,8331428848
2001-11-16,8441954569
2001-11-19,8265113416
