,HPE
2016-09-20,21986800000
2016-09-21,22471680000
2016-09-22,22588720000
2016-09-23,22321200000
2016-09-26,22137280000
2016-09-27,22271040000
2016-09-28,22388080000
2016-09-29,22254320000
2016-09-30,22103840000
2016-10-03,22003520000
2016-10-04,21752720000
2016-10-05,22154000000
2016-10-06,22036960000
2016-10-07,21702560000
2016-10-10,21869760000
2016-10-11,21351440000
2016-10-12,21368160000
2016-10-13,21150800000
2016-10-14,20916720000
2016-10-17,20665920000
2016-10-18,20866560000
2016-10-19,21117360000
2016-10-20,21251120000
2016-10-21,21017040000
2016-10-24,21067200000
2016-10-25,20983600000
2016-10-26,21184240000
2016-10-27,21568800000
2016-10-28,21535360000
2016-10-31,21797140000
2016-11-01,21413270000
2016-11-02,21363200000
2016-11-03,21146230000
2016-11-04,21379890000
2016-11-07,22414670000
2016-11-08,22548190000
2016-11-09,22531500000
2016-11-10,22381290000
2016-11-11,22614950000
2016-11-14,22648330000
2016-11-15,22698400000
2016-11-16,22815230000
2016-11-17,22881990000
2016-11-18,22614950000
2016-11-21,22431360000
2016-11-22,22181010000
2016-11-23,22848610000
2016-11-25,22514810000
2016-11-28,22631640000
2016-11-29,23032200000
2016-11-30,23082270000
2016-12-01,22665020000
2016-12-02,23132340000
2016-12-05,23482830000
2016-12-06,23232480000
2016-12-07,23933460000
2016-12-08,23900080000
2016-12-09,23766560000
2016-12-12,23182410000
2016-12-13,23215790000
2016-12-14,23199100000
2016-12-15,23015510000
2016-12-16,22781850000
2016-12-19,23015510000
2016-12-20,23115650000
2016-12-21,23165720000
2016-12-22,23048890000
2016-12-23,23098960000
2016-12-27,23032200000
2016-12-28,22598260000
2016-12-29,22631640000
2016-12-30,22448050000
2017-01-03,22498120000
2017-01-04,22748470000
2017-01-05,22848610000
2017-01-06,22397980000
2017-01-09,21880590000
2017-01-10,22264460000
2017-01-11,22080870000
2017-01-12,22064180000
2017-01-13,22247770000
2017-01-17,22014110000
2017-01-18,22164320000
2017-01-19,22080870000
2017-01-20,22197700000
2017-01-23,21897280000
2017-01-24,22197700000
2017-01-25,22281150000
2017-01-26,21947350000
2017-01-27,21863900000
2017-01-30,21480030000
2017-01-31,21724275861
2017-02-01,21641862068
2017-02-02,21740758619
2017-02-03,22515448274
2017-02-06,22548413792
2017-02-07,22696758619
2017-02-08,22630827585
2017-02-09,23059379309
2017-02-10,22976965516
2017-02-13,23108827585
2017-02-14,23125310343
2017-02-15,23356068964
2017-02-16,23306620688
2017-02-17,23372551723
2017-02-21,23619793102
2017-02-22,23735172412
2017-02-23,23619793102
2017-02-24,21987999999
2017-02-27,21361655171
2017-02-28,21856137930
2017-03-01,22202275861
2017-03-02,21987999999
2017-03-03,22070413792
2017-03-06,22103379309
2017-03-07,21856137930
2017-03-08,21674827585
2017-03-09,21526482757
2017-03-10,21427586206
2017-03-13,21378137930
2017-03-14,21295724137
2017-03-15,21740758619
2017-03-16,21691310343
2017-03-17,21889103447
2017-03-20,21987999999
2017-03-21,21312206895
2017-03-22,21559448274
2017-03-23,21839655171
2017-03-24,21806689654
2017-03-27,21757241378
2017-03-28,22037448274
2017-03-29,22680275861
2017-03-30,22630827585
2017-03-31,22696758619
2017-04-03,22465999999
2017-04-04,22878068964
2017-04-05,22878068964
2017-04-06,23042896550
2017-04-07,23372551723
2017-04-10,23405517240
2017-04-11,23240689654
2017-04-12,23075862068
2017-04-13,22993448274
2017-04-17,23158275861
2017-04-18,23174758619
2017-04-19,23224206895
2017-04-20,23438482757
2017-04-21,23191241378
2017-04-24,23570344826
2017-04-25,23685724136
2017-04-26,23801103447
2017-04-27,23817586205
2017-04-28,23817586205
2017-05-01,23843730000
2017-05-02,23810910000
2017-05-03,23761680000
2017-05-04,23860140000
2017-05-05,23975010000
2017-05-08,24040650000
2017-05-09,23909370000
2017-05-10,24188340000
2017-05-11,24007830000
2017-05-12,24024240000
2017-05-15,24171930000
2017-05-16,24319620000
2017-05-17,23925780000
2017-05-18,23909370000
2017-05-19,23581170000
2017-05-22,23925780000
2017-05-23,24007830000
2017-05-24,24073470000
2017-05-25,23975010000
2017-05-26,23975010000
2017-05-30,23991420000
2017-05-31,23942190000
2017-06-01,22301190000
2017-06-02,22153500000
2017-06-05,21841710000
2017-06-06,21677610000
2017-06-07,21694020000
2017-06-08,21710430000
2017-06-09,21628380000
2017-06-12,21447870000
2017-06-13,21480690000
2017-06-14,21300180000
2017-06-15,21021210000
2017-06-16,20988390000
2017-06-19,21283770000
2017-06-20,21185310000
2017-06-21,21086850000
2017-06-22,21234540000
2017-06-23,21447870000
2017-06-26,21398640000
2017-06-27,21004800000
2017-06-28,21513510000
2017-06-29,21201720000
2017-06-30,21119670000
2017-07-03,21218130000
2017-07-05,21562740000
2017-07-06,20971980000
2017-07-07,21136080000
2017-07-10,21300180000
2017-07-11,21365820000
2017-07-12,21365820000
2017-07-13,21759660000
2017-07-14,21874530000
2017-07-17,21940170000
2017-07-18,21825300000
2017-07-19,22498110000
2017-07-20,22777080000
2017-07-21,22924770000
2017-07-24,22711440000
2017-07-25,22760670000
2017-07-26,22416060000
2017-07-27,22334010000
2017-07-28,22284780000
2017-07-31,21972440000
2017-08-01,22020980000
2017-08-02,21778280000
2017-08-03,21697380000
2017-08-04,21972440000
2017-08-07,22134240000
2017-08-08,22134240000
2017-08-09,22134240000
2017-08-10,21487040000
2017-08-11,21713560000
2017-08-14,22069520000
2017-08-15,22279860000
2017-08-16,22085700000
2017-08-17,21713560000
2017-08-18,21567940000
2017-08-21,21729740000
2017-08-22,22182780000
2017-08-23,22231320000
2017-08-24,22522560000
2017-08-25,22522560000
2017-08-28,22328400000
2017-08-29,22490200000
2017-08-30,22571100000
2017-08-31,22668180000
2017-09-01,23153580000
2017-09-05,22716720000
2017-09-06,22279860000
2017-09-07,21438500000
2017-09-08,21228160000
2017-09-11,21600300000
2017-09-12,21228160000
2017-09-13,21406140000
2017-09-14,21794460000
2017-09-15,21875360000
2017-09-18,21907720000
2017-09-19,21826820000
2017-09-20,22053340000
2017-09-21,22312220000
2017-09-22,23072680000
2017-09-25,23784600000
2017-09-26,24092020000
2017-09-27,24027300000
2017-09-28,23574260000
2017-09-29,23800780000
2017-10-02,24221460000
2017-10-03,23768420000
2017-10-04,23946400000
2017-10-05,23994940000
2017-10-06,23946400000
2017-10-09,23946400000
2017-10-10,24205280000
2017-10-11,24172920000
2017-10-12,23946400000
2017-10-13,24092020000
2017-10-16,24043480000
2017-10-17,23638980000
2017-10-18,23784600000
2017-10-19,22425480000
2017-10-20,22716720000
2017-10-23,23056500000
2017-10-24,23153580000
2017-10-25,22781440000
2017-10-26,23056500000
2017-10-27,23105040000
2017-10-30,22619640000
2017-10-31,22146720000
2017-11-01,21637600000
2017-11-02,21685330000
2017-11-03,21478500000
2017-11-06,21685330000
2017-11-07,21589870000
2017-11-08,21542140000
2017-11-09,21828520000
2017-11-10,21796700000
2017-11-13,21446680000
2017-11-14,21112570000
2017-11-15,20937560000
2017-11-16,21112570000
2017-11-17,21764880000
2017-11-20,22417190000
2017-11-21,22464920000
2017-11-22,20842100000
2017-11-24,21192120000
2017-11-27,21430770000
2017-11-28,22083080000
2017-11-29,22226270000
2017-11-30,22194450000
2017-12-01,22974040000
2017-12-04,22639930000
2017-12-05,22401280000
2017-12-06,22528560000
2017-12-07,22624020000
2017-12-08,22814940000
2017-12-11,23196780000
2017-12-12,23069500000
2017-12-13,22783120000
2017-12-14,22655840000
2017-12-15,22926310000
2017-12-18,23705900000
2017-12-19,23546800000
2017-12-20,23403610000
2017-12-21,23419520000
2017-12-22,23403610000
2017-12-26,23451340000
2017-12-27,23339970000
2017-12-28,23244510000
2017-12-29,22846760000
2018-01-02,23244510000
2018-01-03,23387700000
2018-01-04,23960460000
2018-01-05,23944550000
2018-01-08,23578620000
2018-01-09,23626350000
2018-01-10,24167290000
2018-01-11,24580950000
2018-01-12,25153710000
2018-01-16,25153710000
2018-01-17,25567370000
2018-01-18,25408270000
2018-01-19,25583279999
2018-01-22,25535550000
2018-01-23,26521970000
2018-01-24,26537880000
2018-01-25,26219680000
2018-01-26,26585610000
2018-01-29,26999270000
2018-01-30,26315140000
2018-01-31,25452799999
2018-02-01,26058080000
2018-02-02,25840799999
2018-02-05,24304320000
