,X
2001-01-23,1466826120
2001-01-24,1394555490
2001-01-25,1360650750
2001-01-26,1372249740
2001-01-29,1390986570
2001-01-30,1408831170
2001-01-31,1395447720
2001-02-01,1490916330
2001-02-02,1463257199
2001-02-05,1421322390
2001-02-06,1443628140
2001-02-07,1420430160
2001-02-08,1390094340
2001-02-09,1382064270
2001-02-12,1428460230
2001-02-13,1402585560
2001-02-14,1365111900
2001-02-15,1422214620
2001-02-16,1366004130
2001-02-20,1329422700
2001-02-21,1287487890
2001-02-22,1276781130
2001-02-23,1281242280
2001-02-26,1360650750
2001-02-27,1385633190
2001-02-28,1359758520
2001-03-01,1376710890
2001-03-02,1429352460
2001-03-05,1427568000
2001-03-06,1427568000
2001-03-07,1445412600
2001-03-08,1461472740
2001-03-09,1503407550
2001-03-12,1431136920
2001-03-13,1426675770
2001-03-14,1390094340
2001-03-15,1387417650
2001-03-16,1360650750
2001-03-19,1419537930
2001-03-20,1407938940
2001-03-21,1342806150
2001-03-22,1316039250
2001-03-23,1306224720
2001-03-26,1319608170
2001-03-27,1329422700
2001-03-28,1311578100
2001-03-29,1311578100
2001-03-30,1310685870
2001-04-02,1291949040
2001-04-03,1233954090
2001-04-04,1286595660
2001-04-05,1298194650
2001-04-06,1240199700
2001-04-09,1341021690
2001-04-10,1353512910
2001-04-11,1405262250
2001-04-12,1405262250
2001-04-16,1390986570
2001-04-17,1380279810
2001-04-18,1435598070
2001-04-19,1419537930
2001-04-20,1409723400
2001-04-23,1417753470
2001-04-24,1686314699
2001-04-25,1668470100
2001-04-26,1672931250
2001-04-27,1675607940
2001-04-30,1642595430
2001-05-01,1679176860
2001-05-02,1709512680
2001-05-03,1684530240
2001-05-04,1733602890
2001-05-07,1744309650
2001-05-08,1687206930
2001-05-09,1699698150
2001-05-10,1717542750
2001-05-11,1700590380
2001-05-14,1705943760
2001-05-15,1729141740
2001-05-16,1807657980
2001-05-17,1801412370
2001-05-18,1814795820
2001-05-21,1861191780
2001-05-22,1808550210
2001-05-23,1755908640
2001-05-24,1749663030
2001-05-25,1763046480
2001-05-29,1769292089
2001-05-30,1732710660
2001-05-31,1741632960
2001-06-01,1776429930
2001-06-04,1788028920
2001-06-05,1939708019
2001-06-06,1879928610
2001-06-07,1893312060
2001-06-08,1895988750
2001-06-11,1886174220
2001-06-12,1874575230
2001-06-13,1854946170
2001-06-14,1799627910
2001-06-15,1770184320
2001-06-18,1796951220
2001-06-19,1811226900
2001-06-20,1858515089
2001-06-21,1841562720
2001-06-22,1779106620
2001-06-25,1748770800
2001-06-26,1739848500
2001-06-27,1746986339
2001-06-28,1775537699
2001-06-29,1797843449
2001-07-02,1815688050
2001-07-03,1793382300
2001-07-05,1794274530
2001-07-06,1755908640
2001-07-09,1805873519
2001-07-10,1774645470
2001-07-11,1766615400
2001-07-12,1833532650
2001-07-13,1842454949
2001-07-16,1846916100
2001-07-17,1909372199
2001-07-18,1895988750
2001-07-19,1881713070
2001-07-20,1873683000
2001-07-23,1741632960
2001-07-24,1668470100
2001-07-25,1711297140
2001-07-26,1747878570
2001-07-27,1751447490
2001-07-30,1749663030
2001-07-31,1757693100
2001-08-01,1752339720
2001-08-02,1739848500
2001-08-03,1746094110
2001-08-06,1705051530
2001-08-07,1751447490
2001-08-08,1718434980
2001-08-09,1723788360
2001-08-10,1746094110
2001-08-13,1791597839
2001-08-14,1829071500
2001-08-15,1745201880
2001-08-16,1813011360
2001-08-17,1775537699
2001-08-20,1763046480
2001-08-21,1763046480
2001-08-22,1767507630
2001-08-23,1771968780
2001-08-24,1815688050
2001-08-27,1796058990
2001-08-28,1798735680
2001-08-29,1772861010
2001-08-30,1777322160
2001-08-31,1774645470
2001-09-04,1797843449
2001-09-05,1758585330
2001-09-06,1719327210
2001-09-07,1599768390
2001-09-10,1516791000
2001-09-17,1437382530
2001-09-18,1428460230
2001-09-19,1353512910
2001-09-20,1249122000
2001-09-21,1199157120
2001-09-24,1211648340
2001-09-25,1213432800
2001-09-26,1194695970
2001-09-27,1249122000
2001-09-28,1247337540
2001-10-01,1284811200
2001-10-02,1259828760
2001-10-03,1298194650
2001-10-04,1309793640
2001-10-05,1302655800
2001-10-08,1219678410
2001-10-09,1269643290
2001-10-10,1309793640
2001-10-11,1316039250
2001-10-12,1301763570
2001-10-15,1274104440
2001-10-16,1284811200
2001-10-17,1250906460
2001-10-18,1192019280
2001-10-19,1198264890
2001-10-22,1315147020
2001-10-23,1340129460
2001-10-24,1353512910
2001-10-25,1374034200
2001-10-26,1409723400
2001-10-29,1329422700
2001-10-30,1281242280
2001-10-31,1283918970
2001-11-01,1280350050
2001-11-02,1263397680
2001-11-05,1274104440
2001-11-06,1266966600
2001-11-07,1266966600
2001-11-08,1256259840
2001-11-09,1274104440
2001-11-12,1259828760
2001-11-13,1305332490
