,TGT
2000-01-03,32801712000
2000-01-04,31381488000
2000-01-05,30671375999
2000-01-06,29214736000
2000-01-07,30726000000
2000-01-10,30125136000
2000-01-11,31035536000
2000-01-12,30698688000
2000-01-13,31408800000
2000-01-14,31527152000
2000-01-18,30953600000
2000-01-19,31836688000
2000-01-20,30807936000
2000-01-21,29506063999
2000-01-24,28905200000
2000-01-25,29642624000
2000-01-26,31008224000
2000-01-27,30644063999
2000-01-28,28850576000
2000-01-31,29988575999
2000-02-01,30698688000
2000-02-02,30953600000
2000-02-03,30070512000
2000-02-04,29415024000
2000-02-07,29897536000
2000-02-08,31263136000
2000-02-09,30580336000
2000-02-10,30243488000
2000-02-11,30070512000
2000-02-14,29706352000
2000-02-15,29105488000
2000-02-16,28140464000
2000-02-17,27257376000
2000-02-18,26856800000
2000-02-22,26292352000
2000-02-23,25864464000
2000-02-24,25436576000
2000-02-25,25436576000
2000-02-28,26802176000
2000-02-29,26856800000
2000-03-01,26975152000
2000-03-02,27430352000
2000-03-03,28113152000
2000-03-06,27657952000
2000-03-07,26401600000
2000-03-08,26483536000
2000-03-09,27339312000
2000-03-10,27685264000
2000-03-13,27967488000
2000-03-14,27739888000
2000-03-15,29132800000
2000-03-16,32373824000
2000-03-17,31636400000
2000-03-20,30216175999
2000-03-21,30471088000
2000-03-22,30352736000
2000-03-23,30953600000
2000-03-24,31463424000
2000-03-27,31153888000
2000-03-28,31354175999
2000-03-29,33056624000
2000-03-30,35132336000
2000-03-31,34030752000
2000-04-03,35050400000
2000-04-04,34285663999
2000-04-05,33766736000
2000-04-06,33684800000
2000-04-07,33803152000
2000-04-10,34221936000
2000-04-11,33174975999
2000-04-12,32920063999
2000-04-13,32209952000
2000-04-14,30416463999
2000-04-17,29733663999
2000-04-18,31581775999
2000-04-19,31181200000
2000-04-20,31527152000
2000-04-24,31982352000
2000-04-25,32546800000
2000-04-26,32237263999
2000-04-27,30953600000
2000-04-28,30298112000
2000-05-01,30942258000
2000-05-02,31223303999
2000-05-03,28902408000
2000-05-04,29972196000
2000-05-05,30860664000
2000-05-08,30942258000
2000-05-09,31477152000
2000-05-10,31903253999
2000-05-11,31676603999
2000-05-12,31857924000
2000-05-15,32184300000
2000-05-16,32383752000
2000-05-17,31558746000
2000-05-18,32211498000
2000-05-19,31812594000
2000-05-22,31785396000
2000-05-23,30371100000
2000-05-24,29237850000
2000-05-25,29437302000
2000-05-26,29210652000
2000-05-30,28023006000
2000-05-31,28412844000
2000-06-01,28557900000
2000-06-02,29917800000
2000-06-05,29156255999
2000-06-06,26091948000
2000-06-07,27052944000
2000-06-08,27089208000
2000-06-09,25357602000
2000-06-12,24704850000
2000-06-13,25665846000
2000-06-14,26291400000
2000-06-15,27116406000
2000-06-16,26518050000
2000-06-19,25919694000
2000-06-20,24931500000
2000-06-21,23771052000
2000-06-22,24278748000
2000-06-23,24505398000
2000-06-26,25130952000
2000-06-27,25303206000
2000-06-28,24759246000
2000-06-29,25158150000
2000-06-30,26291400000
2000-07-03,26264202000
2000-07-05,26146344000
2000-07-06,25584252000
2000-07-07,26690304000
2000-07-10,27732894000
2000-07-11,28557900000
2000-07-12,28557900000
2000-07-13,28158996000
2000-07-14,28158996000
2000-07-17,27624102000
2000-07-18,26889756000
2000-07-19,26744700000
2000-07-20,27651300000
2000-07-21,27143604000
2000-07-24,26572446000
2000-07-25,27424650000
2000-07-26,28331250000
2000-07-27,28276854000
2000-07-28,27596904000
2000-07-31,26111600000
2000-08-01,26111600000
2000-08-02,27462200000
2000-08-03,27066024000
2000-08-04,26732876000
2000-08-07,28029452000
2000-08-08,28704752000
2000-08-09,27804352000
2000-08-10,26786900000
2000-08-11,26678852000
2000-08-14,27129052000
2000-08-15,24256776000
2000-08-16,23410400000
2000-08-17,23464424000
2000-08-18,23635500000
2000-08-21,23635500000
2000-08-22,24761000000
2000-08-23,24256776000
2000-08-24,24481876000
2000-08-25,24481876000
2000-08-28,24031676000
2000-08-29,23806576000
2000-08-30,23356376000
2000-08-31,20934300000
2000-09-01,21726652000
2000-09-05,22510000000
2000-09-06,22564024000
2000-09-07,22338924000
2000-09-08,22401952000
2000-09-11,23806576000
2000-09-12,24139724000
2000-09-13,24986100000
2000-09-14,24932076000
2000-09-15,24364824000
2000-09-18,23635500000
2000-09-19,23131276000
2000-09-20,23185300000
2000-09-21,23581476000
2000-09-22,23806576000
2000-09-25,23302352000
2000-09-26,22284900000
2000-09-27,21609600000
2000-09-28,22735100000
2000-09-29,23077252000
2000-10-02,22510000000
2000-10-03,22627052000
2000-10-04,22960200000
2000-10-05,23356376000
2000-10-06,21951752000
2000-10-09,22059800000
2000-10-10,21663624000
2000-10-11,21051352000
2000-10-12,20484100000
2000-10-13,21663624000
2000-10-16,21951752000
2000-10-17,21330476000
2000-10-18,21609600000
2000-10-19,23356376000
2000-10-20,22627052000
2000-10-23,22284900000
2000-10-24,22338924000
2000-10-25,21834700000
2000-10-26,21834700000
2000-10-27,22005776000
2000-10-30,22924500000
2000-10-31,24839370000
2000-11-01,24776440000
2000-11-02,25513620000
2000-11-03,24722500000
2000-11-06,24776440000
2000-11-07,25513620000
2000-11-08,27086870000
2000-11-09,24614620000
2000-11-10,23320060000
2000-11-13,23544810000
2000-11-14,25342810000
2000-11-15,25963120000
2000-11-16,26017060000
2000-11-17,26412620000
2000-11-20,25792310000
2000-11-21,25963120000
2000-11-22,26187870000
2000-11-24,25567560000
2000-11-27,26071000000
2000-11-28,26071000000
2000-11-29,27086870000
2000-11-30,27023940000
2000-12-01,28264560000
2000-12-04,29559120000
2000-12-05,28318500000
2000-12-06,29442250000
2000-12-07,30170440000
2000-12-08,30287309999
2000-12-11,29945690000
2000-12-12,29271440000
2000-12-13,28992750000
2000-12-14,28093750000
2000-12-15,28093750000
2000-12-18,28489310000
2000-12-19,25846250000
2000-12-20,25342810000
2000-12-21,26970000000
2000-12-22,27590310000
2000-12-26,27536370000
2000-12-27,28992750000
2000-12-28,28768000000
2000-12-29,28992750000
2001-01-02,29891750000
2001-01-03,32588750000
2001-01-04,33209059999
2001-01-05,31186309999
2001-01-08,30907620000
2001-01-09,31015500000
2001-01-10,30961559999
2001-01-11,30062559999
2001-01-12,31294190000
2001-01-16,32256120000
2001-01-17,32193190000
2001-01-18,31069440000
2001-01-19,29442250000
2001-01-22,31069440000
2001-01-23,32364000000
2001-01-24,32642690000
2001-01-25,32984309999
2001-01-26,32705620000
2001-01-29,33128150000
2001-01-30,32813500000
2001-01-31,34144019999
2001-02-01,34072100000
2001-02-02,33236030000
2001-02-05,32678650000
2001-02-06,32624710000
2001-02-07,32984309999
2001-02-08,31788640000
2001-02-09,30521050000
2001-02-12,32498850000
2001-02-13,33110170000
2001-02-14,32912390000
2001-02-15,32813500000
2001-02-16,32112280000
2001-02-20,33487750000
2001-02-21,31285199999
2001-02-22,32184199999
2001-02-23,32130260000
2001-02-26,33982199999
2001-02-27,34494630000
2001-02-28,35061000000
2001-03-01,33523710000
2001-03-02,33218050000
2001-03-05,32723600000
2001-03-06,34162000000
2001-03-07,34431700000
2001-03-08,34162000000
2001-03-09,33802400000
2001-03-12,32822490000
2001-03-13,32049350000
2001-03-14,31914500000
2001-03-15,31977430000
2001-03-16,31402070000
2001-03-19,32004400000
2001-03-20,32139250000
2001-03-21,33146129999
2001-03-22,31015500000
2001-03-23,31375100000
2001-03-26,32175210000
2001-03-27,33155120000
2001-03-28,32498850000
2001-03-29,31878540000
2001-03-30,32435920000
2001-04-02,32633699999
2001-04-03,31536920000
2001-04-04,30844690000
2001-04-05,32229150000
2001-04-06,32004400000
2001-04-09,31509949999
2001-04-10,32229150000
2001-04-11,32094300000
2001-04-12,32229150000
2001-04-16,32139250000
2001-04-17,31779650000
2001-04-18,34386750000
2001-04-19,33694519999
2001-04-20,33712500000
2001-04-23,33029260000
2001-04-24,32346019999
2001-04-25,32606730000
2001-04-26,33757449999
2001-04-27,35204840000
2001-04-30,34566550000
2001-05-01,35141910000
2001-05-02,34962110000
2001-05-03,35069990000
2001-05-04,35285750000
2001-05-07,35084940000
2001-05-08,34697510000
2001-05-09,34508300000
2001-05-10,35589500000
2001-05-11,35976930000
2001-05-14,35769700000
2001-05-15,34508300000
2001-05-16,34238000000
2001-05-17,34571370000
2001-05-18,34057799999
2001-05-21,34012750000
2001-05-22,35039890000
2001-05-23,33958689999
2001-05-24,33814530000
2001-05-25,33661360000
2001-05-29,33517200000
2001-05-30,34039780000
2001-05-31,34057799999
2001-06-01,34057799999
2001-06-04,33355020000
2001-06-05,33886610000
2001-06-06,33643340000
2001-06-07,34201960000
2001-06-08,34472260000
2001-06-11,33562250000
2001-06-12,33445119999
2001-06-13,33201850000
2001-06-14,33066700000
2001-06-15,32093619999
2001-06-18,32733330000
2001-06-19,32679270000
2001-06-20,32426990000
2001-06-21,32715310000
2001-06-22,32742340000
2001-06-25,33165810000
2001-06-26,33093729999
2001-06-27,31769260000
2001-06-28,32003520000
2001-06-29,31174600000
2001-07-02,32066590000
2001-07-03,32426990000
2001-07-05,31877380000
2001-07-06,30192510000
2001-07-09,29913200000
2001-07-10,29498740000
2001-07-11,30075380000
2001-07-12,32390950000
2001-07-13,32607189999
2001-07-16,32300850000
2001-07-17,32093619999
2001-07-18,31976490000
2001-07-19,32616200000
2001-07-20,33562250000
2001-07-23,33337000000
2001-07-24,33111750000
2001-07-25,33246900000
2001-07-26,33201850000
2001-07-27,33156799999
2001-07-30,33607299999
2001-07-31,34868700000
2001-08-01,33967700000
2001-08-02,34265030000
2001-08-03,34463250000
2001-08-06,34161078000
2001-08-07,35216769000
2001-08-08,34287400000
2001-08-09,34467860000
2001-08-10,34152055000
2001-08-13,33935503000
2001-08-14,33818203999
2001-08-15,33746020000
2001-08-16,33439238000
2001-08-17,33042225999
2001-08-20,33475330000
2001-08-21,31905328000
2001-08-22,32573030000
2001-08-23,32383547000
2001-08-24,32221133000
2001-08-27,31851189999
2001-08-28,31418086000
2001-08-29,31625614999
2001-08-30,31400039999
2001-08-31,31264695000
2001-09-04,31445155000
2001-09-05,31562453999
2001-09-06,29911245000
2001-09-07,28675094000
2001-09-10,29054060000
2001-09-17,26762218000
2001-09-18,26283999000
2001-09-19,25498998000
2001-09-20,24271870000
2001-09-21,24073364000
2001-09-24,27204345000
2001-09-25,28151760000
2001-09-26,28431473000
2001-09-27,28296128000
2001-09-28,28648025000
2001-10-01,28341243000
2001-10-02,28909692000
2001-10-03,31039120000
2001-10-04,29775900000
2001-10-05,29604463000
2001-10-08,28377335000
2001-10-09,28016415000
2001-10-10,29153313000
2001-10-11,29821014999
2001-10-12,28575841000
2001-10-15,28079576000
2001-10-16,28693140000
2001-10-17,27971300000
2001-10-18,28034461000
2001-10-19,28422450000
2001-10-22,28512680000
2001-10-23,28196875000
2001-10-24,27673541000
2001-10-25,28061530000
2001-10-26,28377335000
2001-10-29,27249460000
2001-10-30,26256930000
2001-10-31,28106645000
2001-11-01,29045036999
2001-11-02,30398486999
2001-11-05,31270800000
2001-11-06,32014048000
2001-11-07,30917304000
2001-11-08,31134840000
2001-11-09,31243608000
2001-11-12,31724000000
2001-11-13,32829808000
2001-11-14,33935615999
2001-11-15,34343496000
2001-11-16,33002023999
2001-11-19,34252856000
2001-11-20,33083600000
2001-11-21,33319264000
2001-11-23,34180344000
2001-11-26,34551968000
2001-11-27,34425072000
2001-11-28,34579160000
2001-11-29,33908423999
2001-11-30,34026256000
2001-12-03,33681823999
2001-12-04,33863104000
2001-12-05,35911568000
2001-12-06,35050488000
2001-12-07,34443200000
2001-12-10,33264880000
2001-12-11,32612271999
2001-12-12,32829808000
2001-12-13,32639464000
2001-12-14,33310200000
2001-12-17,33971871999
2001-12-18,33772464000
2001-12-19,34316304000
2001-12-20,33808719999
2001-12-21,34633544000
2001-12-24,34479456000
2001-12-26,34860144000
2001-12-27,35938760000
2001-12-28,37389000000
2001-12-31,37207720000
2002-01-02,37162400000
2002-01-03,37298360000
2002-01-04,38014416000
2002-01-07,38023480000
2002-01-08,37715304000
2002-01-09,36600432000
2002-01-10,37026440000
2002-01-11,36527920000
2002-01-14,35766544000
2002-01-15,36265064000
2002-01-16,35947824000
2002-01-17,36718264000
2002-01-18,36854224000
2002-01-22,37905648000
2002-01-23,38667024000
2002-01-24,38884560000
2002-01-25,38286336000
2002-01-28,39065840000
2002-01-29,37932840000
2002-01-30,39664064000
2002-01-31,40253224000
2002-02-01,39292440000
2002-02-04,38929880000
2002-02-05,38522000000
2002-02-06,38522000000
2002-02-07,38068800000
2002-02-08,38503872000
2002-02-11,39836280000
2002-02-12,39863472000
2002-02-13,40788000000
2002-02-14,40788000000
2002-02-15,40334800000
2002-02-19,39528104000
2002-02-20,40788000000
2002-02-21,40334800000
2002-02-22,40235096000
2002-02-25,40561400000
2002-02-26,41440608000
2002-02-27,39790960000
2002-02-28,37978160000
2002-03-01,39111160000
2002-03-04,39337760000
2002-03-05,37615600000
2002-03-06,38268208000
2002-03-07,39419336000
2002-03-08,40108200000
2002-03-11,40416376000
2002-03-12,40316672000
2002-03-13,39645936000
2002-03-14,39682192000
2002-03-15,40788000000
2002-03-18,40733616000
2002-03-19,40198840000
2002-03-20,40778936000
2002-03-21,40017560000
2002-03-22,39564360000
2002-03-25,39337760000
2002-03-26,38793920000
2002-03-27,38902688000
2002-03-28,39083968000
2002-04-01,38839240000
2002-04-02,37887520000
2002-04-03,37570280000
2002-04-04,38095992000
2002-04-05,38395104000
2002-04-08,39573424000
2002-04-09,39926920000
2002-04-10,40561400000
2002-04-11,40488888000
2002-04-12,40778936000
2002-04-15,40144456000
2002-04-16,40788000000
2002-04-17,40235096000
2002-04-18,40434504000
2002-04-19,40425440000
2002-04-22,39636872000
2002-04-23,39827216000
2002-04-24,39192736000
2002-04-25,39655000000
2002-04-26,39473720000
2002-04-29,39709384000
2002-04-30,39564360000
2002-05-01,40044752000
2002-05-02,39990368000
2002-05-03,39890664000
2002-05-06,39947600000
2002-05-07,40801026000
2002-05-08,40238128000
2002-05-09,38159037000
2002-05-10,37369164000
2002-05-13,37750482000
2002-05-14,38839962000
2002-05-15,38494960000
2002-05-16,39375623000
2002-05-17,39175885000
2002-05-20,38767330000
2002-05-21,37714166000
2002-05-22,37950220000
2002-05-23,38041010000
2002-05-24,37632455000
2002-05-28,36751792000
2002-05-29,36316000000
2002-05-30,36769950000
2002-05-31,37632455000
2002-06-03,36642844000
2002-06-04,35862050000
2002-06-05,36316000000
2002-06-06,34863360000
2002-06-07,34709017000
2002-06-10,35208362000
2002-06-11,35471653000
2002-06-12,36506659000
2002-06-13,35299152000
2002-06-14,34345857000
2002-06-17,35734944000
2002-06-18,35589680000
2002-06-19,35317310000
2002-06-20,34364015000
2002-06-21,33410719999
2002-06-24,32984007000
2002-06-25,33410719999
2002-06-26,33628616000
2002-06-27,34463884000
2002-06-28,34590990000
2002-07-01,33365325000
2002-07-02,32466504000
2002-07-03,33637694999
2002-07-05,35408100000
2002-07-08,34899676000
2002-07-09,34500200000
2002-07-10,33437957000
2002-07-11,33501510000
2002-07-12,32820585000
2002-07-15,33083875999
2002-07-16,31431497999
2002-07-17,30414650000
2002-07-18,29969779000
2002-07-19,28980168000
2002-07-22,28190295000
2002-07-23,27654634000
2002-07-24,30033332000
2002-07-25,29833594000
2002-07-26,29960700000
2002-07-29,32039791000
2002-07-30,31231760000
2002-07-31,30278465000
2002-08-01,28508060000
2002-08-02,28144900000
2002-08-05,28617750000
2002-08-06,29753375000
2002-08-07,29399060000
2002-08-08,29299125000
2002-08-09,29680695000
2002-08-12,29017490000
2002-08-13,28127160000
2002-08-14,29226445000
2002-08-15,31888350000
2002-08-16,32288090000
2002-08-19,33432799999
2002-08-20,33559989999
2002-08-21,33732605000
2002-08-22,33841625000
2002-08-23,32615150000
2002-08-26,32515215000
2002-08-27,31797500000
2002-08-28,30979850000
2002-08-29,30798150000
2002-08-30,31070700000
2002-09-03,30180370000
2002-09-04,31179720000
2002-09-05,30071350000
2002-09-06,31252400000
