,ZBRA
2000-01-03,3982350517
2000-01-04,3924891540
2000-01-05,4000030031
2000-01-06,3783453997
2000-01-07,3741464555
2000-01-10,3867432244
2000-01-11,3893951674
2000-01-12,3796713552
2000-01-13,3809973427
2000-01-14,4238705855
2000-01-18,4212186106
2000-01-19,4185666676
2000-01-20,4331524018
2000-01-21,4446442291
2000-01-24,4459702165
2000-01-25,4391192974
2000-01-26,4375723440
2000-01-27,4464121804
2000-01-28,4388982995
2000-01-31,4185666676
2000-02-01,4212186106
2000-02-02,4179036899
2000-02-03,4596719591
2000-02-04,4680698316
2000-02-07,4755836807
2000-02-08,4813295784
2000-02-09,4769096362
2000-02-10,4760256924
2000-02-11,4614399264
2000-02-14,4718267641
2000-02-15,4729317058
2000-02-16,4923793939
2000-02-17,4287325075
2000-02-18,4269645083
2000-02-22,3991189955
2000-02-23,4428762299
2000-02-24,4481801796
2000-02-25,4457492027
2000-02-28,4508320907
2000-02-29,4707217427
2000-03-01,4738157293
2000-03-02,4671858240
2000-03-03,4716057503
2000-03-06,4702797628
2000-03-07,4676278199
2000-03-08,4534840656
2000-03-09,4534840656
2000-03-10,4450861930
2000-03-13,4287325075
2000-03-14,4269645083
2000-03-15,4000030031
2000-03-16,3288422676
2000-03-17,3100575732
2000-03-20,3182344320
2000-03-21,3511628647
2000-03-22,3226543741
2000-03-23,3261902928
2000-03-24,3637596336
2000-03-27,3712734827
2000-03-28,3611076907
2000-03-29,3540358056
2000-03-30,3412180387
2000-03-31,3535937938
2000-04-03,3337713396
2000-04-04,3298548570
2000-04-05,3420394573
2000-04-06,3690196828
2000-04-07,3768526479
2000-04-10,3498724224
2000-04-11,3411691679
2000-04-12,3311603616
2000-04-13,3315955455
2000-04-14,3215867550
2000-04-17,3346416760
2000-04-18,3472614758
2000-04-19,3233273965
2000-04-20,3798988097
2000-04-24,3785933364
2000-04-25,4025273844
2000-04-26,3798988097
2000-04-27,3942592667
2000-04-28,3968702133
2000-05-01,3994812226
2000-05-02,3651032002
2000-05-03,3685845459
2000-05-04,3681493620
2000-05-05,3798988097
2000-05-08,3507427745
2000-05-09,3376878222
2000-05-10,3315955455
2000-05-11,3655383527
2000-05-12,3681493620
2000-05-15,3559647304
2000-05-16,3529186156
2000-05-17,3494372699
2000-05-18,3472614758
2000-05-19,3346416760
2000-05-22,3516131109
2000-05-23,3263735270
2000-05-24,3529186156
2000-05-25,3263735270
2000-05-26,3263735270
2000-05-30,3398636632
2000-05-31,3342064921
2000-06-01,3450856504
2000-06-02,3563999143
2000-06-05,3639065268
2000-06-06,3496548697
2000-06-07,3742416700
2000-06-08,3681493620
2000-06-09,3725010285
2000-06-12,3594460761
2000-06-13,3350768442
2000-06-14,3281142155
2000-06-15,3207163872
2000-06-16,3159296152
2000-06-19,3102724441
2000-06-20,3272438791
2000-06-21,3237625804
2000-06-22,3176702724
2000-06-23,3041801675
2000-06-26,3002636849
2000-06-27,3063559616
2000-06-28,3141889267
2000-06-29,3128834221
2000-06-30,3085318026
2000-07-03,1318778916
2000-07-05,1334025038
2000-07-06,1395008908
2000-07-07,1429312408
2000-07-10,1415972257
2000-07-11,1391197583
2000-07-12,1387385916
2000-07-13,1370234166
2000-07-14,1360705408
2000-07-17,1374045833
2000-07-18,1278758257
2000-07-19,1326401908
2000-07-20,1629416250
2000-07-21,1520788591
2000-07-24,1524599916
2000-07-25,1499825242
2000-07-26,1524599916
2000-07-27,1505542538
2000-07-28,1471239038
2000-07-31,1556997788
2000-08-01,1528411583
2000-08-02,1524599916
2000-08-03,1553186257
2000-08-04,1600829908
2000-08-07,1610358666
2000-08-08,1595112750
2000-08-09,1579866833
2000-08-10,1539846038
2000-08-11,1585583992
2000-08-14,1616075961
2000-08-15,1581772461
2000-08-16,1555092091
2000-08-17,1577961000
2000-08-18,1597018583
2000-08-21,1585583992
2000-08-22,1562715083
2000-08-23,1537940341
2000-08-24,1532222908
2000-08-25,1526505750
2000-08-28,1576055166
2000-08-29,1606547341
2000-08-30,1604641507
2000-08-31,1646568000
2000-09-01,1623699091
2000-09-05,1593206916
2000-09-06,1562715083
2000-09-07,1581772461
2000-09-08,1560809250
2000-09-11,1526505750
2000-09-12,1524599916
2000-09-13,1410254961
2000-09-14,1435029841
2000-09-15,1440747000
2000-09-18,1395008908
2000-09-19,1459804583
2000-09-20,1398820507
2000-09-21,1396914742
2000-09-22,1383574591
2000-09-25,1364517007
2000-09-26,1406443500
2000-09-27,1349271091
2000-09-28,1457898750
2000-09-29,1465521742
2000-10-02,1353348100
2000-10-03,1349530445
2000-10-04,1299901404
2000-10-05,1292266024
2000-10-06,1235001603
2000-10-09,1215913600
2000-10-10,1255998708
2000-10-11,1223548774
2000-10-12,1250272225
2000-10-13,1406794728
2000-10-16,1360983274
2000-10-17,1287016919
2000-10-18,1332351132
2000-10-19,1317080716
2000-10-20,1294174783
2000-10-23,1236910500
2000-10-24,1214004841
2000-10-25,1189190149
2000-10-26,1191576287
2000-10-27,1191098908
2000-10-30,1208278220
2000-10-31,1338077478
2000-11-01,1278904367
2000-11-02,1307536646
2000-11-03,1387706725
2000-11-06,1378162586
2000-11-07,1401068382
2000-11-08,1376253896
2000-11-09,1414429970
2000-11-10,1332351132
2000-11-13,1416338867
2000-11-14,1422065350
2000-11-15,1446879836
2000-11-16,1454515216
2000-11-17,1469785632
2000-11-20,1467876804
2000-11-21,1504144257
2000-11-22,1530867708
2000-11-24,1528958812
2000-11-27,1488873841
2000-11-28,1376253896
2000-11-29,1343803961
2000-11-30,1278904367
2000-12-01,1288448437
2000-12-04,1235001603
2000-12-05,1309445336
2000-12-06,1198734288
2000-12-07,1244545742
2000-12-08,1315171820
2000-12-11,1311354095
2000-12-12,1282722091
2000-12-13,1280813195
2000-12-14,1280813195
2000-12-15,1215913600
2000-12-18,1206369461
2000-12-19,1221640083
2000-12-20,1200642978
2000-12-21,1183463666
2000-12-22,1214004841
2000-12-26,1181554975
2000-12-27,1221640083
2000-12-28,1341895271
2000-12-29,1245977397
2001-01-02,1294174783
2001-01-03,1433518179
2001-01-04,1427791833
2001-01-05,1385797966
2001-01-08,1364800929
2001-01-09,1427791833
2001-01-10,1427791833
2001-01-11,1494600187
2001-01-12,1519414742
2001-01-16,1494600187
2001-01-17,1532776399
2001-01-18,1553773367
2001-01-19,1605311304
2001-01-22,1626308341
2001-01-23,1593858475
2001-01-24,1601493649
2001-01-25,1601493649
2001-01-26,1574770404
2001-01-29,1624399445
2001-01-30,1620581720
2001-01-31,1700751937
2001-02-01,1681663728
2001-02-02,1681663728
2001-02-05,1668302208
2001-02-06,1689298970
2001-02-07,1723657595
2001-02-08,1584314336
2001-02-09,1313262992
2001-02-12,1278904367
2001-02-13,1246454570
2001-02-14,1248363466
2001-02-15,1254089812
2001-02-16,1236910500
2001-02-20,1244545742
2001-02-21,1273178021
2001-02-22,1359074583
2001-02-23,1372436103
2001-02-26,1391524312
2001-02-27,1420156591
2001-02-28,1376253896
2001-03-01,1336168788
2001-03-02,1347621617
2001-03-05,1364800929
2001-03-06,1370527413
2001-03-07,1343803961
2001-03-08,1282722091
2001-03-09,1255998708
2001-03-12,1257907399
2001-03-13,1267451538
2001-03-14,1265542779
2001-03-15,1259816158
2001-03-16,1235001603
2001-03-19,1249794984
2001-03-20,1221640083
2001-03-21,1236910500
2001-03-22,1221162705
2001-03-23,1221640083
2001-03-26,1109020070
2001-03-27,1189190149
2001-03-28,1173919595
2001-03-29,1137652211
2001-03-30,1164375663
2001-04-02,1092001804
2001-04-03,1099651547
2001-04-04,1046103281
2001-04-05,1113038716
2001-04-06,1101564000
2001-04-09,1102481878
2001-04-10,1152664314
2001-04-11,1151440270
2001-04-12,1152052395
2001-04-16,1132163038
2001-04-17,1164292011
2001-04-18,1289441867
2001-04-19,1355841667
2001-04-20,1322794747
2001-04-23,1269552578
2001-04-24,1223653987
2001-04-25,1326466604
2001-04-26,1322488787
2001-04-27,1326160644
2001-04-30,1323712762
2001-05-01,1353393785
2001-05-02,1353087825
2001-05-03,1296479691
2001-05-04,1324018791
2001-05-07,1356453723
2001-05-08,1365327441
2001-05-09,1381238844
2001-05-10,1357065642
2001-05-11,1346967949
2001-05-14,1334116346
2001-05-15,1360431540
2001-05-16,1392866541
2001-05-17,1439683011
2001-05-18,1400822174
2001-05-21,1486193384
2001-05-22,1499351084
2001-05-23,1429891208
2001-05-24,1424383457
2001-05-25,1430809293
2001-05-29,1373895199
2001-05-30,1399904158
2001-05-31,1377872878
2001-06-01,1427443395
2001-06-04,1429279290
2001-06-05,1482827624
2001-06-06,1471811846
2001-06-07,1476401788
2001-06-08,1471199927
2001-06-11,1470281980
2001-06-12,1459572368
2001-06-13,1443048771
2001-06-14,1417651593
2001-06-15,1374813077
2001-06-18,1317592886
2001-06-19,1352475769
2001-06-20,1402964096
2001-06-21,1352475769
2001-06-22,1315756992
2001-06-25,1309943212
2001-06-26,1293419752
2001-06-27,1376343081
2001-06-28,1462632169
2001-06-29,1503022941
2001-07-02,1445123832
2001-07-03,1471487908
2001-07-05,1472714163
2001-07-06,1425504091
2001-07-09,1449722255
2001-07-10,1448802529
2001-07-11,1410176038
2001-07-12,1510114537
2001-07-13,1388716777
2001-07-16,1333535908
2001-07-17,1316675138
2001-07-18,1292150445
2001-07-19,1311770255
2001-07-20,1363272289
2001-07-23,1333229516
2001-07-24,1344265676
2001-07-25,1344878735
2001-07-26,1299201310
2001-07-27,1321273630
2001-07-30,1316675138
2001-07-31,1295216084
2001-08-01,1374921508
2001-08-02,1351929600
2001-08-03,1465356769
2001-08-06,1442364861
2001-08-07,1443897508
2001-08-08,1437766369
2001-08-09,1438992693
2001-08-10,1442364861
2001-08-13,1458305835
2001-08-14,1471487908
2001-08-15,1428569592
2001-08-16,1446963146
2001-08-17,1415080990
2001-08-20,1449109058
2001-08-21,1396380769
2001-08-22,1433168084
2001-08-23,1446963146
2001-08-24,1494786483
2001-08-27,1510114537
2001-08-28,1490188198
2001-08-29,1473940487
2001-08-30,1439299222
2001-08-31,1435313927
2001-09-04,1407110400
2001-09-05,1396074240
2001-09-06,1384731550
2001-09-07,1355914895
2001-09-10,1336601546
2001-09-17,1328017828
2001-09-18,1310237470
2001-09-19,1284486453
2001-09-20,1197729958
2001-09-21,1166460861
2001-09-24,1183934689
2001-09-25,1149600091
2001-09-26,1141629432
2001-09-27,1118943915
2001-09-28,1148373836
2001-10-01,2561454734
2001-10-02,2573915865
2001-10-03,2707526601
2001-10-04,2882674802
2001-10-05,2872983002
2001-10-08,2819676933
2001-10-09,2852214347
2001-10-10,2756679219
2001-10-11,2888905523
2001-10-12,2935288500
2001-10-15,2908981807
2001-10-16,2959518546
2001-10-17,2929750306
2001-10-18,2907597375
2001-10-19,2951903393
2001-10-22,2994132607
2001-10-23,2884059545
2001-10-24,2855675582
2001-10-25,3323660511
2001-10-26,3250278314
2001-10-29,3123590048
2001-10-30,3085514440
2001-10-31,3189357092
2001-11-01,3309122421
2001-11-02,3331275664
2001-11-05,3354120966
2001-11-06,3496039538
2001-11-07,3495347322
2001-11-08,3523038758
2001-11-09,3409503839
2001-11-12,3579805907
2001-11-13,3627573626
2001-11-14,3588805803
2001-11-15,3635880995
2001-11-16,3731416590
2001-11-19,3674648819
2001-11-20,3673956603
2001-11-21,3574959929
2001-11-23,3599882190
2001-11-26,3556268388
2001-11-27,3573575497
2001-11-28,3474578667
2001-11-29,3547268493
2001-11-30,3549345452
2001-12-03,3473193924
2001-12-04,3530653911
2001-12-05,3730724063
2001-12-06,3682956343
2001-12-07,3670495212
2001-12-10,3623419864
2001-12-11,3622035121
2001-12-12,3687109949
2001-12-13,3583959513
2001-12-14,3597805387
2001-12-17,3724493653
2001-12-18,3821413368
2001-12-19,3810336669
2001-12-20,3640034757
2001-12-21,3861565935
2001-12-24,3813106000
2001-12-26,3790260386
2001-12-27,3828336305
2001-12-28,3845643414
2001-12-31,3842874083
2002-01-02,3865027482
2002-01-03,3961947353
2002-01-04,4070635983
2002-01-07,4000022961
2002-01-08,4018714501
2002-01-09,3839413004
2002-01-10,3918333395
2002-01-11,3785414408
2002-01-14,3723108910
2002-01-15,3741108390
2002-01-16,3633804348
2002-01-17,3717570716
2002-01-18,3581190650
2002-01-22,3592959565
2002-01-23,3545191689
2002-01-24,3550729883
2002-01-25,3650419085
2002-01-28,3609573990
2002-01-29,3491885776
2002-01-30,3651111456
2002-01-31,3671879956
2002-02-01,3703032627
2002-02-04,3466270987
2002-02-05,3541730299
2002-02-06,3482193820
2002-02-07,3457963930
2002-02-08,3367274624
2002-02-11,3606805127
2002-02-12,3586036628
2002-02-13,3668418409
2002-02-14,3613728064
2002-02-15,3569421735
2002-02-19,3536192105
2002-02-20,3572190598
2002-02-21,3464886555
2002-02-22,3465579083
2002-02-25,3592267037
2002-02-26,3502962475
2002-02-27,3527884736
2002-02-28,3564575445
2002-03-01,3678802892
2002-03-04,3800644869
2002-03-05,3679495108
2002-03-06,3818644349
2002-03-07,3807567806
2002-03-08,3871950419
2002-03-11,3926640764
2002-03-12,3913487106
2002-03-13,3935640348
2002-03-14,3957793746
2002-03-15,3952947457
2002-03-18,3967485546
2002-03-19,4013176307
2002-03-20,4000022961
2002-03-21,4051944131
2002-03-22,3975100699
2002-03-25,3918333395
2002-03-26,3903102934
2002-03-27,3699571080
2002-03-28,3744569937
2002-04-01,1695692278
2002-04-02,1686412701
2002-04-03,1670018710
2002-04-04,1664450950
2002-04-05,1630116384
2002-04-08,1630116384
2002-04-09,1620836807
2002-04-10,1648984896
2002-04-11,1667234900
2002-04-12,1686412701
2002-04-15,1692908329
2002-04-16,1744564892
2002-04-17,1708992961
2002-04-18,1744255464
2002-04-19,1784776369
2002-04-22,1772403623
2002-04-23,1736522472
2002-04-24,1721984424
2002-04-25,1668781345
2002-04-26,1646510375
2002-04-29,1712395558
2002-04-30,1752916393
2002-05-01,1763123907
2002-05-02,1788797614
2002-05-03,1794056085
2002-05-06,1777971383
2002-05-07,1744255464
2002-05-08,1798386480
2002-05-09,1774568855
2002-05-10,1745802049
2002-05-13,1776424798
2002-05-14,1828081153
2002-05-15,1859013192
2002-05-16,1844165855
2002-05-17,1811687232
2002-05-20,1767763800
2002-05-21,1739925000
2002-05-22,1746420627
2002-05-23,1790962846
2002-05-24,1790344059
2002-05-28,1776734087
2002-05-29,1758174864
2002-05-30,1779518037
2002-05-31,1782920565
2002-06-03,1739925000
2002-06-04,1732192007
2002-06-05,1736213183
2002-06-06,1704662566
2002-06-07,1747657992
2002-06-10,1735285107
2002-06-11,1697238863
