,GE
2000-01-03,392969391360
2000-01-04,377744640000
2000-01-05,375773798400
2000-01-06,381637052160
2000-01-07,396418364160
2000-01-10,396254127360
2000-01-11,397239548160
2000-01-12,398208545280
2000-01-13,402790752000
2000-01-14,395597180160
2000-01-18,387730237440
2000-01-19,389618960640
2000-01-20,382326846720
2000-01-21,377580403200
2000-01-24,361862941440
2000-01-25,362848362240
2000-01-26,370534644480
2000-01-27,371355828480
2000-01-28,351056160000
2000-01-31,350070739200
2000-02-01,356295313920
2000-02-02,351220396800
2000-02-03,364819203840
2000-02-04,370863118080
2000-02-07,357609208320
2000-02-08,359087339520
2000-02-09,351220396800
2000-02-10,354817182720
2000-02-11,350399212800
2000-02-14,352041580800
2000-02-15,360220573440
2000-02-16,355392011520
2000-02-17,342877167360
2000-02-18,328128702720
2000-02-22,339592431360
2000-02-23,341891746560
2000-02-24,343205640960
2000-02-25,330428017920
2000-02-28,337802250240
2000-02-29,346802426880
2000-03-01,344174638080
2000-03-02,354324472320
2000-03-03,365131253760
2000-03-06,360056336640
2000-03-07,340413615360
2000-03-08,341399036160
2000-03-09,345160058880
2000-03-10,344995822080
2000-03-13,339099720960
2000-03-14,332710909440
2000-03-15,349906502400
2000-03-16,364162256640
2000-03-17,366445148160
2000-03-20,369237173760
2000-03-21,392969391360
2000-03-22,395268706560
2000-03-23,419165160960
2000-03-24,416718032640
2000-03-27,413761770240
2000-03-28,408686853120
2000-03-29,428345998080
2000-03-30,415896848640
2000-03-31,408626649600
2000-04-03,416823873024
2000-04-04,403046611968
2000-04-05,402552803328
2000-04-06,411902246912
2000-04-07,416988475904
2000-04-10,418634504704
2000-04-11,424379145216
2000-04-12,411573041152
2000-04-13,394503722496
2000-04-14,382685235712
2000-04-17,399096142848
2000-04-18,410914629632
2000-04-19,408297443840
2000-04-20,414848638464
2000-04-24,425514905088
2000-04-25,435868426240
2000-04-26,428642359808
2000-04-27,424049939456
2000-04-28,412889864192
2000-05-01,418469901824
2000-05-02,422897719296
2000-05-03,409762409472
2000-05-04,404346974720
2000-05-05,410585423872
2000-05-08,413054467072
2000-05-09,408626649600
2000-05-10,399277206016
2000-05-11,401235980288
2000-05-12,411573041152
2000-05-15,425366762496
2000-05-16,428313154047
2000-05-17,422403910656
2000-05-18,418469901824
2000-05-19,408626649600
2000-05-22,393861771264
2000-05-23,389911302144
2000-05-24,399754554368
2000-05-25,399754554368
2000-05-26,390405110784
2000-05-30,405663797760
2000-05-31,415029701632
2000-06-01,412560658432
2000-06-02,415029701632
2000-06-05,405663797760
2000-06-06,403211214848
2000-06-07,404692640768
2000-06-08,400742171648
2000-06-09,387952527872
2000-06-12,392874153984
2000-06-13,403211214848
2000-06-14,400742171648
2000-06-15,408626649600
2000-06-16,402717406208
2000-06-19,404198832128
2000-06-20,401235980288
2000-06-21,389417493504
2000-06-22,382043284480
2000-06-23,388446336512
2000-06-26,393367962624
2000-06-27,389911302144
2000-06-28,397795780096
2000-06-29,391886536704
2000-06-30,418073140992
2000-07-03,408710465280
2000-07-05,392935675392
2000-07-06,395886236928
2000-07-07,404770888704
2000-07-10,413639056896
2000-07-11,419556663552
2000-07-12,420051171072
2000-07-13,413144549376
2000-07-14,411661026816
2000-07-17,423496240128
2000-07-18,414133564416
2000-07-19,419062156032
2000-07-20,427930324224
2000-07-21,427435816704
2000-07-24,423990747648
2000-07-25,424979762688
2000-07-26,411661026816
2000-07-27,412155534336
2000-07-28,401309336064
2000-07-31,405743420160
2000-08-01,416111594496
2000-08-02,412650041856
2000-08-03,410193987840
2000-08-04,416589618432
2000-08-07,419556663552
2000-08-08,423990747648
2000-08-09,441249060096
2000-08-10,449622720768
2000-08-11,446177651712
2000-08-14,450117228288
2000-08-15,451600750848
2000-08-16,447661174272
2000-08-17,447166666751
2000-08-18,444694129151
2000-08-21,448650189312
2000-08-22,443227090176
2000-08-23,456529342463
2000-08-24,465892018176
2000-08-25,467870048255
2000-08-28,473293147392
2000-08-29,471315117312
2000-08-30,452589765888
2000-08-31,462941456640
2000-09-01,458507372544
2000-09-05,463435964159
2000-09-06,465397510655
2000-09-07,464919486720
2000-09-08,472798639872
2000-09-11,470837093376
2000-09-12,468364555776
2000-09-13,467870048255
2000-09-14,463930471680
2000-09-15,448155681792
2000-09-18,455540327424
2000-09-19,449128213248
2000-09-20,446672159232
2000-09-21,456529342463
2000-09-22,452095258368
2000-09-25,458012865024
2000-09-26,459974411520
2000-09-27,468859063296
2000-09-28,465397510655
2000-09-29,455045819904
2000-10-02,461457934080
2000-10-03,465892018176
2000-10-04,464424979200
2000-10-05,471315117312
2000-10-06,468859063296
2000-10-09,461457934080
2000-10-10,458012865024
2000-10-11,446672159232
2000-10-12,429908354304
2000-10-13,449622720768
2000-10-16,455540327424
2000-10-17,438776522496
2000-10-18,437803991040
2000-10-19,438776522496
2000-10-20,412155534336
2000-10-23,392441167872
2000-10-24,420545678592
2000-10-25,417578633472
2000-10-26,411166519296
2000-10-27,412155534336
2000-10-30,425968777728
2000-10-31,432380891904
2000-11-01,429413846784
2000-11-02,423496240128
2000-11-03,420545678592
2000-11-06,429908354304
2000-11-07,433353423359
2000-11-08,430402861824
2000-11-09,430402861824
2000-11-10,424979762688
2000-11-13,405743420160
2000-11-14,416111594496
2000-11-15,414133564416
2000-11-16,415122579456
2000-11-17,409204972800
2000-11-20,394897221888
2000-11-21,400320321024
