,PYPL
2015-07-06,44822908779
2015-07-07,44713018779
2015-07-08,42368701221
2015-07-09,42124500000
2015-07-10,42356488779
2015-07-13,44908378778
2015-07-14,45091530000
2015-07-15,45799707558
2015-07-16,47167231221
2015-07-17,46874188779
2015-07-20,49413870000
2015-07-21,48046350000
2015-07-22,46874190000
2015-07-23,45189210000
2015-07-24,45177000000
2015-07-27,44432190000
2015-07-28,45909600000
2015-07-29,46336950000
2015-07-30,46947450000
2015-07-31,47252700000
2015-08-03,48095190000
2015-08-04,47557950000
2015-08-05,47948670000
2015-08-06,47435850000
2015-08-07,47777730000
2015-08-10,47680050000
2015-08-11,47435850000
2015-08-12,46629990000
2015-08-13,45934020000
2015-08-14,46568940000
2015-08-17,47289329999
2015-08-18,46385790000
2015-08-19,45408990000
2015-08-20,43931579999
2015-08-21,41819250000
2015-08-24,41208750000
2015-08-25,39926700000
2015-08-26,40500570000
2015-08-27,42271020000
2015-08-28,42783840000
2015-08-31,42735000000
2015-09-01,41233170000
2015-09-02,42820470000
2015-09-03,43113510000
2015-09-04,41868090000
2015-09-08,42368700000
2015-09-09,41965770000
2015-09-10,40854660000
2015-09-11,40964550000
2015-09-14,41233170000
2015-09-15,41269800000
2015-09-16,41233170000
2015-09-17,40683720000
2015-09-18,40195320000
2015-09-21,41819250000
2015-09-22,40720350000
2015-09-23,41709359999
2015-09-24,41404109999
2015-09-25,41233170000
2015-09-28,39377250000
2015-09-29,37399230000
2015-09-30,37961920000
2015-10-01,38500040000
2015-10-02,40151090000
2015-10-05,39955410000
2015-10-06,38964780000
2015-10-07,39600740000
2015-10-08,38732410000
2015-10-09,39209380000
2015-10-12,39906490000
2015-10-13,40628060000
2015-10-14,41643150000
2015-10-15,42340260000
2015-10-16,41936670000
2015-10-19,42609320000
2015-10-20,42646010000
2015-10-21,41374090000
2015-10-22,42548170000
2015-10-23,42792770000
2015-10-26,44566120000
2015-10-27,43954620000
2015-10-28,44663960000
2015-10-29,43917929999
2015-10-30,44040230000
2015-11-02,45238770000
2015-11-03,46351700000
2015-11-04,45984800000
2015-11-05,44896330000
2015-11-06,44321520000
2015-11-09,44761800000
2015-11-10,45251000000
2015-11-11,44431590000
2015-11-12,43502110000
2015-11-13,42230190000
2015-11-16,43551030000
2015-11-17,44284830000
2015-11-18,44297060000
2015-11-19,44260370000
2015-11-20,44468280000
2015-11-23,43489880000
2015-11-24,42951760000
2015-11-25,43245280000
2015-11-27,43025140000
2015-11-30,43122980000
2015-12-01,43012910000
2015-12-02,42988450000
2015-12-03,41863289999
2015-12-04,43563260000
2015-12-07,43000679999
2015-12-08,43538800000
2015-12-09,42890610000
2015-12-10,43404270000
2015-12-11,42425870000
2015-12-14,42817230000
2015-12-15,44419360000
2015-12-16,44003539999
2015-12-17,43465420000
2015-12-18,42780539999
2015-12-21,44125840000
2015-12-22,45012515000
2015-12-23,45385530000
2015-12-24,45336610000
2015-12-28,44774030000
2015-12-29,45348840000
2015-12-30,44615039999
2015-12-31,44019200000
2016-01-04,42256000000
2016-01-05,41720960000
2016-01-06,41319680000
2016-01-07,40286080000
2016-01-08,39751040000
2016-01-11,40176640000
2016-01-12,40225280000
2016-01-13,39057920000
2016-01-14,39969920000
2016-01-15,39288960000
2016-01-19,39155200000
2016-01-20,37939200000
2016-01-21,37939200000
2016-01-22,38535040000
2016-01-25,38267520000
2016-01-26,38875520000
2016-01-27,38413440000
2016-01-28,41635840000
2016-01-29,43946240000
2016-02-01,45089280000
2016-02-02,44785280000
2016-02-03,45004160000
2016-02-04,45198720000
2016-02-05,42645120000
2016-02-08,40869760000
2016-02-09,39763200000
2016-02-10,40006400000
2016-02-11,40760320000
2016-02-12,41708800000
2016-02-16,43119360000
2016-02-17,44213760000
2016-02-18,44152960000
2016-02-19,43484160000
2016-02-22,43776000000
2016-02-23,43143680000
2016-02-24,44347520000
2016-02-25,44675840000
2016-02-26,45587840000
2016-02-29,46378240000
2016-03-01,47728000000
2016-03-02,47618559999
2016-03-03,47448320000
2016-03-04,47472640000
2016-03-07,47399680000
2016-03-08,46402559999
2016-03-09,46901120000
2016-03-10,46803840000
2016-03-11,48019840000
2016-03-14,47886080000
2016-03-15,47752320000
2016-03-16,48445440000
2016-03-17,48554880000
2016-03-18,47922559999
2016-03-21,50026240000
2016-03-22,50245120000
2016-03-23,49272320000
2016-03-24,47326720000
2016-03-28,47107840000
2016-03-29,48068480000
2016-03-30,47472640000
2016-03-31,46706000000
2016-04-01,47674000000
2016-04-04,46935900000
2016-04-05,46645500000
2016-04-06,47383599999
2016-04-07,46318800000
2016-04-08,46476099999
2016-04-11,46052600000
2016-04-12,45738000000
2016-04-13,46935900000
2016-04-14,46754400000
2016-04-15,46681800000
2016-04-18,47964400000
2016-04-19,47480400000
2016-04-20,48496800000
2016-04-21,48521000000
2016-04-22,48775100000
2016-04-25,48182200000
2016-04-26,48073300000
2016-04-27,48412100000
2016-04-28,48484700000
2016-04-29,47407800000
2016-05-02,47214200000
2016-05-03,46415600000
2016-05-04,46355100000
2016-05-05,47129500000
2016-05-06,47770800000
2016-05-09,47940200000
2016-05-10,48533100000
2016-05-11,48049100000
2016-05-12,47807100000
2016-05-13,47770800000
2016-05-16,47553000000
2016-05-17,47268650000
2016-05-18,47165800000
2016-05-19,45556500000
2016-05-20,45411300000
2016-05-23,46064700000
2016-05-24,47093200000
2016-05-25,46899600000
2016-05-26,46064700000
2016-05-27,46088900000
2016-05-31,45725900000
2016-06-01,46355100000
2016-06-02,46657600000
2016-06-03,46379300000
2016-06-06,46101000000
2016-06-07,45459700000
2016-06-08,45435500000
2016-06-09,44927300000
2016-06-10,44491700000
2016-06-13,44213400000
2016-06-14,44963599999
2016-06-15,44576400000
2016-06-16,44733700000
2016-06-17,44733700000
2016-06-20,44600600000
2016-06-21,43753599999
2016-06-22,43560000000
2016-06-23,44358599999
2016-06-24,42446800000
2016-06-27,41382000000
2016-06-28,42640400000
2016-06-29,43281700000
2016-06-30,44067570000
2016-07-01,43874450000
2016-07-05,43596840000
2016-07-06,43367510000
2016-07-07,43838240000
2016-07-08,45093520000
2016-07-11,46047050000
2016-07-12,46819530000
2016-07-13,47410960000
2016-07-14,48231720000
2016-07-15,47181630000
2016-07-18,46976440000
2016-07-19,47519590000
2016-07-20,48340350000
2016-07-21,48436910000
2016-07-22,45165940000
2016-07-25,45600460000
2016-07-26,45491830000
2016-07-27,44924540000
2016-07-28,44924540000
2016-07-29,44948680000
2016-08-01,44731420000
2016-08-02,44103780000
2016-08-03,44152060000
2016-08-04,45021100000
2016-08-05,45986700000
2016-08-08,45757369999
2016-08-09,45986700000
2016-08-10,45950490000
2016-08-11,46421220000
2016-08-12,46481570000
2016-08-15,46421220000
2016-08-16,46324660000
2016-08-17,46034980000
2016-08-18,46131540000
2016-08-19,45974630000
2016-08-22,45998770000
2016-08-23,45697020000
2016-08-24,45286640000
2016-08-25,45274570000
2016-08-26,45443550000
2016-08-29,45009030000
2016-08-30,44659000000
2016-08-31,44840050000
2016-09-01,44453810000
2016-09-02,44743490000
2016-09-06,44876260000
2016-09-07,46541920000
2016-09-08,47398890000
2016-09-09,45878070000
2016-09-12,46795390000
2016-09-13,48111020000
2016-09-14,48231720000
2016-09-15,49281810000
2016-09-16,49124900000
2016-09-19,48292070000
2016-09-20,47905830000
2016-09-21,48630030000
2016-09-22,48871430000
2016-09-23,48364490000
2016-09-26,48690380000
2016-09-27,49559420000
2016-09-28,49450790000
2016-09-29,48750730000
2016-09-30,49450790000
2016-10-03,48992130000
2016-10-04,49221460000
2016-10-05,48811080000
2016-10-06,48497260000
2016-10-07,48135160000
2016-10-10,48111020000
2016-10-11,47302330000
2016-10-12,47712710000
2016-10-13,47314400000
2016-10-14,47362680000
2016-10-17,47652360000
2016-10-18,48074810000
2016-10-19,48569680000
2016-10-20,48388630000
2016-10-21,53289050000
2016-10-24,52951090000
2016-10-25,52275170000
2016-10-26,51092310000
2016-10-27,50319830000
2016-10-28,50404320000
2016-10-31,50283619999
2016-11-01,50138780000
2016-11-02,49909450000
2016-11-03,49716330000
2016-11-04,49366300000
2016-11-07,49824960000
2016-11-08,50187060000
2016-11-09,49800820000
2016-11-10,48823150000
2016-11-11,48376560000
2016-11-14,46843670000
2016-11-15,47000580000
2016-11-16,47157490000
2016-11-17,48135160000
2016-11-18,48376560000
2016-11-21,49040410000
2016-11-22,48678310000
2016-11-23,48340350000
2016-11-25,48593820000
2016-11-28,48231720000
2016-11-29,48147230000
2016-11-30,47410960000
2016-12-01,46276380000
2016-12-02,46614340000
2016-12-05,47060930000
2016-12-06,47048860000
2016-12-07,47616150000
2016-12-08,47809270000
2016-12-09,47857550000
2016-12-12,47592010000
2016-12-13,47592010000
2016-12-14,47736850000
2016-12-15,47724780000
2016-12-16,47459240000
2016-12-19,47604080000
2016-12-20,47966180000
2016-12-21,48388630000
2016-12-22,47893760000
2016-12-23,47773060000
2016-12-27,47942040000
2016-12-28,47760990000
2016-12-29,48231720000
2016-12-30,47640290000
2017-01-03,48420750000
2017-01-04,49323000000
2017-01-05,49395180000
2017-01-06,49864350000
2017-01-09,49804200000
2017-01-10,49419240000
2017-01-11,49659840000
2017-01-12,49996680000
2017-01-13,50044800000
2017-01-17,49647810000
2017-01-18,49744050000
2017-01-19,49647810000
2017-01-20,50153070000
2017-01-23,50068860000
2017-01-24,50477880000
2017-01-25,50177130000
2017-01-26,49924500000
2017-01-27,48444810000
2017-01-30,47951580000
2017-01-31,47855340000
2017-02-01,47289930000
